"school_year","building_code","dbn","location_name","location_code","address","borough","geographical_district_code","register","building_name","schools","schools_in_building","major_n","oth_n","nocrim_n","prop_n","vio_n","engroupa","rangea","avgofmajor_n","avgofoth_n","avgofnocrim_n","avgofprop_n","avgofvio_n","borough_name","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2015-16","K415","84K736 ","New American Academy Charter School","K736 ","5800 TILDEN AVENUE","K","18","261","5800 TILDEN AVENUE CONSOLIDATED LOCATION","4","It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","BROOKLYN ","11203","40.648657","-73.922171","17","45","936","3104598","3047420001","Rugby-Remsen Village                                                       "
"2015-16","M488",,"231-249 EAST 56 STREET CONSOLIDATED LOCATION",,"231-249 EAST 56 STREET","M","2","2015","231-249 EAST 56 STREET CONSOLIDATED LOCATION","2","P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION","0","7","2","6","0","10C","2001-2500","1.69","7.16","17.44","3.63","3.94","MANHATTAN","10022","40.75924","-73.967203","6","4","108","1088892","1013300013","Turtle Bay-East Midtown                                                    "
"2015-16","K195","22K195","P.S. 195 Manhattan Beach","K195","131 IRWIN STREET","K","22","458",,"1","P.S. 195 Manhattan Beach","0","1","0","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","BROOKLYN ","11235","40.579451","-73.943819","15","48","620","3246519","3087520035","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"2015-16","K415","18K629","Cultural Academy for the Arts and Sciences","K629","5800 TILDEN AVENUE","K","18","354","5800 TILDEN AVENUE CONSOLIDATED LOCATION","4","It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","BROOKLYN ","11203","40.648657","-73.922171","17","45","936","3104598","3047420001","Rugby-Remsen Village                                                       "
"2015-16","M075","03M075","P.S. 075 Emily Dickinson","M075","735 WEST END AVENUE","M","3","569","735 WEST END AVENUE CONSOLDATED LOCATION ","2","P.S. 075 Emily Dickinson| M.S. 250 West Side Collaborative Middle School| 735 WEST END AVENUE CONSOLDATED LOCATION ","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","MANHATTAN","10025","40.795157","-73.973292","7","6","183","1034190","1012530065","Upper West Side                                                            "
"2015-16","M488","02M630","Art and Design High School","M630","231-249 EAST 56 STREET","M","2","1442","231-249 EAST 56 STREET CONSOLIDATED LOCATION","2","P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","7C","1251-1500","N/A","N/A","N/A","N/A","N/A","MANHATTAN","10022","40.75924","-73.967203","6","4","108","1088892","1013300013","Turtle Bay-East Midtown                                                    "
"2015-16","K075","32K075","P.S. 075 Mayda Cortiella","K075","95 GROVE STREET","K","32","446",,"1","P.S. 075 Mayda Cortiella","1","0","2","1","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","BROOKLYN ","11221","40.693313","-73.920666","4","34","419","3075879","3033140001","Bushwick South                                                             "
"2015-16","K194","22K194","P.S. 194 Raoul Wallenberg","K194","3117 AVENUE W","K","22","495",,"1","P.S. 194 Raoul Wallenberg","0","0","1","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","BROOKLYN ","11229","40.596757","-73.933499","15","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"2015-16","K291","32K291","J.H.S. 291 Roland Hayes","K291","231 PALMETTO STREET","K","32","349","231 PALMETTO STREET CONSOLIDATED LOCATION","3","J.H.S. 291 Roland Hayes |  Bushwick Community High School | Math, Engineering, and Science Academy Charter Hig |  231 PALMETTO STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","BROOKLYN ","11221","40.695362","-73.915142","4","37","433","3076460","3033430001","Bushwick North                                                             "
"2015-16","K415","18K569","Kurt Hahn Expeditionary Learning School","K569","5800 TILDEN AVENUE","K","18","357","5800 TILDEN AVENUE CONSOLIDATED LOCATION","4","It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","BROOKLYN ","11203","40.648657","-73.922171","17","45","936","3104598","3047420001","Rugby-Remsen Village                                                       "
"2015-16","K819","19K409","East New York Family Academy","K409","2057 LINDEN BOULEVARD","K","19","491",,"1","East New York Family Academy","0","0","1","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","BROOKLYN ","11207","40.661072","-73.886942","5","42","1104","3097444","3043280015","East New York                                                              "
"2015-16","M072","04M072","The Lexington Academy","M072","131 EAST 104 STREET","M","4","638",,"1","The Lexington Academy","1","4","2","2","3","4C","501-750","0.28","1.11","1.74","0.75","0.53","MANHATTAN","10029","40.791179","-73.947776","11","8","166","1081340","1016320011","East Harlem South                                                          "
"2015-16","M176","06M314","Muscota","M314","4862 BROADWAY","M","6","270","4862 BROADWAY CONSOLIDATED LOCATION","2","Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","MANHATTAN","10034","40.866706","-73.923948","12","10","291","1064900","1022340007","Marble Hill-Inwood                                                         "
"2015-16","M488","02M059","P.S. 059 Beekman Hill International","M059","231-249 EAST 56 STREET","M","2","573","231-249 EAST 56 STREET CONSOLIDATED LOCATION","2","P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","4C","501-750","N/A","N/A","N/A","N/A","N/A","MANHATTAN","10022","40.75924","-73.967203","6","4","108","1088892","1013300013","Turtle Bay-East Midtown                                                    "
"2015-16","K028","16K028","P.S. 028 The Warren Prep Academy","K028","1001 HERKIMER STREET","K","16","199",,"1","P.S. 028 The Warren Prep Academy","0","1","0","1","0","2C","1-250","0.24","0.71","1.71","0.51","0.32","BROOKLYN ","11233","40.678049","-73.92032","3","41","301","3042090","3015480019","Ocean Hill                                                                 "
"2015-16","K073",,"251 MCDOUGAL STREET CONSOLIDATED LOCATION",,"251 MCDOUGAL STREET","K","23","383","251 MCDOUGAL STREET CONSOLIDATED LOCATION","2","Brooklyn Landmark Elementary School |  Brooklyn Environmental Exploration School (BEES) |  251 MCDOUGAL STREET CONSOLIDATED LOCATION","0","0","0","0","0","3C","251-500","0.27","0.9","1.67","0.63","0.44","BROOKLYN ","11233","40.680318","-73.910644","16","37","369","3041561","3015280001","Ocean Hill                                                                 "
"2015-16","K147","14K147","P.S. 147 Isaac Remsen","K147","325 BUSHWICK AVENUE","K","14","297","325 BUSHWICK AVENUE CONSOLIDATED LOCATION","2","P.S. 147 Isaac Remsen |  Young Women's Leadership School of Brooklyn |  325 BUSHWICK AVENUE CONSOLIDATED LOCATION","N/A","N/A","N/A","N/A","N/A","3C","251-500","N/A","N/A","N/A","N/A","N/A","BROOKLYN ","11206","40.705204","-73.939407","1","34","485","3071418","3030910001","Bushwick South                                                             "
