"borough","disposition_type","address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx ","Adult Operations","215 East 161st Street","10451","40.826236","-73.920529","4","16","18302","2002704","2024540001","East Concourse-Concourse Village                                           "
"Bronx ","Adult Operations and NeON","198 East 161st Street","10451","40.826354","-73.921024","4","16","61","2099027","2024430094","East Concourse-Concourse Village                                           "
"Bronx ","Adult Operations","265 East 161st Street ","10451","40.825928","-73.919514","4","16","18302","2097114","2024440001","East Concourse-Concourse Village                                           "
"Bronx ","Juvenile Operations","900 Sheridan Avenue ","10451","40.826873","-73.920872","4","16","18302","2002704","2024540001","East Concourse-Concourse Village                                           "
"Brooklyn","Adult Operations","345 Adams Street","11201","40.6934","-73.988915","2","33","11","3392969","3001407503","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Brooklyn","Adult Operations","210 Joralemon Street","11201","40.692459","-73.990491","2","33","9","3002558","3002667501","Brooklyn Heights-Cobble Hill                                               "
"Brooklyn","Bedford Stuyvesant NeON","510 Gates Avenue","11216","40.68679","-73.945553","3","36","265","3051169","3018140023","Bedford                                                                    "
"Brooklyn","Brownsville NeON","444 Thomas Boyland Street","11212","40.670104","-73.913812","16","41","902","3080726","3034960004","Brownsville                                                                "
"Brooklyn","East New York NeON","400 Liberty Avenue","11207","40.674606","-73.895074","5","37","1144","3083681","3037050016","East New York (Pennsylvania Ave)                                           "
"Brooklyn","Juvenile Operations","330 Jay Street","11201","40.694495","-73.987198","2","33","11","3347736","3001407502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Manhattan","Adult Operations","100 Centre Street","10013","40.716084","-74.001425","1","1","29","1079000","1001670001","Chinatown                                                                  "
"Manhattan","Adult Operations","66 John Street","10038","40.708933","-74.007614","1","1","1502","1079043","1000670001","Battery Park City-Lower Manhattan                                          "
"Manhattan","Central Offices","33 Beaver Street","10004","40.704967","-74.011711","1","1","9","1000817","1000240001","Battery Park City-Lower Manhattan                                          "
"Manhattan","Harlem NeON","127 West 127th Street","10027","40.809488","-73.945496","10","9","224","1057904","1019120012","Central Harlem North-Polo Grounds                                          "
"Manhattan","Juvenile Operations","60 Lafayette Street","10013","40.71646","-74.002327","1","1","31","1001842","1001710031","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Queens ","Adult Operations","125 01 Queens Blvd","11415","40.712357","-73.826292","9","29","216","4206522","4096530001","Kew Gardens                                                                "
"Queens ","Jamaica NeON","162 24 Jamaica Avenue ","11432","40.704394","-73.797517","12","27","44601","4215624","4101020010","Jamaica                                                                    "
"Queens ","Juvenile Operations","151 20 Jamaica Avenue","11432","40.702499","-73.803109","12","27","240","4438731","4100930001","Jamaica                                                                    "
"Staten Island","Adult Operations","340 Bay Street","10301","40.63368","-74.075159","1","49","21","5013302","5005030032","Stapleton-Rosebank                                                         "
"Staten Island","Juvenile Operations","130 Stuyvestant Place","10301","40.642891","-74.076874","1","49","3","5000085","5000080070","West New Brighton-New Brighton-St. George"
