"staten_island_condominium_property_boro_block_lot","staten_island_condominium_property_condo_section","staten_island_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","staten_island_condominium_property_neighborhood","staten_island_condominium_property_building_classification","staten_island_condominium_property_total_units","staten_island_condominium_property_year_built","staten_island_condominium_property_gross_sqft","staten_island_condominium_property_est_gross_income","staten_island_condominium_property_gross_income_per_sqft","staten_island_condominium_property_full_market_value","staten_island_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"5-03019-7501","117-R1","81 NARROWS ROAD Staten Island
, New York 
(40.605406227771, -74.071431197255)","5",,,,,,,,,,"ROSEBANK","R2-WALK-UP","40","0","38700","463626","11.98","1630000","42.1","5-03003-0082","20 MERLE PLACE Staten Island
, New York 
(40.606544053893, -74.068392968784)","ROSEBANK","D1-ELEVATOR","64","1964","61130","752935","12.32","2830000","46.3","0.15","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","1.15"
"5-02452-7501","107-R2","121 WELLINGTON COURT Staten Island
, New York 
(40.580775695287, -74.157266450922)","5","10314","40.57996","-74.157834","2","51","27702","5121201","5024527501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","52","1987","64512","750274","11.63","2639996","40.9","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","3.85",,,,,,,,,,,,
"5-02451-7501","113-R4","120 WELLINGTON COURT Staten Island
, New York 
(40.580447621123, -74.157489107885)","5","10314","40.579853","-74.157963","2","51","27702","5095350","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","416205","11.82","1470001","41.7","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.1",,,,,,,,,,,,
"5-03585-7501","110-R1","100 COLFAX AVENUE Staten Island
, New York 
(40.579990962908, -74.107991231167)","5","10306","40.579906","-74.107779","2","50","11402","5095450","5035857501","New Dorp-Midland Beach                                                     ","GRANT CITY","R4-ELEVATOR","159","0","166712","1688792","10.13","5710003","34.3","5-03243-0100","150 PARKINSON AVENUE Staten Island
, New York 
(40.597723641295, -74.083523721274)","SOUTH BEACH","D1-ELEVATOR","422","1950","382560","3875333","10.13","13100000","34.2","1.85","5-03157-0001","1950 CLOVE ROAD Staten Island
, New York 
(40.606004051169, -74.0866151394)","GRASMERE","D1-ELEVATOR","177","1973","180495","1690099","9.36","5570000","30.9","2.05"
"5-02452-7503","122-R3","195 WELLINGTON COURT Staten Island
, New York 
(40.579123708077, -74.158733913223)","5","10314","40.578943","-74.158969","2","51","27702","5121204","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","0","47880","584614","12.21","2200008","45.9","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.25",,,,,,,,,,,,
"5-02832-7501","118-R1","6 NEW LANE Staten Island
, New York 
(40.611917346156, -74.064276033557)","5","10305","40.611956","-74.064182","1","49","6","5042253","5028327501","Stapleton-Rosebank                                                         ","ARROCHAR-SHORE ACRES","R4-ELEVATOR","102","1987","90618","1393704","15.38","5669998","63","5-00240-0003","937 VICTORY BOULEVARD Staten Island
, New York 
(40.621722774172, -74.097197652919)","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1283835","11.89","4530000","42","2.15","5-00240-0016","961 VICTORY BOULEVARD Staten Island
, New York 
(40.621045140441, -74.098023978882)","CLOVE LAKES","D1-ELEVATOR","111","1965","107960","1291973","11.97","4550000","42.1","2.15"
"5-00579-7501","45-R1","55 AUSTIN PLACE Staten Island
, New York 
(40.631288291689, -74.085772351111)","5","10304","40.631307","-74.085839","1","49","33","5112220","5005797501","Grymes Hill-Clifton-Fox Hills                                              ","TOMPKINSVILLE","R4-ELEVATOR","147","1965","159096","1828013","11.49","6439986","40.5","5-00593-0001","800 VICTORY BOULEVARD Staten Island
, New York 
(40.624285268712, -74.093960487425)","GRYMES HILL","D1-ELEVATOR","150","1961","143419","1648533","11.49","5810000","40.5","0.85",,,,,,,,,,,,
"5-02452-7503","122-R1","145 WELLINGTON COURT Staten Island
, New York 
(40.579592960047, -74.158193286671)","5","10314","40.579323","-74.15853","2","51","27702","5121202","5024527503","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","37","1988","47880","584614","12.21","2200019","45.9","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.25",,,,,,,,,,,,
"5-02451-7501","113-R3","40 WELLINGTON COURT Staten Island
, New York 
(40.581833766867, -74.156036857893)","5","10314","40.581791","-74.156045","2","51","27702","5095349","5024517501","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","NEW SPRINGVILLE","R4-ELEVATOR","31","1989","35212","416205","11.82","1469996","41.7","5-02102-0028","121 FREEDOM AVENUE Staten Island
, New York 
(40.596275618399, -74.163689832199)","NEW SPRINGVILLE","C9-WALK-UP","56","1971","43200","527431","12.21","1980000","45.8","1.1",,,,,,,,,,,,
"5-00610-7501","25-R1","830 HOWARD AVENUE Staten Island
, New York 
(40.612944224028, -74.098095898681)","5","10301","40.612717","-74.098392","1","49","47","5015638","5006107501","Grymes Hill-Clifton-Fox Hills                                              ","SUNNYSIDE","R4-ELEVATOR","66","1981","65392","672883","10.29","2269998","34.7","5-03168-0161","1000 TARGEE STREET Staten Island
, New York 
(40.60461509118, -74.091130512314)","GRASMERE","D5-ELEVATOR","98","1972","74260","863625","11.63","3040000","40.9","0.75",,,,,,,,,,,,
