"inmateid","admitted_dt","discharged_dt","custody_level","bradh","race","gender","age","inmate_status_code","sealed","srg_flg","top_charge","infraction"
"20216388","2021-11-14T12:28:56.000",,"MIN","Y","O","M","25","DE","N","N","220.39","N"
"20017267","2022-03-12T20:47:00.000",,"MED","Y","B","M","30","DE","N","N","130.35","N"
"20219628","2022-07-12T21:50:52.000",,"MIN","N","B","F","43","DE","N","N","120.05","N"
"20194796","2020-12-10T12:55:00.000",,"MAX","N","B","M","33","DE","N","N","125.25","Y"
"20213982","2022-06-02T02:28:01.000",,"MED","N","B","M","20","DE","N","Y","220.16","Y"
"20205780","2021-04-17T20:46:30.000",,"MAX","Y","B","M","26","DE","N","Y","120.10","N"
"100272","2022-06-17T15:36:39.000",,"MIN","N","B","M","34","SSR","N","N",,"N"
"20218010","2022-03-31T00:43:51.000",,"MAX","Y","O","F","20","DE","N","N","265.03","Y"
"20210150","2020-05-27T23:43:00.000",,"MAX","N","B","M","30","DE","N","Y","125.25","Y"
"20215449","2021-08-25T01:38:24.000",,"MED","Y","B","M","32","DE","N","N","140.30","Y"
"20208426","2022-05-16T17:21:03.000",,"MIN","N","B","M","24","DE","N","N","265.03","N"
"95676","2022-06-22T17:12:30.000",,"MAX","N","O","M","36","DE","N","Y","110-125.25","Y"
"20175750","2021-11-21T11:23:01.000",,"MED","Y","B","M","29","DE","N","N","110-125.25","Y"
"20149592","2020-11-21T01:13:30.000",,"MAX","N","B","M","25","DE","N","Y","125.25","Y"
"20108133","2022-01-19T11:03:00.000",,"MAX","N","B","M","28","DE","N","Y","135.20","N"
"20038236","2022-06-09T15:50:05.000",,"MAX","Y","W","M","34","DE","N","N","110-120.10","N"
"20018809","2022-08-26T01:32:33.000",,,"N","O","M","29","DE","N","N","120.10","N"
"58295","2021-03-22T15:16:55.000",,"MED","Y","B","M","38","DE","N","N","120.05","Y"
"155278","2022-03-20T21:47:07.000",,"MIN","N","W","M","49","DE","N","N","215.50","N"
"20211852","2020-10-30T21:11:35.000",,"MAX","N","O","M","25","DE","N","Y","125.25","Y"
"48475","2022-03-06T12:20:00.000",,"MED","N","B","M","42","DE","N","N","125.25","N"
"86862","2021-03-10T01:18:02.000",,"MAX","Y","O","M","32","DE","N","N","135.25","Y"
"20218028","2022-04-01T00:17:00.000",,"MIN","Y","O","M","68","DE","N","N","120.05","N"
"20186414","2022-07-09T17:12:00.000",,"MED","N","W","F","38","DE","N","N","155.30","N"
"20196004","2022-04-03T10:26:12.000",,"MED","Y","B","M","21","DE","N","Y","265.03","Y"
"20220231","2022-08-18T01:51:03.000",,,"N","O","M","44","DE","N","N","130.96","N"
"20026830","2022-06-26T22:30:34.000",,"MAX","Y","B","M","36","DE","N","Y","160.10","N"
"20220087","2022-08-09T21:01:40.000",,"MAX","N","B","M","27","DE","N","N","110-120.08","N"
"40413","2021-07-14T14:50:00.000",,"MAX","Y","B","M","33","DE","N","N","140.20","Y"
"20220306","2022-08-24T12:18:08.000",,,"Y","B","M","56","DE","N","N","125.25","N"
"20220344","2022-08-26T01:44:39.000",,,"N","B","M","22","DE","N","N","110-125.25","N"
"20059798","2022-04-09T02:34:20.000",,"MIN","N","B","M","29","CS","N","N","165.40","N"
"20196971","2019-12-25T01:26:29.000",,"MED","Y","B","M","48","DE","N","N","125.20","Y"
"20205144","2022-08-25T17:15:37.000",,,"N","B","M","20","DE","N","N","130.35","N"
"20103536","2022-06-07T16:08:53.000",,"MIN","Y","B","M","36","CS","N","N","130.52","N"
"20210212","2022-02-19T19:17:10.000",,"MED","N","B","M","20","DE","N","N","1192(3)","Y"
"20114397","2022-07-18T12:05:00.000",,"MED","N","O","M","56","SSR","N","N","220.16","N"
"20188223","2018-05-12T14:56:00.000",,"MAX","Y","B","M","25","DE","N","Y","125.25","Y"
"20082803","2022-08-06T20:52:53.000",,"MED","N","B","M","28","DE","N","N","160.15","N"
"20129757","2018-12-17T19:19:30.000",,"MAX","Y","B","M","36","DE","N","N","125.25","Y"
"20151332","2022-08-06T00:19:35.000",,"MAX","N","B","M","29","DE","N","N","265.03","N"
"22852","2022-03-29T14:24:57.000",,"MED","N","B","M","35","CS","N","N","265.01","Y"
"20140595","2022-06-19T20:36:00.000",,"MED","Y","B","M","26","DE","N","N","120.00","N"
"79187","2021-12-22T17:44:04.000",,"MED","Y","B","M","35","DE","N","N","120.10","N"
"36860","2022-06-29T15:57:05.000",,"MED","Y","I","M","33","DE","N","N","125.25","N"
"20209012","2022-07-21T17:41:29.000",,"MED","Y","B","M","48","DEP","N","N","VOP","N"
"20165825","2021-10-02T11:33:39.000",,"MAX","N","O","M","24","DE","N","N","120.10","Y"
"20128786","2022-08-25T21:42:56.000",,,"N","W","M","32","DEP","N","N","155.25","N"
"20024987","2020-11-22T01:21:00.000",,"MED","N","B","M","41","DE","N","N","125.25","Y"
"20844","2022-07-05T20:36:52.000",,"MIN","N","B","M","58","DE","N","N","140.20","N"
"10007783","2022-08-24T10:48:33.000",,,"N","B","M","29","SSR","N","N","265.02","N"
"20091811","2021-10-03T19:14:40.000",,"MIN","N","O","M","45","DE","N","N","110-120.10","Y"
"97053","2021-11-28T13:31:49.000",,"MED","Y","B","M","43","DE","N","Y","160.15","N"
"81932","2022-04-19T11:24:39.000",,"MIN","N","B","M","35","CS","N","N","265.01","N"
"20219040","2022-06-07T17:05:33.000",,"MED","N","O","M","34","DE","N","N","105.17","N"
"20209077","2022-05-02T01:34:48.000",,"MIN","N","B","M","22","DE","N","N","265.03","N"
"27820","2022-06-08T14:08:18.000",,"MIN","N","O","M","35","CS","N","N","120.14","N"
"20104544","2022-04-24T12:43:24.000",,"MED","Y","B","M","38","DE","N","N","160.10","N"
"20217346","2022-02-09T00:33:08.000",,"MIN","Y","A","M","32","DE","N","N","110-160.15","N"
"20014352","2022-07-26T18:16:48.000",,"MED","N","O","M","47","CS","N","N","VTL 1192.2","N"
"72691","2021-11-24T13:15:00.000",,"MAX","N","B","M","31","DE","N","N","110-125.25","Y"
"20200928","2022-06-30T20:34:00.000",,"MED","Y","B","F","29","DE","N","N","140.25","N"
"20207546","2019-10-11T23:38:32.000",,"MIN","N","O","M","54","DE","N","N","110-125.25","Y"
"20210097","2022-07-27T14:22:22.000",,"MIN","N","O","M","22","CS","N","N","120.05","N"
"20217188","2022-01-26T01:02:34.000",,"MAX","Y","O","M","40","CS","N","N","220.16","Y"
"37995","2022-07-27T12:50:16.000",,"MIN","N","B","M","41","DE","N","N","155.25","N"
"20162009","2022-05-13T17:57:52.000",,"MED","Y","O","M","34","DE","N","N","170.25","N"
"20211566","2020-10-08T19:35:20.000",,"MED","N","B","M","26","DE","N","N","125.25","N"
"20215988","2021-10-08T17:13:49.000",,"MED","Y","B","M","63","DE","N","N","130.25","N"
"20117838","2022-06-09T00:28:47.000",,"MED","N","B","M","30","DE","N","N","215.52","N"
"142532","2021-12-30T13:55:00.000",,"MED","Y","B","F","45","DE","N","N","140.25","Y"
"20210396","2021-02-14T11:39:44.000",,"MAX","Y","B","M","21","SSR","N","N",,"Y"
"20177522","2022-05-06T15:24:45.000",,"MAX","Y","B","M","26","DE","N","Y","160.15","Y"
"152169","2020-12-30T17:37:05.000",,"MAX","N","B","M","32","DNS","N","Y",,"Y"
"79221","2021-07-13T17:11:07.000",,"MAX","Y","B","M","32","DE","N","Y","125.25","Y"
"20191291","2022-08-12T18:48:44.000",,"MAX","N","O","M","25","DE","N","Y","120.06","N"
"20212415","2022-04-18T11:43:19.000",,"MED","N","B","M","24","CS","N","N",,"N"
"20210882","2020-08-20T23:55:17.000",,"MED","Y","O","M","70","DE","N","N","125.25","N"
"28290","2022-07-06T19:44:00.000",,"MED","N","B","M","37","DE","N","N","265.03","N"
"20212468","2021-12-16T11:45:54.000",,"MED","N","B","M","25","DE","N","N","265.03","Y"
"20218257","2022-05-17T12:40:29.000",,"MED","N","B","M","32","DE","N","N","125.25","N"
"20216022","2021-10-13T12:31:45.000",,"MED","N","O","M","42","DE","N","N","130.75","N"
"20207225","2019-09-25T21:06:27.000",,"MAX","Y","O","M","20","DE","N","Y","125.25","Y"
"76626","2022-03-20T20:09:45.000",,"MIN","Y","O","M","58","DE","N","N","110-125.25","N"
"56989","2022-04-13T12:10:44.000",,"MED","N","B","M","34","CS","N","N","265.01B","N"
"134380","2022-01-11T11:40:35.000",,"MAX","Y","B","M","34","DEP","N","Y","265.03","Y"
"20216541","2021-11-27T17:17:39.000",,"MIN","N","O","M","27","DE","N","N","160.15","N"
"20219801","2022-07-23T16:34:57.000",,"MED","Y","O","M","19","DE","N","N","125.25","N"
"164385","2020-07-21T16:18:46.000",,"MED","Y","B","M","35","DE","N","N","265.13","N"
"20149865","2021-07-09T15:35:45.000",,"MAX","Y","O","F","39","DE","N","N","120.10","Y"
"20192016","2022-08-25T00:57:52.000",,,"Y","O","M","23","DE","N","N","130.52","N"
"20218537","2022-05-06T17:18:10.000",,"MED","Y","B","M","20","DE","N","Y","160.15","N"
"20207609","2022-08-04T20:10:02.000",,"MAX","N","O","M","30","CS","N","N","155.25","N"
"20164626","2022-07-19T17:29:48.000",,"MED","Y","B","M","51","DE","N","N","130.65","N"
"20218224","2022-05-01T00:52:03.000",,"MED","N","B","M","18","DE","N","N","160.15","N"
"87641","2021-04-07T12:53:14.000",,"MAX","Y","B","M","35","DE","N","Y","160.15","Y"
"20104444","2022-03-08T17:47:19.000",,"MIN","Y","O","M","44","DE","N","N","120.05","N"
"20197607","2022-04-28T16:51:36.000",,"MAX","N","O","M","24","DE","N","N","125.25","Y"
"20086745","2022-03-09T15:32:00.000",,"MAX","Y","B","M","26","DE","N","Y","120.05","Y"
"20219965","2022-08-03T12:00:11.000",,"MIN","Y","B","M","26","DE","N","N","160.15","N"
"20198069","2022-08-24T14:41:34.000",,,"N","B","M","49","DE","N","N","130.65","N"
"94192","2022-07-22T22:35:48.000",,"MED","Y","O","M","43","DE","N","N","140.25","N"
"20188130","2022-03-22T19:27:44.000",,"MED","Y","O","M","33","DE","N","N","130.53","N"
"20082156","2022-03-03T20:12:54.000",,"MAX","Y","O","M","27","DE","N","N","160.15","N"
"15405","2022-05-04T17:12:54.000",,"MED","N","B","M","42","DE","N","N","265.03","N"
"20125764","2022-08-23T17:08:44.000",,,"N","B","M","35","SSR","N","Y","220.39","N"
