"date_received","borough","community_board","on_street","cross_street_1","cross_street_2","address","block","lot","existing_bus_pad_or_no_bus","if_existing_length_of_bus","bus_pad_roadway_condition","vehicular_traffic_high_medium","pedestrian_traffic_high_medium","curb_type","curb_reveal_inches","sidewalk_type","landmark_area_yes_no","ta_structure_yes_no","vault_yes_no","repaired_y_n","contract","construction_date","linear_ft_constructed","postcode","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"2012-05-24T00:00:00.000","Bronx","1","Bergen Ave","Westchester Ave","Southern Blvd",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","1","Lincoln Ave","E. 137th Street","3rd Ave",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2010-06-18T00:00:00.000","Bronx","2","Westchester Ave","Simpson St.",,"NO BUS STOP EXIST",,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","2","West Farms Rd.","Hoe Ave","Westchester Ave","1070 southern blvd","2744","1","No Bus Pad",,"Low","High","High",,,"CONCRETE","No","No","No","N",,,,"10459","40.824955","-73.891918","17","12701","2006027","2027440001","Hunts Point"
"2012-05-24T00:00:00.000","Bronx","3","3rd Ave","E. 163rd Street","Boston Rd.","3250 3rd avenue","2621","1","Existing Bus Pad","80'","Medium","High","Medium","SF","6""","CONCRETE","No","No","No","Y","HWBUSPAD06","2018-06-21T00:00:00.000","136","10456","40.824212","-73.908633","16","185","2116529","2026210001","Morrisania-Melrose"
"2012-05-24T00:00:00.000","Bronx","3","E. 163rd St.","3rd Ave","Washington Ave","514 E 163 street","2367","20","Existing Bus Pad","80","Low","High","Medium","SF","8""","CONCRETE","No","No","No","N",,,,"10451","40.824215","-73.90919","17","141","2116646","2023670020","Morrisania-Melrose"
"2014-10-22T00:00:00.000","Bronx","3","E. 168th St.","3rd Ave",,,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2014-10-22T00:00:00.000","Bronx","3","E. 168th St.","3rd Ave",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","4","Grand Concourse","E. 170th St.","Elliot Pl.",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","4","W. Kingsbride Rd","Davidson Ave","Jerome Ave",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","4","W. Kingsbride Rd","Jerome Ave","Morris Ave",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","4","W. Kingsbride Rd","University Ave","Webb Ave",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2010-06-18T00:00:00.000","Bronx","5","Jerome Ave","183 Street",,,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2010-06-18T00:00:00.000","Bronx","5","Jerome Ave","E. 176th Street",,,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","5","Grand Concourse","E. 180th St","E. Burnside Ave",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","5","Grand Concourse","E. Tremont Ave","Echo Pl.",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2010-06-18T00:00:00.000","Bronx","5","Sedgwick Ave","Cedar Ave","Undercliff Ave.",,,,,,,,,,,,,,,"N",,,,,,,,,,,
"2012-05-24T00:00:00.000","Bronx","6","E. Tremont Ave","Bronx Park","Devoe Ave","1101 E. Tremont ave","4004","17","No",,"Low","Medium","Medium","SF","6""","Concrete","No","No",,"N",,,,"10460","40.839998","-73.877119","15","220","2042429","2040040017","East Tremont"
