"district","school","borough","location","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"6","P.S./I.S. @ 3761 10TH AVENUE","MANHATTAN","3761 10TH AVENUE","10034","40.860795","-73.921598","112","10","299","1064487","1021980001","Marble Hill-Inwood"
"9","P.S. 163","BRONX","2075 WEBSTER AVENUE","10457","40.851741","-73.898493","205","15","379","2013297","2031420048","Mount Hope"
"27","P.S. 47","QUEENS","9 POWER ROAD","11693","40.606353","-73.820445","414","32","107201","4448968","4153130485","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"75R","D75 @ 30 WELLBROOK AVENUE","STATEN ISLAND","30 WELLBROOK AVENUE","10314","40.604824","-74.130782","502","49","18702","5106948","5007700009","New Springville-Bloomfield-Travis"
