"cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon","geocoded_column"
"244685801","69","BROOKLYN","2015-01-01T00:00:00.000","00:00:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO BKLYN SOUTH","157","RAPE 1","RESIDENCE-HOUSE","2022-05-04T00:00:00.000","(null)","18-24","UNKNOWN","M",,"<18","BLACK","F","1010541","175595","40.6486135510607","-73.9052572032302","(40.6486135510607, -73.9052572032302)","POINT (-73.9052572032302 40.6486135510607)"
"242250195","42","BRONX","2022-03-17T00:00:00.000","15:23:00","2022-03-17T00:00:00.000","15:28:00","ATTEMPTED","(null)",,"0","N.Y. POLICE DEPT","105","FELONY","INSIDE","ROBBERY","(null)","PATROL BORO BRONX","375","ROBBERY,PHARMACY","DRUG STORE","2022-03-17T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","1010419","242374","40.831899","-73.905435","(40.831899, -73.905435)","POINT (-73.905435 40.831899)"
"242385774","123","STATEN ISLAND","2022-03-20T00:00:00.000","11:52:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","FRONT OF","HARRASSMENT 2","(null)","PATROL BORO STATEN ISLAND","638","HARASSMENT,SUBD 3,4,5","RESIDENCE-HOUSE","2022-03-20T00:00:00.000","(null)","25-44","BLACK","F",,"45-64","WHITE","F","926029","138052","40.545405","-74.209485","(40.545405, -74.209485)","POINT (-74.209485 40.545405)"
"242643555","121","STATEN ISLAND","2022-03-24T00:00:00.000","15:00:00","2022-03-24T00:00:00.000","22:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO STATEN ISLAND","157","RAPE 1","RESIDENCE-HOUSE","2022-03-25T00:00:00.000","(null)","25-44","BLACK","M",,"18-24","BLACK","F","942822","166353","40.6231883776008","-74.1492376947323","(40.6231883776008, -74.1492376947323)","POINT (-74.1492376947323 40.6231883776008)"
"242816732","42","BRONX","2022-03-29T00:00:00.000","15:24:00","2022-03-29T00:00:00.000","15:30:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","105","FELONY","INSIDE","ROBBERY","(null)","PATROL BORO BRONX","389","ROBBERY,DWELLING","RESIDENCE-HOUSE","2022-03-29T00:00:00.000","(null)","UNKNOWN","BLACK","M",,"45-64","BLACK","M","1010131","240105","40.82567","-73.906484","(40.82567, -73.906484)","POINT (-73.906484 40.82567)"
"242955164","79","BROOKLYN","2021-04-22T00:00:00.000","08:00:00","2021-04-23T00:00:00.000","13:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BKLYN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE-HOUSE","2022-04-01T00:00:00.000","(null)","(null)","(null)","(null)",,"45-64","BLACK","M","997284","190005","40.688188","-73.953002","(40.688188, -73.953002)","POINT (-73.953002 40.688188)"
"238863220","25","MANHATTAN","2021-12-31T00:00:00.000","21:45:00","2021-12-31T00:00:00.000","21:50:00","COMPLETED","(null)","670","2","N.Y. HOUSING POLICE","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO MAN NORTH","637","HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE - PUBLIC HOUSING","2022-01-08T00:00:00.000","(null)","25-44","WHITE HISPANIC","F",,"25-44","BLACK","M","1002844","230571","40.799522","-73.932838","(40.799522, -73.932838)","POINT (-73.932838 40.799522)"
"242870934","46","BRONX","2018-03-16T00:00:00.000","12:00:00","2022-03-30T00:00:00.000","22:57:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BRONX","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","2022-03-30T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","WHITE HISPANIC","F","1007476","247738","40.846629","-73.91605","(40.846629, -73.91605)","POINT (-73.91605 40.846629)"
"247126072","44","BRONX","2019-11-10T00:00:00.000","17:00:00","2022-06-24T00:00:00.000","19:03:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","341","MISDEMEANOR","FRONT OF","PETIT LARCENY","(null)","PATROL BORO BRONX","349","LARCENY,PETIT OF LICENSE PLATE","RESIDENCE - APT. HOUSE","2022-06-24T00:00:00.000","(null)","UNKNOWN","UNKNOWN","U",,"25-44","BLACK HISPANIC","F","1004959","245628","40.840845","-73.925153","(40.840845, -73.925153)","POINT (-73.925153 40.840845)"
"242181297","84","BROOKLYN","2000-03-16T00:00:00.000","00:00:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","2022-03-16T00:00:00.000","(null)","(null)","(null)","(null)",,"<18","BLACK","F","988902","192641","40.6954388081238","-73.9832253756043","(40.6954388081238, -73.9832253756043)","POINT (-73.9832253756043 40.6954388081238)"
