Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Dudok Den Haag B.V.;;1;;;;;;;;;1
Dunea N.V.;;;;;;;;1;;;1
Dutch Hospitality Manager B.V.;;2;;;;;;;;;2
dWise Event IT;;;;;;;;1;;;1
DynaVision B.V.;1;;;;;;;;;;1
E.A.L. Electronic Application Laboratory B.V.;;;4;;;;;;;;4
EasyOutlet.nl;;;;;;;;;1;;1
Echte Bakker Keurhorst;;1;;;;;;;;;1
EcoSmart Nederland B.V.;;;;;;;4;;;;4
Eden Springs (was Culligan);;1;;;;;;;;;1
Edenred Nederland;;;;2;;;;;;;2
Eduard Bos Electronic Publishing II B.V.;;;;;;;;1;;;1
Effective Motor Couriers;;;;;1;;;;;;1
EHM Hotel Breda B.V.;1;;;;;;;;;;1
EMMA Communicatie B.V.;;;;;;1;;;;;1
Emtek Ergonomics B.V.;;;;;;;;1;;;1
Eneco Services B.V.;;;;;;;;2;;;2
Eneco Zakelijk;;;;;;;;2;;;2
Enof online communicatie;;;;;;2;;;;;2
Ericsson Telecommunicatie B.V.;;;;;;;;1;;;1
Escape Challenge B.V.;1;;;;;;;;;;1
Eten en zo...;;1;;;;;;;;;1
Euro-Index B.V.;;;;;;;;;1;;1
Europe Top Security B.V.;;;2;;;;;;;;2
European Leadership Platform B.V.;1;;;;;;;;;;1
Eurorouting Nederland B.V.;;;;;;;;3;;;3
Event Medical Service B.V.;;;1;;;;;;;;1
Extreme Air Products B.V.;;;;;;;;;2;;2
Fa. Hotel Van den Bosch;;1;;;;;;;;;1
Facilion;;;;;;;;2;;;2
Facilion B.V.;;;;;;1;;;;;1
Facility Service;;1;;;;;;;;;1
Fair Bedrijfsdiensten B.V.;;;3;;;;;;;;3
Fair Groep B.V.;;;7;;;;;;;;7
Falck Prevention B.V.;;;6;;;;;;;;6
Ferretto Group Holland B.V.;;1;;;;;;2;;;2
Firecom;;;1;;;;;;;;1
Fire-Control B.V.;;;;;;;;;1;;1
Fitland Leiden B.V.;1;;;;;;;;;;1
Flash Rental Services B.V.;;;3;;;;;;;;3
Fleetlogic B.V.;;;;;;;;;1;;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;1;;;;;;;;;1
FMT Vastgoed Beheer;;;1;;;;;;;;1
Fonville Schoonhouden B.V.;;;;1;;;;;;;1
Foodzie;;1;;;;;;;;;1
For Conference B.V.;;;;;;;;;1;;1
Formzet B.V.;;;;;;2;;;;;2
Fotovaklaboratorium 'De Verbeelding' B.V.;;;;;;;;1;;;1
FP-Ruys;;;;;;;;3;;;3
Frama Nederland;;;;;1;;;;;;1
Fransen Beveiligingen;;;1;;;;;;;;1
Fruitful Office Nederland B.V.;;1;;;;;;;;;1
Futureproof Document Solutions;;;;;;;;;2;;2
G4S Beveiliging;;3;;;;;;;;;3
G4S Secure Monitoring BV;;;1;;;;;;;;1
G4S Services;;;8;;;;;;;;8
Geesink B.V.;;;;;;;1;;;;1
Gelecon B.V.;;;;1;;;;;;;1
Geleijns Hoveniers;;;;1;;;;;;;1
George Royal B.V.;;1;;;;;;;;;1
Gh Catering B.V.;;1;;;;;;;;;1
Gispen Kantoorinrichting;;;;;;;;7;;;7
Gom Schoonhouden;;;;7;;;;;;;7
Good Conditions B.V.;;;;;;;;;1;;1
GoPublic, Kunstwerkkopen.nl;;;;;;2;;;;;2
Grafisch Bedrijf Adr. Tuijtel B.V.;;;;;;1;;;;;1
Granny's Corner;1;;;;;;;;;;1
Grateq B.V.;;;;;;;;;1;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;;1;;1
GroupM B.V.;;;;;;;;1;;;1
Gunnebo Nederland B.V.;;;;;;;;1;;;1
Gusto Mangia e Bevi;;1;;;;;;;;;1
GZ OFFICEXPERIENCE;;;;;;;;1;;;1
H.B.D. Hartevelt Bedrijfsdiensten;;;;1;;;;;;;1
Hako B.V.;;;;1;;;;;;;1
Hampshire Exploitatie I B.V.;;1;;;;;;;;;1
Handelsonderneming Michel van der Avert;1;;;;;;;;;;1
Heeren van Noortwyck;;1;;;;;;;;;1
Heigo Nederland B.V.;;;;;;;;;6;;6
Heijmans Utiliteit;1;;4;;;;;1;;;4
Heijmerink- Wagemakers Vormgeversatelier B.V.;;;;;;;;2;;;2
Helicon Conservation Support B.V.;;1;;;;2;;;;;2
Henri Culinair;;;;;;;;1;;;1
Herena;;;;;;;;;1;;1
Het Coachhuis B.V.;;1;;;;;;;;;1
Het Heden;;1;;;;;;;;;1
Het Kookplein;1;1;;;;;;;;;1
Het NIC B.V.;;;;;;;;;1;;1
Het Oude Politiebureau;;1;;;;;;;;;1
Het Stempel No. 539 B.V.;;;;;;;;;1;;1
Het Wielen- en Bandenhuis;;;;;;;;;1;;1
High Security International B.V.;;;;;;;;;2;;2
Holding Beheermaatschappij Ropeni B.V.;1;2;;;;;;;;;2
Hollandse Beveiligingscombinatie NVD-HB B.V.;;;7;;;;;;;;7
Hollandse Hoogte B.V.;;1;;;;1;;;;;1
Holle Bolle Gijs;;1;;;;;;;;;1
Homeij Oisterwijk B.V.;;;;;;;;;1;;1
Horeca Adviescentrum HTC;;2;;;;;;;;;2
Horeca Exploitatie Maatschappij Berlage B.V.;1;;;;;;;;;;1
Horesca Meppel B.V.;;1;;;;;;;;;1
Hotel de Bosrand;;1;;;;;;;;;1
Hotel New York B.V.;;1;;;;;;;;;1
Hotel Vianen B.V.;;1;;;;;;;;;1
Hotel/Restaurant Corona;;1;;;;;;;;;1
Hoveniersbedrijf Klein Zwitserland;;;;;;;;1;;;1
Huis ten Haghe;;1;;;;;;;;;1
Huiswerk;;1;;;;;;;;;1
Huize Molenaar B.V.;;1;;;;;;;;;1
HVR Show Equipment B.V.;;1;;;;;;;;;1
Hydra Group B.V.;;;;1;;;;;;;1
I.T.C. Alles voor Uw Kantoor N.V.;;;;;;;;;1;;1
ICTroom Company B.V.;;;;;;;;;1;;1
Iedema Projectstoffering Wateringen B.V.;;;;;;;;1;;;1
Igluu Den Haag;;1;;;;;;;;;1
Igo-Post B.V.;;;;;;;;;1;;1
IHC Offshore & Marine;;;;;;;;4;;;4
In Den Stallen V.O.F.;;1;;;;;;;;;1
in60seconds;;;;;;2;;;;;2
Inbraakpreventie 'M.I.B.' B.V.;;;2;;;;;;;;2
Indomo B.V.;;1;;;;;;;;;1
Indrapoera;;1;;;;;;;;;1
Informatiebord.nl B.V.;;;;;;;;1;;;1
Initial B.V.;;;;1;;;;1;;;1
Initial Hokatex;;;;5;;;;;;;5
Innovatie Centrum Duurzaam Bouwen B.V.;;1;;;;;;;;;1
Inrato International;;;;;;;;;1;;1
InsightsWorld B.V.;;;;;;;;;1;;1
Inspectie van het Onderwijs;;2;;;;;;;;;2
Installatiebedrijf Van den Hoever B.V.;;1;;;;;;;;;1
Internet New Business Concepts B.V.;;3;;;;;;;;;3
Intimus International Netherlands B.V.;;;;;;;;;1;;1
Intrum Justitia B.V.;;;;;;;;;1;1;1
Iolan B.V.;;;1;;;;;;;;1
Ipse de Bruggen Maatwerk;;3;;;;;;;;;3
Iron Mountain Nederland B.V.;;1;;;;;;;;;1
ISS Nederland B.V.;;;;2;;;;;;;2
Istana Indonesisch Restaurant;;1;;;;;;;;;1
Jaarbeurs B.V.;;2;;;;;;;;;2
Jam Workspace B.V.;;1;;;;;;;;;1
Janoq B.V.;1;;;;;;;;;;1
Jetmail B.V.;;;;;;5;;;;;5
JKS Sneltransport B.V.;;;;;1;;;;;;1
Jobmassage B.V.;;;;;;;;;2;;2
Jong Europe B.V.;;;;;;;;;1;;1
Jura Nederland B.V.;;;;;;;;;1;;1
Kardex Systemen B.V.;;;;;;;;1;;;1
Karmac Informatie & Innovatie B.V.;;;;;;2;;;;;2
Karres en Brands Landschapsarchitecten B.V.;;;;;;;;1;;;1
Keiretsu Europe B.V.;;;;;;;;;1;;1
Kentie Afterprint B.V.;;;;;;1;;;;;1
King Arthur B.V.;1;;;;;;;;;;1
Klarna AB;;;;;;;;;1;;1
Koffiesnel.nl.;;1;;;;;;;;;1
Koning & Hartman B.V.;;;2;;;;;;1;;2
Koning Beheer B.V.;;;;;;;;1;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;;;;;1
Koninklijke PostNL B.V.;;;;1;1;;;;;;1
Koninklijke van der Most B.V.;;;;;;4;;;3;;5
Kop Beveiliging B.V.;;;1;;;;;;;;1
Kopieplus;;;;;;1;;;;;1
KPN B.V.;;;;;;;;;1;;1
KPN Telecommerce B.V.;;;1;;;;;;;;1
Kruimels;;1;;;;;;;;;1
Kruizinga B.V.;;;;;;1;;;;;1
Kruyt;;;2;;;;;;;;2
Kubus architectural solutions;1;;;;;;;;;;1
Kumpulan Congres- en Reuniecentrum;1;;;;;;;;;;1
Kupan B.V.;;;;1;;;;;;;1
Kwaliteitsstichting Mediators;1;;;;;;;;;;1
Lamilon;;;;;;1;;;;;1
Lammertink Groep;;;;;;;;;;1;1
Landelijke Vereniging van Vertrouwenspersonen;1;;;;;;;;;;1
Landgoed Duin & Kruidberg B.V.;;1;;;;;;;;;1
Le Strasbourg;;2;;;;;;;;;2
Lebkov;;1;;;;;;;;;1
Leidsche Luchtvaart Club;;;1;;;;;;;;1
Les Ombrelles;;1;;;;;;;;;1
Letterop;;;;;;1;;;1;;1
Lifoka Kopie en Print B.V.;;;;;;1;;;;;1
Linnenatwork B.V.;;;;;;;;;1;;1
Little V Rotterdam;;1;;;;;;;;;1
Ljs Automatisering B.V.;;;;;;;;;1;;1
Lloyd's Register Nederland B.V.;1;;;;;;;;;;1
LOGEION VERENIGING VOOR COMMUNICATIE;1;;;;;;;;;;1
Lourens-van Vliet h.o.d.n. Bakkerij Bart;;1;;;;;;;;;1
Lumenz;;1;;;;;;;;;1
Luna Catering & Organisatie;;1;;;;;;;;;1
LUNATERRA Design;;;;;;;;1;;;1
Lunchroom Nieuw Engelhard;;1;;;;;;;;;1
Lyreco Nederland B.V.;;1;1;1;;1;;1;5;;5
Maas International B.V.;;5;;;;;;;;;5
Maasdam Groep B.V.;;;;;;;;5;;;5
Maasmond B.V.;;;;;;;;2;;;2
Madestein Restaurant & Events B.V.;;1;;;;;;;;;1
Madurodam B.V.;;;;;;;;1;;;1
Magnus;;;;;;1;;;;;1
Mainpress B.V.;;;;;;;;;1;;1
Management Drives Europe B.V.;;;;;;;;;2;;2
Manutan B.V.;;;;;;;;1;1;;1
Media Markt Rijswijk B.V.;;;;;;;;;1;;1
Mediatorsfederatie Nederland;1;;;;;;;;;;1
Mediaweb B.V.;;;;;;1;;;;;1
Meelfabriek Zijlstroom B.V.;1;;;;;;;;;;1
Meet & Discover! - Station033 B.V.;;1;;;;;;;;;1
Meeting Plaza Utrecht B.V.;;1;;;;;;;;;1
Mega Cleaning Products B.V.;;;;1;;;;;;;1
Meldkamer MG;;;1;;;;;;;;1
Melitta Professional Coff. Sol. Benelux B.V.;;1;;;;;;;;;1
Meltwater The Netherlands B.V.;;;;;;;;;2;;2
Mennens Schiedam B.V.;;;;;1;;;;;;1
Men's Tradition B.V.;;;;;;;1;;;;1
Mercure Hotel Amsterdam City;;1;;;;;;;;;1
Mettler-Toledo B.V.;;;;;1;;;;;;1
Miko Koffie Service B.V.;;2;;;;;;;;;2
Mikropakket Nederland B.V.;;;;;1;;;;;;1
Misco Solutions B.V.;;;;;;2;;;;;2
Moduli Print B.V.;;;;;;2;;;1;;2
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;;;;;;;;2;;;2
Mondial Movers B.V.;;;;;;2;;;;;2
Motus B.V.;;1;;;;;;;;;1
Multigift Relatiegeschenken B.V.;;;;;;;;;1;;1
Multi-Post Mail Systems B.V.;;;;;1;;;;;;1
Multi-Post Services B.V.;;;;;;;;;1;;1
Munckhof Regie;;;;;4;;;;;;4
Mundial;1;;;;;;;;;;1
Nachtveiligheidsdienst Haarlem B.V.;;;;;;;;1;;;1
nai010 uitgevers/publishers;;;;;;;;;1;;1
Nationale Beeldbank B.V.;;;;;;;;;1;;1
Nauta Security Storage B.V.;;;5;;;;;;;;5
Nederl. techn. veren. voor inst. in geb. TVVL;1;;;;;;;;1;;1
Nederl. Ver. van Bouwkostendeskundigen;;;;;;;;;1;;1
Nederlandse Mediatorsvereniging;1;;;;;;;;;;1
Nederlandse Zouthandel B.V.;;;;1;;;;;;;1
Neopost;;;;;1;;;;;;1
Nespresso Nederland B.V.;;1;;;;;;;;;1
Nestlé Waters Direct Netherlands B.V.;;1;;;;;;;;;1
Netcreators B.V.;1;;;;;;;;;;1
Neuland Nederland;;;;;;;;;1;;1
New Babylon Meeting Center B.V.;;3;;;;;;;;;3
NH ATLANTIC DEN HAAG;;1;;;;;;;;;1
NH Den Haag;;1;;;;;;;;;1
Nieuw Domein Uitgever;;;;;;;;;1;;1
Nieuwenhuis Corporate Fashion B.V.;;;;;;;;;1;;1
NIMA-Nederlands Instituut voor Marketing;1;;;;;;;;;;1
NMS National Multiple Services B.V.;;;;;;;;;1;;1
Norisk Keymanagement B.V.;;;2;;;;;;;;2
Noviosign;;;;;;;;;1;;1
Novon Benelux B.V.;;;;;;;;1;;;1
Novotel Den Haag;;1;;;;;;;;;1
Nsecure B.V.;;;4;;;;;;;;4
NWC Events B.V.;;1;;;;;;;;;1
OBT B.V.;;;;;;2;;;1;;2
Office Depot B.V.;;;;;;;;;1;;1
Oldschool Restaurant B.V.;;1;;;;;;;;;1
Om De Hoek;;1;;;;;;;;;1
Onafhank. Bacteriolog. Onderz.bur. Biobeheer;;;;1;;;;;;;1
ONI B.V.;1;;;;;;;;;;1
Ontbijt & Lunch Juni;;1;;;;;;;;;1
Oostduinhaghe Hotel B.V.;;1;;;;;;;;;1
Optima Forma B.V.;;;;;;1;;;;;1
Orange5 Catering & Events B.V.;1;;;;;;;1;;;1
Orchids;;1;;;;;;;;;1
'Organis. Onafhankel. Onderzoek Funderingen';1;;;;;;;;;;1
Oudaen B.V.;;1;;;;;;;;;1
Outdoors Holten Exploitatie B.V.;;1;;;;;;;;;1
P.G. Security Systems B.V.;;;;;;;;1;;;1
Paagman Den Haag B.V.;;;;;;;;;1;;1
Pageshuis B.V.;;1;;;;;;;;;1
Pantem B.V.;1;1;;;;;;;;;1
PaperlinX B.V.;;;;;;1;;;;;1
Papyrus;;;;;;1;;;;;1
Papyrus Groep Nederland B.V.;;;;;;1;;;5;;5
Partners in Cultuur en Beleving B.V.;;1;;;;;;;;;1
Party Rental Company B.V.;;1;;;;;;;;;1
Partycentrum De Bun;1;;;;;;;;;;1
Pasteria B.V.;1;;;;;;;;;;1
Pastis Den Haag B.V.;;1;;;;;;;;;1
Paushuize;1;;;;;;;;;;1
PBT Consult B.V.;;;2;;;;;;;;2
PCS Europe;;;;2;;;;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;;;;;;;;1
Petrel etiketten & stickers;;;;;;;;;1;;1
PinkCube;;;;;;;;;1;;1
Pizzeria Pinocchio;;1;;;;;;;;;1
Plasticarto Verpakkingsindustrie B.V.;;;;;;1;;;;;1
Pondres Direct Mail B.V.;;;;;;1;;;;;1
PromTeg B.V.;;;4;;;;;;;;4
PropertyEU B.V.;;;;;;;;;1;;1
Propertynl B.V.;;;;;;;;;1;;1
Protinus IT B.V.;;;;;;;;;2;;2
Provada B.V.;2;;;;;;;;;;2
Provoque Holding B.V.;1;;;;;;;;;;1
Prunus;;1;;;;;;;;;1
Puur Utrecht;1;;;;;;;;;;1
QC Light Factory B.V.;;;;;;;;1;;;1
Quinton Brandveiligheid B.V.;;;1;;;;;;;;1
QuoVadis Trustlink B.V.;1;;;;;;;;;;1
RAI Amsterdam B.V.;1;;;;;;;;;;1
Randon Beveiliging;;;1;;;;;;;;1
Ravage;;;;;;;;;1;;1
RDM Makerspace B.V.;;1;;;;;;;;;1
Real Estate Care Company Cooijman;;;;;;;;1;;;1
Rebelgroup B.V.;;;;;;;;;1;;1
Regardz Business Center;;2;;;;;;;;;2
Regus;;1;;;;;;;;;1
Regus Amsterdam B.V.;;1;;;;;;;;;1
Reisswolf Nederland B.V.;;;;1;;;3;;1;;3
Reisswolf Randstad I B.V.;;;;;;;1;;;;1
Reisswolf Scheemda B.V.;;;;1;;4;;;;;4
Remto Automaterialen;;;;;;;;;1;;1
Renaud-Delft Horecabenodigdheden B.V.;;1;;;;;;;;;1
Rentokil pest control;;;;;;;;2;;;2
Restaurant De Basiliek B.V.;;1;;;;;;;;;1
Restaurant De Knip;;1;;;;;;;;;1
Ricoh Nederland B.V.;;;;;;7;;;;;7
RICS International Limited;1;;;;;;;;;;1
Rics Nederland;1;;;;;;;;;;1
Rietvelt Herenmode;;;;;;;;;1;;1
Rijnja Repro;;;;;1;;;;;;1
Ristorante Italiano 'La Liguria';;1;;;;;;;;;1
Ristorante Pizzeria Lanterna;;1;;;;;;;;;1
Ristorante Trattoria Impero Romano;1;;;;;;;;;;1
Ritom Beveiligingstechniek B.V.;;;1;;;;;;;;1
ROHDE & GRAHL B.V.;;1;;;;;;1;1;;2
ROI B.V.;;2;;;;;;;;;2
Röntgen Technische Dienst B.V.;;;1;;;;;;;;1
Rouge B.V.;;1;;;;;;;;;1
Royal Security Services B.V.;;;4;;;;;;;;4
RRS Nederland B.V.;;;;1;;;;;;;1
Runner Transport System B.V.;;;;;;;;;1;;1
Ruys Handelsvereniging B.V.;;;;;;;;;1;;1
Safety Control Real Estate B.V.;;;;1;;;;;;;1
Safety Masters;;;1;;;;;;;;1
Sail Supply;;;;;;;;;1;;1
SAIT B.V.;;;1;;;;;;;;1
Saltrans Verkoop en Verhuur B.V.;;;;;;;;;1;;1
Sancy Tres B.V.;1;;;;;;;;;;1
Sawo Foodservices B.V.;;1;;;;;;;;;1
Scholten Awater B.V.;;2;;;;;;;;;2
Schoonmaakbedrijf Exclusive;;;;1;;;;;;;1
Schürgers Sleutelservice V.O.F.;;;1;;;;;;;;1
Schut-Copex B.V.;;;;;1;;;;;;1
