FID,id,jaar,soortnaam_opname,soortnaam_uniform,datum,x,y,tijd,substraat,lengte__m_,breedte__m_,oppervlak__m2__1,naam_waterlichaam,deelwaterlichaam,waterlochaam_code,gdb_geomattr_data,shape
biezen_2018.1,1505726,2018,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,103083.09,442520.38,13:36:00,Stortsteen,5,1,4,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (103083.08999999985 442520.37999999896)
biezen_2018.2,1505727,2018,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,103130.93,442577.84,13:37:00,Stortsteen,3,1,3,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (103130.9299999997 442577.83999999985)
biezen_2018.3,1505728,2018,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,103370.2,442658.45,13:39:00,Stortsteen,1,1,1,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (103370.19999999925 442658.44999999925)
biezen_2018.4,1505729,2018,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,2018-09-11T00:00:00,103704.27,442779.97,13:45:00,Stortsteen,3,1,2,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (103704.26999999955 442779.9699999988)
biezen_2018.5,1505730,2018,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,2018-09-11T00:00:00,104124.32,442877.01,13:49:00,Stortsteen,1,1,1,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (104124.3200000003 442877.01000000164)
biezen_2018.6,1505731,2018,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,104157.55,442874.66,13:50:00,Zand,3,1,2,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (104157.55000000075 442874.66000000015)
biezen_2018.7,1505732,2018,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,104410.9,443020.38,13:51:00,Stortsteen,2,2,4,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (104410.89999999851 443020.37999999896)
biezen_2018.8,1505733,2018,Schoenoplectus tabernaemontani,Schoenoplectus tabernaemontani,2018-09-11T00:00:00,104464.71,442899.57,13:53:00,Zand,5,1,2,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (104464.7100000009 442899.5700000003)
biezen_2018.9,1505734,2018,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,106955.46,445570.61,14:09:00,Slik,20,3,20,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (106955.4600000009 445570.6099999994)
biezen_2018.10,1505735,2018,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2018-09-11T00:00:00,106828.14,445457.29,14:11:00,Slik,4,1,4,Hollandsche IJssel,Hollandsche IJssel,NL94_7,,POINT (106828.1400000006 445457.2899999991)
