Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2 Meter;;;2;2;;;;;2
20/20 Vision Europe B.V.;;;2;;;;;;2
200 OK;;;;;;1;;;1
4Minds B.V.;;;1;;;;;;1
A1 Touch Solution B.V.;;1;;;;;;;1
Abbott Informatics Netherlands B.V.;;;;;;;;2;2
Accenture B.V.;;;7;4;;;;;7
Aenova B.V.;;;;2;;;;;2
AES Security Management (ASM);;;1;;;;;;1
Agilent Technologies Netherlands B.V.;;;;1;;;;;1
Allround Automations V.O.F.;;;;1;;;;;1
Altec Industriële Identificatie;;1;;;;;;;1
Amainsolutions B.V.;;;1;;;;;;1
Arconell;;;1;;;;;;1
Aris B.V.;;;2;;;;;;2
Assendelft Automatisering en Advisering;;;;1;;;;;1
At Consultancy B.V.;;;1;;;;;;1
Atlassian B.V.;;;;1;;;;;1
Atos B.V.;;;;7;;;;;7
Atos Nederland B.V.;;;4;5;;;;;5
Aviv B.V.;;;;2;;;;;2
Axway B.V.;;;;1;1;;;;1
B.&A. Services B.V.;;1;1;;;;;;2
B.V. Verenigde Instrumenthandel Salm & Kipp;;1;;1;;;;;1
Barnsten Business Solutions B.V.;;;3;;;;;;3
BCT B.V.;;;2;1;;;;;2
Best Desktop Solutions B.V.;;;2;;;;;;2
Between B.V.;;;;3;;;;;3
Beun- de Ronde B.V.;;;;1;;;;;1
Bio-Connect Services B.V.;;;;1;;;;;1
bioMérieux Benelux B.V.;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;2;;;;;2
Bizz'co;;;;1;;;;;1
Black Bytes B.V.;;;;2;;;;;2
Blonk Milieu Advies B.V.;;;1;1;;;;2;2
Bluedesk CRM B.V.;;;;1;;;;;1
Bodytext;;;;;;;;2;2
BPI Services B.V.;;;1;1;;;;;1
Brand Interieurs & Control Rooms B.V.;;;1;;;;;;1
Budgetcam;;1;;;;;;;1
CACI B.V.;;;2;;;;;;2
Candiensten B.V.;;;1;2;;;;;2
Capgemini N.V.;;7;;3;;;;;7
Capgemini Nederland B.V.;;;2;3;;;;;4
Care-system Consultancy;;;;1;;;;;1
Carya Automatisering V.O.F.;;;;1;;;;;1
Cegeka Solutions and Projects B.V.;;;2;;;;;;2
Cendris Dataconsulting B.V.;;;;1;;;;;1
Central Point Nederland B.V.;;;;;;1;;;1
Cimsolutions;;;4;;;;;;4
Cinnamon Interactive B.V.;;;;2;;;;;2
Cirquest B.V.;;;1;;;;;;1
Citygis B.V.;;;;1;;;;;1
Cloud Seven B.V.;;;2;4;;;2;;4
CM Online B.V.;;;;;;;1;;1
CM Telecom B.V.;;;;;;;1;;1
COMPAREX Nederland B.V.;;1;5;5;;;;;6
comScore B.V.;;;2;1;;;;;2
Conrad Electronic Benelux B.V.;;1;;;;;;;1
Contour Advanced Systems B.V.;;1;;;;;;;1
Coolblue B.V.;;;;;;;1;;1
Council of Europe Minority Youth Committees;;;;1;;;;;1
Ctac B.V.;;;4;1;;;;;4
CVIS International B.V.;;;2;;;;;;2
Dataplus Netherlands B.V.;;;1;;;;;;1
DDC Europe B.V.;;;;;;;;1;1
DDQ;;;;1;;;;;1
De Haan Beveiliging B.V.;;;;;;1;;;1
De Tiktijger;;;;;;;;1;1
De Webmakers;;;;;;;2;;2
DeCongresbalie;;1;;;;;;;1
Deloitte Accountants B.V.;;;1;;;;;;1
Desan Marktonderzoek B.V.;;;;1;;;;;1
Detron ICT Onderhoud;;;3;;;;;;3
Detron Information Technology;;1;;;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;;;1;;;;;1
Dimension Data Nederland B.V.;;1;5;1;;;;;5
Disc;;;;1;;;;;1
Disc B.V.;;;;1;;;;;1
Doxx B.V.;;;3;;;;;;3
DTG B.V.;;;;;;;1;;1
DTT Multimedia;;;;1;;;;;1
Duocast;;;;1;;;;;1
Dyzle Operations B.V.;;;1;;;;;;1
E.Novation CRM Solutions B.V.;;;;2;;;;;2
Easy Data B.V.;;;;1;;;;;1
Ecommany B.V.;;;1;2;;;;2;3
Enof creatieve communicatie B.V.;;;;2;;;;;2
Entopic B.V.;;;;1;;;;;1
E-Office B.V.;;;2;;;;;;2
Equinix (Netherlands) B.V.;;;;;;;;4;4
ERGO DIRECT INTERNATIONAAL;;;;1;;;;;1
Esri Nederland;;;1;3;;;;;3
Ettu Configuration B.V.;;;;2;;;;;2
Euromessage;;;;;;;1;;1
Everett NL B.V.;;;2;;;;;;2
Every Angle Software Solutions B.V.;;;3;;;;;;3
E-WISE Nederland B.V.;;;;1;;;;;1
Exact Software Nederland B.V.;;;;2;;;;;2
E-Zorg;;;;1;;;;;1
Fieldworks Direct B.V.;;1;;;;;;;1
Fisher Scientific of the Netherlands B.V.;;;;1;;;;;1
Flex-I.D. B.V.;;;;2;;;;;2
Flycatcher Internet Research B.V.;;;;1;;;1;;1
For Conference B.V.;;;;;;;1;;1
Fortes Solutions B.V.;;;1;;;;;;1
Freshheads B.V.;;;1;;;;;;1
Fujitsu Technology Solutions B.V.;;1;;;;;;;1
Gartner Nederland B.V.;;;;3;;;;;3
GE Healthcare Europe branch Netherlands;;;;2;;;;;2
Geka Bouw B.V.;;1;;;;;;;1
GeoCat B.V.;;;2;;;;;;2
Geodan B.V.;;;;1;;;;;1
GetApped;;;;1;;;;1;1
GOODZO B.V.;;;;;;;;1;1
Green Valley Public Solutions B.V.;;;3;2;;;;;3
GroupM B.V.;;;;1;;;;;1
Gullimex B.V.;;;;;;;1;;1
Haai B.V.;;;;2;;;;;2
Health2Work B.V.;;;;1;;;;;1
Hecla Electronics B.V.;;;1;;;;;;1
High Security International B.V.;;;;2;;;;;2
Hippus N.V.;;1;;;;;;;1
Hostnet B.V.;;;;;;1;;1;1
HowAboutYou B.V.;;;;1;;;;;1
Hulskamp Audiovisueel Utrecht;;;;;;;1;;1
HVR Groep Nederland B.V.;;;1;;;;;;1
IBM Nederland B.V.;;;;2;;;;;2
ICT Partners Opleidingen B.V.;;;4;2;;;;;4
I-design B.V.;;;;1;;;;;1
IIS Services B.V.;;;1;;;;;;1
ilionx Mobile Solutions B.V.;;;;1;;;;;1
Imtech Building Services;;;;2;;;;;2
In2Content B.V.;;;;;;;;1;1
InfoBridge Software B.V.;;;;1;;;;;1
Infoland;;;2;;;;;;2
Infopact Netwerkdiensten B.V.;;;;1;;;1;;1
Informed Consulting B.V.;;;2;;;;;;2
InfraControl B.V.;;;2;2;;;;;2
ING Bank;;;;1;;;;;1
Ingenico e-Commerce Solutions B.V.;;;;;;1;;;1
Ingressus B.V.;;;;1;;;;;1
Innova Market Insights B.V.;;;;;;;;1;1
Innovero Software Solutions B.V.;;;1;2;;;;;2
Inovativ B.V.;;;1;;;;;;1
Insiders Online B.V.;;;1;2;;;;1;2
Intermax B.V.;;;2;;;;1;;2
International Safety Research Europe B.V.;;;1;;;;;;1
Interned Services;;;;1;;;;;1
Internetworking Security Services eXperts;;;;1;;;;;1
Interscience B.V.;;;1;;;;;;1
Invention Design;;;;1;;;;;1
ion-ip B.V.;;;1;;;;;;1
ITvitae B.V.;;;1;;;;;;1
iVention B.V.;;;;3;;;;;3
iWelcome B.V.;;;;1;;;;;1
JKRS Consultancy B.V.;;;;2;;;;;2
Jom IT B.V.;;;2;;;;;;2
Jongens van Beheer B.V.;;;;2;;;;;2
Just B.V.;;;;;;;;1;1
Keyon;;;;2;;;;;2
Klinkende Taal B.V.;;;;1;;;;;1
Koel en Airco Service KAS;;;1;;;;;;1
Koning & Hartman B.V.;;1;1;;;;;;1
KPN B.V.;;;;;;;2;;2
KPN BV GETRONICS NED BV;;;;;;;1;;1
KPN Contact lokatie Eindhoven;;;;;;;1;;1
KPN Corporate Market;;;4;5;;;;;5
KPN HotSpots;;;2;;;;3;1;4
KPN XL;;;;;;;1;;1
L5 communicatie + design;;;1;;;;;;1
Label A B.V.;;;;2;;;;;2
Laverbe;;;;;;;1;;1
Lindorff B.V.;;;;;;;1;;1
Linx Mobile Solutions;;1;1;1;;;;;1
Lyreco Nederland B.V.;;1;;;1;;;;1
Mangrove B.V.;;;1;;;;;;1
Mavention Beheer en Producten B.V.;;;;2;;;;;2
Mavim Holding B.V.;;;;1;;;;;1
Maxlead Services B.V.;;;;1;;;;;1
MedEduca;;;;;;;;1;1
Mettler-Toledo B.V.;;;;;;;;1;1
Midget Video;;1;;;;;;;1
Misco Nederland B.V.;;1;;;;1;;;1
Misco Solutions B.V.;;6;4;;;;;;6
MsMetrix;;;;1;;;;;1
Mulder-Hardenberg B.V.;;1;;;;;;;1
National Instruments Netherlands B.V.;;;1;;;;;;1
Nederpelt Software B.V.;;;2;;;;;;2
Negometrix B.V.;;;;2;;;;;2
NetQuestionnaires Nederland B.V.;;;;;;;;1;1
Network Innovations Services;;;;;;;1;;1
Networking4all B.V.;;;;1;;;;;1
Nibble IT B.V.;;;1;;;;;;1
Noviprint B.V.;;1;;;;;;;1
Nsecure B.V.;;;;1;;;;;1
OCLC B.V.;;;;1;;;;;1
OGD Eindhoven;;;;1;;;;;1
Olympus Nederland B.V.;;;;;;;;2;2
Onderzoeksbureau Data Desk;;;;;;;;1;1
Onsite360;;;1;1;;;;;1
Ontuitive Benelux B.V.;;;1;;;;;;1
Oracle Nederland;;;4;3;;;;;4
Ordina Beheer & Outsourcing;;;;4;;;;;4
Ordina Nederland B.V.;;;;2;;;;;2
Ordina Technologie & Competenties B.V.;2;;4;7;;;;;7
Oribi Software B.V.;;;1;;;;;;1
OXILION;;;2;;;;;;2
Panteia B.V.;;1;;;;;;;1
Pardon Consult;;;;1;;;;;1
PCextreme B.V.;;;;1;;;;;1
Perfectview;;;;1;;;;;1
PerkinElmer Nederland B.V.;;;;1;;;;;1
Planon B.V.;;;2;2;;;;;3
Pondres Direct Mail B.V.;;;;;;;1;;1
Postcode.NL B.V.;;;;1;;;;;1
PQR B.V.;;2;2;5;;;;;5
Pré Consultants B.V.;;;;2;;;;;2
Procyon Networks B.V.;;1;1;;;;2;;2
Professional Software Services B.V.;;;1;;;;;;1
Promista B.V.;;;1;;;;;;1
Promodeluxe B.V.;;1;;;;;;;1
Protinus IT B.V.;;5;4;2;1;1;3;;6
Q Delft B.V.;;;;3;1;;;;3
Quelsa B.V.;;;;1;;;;;1
Quest Software Java Support Centre B.V.;;;;1;;;;;1
Quis Products B.V.;;1;2;2;;;;;2
QuoVadis Trustlink B.V.;;;;1;;;;;1
RAV Hollands Midden;;;;;;;;2;2
Red Five B.V.;;;1;2;;;;;2
Red Hat B.V.;;;2;;;;;;2
RedNose IT B.V.;;;2;;;;;;2
Regel Partners B.V.;;;;4;;;1;;4
Relatics B.V.;;;;1;;;;;1
Remyx;;;;1;;;;;1
Revelating B.V.;;1;;;;;;;1
Rikkert Koppes;;;1;;;;;;1
Roche Diagnostics Nederland B.V.;;;;1;;;;;1
