Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Café-Restaurant Amsterdam B.V.;;;1;;;;;;1
CafÃ© - Bistro 't Wapen;;;1;;;;;;1
CafÃ© Restaurant Miero;;;1;;;;;;1
CafÃ© Uniek;;;1;;;;;;1
Cafe Blossom;;;1;;;;;;1
Cao-recht Advies en Opleiding;;;;;2;;;;2
Capgemini Educational Services B.V.;;;;;1;;;;1
Capilla;;;;;1;;;;1
Carlson Wagonlit Nederland B.V.;;;3;;;;;;3
CASE2GO B.V.;;;1;;;;;;1
Cave Nieuwegein B.V.;;;1;;;;;;1
Centrum voor Conflicthantering B.V.;;;;;1;;;;1
CFA Society VBA Netherlands;;;;;1;;;;1
Chinees Indisch Restaurant Jit Sing V.O.F.;;;1;;;;;;1
Chinees Indisch Restaurant Nieuw Peking;;;1;;;;;;1
Choco-Paradijs;;;1;;;;;;1
Chorda B.V.;;;;;3;;;;3
Circumference;;;;;1;;;;1
City Safari B.V.;;;;;1;;;;1
Classic Incasso B.V.;;1;;;;;;;1
Claus Hoofddorp B.V.;;;1;;;;;;1
CNV Jongeren;;;;;1;;;;1
CNV Vakmensen.nl;;;;;;;;1;1
CoÃ¶peratie in Training en Advies UA;;;;;1;;;;1
COCD vzw;;;;;2;;;;2
Coen Jutte;;;;;1;;;;1
Coffee and Coaching;;;;;1;;;;1
Comfoor B.V.;;1;;;;;;;1
Comminz B.V.;;1;;;;;;;1
Company Webcast B.V.;;;;;2;;;;2
Comtext Communicatie;;;;;1;;;;1
Conclusion All Finance;;;;;3;;;;3
Coosto B.V.;;;;;1;;;;1
Cormet Enjoy the Good Life B.V.;;;1;;;;;;1
Corner-Stone Holding B.V.;;;;;1;;;;1
Corpus Experience Beheer B.V.;;;1;;;;;;1
CorsBusiness;;;1;;;;;;1
Couleur-Locale;;;;;1;;;;1
Courius B.V.;;;;;1;;;;1
CPM Coaching Paard en Mens;;1;;;;;;;1
CreditProfessionals B.V.;;;;;;;1;;1
D&F Consulting B.V.;;;;;2;;;;2
D. van Dam B.V.;;;1;;;;;;1
D.M. Surie;;;1;;;;;;1
Damming Dorreboom & Partners Adviseurs voor In en Externe Communicatie B.V.;;;;;1;;;;1
DASMO-TPAST B.V.;;;;;1;;;;1
DAT Centre B.V.;;;;;1;;;;1
DataExpert B.V.;;;;;1;;;;1
De Baak B.V.;;;;;1;;;;1
De Baak Noordwijk B.V.;;;;;3;;;;3
De Bakkerswinkel Den Haag B.V.;;;1;;;;;;1
De Bakkerswinkel Westergasfabriek B.V.;;;1;;;;;;1
De Bazar B.V.;;;1;;;;;;1
De Beleidsonderzoekers;;;;;1;;;;1
De Bierkelder Utrecht B.V.;;;;;1;;;;1
De Boerinn B.V.;;;1;;;;;;1
De Bootsmannen B.V.;;;1;;;;;;1
De Branding Utrecht B.V.;;;1;;;;;;1
De Broodjes-Fax V.O.F.;;;1;;;;;;1
De Efteling B.V.;;;1;;;;;;1
De Galan Groep B.V.;;;;;2;;;;2
De Heische Hoeve B.V.;;;1;;;;;;1
De Hekserie;;;1;;;;;;1
De Hofnar Eten & Drinken B.V.;;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;;;1;;;;;;1
De HuishoudCoach;;;;;1;;;;1
De Jong Training en Advies;;;;;1;;;;1
De Jonge V.O.F.;;;1;;;;;;1
De Kookfabriek Rotterdam B.V.;;;1;;;;;;1
De Massagestoel;;;1;;;;;;1
De Naaldhof' B.V.;;;;;1;;;;1
De OrchideeÃ«nhoeve B.V.;;1;;;;;;;1
De Poort van Kleef Utrecht B.V.;;;1;;;;;;1
De Reuselhoeve B.V.;;;1;;;;;;1
De Rijdende DJ;;;1;;;;;;1
De Rijtuigenloods B.V.;;;2;;;;;;2
De Rotterdam B.V.;;;1;;;;;;1
De Schelmse Brug B.V.;;;1;;;;;;1
De Schenker;;;1;;;;;;1
De Tombe Consultancy B.V.;;;;;2;;;;2
De Tuinderij;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;1;;;;;;1
De Zwarte Zwaan Rotterdam B.V.;;;1;;;;;;1
Debatrix;;;;;1;;;;1
Defabrique Evenementen B.V.;;;1;;;;;;1
Delft Congress Support B.V.;;;;;1;;;;1
Den Bosch Evenementen B.V.;;;1;;;;;;1
Den Draeck;;;1;;;;;;1
Detron Lifecycle Services B.V.;;;1;;;;;;1
DiaVentie Management Consulting;;;;;4;;;;4
Dickens Horecabedrijven B.V.;;;;;;1;;;1
DiEx B.V.;;;;;1;;;;1
Digital Action B.V.;;;;;1;;;;1
Dignitas Mediation & Conflict Management;;;;;1;;;;1
Dior Opleidingen B.V.;;;;;1;;;;1
Discountoffice.nl B.V.;;;1;;;;;;1
Distinguished;;;;;1;;;;1
Ditmarsch Management B.V.;;;;;;1;;;1
Divi Recruitment B.V.;;;;;1;;;;1
Doenederland.nl B.V.;;;1;;;;;;1
Doorduijn Seniorenmode B.V.;1;;;;;;;;1
Down Under BEACH B.V.;;;;;1;;;;1
Drs. M. van Ekelenburg Organisatie-Adviseur B.V.;;;;;1;;;;1
Du Nord Rijwielen B.V.;;;1;;;;;;1
Dudok Den Haag B.V.;;;1;;;;;;1
Dukino Business Events;;;1;;;;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;;1
Eduact B.V.;;;;;1;;;;1
Eduvision B.V.;;;;;1;;;;1
Eenkhoorn FinanciÃ«le Dienstverlening B.V.;;;1;;;;;;1
Eetablissement Het Gerecht;;;1;;;;;;1
EetcafÃ© 'de Smaak van Afrika';;;1;;;;;;1
Effectivents;;;;;1;;;;1
Effectory B.V.;;;;;1;;;;1
Einstein Exploitatie B.V.;;;1;;;;;;1
El Niño B.V.;;;1;;;;;;1
Ellermeijer B.V.;;1;;;;;;;1
Elycio Talen B.V.;;;;;2;;;;2
EMC Advies B.V.;;;;;1;;;;1
Emergent B.V.;;;;;1;;;;1
Engels Horeca Rotterdam B.V.;;;1;;;;;;1
ENTERTAINIT!;;;1;;;;;;1
E-Point ICT B.V.;1;;;;;;;;1
EQT Trainingen;;;;;2;;;;2
ERA B.V.;;;;;1;;;;1
Erasmus Centrum voor Zorgbestuur B.V.;;;;;2;;;;2
Ergatis B.V.;;1;;;;;;;1
Ergo2Work B.V.;;1;;;;;;;1
Ernst Sillem Hoeve B.V.;;;;;;;;1;1
Euroforum B.V.;;;;;2;;;;2
Euro-Gifts Exports B.V.;;;1;;;;;;1
Euromast Horeca B.V.;;;1;;;;;;1
European Academy;;;;;1;;;;1
European Healthcare Fraud & Corruption;;;;;1;;;;1
European Microfinance Network(EMN) aisbl;;;;;1;;;;1
Europees Instituut voor Certified Public Controllers;;;;;1;;;;1
Evers Research & Training;;;;;1;;;;1
EVO Fenedex B.V.;;;;;1;;;;1
Exploitatie Entertainment B.V.;;;1;;;;;;1
Exploitatiemaatschappij Grand Hotel Karel V B.V.;;;;;;;;1;1
Exploitatiemaatschappij van Automobielmusea in Nederland B.V.;;;1;;;;;;1
Falck Nutec B.V.;;1;;;1;;;;1
Falke & Verbaan B.V.;;;;;1;;;;1
FIRENS;;;;;1;;;;1
Firma Hof der Muzen;;;1;;;;;;1
Fletcher Hotel Exploitaties B.V.;;;;;;;;1;1
Flex-I.D. B.V.;;;;;2;;;;2
FloriÃ«nt Express B.V.;;;1;;;;;;1
FNV Vrouwenbond;;;;;;;;2;2
Focus Conferences B.V.;;;;;1;;;;1
Fonk Beach B.V.;;;2;;;;;;2
Foodmaker B.V.;;;1;;;;;;1
Frame B.V.;;;;;1;;;;1
Francis Zuiker Konsult;;;;;1;;;;1
Frankwatching B.V.;;;;;1;;;;1
Frederik B.V.;;;1;;;;;;1
Frijters Mind Tuning B.V.;;;;;1;;;;1
Fritjof Brave;;;;;1;;;;1
Futureconsult B.V.;;;;;1;;;;1
FYGI B.V.;;;;;;;1;;1
G. Meester;;;;;1;;;;1
Gargouilles B.V.;;;1;;;;;;1
Gasterij De Kommensaal;;;1;;;;;;1
Gauchos Franchise Utrecht B.V.;;;1;;;;;;1
Gebr. Barendsen B.V.;;;2;;;;;;2
gefeliciTAART B.V.;;;1;;;;;;1
Gemaco B.V.;;;4;;;;;;4
Gerard Borkus;;;;;1;;;;1
geWoonboot V.O.F.;;;;;1;;;;1
GJM Communicatie B.V.;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;1;;;;1
Glope Events B.V.;;;1;;1;;;;1
GMB Civiel B.V.;;;;;1;;;;1
Go B.V.;;;;;1;;;;1
Goesting Events B.V.;;;1;;;;;;1
Gooiconsult Academie B.V.;;;;;1;;;;1
GORTcoaching B.V.;;;;;1;;;;1
Governance & Integrity Nederland B.V.;;;;;1;;;;1
Graffitinetwerk B.V.;;;1;;;;;;1
Grand CafÃ© De Wildeman Eindhoven B.V.;;;1;;;;;;1
Grand CafÃ© Zussen Eten en Drinken B.V.;;;1;;;;;;1
Grand Cafe Victoria B.V.;;;1;;;;;;1
Granny's Corner;;;1;;;;;;1
Greengiving B.V.;;;1;;;;;;1
GriDD Consultancy B.V.;;;;;1;;;;1
Grieks Spec. Rest. Knossos;;;1;;;;;;1
Gusto Mangia e Bevi;;;1;;;;;;1
H.C.J. Geritz;;;;;1;;;;1
H.J.H. Vieberink;;;;;;;;1;1
H.J.M. Zonderland Fotografie;1;;;;;;;;1
Haagse Beek organisatieadvies B.V.;;;1;;1;;;;1
HablÃ© Horeca 2 B.V.;;;1;;;;;;1
Hampshire Exploitatie I B.V.;;;;;;;;1;1
Hannie Reijn Communicatie;;;;;1;;;;1
Harderwold Exploitatie B.V.;;;1;;;;;;1
Harput Turks Specialiteiten Restaurant;;;1;;;;;;1
Health2Work B.V.;;2;;;;;;;2
Heidi Jansen;;;;;1;;;;1
Heliview Conferences en Training B.V.;;;;;1;;;;1
Helming coaching en advies B.V.;;;;1;;;;;1
Hende Bauer Therapie training en;;;;;1;;;;1
Henros;;;1;;;;;;1
Hermes Openbaar Vervoer B.V.;;;1;;;;;;1
Hesbak 2 B.V.;;;1;;;;;;1
Het Financieele Dagblad B.V.;;;;;;;1;;1
Het Postkantoor Delft B.V.;;;1;;;;;;1
High Five Health Promotion B.V.;;2;1;;;;;;2
Hobeon Groep B.V.;;;;;1;;;;1
Hoezo Projectmanagement & Congresorganisatie B.V.;;;;;1;;;;1
Hofstad Events B.V.;;;1;;;;;;1
Hofstad Sports, Business & Events B.V.;;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;2;;;;;;2
Holland Evenementen Groep B.V.;;;1;;;;;;1
Holland Tour Guides B.V.;;;1;;;;;;1
holwerda coaching;;;;;1;;;;1
Home in Brussel;;;;;;;;1;1
Horeca Exploitatie Maatschappij City Hall B.V.;;;1;;;;;;1
Horeca Schouwburg Venray B.V.;;;1;;;;;;1
Hostellerie Munten B.V.;;;1;;;;;;1
Hotel Contact B.V.;;;;;;;;6;6
Hotel De Talmahoeve B.V.;;;;;2;;;;2
Hotel Des Indes B.V.;;;;;;;;1;1
Hotel 'Het Spinnewiel';;;;;;;;1;1
Hotel Maximilian;;;;;;;;1;1
Hotel Tiel B.V.;;;1;;;;;;1
Hotel Vaalsbroek B.V.;;;;;;;;1;1
Hotelexploitatiemaatschappij Epen Zuid-Limburg B.V.;;;;;1;;;;1
Hotelexploitatiemaatschappij Jaarbeursplein Utrecht B.V.;;;;;;;;1;1
Hotel-Restaurant Buitenlust;;;;;1;;;;1
House of Performance B.V.;;;1;;;;;;1
House of Sports B.V.;;;;;1;;;;1
How To Research Trends;;;;;1;;;;1
HSK Groep B.V.;;1;;;;;;;1
Hubert Consult;;;;;1;;;;1
Hudson Danzig B.V.;;;1;;;;;;1
Hultzer Coaching;;;;;1;;;;1
Humphrey's Utrecht B.V.;;;1;;;;;;1
Humphrey's Zwolle B.V.;;;1;;;;;;1
I am Consultancy B.V.;;;1;;1;;;;1
I Love SuriFood B.V.;;;1;;;;;;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
IDGift B.V.;;;1;;;;;;1
Iepen Training Coaching;;;;;1;;;;1
IJkgebouw Alkmaar B.V.;;;1;;;;;;1
ijssalons  e.d.;;;;;1;;;;1
IJzeren Man B.V.;;;1;;;;;;1
In Pace B.V.;;;1;;;;;;1
In Transition;;;;;1;;;;1
Information Security Academy B.V.;;;;;1;;;;1
Information Systems Audit and Control Association Netherlands Chapter;;;;;1;;;;1
InsightsWorld B.V.;;;;;1;;;;1
inspearit B.V.;;;;;1;;;;1
Inspiration Company Nederland B.V.;;;;;3;;;;3
Instituut van Internal Auditors Nederland;;;;;1;;1;;1
Instituut voor Arbeidsrecht B.V.;;;;;1;;;;1
Instituut voor Communicatie en NLP;;;;;1;;;;1
Instituut voor Psychotrauma Nederland B.V.;;;;;2;;;;2
Intelligence Group B.V.;;;;;1;;;;1
Intenz Gezondheidsplan B.V.;;4;;;;;;;4
International Anti Crime Academy B.V.;;;;;1;;;;1
International Knowledge & Networking (IKN) B.V.;;;;;1;;;;1
International Labour Office ILO;;;;;2;;2;;3
International Publishing & Sales B.V.;;;;;1;;;;1
Intersafe Groeneveld B.V.;;;;;1;;;;1
Intrum Justitia Nederland B.V.;1;;;;;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;1;;1;;;;1
IPMA - NL;;;;;;;1;;1
ISS Nederland B.V.;;;1;;;;;;1
IT Management Group B.V.;;;;;1;;;;1
IT Risk Control B.V.;;;;;1;;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;;1
J.E. Buitenhek Coaching, psychologisch;;;;;1;;;;1
J.M.S. van Lier B.V.;;;;;1;;;;1
Jaap Boonstra & Associates Strategisch Org.advies;;;;;1;;;;1
Jaarbeurs B.V.;;;2;;;;;;2
Jan-Jaap in der Maur;;;;;1;;;;1
Janssen Shirts en Letters B.V.;;;1;;;;;;1
JBBX B.V.;;;;;1;;;;1
Jeroen Poortvliet Fotografie;;;1;;;;;;1
Jopen Horeca Exploitatie B.V.;;;1;;;;;;1
Just Act;;;;;1;;;;1
K. de Wolff Organisatieadvies;;;;;1;;;;1
K. Snoeren Mediaproducties;;;1;;;;;;1
Kaap Doorn B.V.;;;;;1;;;;1
KaapZ B.V.;;;;;1;;;;1
Kaber Groep B.V.;;;;;1;;;;1
Kaldera B.V.;;;1;;;;;;1
Keek Training & Advies;;;;;1;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;1;;;;1
KING training & development;;;;;1;;;;1
Kingsfield B.V.;;;;;1;;;;1
Klanten Contact Academie B.V.;;;;;2;;;;2
Koetsenruijter Conflictmanagement en Bemid.;;;;;1;;;;1
Koffie- en Eetsalon;;;1;;;;;;1
Koken-op-maat;;;1;;;;;;1
Kompaan;;;1;;;;;;1
Koninklijke Nederlandsche Maatschappij tot Bevordering der Geneeskunst;;;;;1;;;;1
Koninklijke Roeiers Vereeniging Eendracht;;;1;;;;;;1
Koninklijke Vereniging MKB-Nederland;;;;;1;;;;1
Kookstudio Claire Culinair;;;1;;;;;;1
Koppe Consultancy;;;;;2;;;;2
Kreta Restaurant B.V.;;;1;;;;;;1
Kring 'Vrienden van 's-Hertogenbosch';;;1;;;;;;1
Kronemeijer Optiek V.O.F.;;1;;;;;;;1
KSG B.V.;;;;;4;;;;4
Kuijpers t.h.o.d.n. Run2Day;;1;;;;;;;1
Kwekerij De Bosrand B.V.;;;1;;;;;;1
La Laura Dance;;;1;;;;;;1
La Red B.V.;;;;;1;;;;1
Lagerweij Holding B.V.;;;;;1;;;;1
Landelijke Vereniging BOinK, belangenvereniging van ouders in de kinderopvang;5;;;;;;;;5
Language Institute Regina Coeli B.V.;;;;;1;;;;1
Le Connaisseur Den Haag B.V.;;;1;;;;;;1
Le Strasbourg V.O.F.;;;1;;;;;;1
Lean Consultancy Group Opleidingen B.V.;;;;;3;;;;3
Learn it B.V.;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;1;1;;;;1
Leidje Witte Coaching en Training;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Lexxion Publisher;;;;;1;;;;1
Lily Schuimer;;;;;1;;;;1
Little V Den Haag B.V.;;;1;;;;;;1
Loetje aan 't IJ B.V.;;;1;;;;;;1
Lof Media B.V.;;;;;;;1;;1
Logacom B.V.;;;;;1;;;;1
Logeion;;;;;;;1;;1
Lokaal 58 B.V.;;;;;1;;;;1
Loof training en advies B.V.;;;;;2;;;;2
Lucia Meeuwesse Consultancy & Coaching;;;;;1;;;;1
Lupo B.V.;2;;;;;;;;2
M. de Rooij Sound Service;;;1;;;;;;1
M.A. Verhoef;1;;;;;;;;1
Maatschap Holland Consulting Group- OrganisatieAdviesgroep Nederland;;;;;1;;;;1
Maatschap Psychologenpraktijk Kerkrade/Heerlen;;1;;1;;;;;1
Maatschap Sprengers Advocaten;;;;;1;;;;1
Maatschap Suijker;;;;;1;;;;1
Madurodam B.V.;;;2;;;;;;2
Maguise Partycatering B.V.;;;2;;;;;;2
MaJe 2015 B.V.;;;1;;;;;;1
ManagementPlezier B.V.;;;;;1;;;;1
Manongs B.V.;;;1;;;;;;1
Maria de Bruijn Teambegeleiding, Training, Advies;;;;;1;;;;1
MariÃ«nburggroep B.V.;;;;;1;;;;1
Marieke Obdam;;;;;1;;;;1
Marjoka van Doorn training & advies;;;;;1;;;;1
Marlet Hesselink - training en coaching;;;;;2;;;;2
Marmalade Music;;;1;;;;;;1
Marosel B.V.;;;;;2;;;;2
Master in Event Management B.V.;;;;;1;;;;1
Mavim Holding B.V.;;;;;1;;;;1
MDJ Events B.V.;;;1;;;;;;1
Mediaplanet Publishing House B.V.;;;;;1;;;;1
Mexicana Catering;;;;;;1;;;1
Mindcampus B.V.;;;;;1;;;;1
Mipapo B.V.;;;1;;;;;;1
Mobility Mixx B.V.;;;;;;;;7;7
MOCuitgevers B.V.;;;;;1;;;;1
Momiji Sushi;;;;;1;;;;1
Monitorgroep B.V.;;;;;1;;;;1
MOOI van Marian Voorburg;;;1;;;;;;1
MOONDOCS B.V.;;;;;1;;;;1
More Balls Than Most B.V.;;;;;1;2;;;2
Motel Assen B.V.;;;;;;;;1;1
Motus B.V.;;;1;;;;;;1
Movenience B.V.;;;;;;;;1;1
Mr. Writer coöperatie UA;;;;;1;;;;1
Munckhof Taxi B.V.;;;1;;;;;;1
Muziekburo.nl;;;1;;;;;;1
MyCademy Nederland B.V.;;;;;2;;;;2
N.V. ADO Den Haag;;;1;;;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;6;6
Nassau Uitvaartgroep;;;1;;;;;;1
Natural High Activities B.V.;;;1;;;;;;1
NCOI Opleidingen B.V.;;;;;4;;;;4
NCOI Techniek Trainingen B.V.;;;;;1;;;;1
NEBO Superfoto's;;;;;1;;;;1
Nederlands Genootschap van Functionarissen voor de Gegevensbescherming;;;;;;;1;;1
Nederlands Genootschap voor Sociale Zekerheid;;;;;1;;1;;1
Nederlandse Stichting voor Corporate Universities (Nscu);;;;;;;1;;1
Nederlandse Vereniging van Bedrijfstelecommunicatie Grootgebruikers(B.T.G.);;;;;;;1;;1
Nederlandse Vereniging voor Aanbestedingsrecht;;;;;;;1;;1
Nederlandse Vereniging voor Arbeidshygiene;;;;;1;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;;1;;1;;1
Nederlandse Vereniging voor Vervoerrecht;;;;;;;1;;1
Networks Media B.V.;;;1;;;;;;1
New Babylon Meeting Center B.V.;;;1;;;;;;1
Nikita Horeca B.V.;;;1;;;;;;1
Nikki van der Westen;;;;;1;;;;1
NIMO Academy B.V.;;;;;1;;;;1
NOREQ B.V.;;;;;1;;1;;1
NS Reizigers B.V.;;;;;;;;2;2
NULL;;;1;;4;;;;4
Oase Beach Exploitatie B.V.;;;1;;;;;;1
Odyssee B.V.;;;;;2;;;;2
OECD;;;;;;;1;;1
Ontbijt & Lunch Juni;;;1;;;;;;1
Oosterheert optiek;;1;;;;;;;1
Op Stap in Nederland;;;1;;;;;;1
Open Ateliers B.V.;;;;;1;;;;1
OpenEmbassy B.V.;;;;;;1;;;1
Opleidingscentrum Haaglanden B.V.;;;;;3;;;;3
Oppidum Project Services B.V.;;;;;1;;;;1
Orde van organisatiekundigen en -adviseurs (De vereniging);;;;;;;1;;1
Originate Consulting,training & coaching;;;;;1;;;;1
Oscars Scheveningen B.V.;;;2;;;;;;2
Other[w]eyes;;;;;1;;;;1
Otterlo Events B.V.;;;1;;;;;;1
Oudaen B.V.;;;1;;;;;;1
P. Melis;;;;;;;;1;1
P. van der Brug;1;;;;;;;;1
P.W. Akkerman B.V.;;;1;;;;;;1
Paagman B.V.;;;1;;;;;;1
Palabricks;;;;;1;;;;1
Panta Rhei Consultancy HRD & PI;;;;;1;;;;1
Panta Rheyn Bedrijfsadvies en Training;;;;;1;;;;1
PAPENBURG MARKETING GMBH;;;1;;;;;;1
PARIS SCHOOL OF ECONOMICS;;;;;1;;;;1
Parkhotel Horst B.V.;;;;;;;;1;1
Partner in Leiderschap;;;;;1;;;;1
Part-up B.V.;;;;;2;;;;2
Paviljoen 't Twiske;;;1;;;;;;1
PBLQ B.V.;;;;;3;;;;3
Pegasus Events;;;;;;1;;;1
Perticas;;;1;;;;;;1
Peter Vader Producties B.V.;;;1;;;;;;1
Phaos Advies B.V.;;;;1;2;;;;2
PHOENIX Opleidingen TA/NLP B.V.;;;;;2;;;;2
Phonsawan B.V.;;;1;;;;;;1
PiCompany B.V.;;;;;1;;;;1
Pinkcube B.V.;;;1;;;;;;1
Pino Evenementen & Congressen B.V.;;;;;1;;;;1
PJA Online B.V.;;;;;1;;;;1
Plata Foundation B.V.;;;;;1;;;;1
Plato Group B.V.;;;1;;;;;;1
Plein 10a B.V.;;;1;;;;;;1
Plein 12a B.V.;;;1;;;;;;1
Plein 14 B.V.;;;1;;;;;;1
Plein 9 A B.V.;;;1;;;;;;1
Prae Artiestenverloning B.V.;;;1;;;;;;1
Praktijk voor Zelfmanagement;;;;;1;;;;1
Prelum Uitgevers B.V.;;;;;1;;;;1
