FID,hoofdlands,landschap,bijzgebied,code,avw,eenheden,vrij_opp,vrij_nat,vrij_overi,advies,volgorde,zaakid,aanbeveli,opmerking,Shape__Area,Shape__Length
1, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2432854100,behoud in situ,vindplaats,4014.55012512207,334.958279529451
2, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2280014100,behoud in situ,vindplaats,2998.54078674316,238.22680245751
3, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2280014100,behoud in situ,vindplaats,34291.7504806519,846.855444288456
4, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2280014100,behoud in situ,vindplaats,12804.0168685913,406.269987885311
5, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2280014100,vervolgonderzoek aanbevolen, ,53667.8943099976,1634.60163174927
6, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,4643822100,behoud in situ,vindplaats,17976.531539917,754.506330701045
7, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2280014100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",17458.4710006714,476.964024883056
8, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2280014100,geen vervolgonderzoek,"geen onderzoek noodzakelijk, meldingsplicht voor eventuele vondsten",1035240.6027298,8495.36826097891
9, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,4643822100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",5454.774559021,366.602530402227
10, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2419781100,geen vervolgonderzoek,geen vervolgonderzoek,2214.23881530762,246.777141636796
11, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2419781100,geen vervolgonderzoek,geen vervolgonderzoek,1077.055809021,286.321178878098
12, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2365851100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",2548.67347717285,205.434514208768
13, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2419781100,geen vervolgonderzoek,geen vervolgonderzoek,2174.87687683105,292.327061992374
14, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,4330.69326782227,238.702635147601
15, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,13092.5196075439,413.741071482004
16, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,5027.6185836792,254.954853598857
17, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,5421.48326873779,263.526435009117
18, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,3559.92233276367,215.395166580153
19, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,4557971100,vervolgonderzoek aanbevolen,"vervolgonderzoek aanbevolen, zie  betreffend onderzoek",6302.22065734863,320.834194209468
20, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2261052100,vervolgonderzoek aanbevolen,"bij onderzoek geen betredingstoestemming, verwachting dus ongewijzigd",2611.71919250488,377.105953054931
21, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,,
22, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4557971100,geen vervolgonderzoek,geen vervolgonderzoek,333.689872741699,172.872353218995
23, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,8198.88567352295,451.582264999812
24, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,32948.576713562,1087.6001857042
25, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,,
26, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,1027850.02051544,7851.38918485889
27, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2419781100,geen vervolgonderzoek,geen vervolgonderzoek,3339.5,312.102462505386
28, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2261052100,vervolgonderzoek aanbevolen,"bij onderzoek geen betredingstoestemming, verwachting dus ongewijzigd",7781.36967468262,416.980111246489
29, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2261052100,vervolgonderzoek aanbevolen,"bij onderzoek geen betredingstoestemming, verwachting dus ongewijzigd",1846.68417358398,191.109173185648
30, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,4557971100,geen vervolgonderzoek,geen vervolgonderzoek,19420.9157791138,691.438093412354
31, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,14265.3102722168,560.004131017075
32, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2261052100,geen vervolgonderzoek,geen onderzoek noodzakelijk,65.5126953125,50.5158098885497
33, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2432854100,behoud in situ,vindplaats,5961.21723937988,348.148714653033
34, , ,"archeologisch onderzocht terrein, niet vrijgegeven", , ,"archeologisch onderzocht terrein, niet vrijgegeven", , , , , ,2432854100,behoud in situ,vindplaats,261.113670349121,282.841338681048
35, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2432854100,geen vervolgonderzoek,dmv arch begeleiding onderzocht terrein,1581.07791137695,329.942128477161
36, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2432854100,geen vervolgonderzoek,dmv arch begeleiding onderzocht terrein,1048.45587158203,240.092452110192
37, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2432854100,geen vervolgonderzoek,dmv arch begeleiding onderzocht terrein,1027.15563964844,263.569562502588
38, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2365851100,geen vervolgonderzoek,geen vervolgonderzoek,553728.116699219,8418.55741187531
39, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2365851100,geen vervolgonderzoek,geen vervolgonderzoek,4230.904296875,593.211690577422
40, , ,"archeologisch onderzocht terrein, vrijgegeven", , ,"archeologisch onderzocht terrein, vrijgegeven", , , ,"geen onderzoek noodzakelijk; meldingsplicht voor eventuele vondsten",27,2365851100,geen vervolgonderzoek,geen vervolgonderzoek,3086.6448135376,264.624833292057
