WKT,id,external_id,monument_aanwijzingsdatum,in_onderzoek,monumentnummer,monumentnaam,display_naam,heeft_als_grondslag_beperking,monumentstatus
"POINT (4.92377844785251 52.3548814121527)",d5cc6402-d211-4981-b965-08a559837218,d5cc6402-d211-4981-b965-08a559837218,,N,,,Laing's Nekstraat 36 H,,In procedure Gemeentelijk Monument
"POINT (4.85584785742364 52.3657677510639)",932cedff-6bf8-4907-a50f-1831828db318,932cedff-6bf8-4907-a50f-1831828db318,,N,,Columbusplein eo,Columbusplein eo,,In procedure Gemeentelijk Monument
"POINT (4.92408499610753 52.3550443908712)",a5052a17-ad70-4e9a-bcbc-1a04d8028e6d,a5052a17-ad70-4e9a-bcbc-1a04d8028e6d,,N,,,Laing's Nekstraat 31 H,,In procedure Gemeentelijk Monument
"POINT (4.92447858404381 52.3553065739952)",04a0efbf-43b3-4696-99cc-3409770ade14,04a0efbf-43b3-4696-99cc-3409770ade14,,N,,,Steve Bikoplein 13,,In procedure Gemeentelijk Monument
"POINT (4.92294067819545 52.3549859821037)",1439c879-62c9-414e-a082-35960152ba0d,1439c879-62c9-414e-a082-35960152ba0d,,N,,,Steve Bikoplein 18 H,,In procedure Gemeentelijk Monument
"POINT (4.92313987318747 52.355588940613)",d11f76fb-cd6d-4123-9f87-44646bfcc8b4,d11f76fb-cd6d-4123-9f87-44646bfcc8b4,,N,,,Steve Bikoplein 2 2,,In procedure Gemeentelijk Monument
"POINT (4.87011005476725 52.3602315408709)",6f261d95-8bab-4e62-baa0-4e0228a14232,6f261d95-8bab-4e62-baa0-4e0228a14232,,N,,,Vondelstraat 103 O,,In procedure Gemeentelijk Monument
"POINT (4.92310910712434 52.3557236358346)",0ddb83e6-dab5-432b-b419-5cf199583b93,0ddb83e6-dab5-432b-b419-5cf199583b93,,N,,,Laing's Nekstraat 30 1,,In procedure Gemeentelijk Monument
"POINT (4.89548516622617 52.3660354596858)",ff40f779-0fa7-4f1e-b3d2-6f6436c1f51d,ff40f779-0fa7-4f1e-b3d2-6f6436c1f51d,,N,,,Rembrandtplein 6 1,,Gemeentelijk monument
"POINT (4.89370830858154 52.3794041946251)",1da5a5e5-7c75-454a-99b1-75757146e12f,1da5a5e5-7c75-454a-99b1-75757146e12f,1970-05-13,N,"1362",,Haarlemmerstraat 11,,Rijksmonument
"POINT (4.92335194274859 52.3549606311794)",894f0f6d-c98b-4937-94cb-827f45b7f365,894f0f6d-c98b-4937-94cb-827f45b7f365,,N,,,Steve Bikoplein 22 1,,In procedure Gemeentelijk Monument
"POINT (4.80103392364103 52.3629647160506)",4b9c1b90-94c1-4e6e-b2df-9fccb6ff8531,4b9c1b90-94c1-4e6e-b2df-9fccb6ff8531,,N,,Garage en showroom,Garage en showroom,,In procedure Gemeentelijk Monument
"POINT (4.88189409606492 52.3850975099287)",efefad4d-a180-4c8b-b72a-b9a713f3d85e,efefad4d-a180-4c8b-b72a-b9a713f3d85e,,N,,Brugwachtershuisje brug 151,Brugwachtershuisje brug 151,,Gemeentelijk monument
"POINT (4.91377169912651 52.3765201691392)",40cbbc8c-9ccd-4f95-b1f7-c57c409131b2,40cbbc8c-9ccd-4f95-b1f7-c57c409131b2,,N,,Sluisdeurenloods,Sluisdeurenloods,,In procedure Gemeentelijk Monument
"POINT (4.92353477492126 52.3557253038932)",a7ab956b-586d-4f1f-a8ca-d696888d59d2,a7ab956b-586d-4f1f-a8ca-d696888d59d2,,N,,,Laing's Nekstraat 29 H,,In procedure Gemeentelijk Monument
"POINT (4.9170736721712 52.3531832562561)",ec36e00c-24c7-48c7-b004-e490fc765b3c,ec36e00c-24c7-48c7-b004-e490fc765b3c,,N,,,Afrikanerplein 1,,In procedure Gemeentelijk Monument
"POINT (4.89984806297657 52.3739920650431)",de1a4a5a-15c8-488b-a209-78ce30afcef3,de1a4a5a-15c8-488b-a209-78ce30afcef3,,N,"3",,Oudezijds Achterburgwal 27 A,,Rijksmonument
"POINT (4.89980450414753 52.3739469472404)",23c3f9e3-e36f-487e-b766-3d7313b69c06,23c3f9e3-e36f-487e-b766-3d7313b69c06,,N,"4",,Oudezijds Achterburgwal 29 A,,Rijksmonument
"POINT (4.89976084664068 52.3739108167175)",bca37554-4535-4c8d-afba-0a70abd48144,bca37554-4535-4c8d-afba-0a70abd48144,,N,"5",,Oudezijds Achterburgwal 31 1,,Rijksmonument
"POINT (4.89973187337186 52.3738747466317)",4f2b69e1-9a38-41d2-9c31-c746ceb00ba7,4f2b69e1-9a38-41d2-9c31-c746ceb00ba7,,N,"6",,Oudezijds Achterburgwal 33 H,,Rijksmonument
"POINT (4.89859749768135 52.372872435963)",42a59da3-18b1-4cf4-a309-fd926e603bd8,42a59da3-18b1-4cf4-a309-fd926e603bd8,,N,"25",,Oudezijds Achterburgwal 77,,Rijksmonument
