categorie;overtreding;oms_feitgroep;mate_overschrijding;aantal
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;28;1
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;19;35
VB;bord A1;Snelheid binnen bebouwde kom ;11;6724
VM;bord A1;Snelheid autosnelwegen;35;1679
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;10;52
VC;bord A3;Snelheid binnen bebouwde kom ;20;2
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;11;688
VC;bord A3;Snelheid binnen bebouwde kom ;24;1
VM;bord A1;Snelheid autosnelwegen;15;26775
VH;bord A3;Snelheid buiten bebouwde kom ;14;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;29;3
VG;bord A1;Snelheid buiten bebouwde kom ;23;2757
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;27;1
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;13;124
VG;bord A1;Snelheid buiten bebouwde kom ;12;21278
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;4;281
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;27;154
VC;bord A3;Snelheid binnen bebouwde kom ;22;1
VM;bord A1;Snelheid autosnelwegen;22;9309
VG;bord A1;Snelheid buiten bebouwde kom ;24;2253
VF;gedrag;Snelheid buiten bebouwde kom ;29;1490
VH;bord A3;Snelheid buiten bebouwde kom ;15;4
VM;bord A1;Snelheid autosnelwegen;20;12381
VG;bord A1;Snelheid buiten bebouwde kom ;22;3157
VA;gedrag;Snelheid binnen bebouwde kom ;22;6385
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;22;158
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;28;36
VB;bord A1;Snelheid binnen bebouwde kom ;4;40150
VA;gedrag;Snelheid binnen bebouwde kom ;18;12501
VL;gedrag;Snelheid autosnelwegen;30;681
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;29;10
VL;gedrag;Snelheid autosnelwegen;13;2882
VM;bord A1;Snelheid autosnelwegen;18;16210
VM;bord A1;Snelheid autosnelwegen;11;51846
VF;gedrag;Snelheid buiten bebouwde kom ;7;52310
VA;gedrag;Snelheid binnen bebouwde kom ;28;2217
VB;bord A1;Snelheid binnen bebouwde kom ;23;915
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;14;455
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;9;47
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;14;36
VC;bord A3;Snelheid binnen bebouwde kom ;13;2
VC;bord A3;Snelheid binnen bebouwde kom ;12;1
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;18;108
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;21;163
VN;bord A3;Snelheid autosnelwegen;32;14
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;28;7
VM;bord A1;Snelheid autosnelwegen;7;110721
VA;gedrag;Snelheid binnen bebouwde kom ;19;10494
VG;bord A1;Snelheid buiten bebouwde kom ;21;3556
VL;gedrag;Snelheid autosnelwegen;11;4283
VN;bord A3;Snelheid autosnelwegen;9;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;28;5
VA;gedrag;Snelheid binnen bebouwde kom ;11;67561
VL;gedrag;Snelheid autosnelwegen;27;583
VB;bord A1;Snelheid binnen bebouwde kom ;26;502
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;4;190
VN;bord A3;Snelheid autosnelwegen;16;2
VB;bord A1;Snelheid binnen bebouwde kom ;7;17838
VM;bord A1;Snelheid autosnelwegen;24;6740
VL;gedrag;Snelheid autosnelwegen;26;646
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;18;4
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;17;288
VL;gedrag;Snelheid autosnelwegen;17;1805
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;7;47
VM;bord A1;Snelheid autosnelwegen;8;89231
VA;gedrag;Snelheid binnen bebouwde kom ;7;179360
VB;bord A1;Snelheid binnen bebouwde kom ;20;1275
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;14;122
VC;bord A3;Snelheid binnen bebouwde kom ;30;1
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;25;104
VN;bord A3;Snelheid autosnelwegen;18;2
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;21;1
VG;bord A1;Snelheid buiten bebouwde kom ;19;4651
VM;bord A1;Snelheid autosnelwegen;37;1911
VG;bord A1;Snelheid buiten bebouwde kom ;26;1821
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;6;247
VB;bord A1;Snelheid binnen bebouwde kom ;28;435
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;19;24
VK;wegwerkzaamheden (bord A3);Snelheid buiten bebouwde kom ;23;1
VB;bord A1;Snelheid binnen bebouwde kom ;16;2480
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom ;16;93
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;20;34
VN;bord A3;Snelheid autosnelwegen;21;12
VP;wegwerkzaamheden (bord A3);Snelheid autosnelwegen;14;1
VA;gedrag;Snelheid binnen bebouwde kom ;21;7479
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom ;12;46
VA;gedrag;Snelheid binnen bebouwde kom ;5;302548
VL;gedrag;Snelheid autosnelwegen;16;1933
VG;bord A1;Snelheid buiten bebouwde kom ;6;72930
VF;gedrag;Snelheid buiten bebouwde kom ;6;67193
VM;bord A1;Snelheid autosnelwegen;26;8861
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom ;14;97
VN;bord A3;Snelheid autosnelwegen;30;36
VB;bord A1;Snelheid binnen bebouwde kom ;5;30860
VM;bord A1;Snelheid autosnelwegen;21;10850
VO;wegwerkzaamheden (bord A1);Snelheid autosnelwegen;24;120
VF;gedrag;Snelheid buiten bebouwde kom ;28;1567
