FID,jaar,type_ws,hoofdgeb,gebied,locatie,gdb_geomattr_data,shape
talud_maas_2011.1,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (191833.78200000152 414514.3830000013, 191842.8999999985 414514.1979999989, 191856.1409999989 414513.4979999997, 191868.50600000098 414513.05900000036)"
talud_maas_2011.2,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (191884.78200000152 414512.8359999992, 191888.87099999934 414513.006000001)"
talud_maas_2011.3,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (191912.86499999836 414515.0150000006, 191924.87000000104 414514.48900000006, 191936.86199999973 414513.5329999998)"
talud_maas_2011.4,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (191943.75 414513.23000000045, 191967.5700000003 414511.6319999993, 191980.40300000086 414510.6169999987)"
talud_maas_2011.5,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (191996.72199999914 414508.1259999983, 192003.80900000036 414507.868999999)"
talud_maas_2011.6,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192013.5240000002 414507.3819999993, 192020.71599999815 414506.96499999985, 192041.82299999893 414505.6180000007, 192053.97700000182 414504.4459999986, 192064.93200000003 414502.438000001, 192079.02699999884 414500.4210000001)"
talud_maas_2011.7,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192152.50200000033 414562.3429999985, 192144.4059999995 414558.34099999815, 192137.51399999857 414554.48000000045, 192129.82600000128 414549.23999999836, 192127.10700000077 414546.59899999946, 192123.70699999854 414542.86499999836, 192120.23200000077 414536.35599999875, 192118.45100000128 414531.88599999994, 192118.01199999824 414526.1640000008)"
talud_maas_2011.8,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192129.78700000048 414501.4690000005, 192132.84600000083 414509.8720000014)"
talud_maas_2011.9,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192332.75699999928 414486.94999999925, 192342.40700000152 414485.65199999884, 192351.1889999993 414484.2259999998)"
talud_maas_2011.10,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192353.33799999952 414470.36400000006, 192369.23699999973 414468.87900000066, 192379.58199999854 414467.54300000146, 192389.29100000113 414466.4829999991)"
talud_maas_2011.11,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192358.0300000012 414487.1160000004, 192361.07200000063 414489.8200000003, 192362.4549999982 414493.2049999982, 192363.40900000185 414496.88500000164)"
talud_maas_2011.12,2011,Rivieren,Maas,Zandmaas,Gebrande Kamp - Neerveld,,"LINESTRING (192365.08999999985 414508.5309999995, 192369.81599999964 414530.8770000003)"
