FID,arc_length,id,filenaam,links,rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2011.1,3856.29003906,1,ruw003_1,493.4,-337,2011-08-01T00:00:00,,,"LINESTRING (38113.26199999824 387120.2190000005, 34627.89799999818 388770.436999999)"
vlieglijnen_wschelde_2011.2,4088.70996094,2,ruw004_1,526.6,-323.7,2011-08-01T00:00:00,,,"LINESTRING (38099.21900000051 386604.2190000005, 34405.48800000176 388357.4690000005)"
vlieglijnen_wschelde_2011.3,4168.29980469,3,ruw005_1,449.2,-381.2,2011-08-01T00:00:00,,,"LINESTRING (38005.53099999949 385959.688000001, 34301.41000000015 387871.2809999995)"
vlieglijnen_wschelde_2011.4,17861.80078125,4,ruw006_1,358.2,-343,2011-08-01T00:00:00,,,"LINESTRING (49668.07800000161 379745.625, 33635.26199999824 387619.2190000005)"
vlieglijnen_wschelde_2011.5,17923.19921875,5,ruw007_1,577.5,-330.5,2011-08-01T00:00:00,,,"LINESTRING (49430.870999999344 379292.688000001, 33354.539000000805 387216.875)"
vlieglijnen_wschelde_2011.6,18301.69921875,6,ruw008_1,345.2,-338.3,2011-08-01T00:00:00,,,"LINESTRING (49178.870999999344 378871.625, 32760.289000000805 386957.6559999995)"
vlieglijnen_wschelde_2011.7,18497.09960938,7,ruw009_1,539,-335.1,2011-08-01T00:00:00,,,"LINESTRING (48935.629000000656 378433.936999999, 32337.98999999836 386598.625)"
vlieglijnen_wschelde_2011.8,19079.19921875,8,ruw010_1,357.8,-316.3,2011-08-01T00:00:00,,,"LINESTRING (48693.539000000805 378022.4690000005, 31560.679999999702 386417.75)"
vlieglijnen_wschelde_2011.9,19061.30078125,9,ruw011_1,599.9,-318.7,2011-08-01T00:00:00,,,"LINESTRING (48428.699000000954 377633.0940000005, 31299.550999999046 385995.2809999995)"
vlieglijnen_wschelde_2011.10,19992,10,ruw012_1,342.5,-320.8,2011-08-01T00:00:00,,,"LINESTRING (48159.01199999824 377155.8440000005, 30220.019999999553 385980.375)"
vlieglijnen_wschelde_2011.11,23887.09960938,11,ruw013_1,444.4,-340.7,2011-08-01T00:00:00,,,"LINESTRING (47891.57800000161 376707.311999999, 26466.10000000149 387268.625)"
vlieglijnen_wschelde_2011.12,23857.80078125,12,ruw014_1,381.1,-388.5,2011-08-01T00:00:00,,,"LINESTRING (47654.4299999997 376229.563000001, 26286.789000000805 386841.813000001)"
vlieglijnen_wschelde_2011.13,23987.40039063,13,ruw015_1,375,-343,2011-08-02T00:00:00,,,"LINESTRING (47356.879000000656 375825.625, 25866.570000000298 386482.25)"
vlieglijnen_wschelde_2011.14,23936.80078125,14,ruw016_1,487,-336.4,2011-08-02T00:00:00,,,"LINESTRING (47117.44099999964 375410.4059999995, 25646.210999999195 385991.25)"
vlieglijnen_wschelde_2011.15,24298.40039063,15,ruw017_1,309.8,-366.7,2011-08-02T00:00:00,,,"LINESTRING (46856.199000000954 374958.9690000005, 25054.381000000983 385687.2190000005)"
vlieglijnen_wschelde_2011.16,24144.40039063,16,ruw018_1,381.7,-408.6,2011-08-02T00:00:00,,,"LINESTRING (46624.67199999839 374618.875, 24890.550999999046 385134.4690000005)"
