Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
7AM Den Haag B.V.;1;;1
Abel. Grand Café Restaurant B.V.;1;;1
Albron Nederland B.V.;1;;1
Athlon Car Lease Nederland B.V.;;4;4
B.V. Copes SNEL;1;;1
BCN B.V.;1;;1
Be-Ge Seating B.V.;;1;1
Bilderberg Grand Hotel Wientjes;1;;1
Bos & Bos Catering B.V.;2;;2
Bribenco B.V.;1;;1
Brussels Lof;1;;1
BSA Schaderegeling B.V.;;1;1
Café-Restaurant 'Belvédère' B.V.;1;;1
Compabox B.V.;1;;1
Coöperatie Ontwikkeling Leerpark U.A.;1;;1
C-Track Benelux B.V.;;1;1
De Baak Noordwijk B.V.;1;;1
De Rotterdam B.V.;1;;1
De Ruiter Horeca.nl;1;;1
Energeia B.V.;;;
Evangelische Gemeente Ten Boer;1;;1
Exploitatie Maatschappij Komfort B.V.;1;;1
Fietswereld Grootjans;;1;1
First Class Amersfoort;1;;1
Fletcher Boutique Hotel Restaurant Duinoord;1;;1
Grachtenvaarders V.O.F.;1;;1
Gran Mercado B.V.;1;;1
Grasgroep Vastgoedzorg B.V.;;1;1
Groeneveld Horeca B.V.;1;;1
HE Den Haag B.V.;1;;1
Het Pleidooi;1;;1
Hotel Groningen-Hoogkerk B.V.;1;;1
Hotel Spoorzicht & Spa B.V.;1;;1
Jaarbeurs B.V.;1;;1
Janskerkhof B.V.;1;;1
Kasteel de Wittenburg B.V.;1;;1
Keiretsu Europe B.V.;1;;1
Leaseplan Nederland N.V.;2;5;5
Meerweg Exploitatie Haren B.V.;1;;1
Meerwold B.V.;1;;1
Motrac Intern Transport B.V.;;1;1
Nefkens Noord B.V.;;1;1
New Babylon Meeting Center B.V.;1;;1
NH Den Haag;1;;1
Oker B.V.;1;;1
Oscars Scheveningen B.V.;1;;1
Oudaen B.V.;1;;1
ParkeerService;;1;1
Park-line B.V.;;1;1
Plein 9 A B.V.;1;;1
Prinsenhof Groningen;1;;1
Restaurant & Catering Mennega;1;;1
Restaurant Bøg;1;;1
Restaurant La Viña;1;;1
Restaurant Onz;1;;1
Rietland';1;;1
S.B.I. Zonheuvel B.V.;1;;1
Stichting Beheer Synagoge;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1
Tabasco;1;;1
Tilkema Horeca B.V.;1;;1
Tolman Takel en Berging B.V.;;;
Travelcard B.V.;;1;1
Truckparkings Rotterdam Exploitatie B.V.;;1;1
Tse en Spaans V.O.F.;1;;1
Tweewielers van Woerden V.O.F.;;1;1
VCK Travel B.V.;;;
Vital Change B.V.;1;;1
Worldmeetings.com B.V.;6;;6
YourGift Cards B.V.;1;;1
Eindtotaal;6;6;7
