OBJECTID,SIGMA_ID,OBJECT,X,Y,Z,VERKANTING,M_SIGMATRAJECT,ELEMENT_TYPE_HORIZONTAAL,ELEMENT_LENGTE_HORIZONTAAL,BOOGSTRAAL_HORIZONTAAL,TANGENTPUNT_VERKANTING,OVERGANGSHELLING_WAARDE,OVERGANGSHELLING_LENGTE,ELEMENT_LENGTE_VERTICAAL,TANGENTPUNT_ONTWERPSNELHEID,ONTWERPSNELHEID,DATUM_GOEDGEKEURD,ARGUMENT_HORIZONTAAL,ARGUMENT_VERTICAAL,TRAJECTNAAM,OPMERKING,HELLING_VERTICAAL,BOOGSTRAAL_VERTICAAL,FUNCTIE,WISSEL_KRUISING_NAAM_SIGMA,TEKENINGNUMMER,POSITIONELE_NAUWKEURIGHEID_MM,SIGMATRAJECT_GUID
1,19974842,LR2335,237065.866,579171.6352,2.72,0,0,RST,1.31602,,TP_D,,,428.1398,,40,2017/05/01 00:00:00+00,130.374612,100,003_2335R_84.4,,"0,0000",,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
2,19974843,LR2335,237067.035,579171.0309,2.72,0,1.31602,BOOG,2.055,250,,,,,,40,2017/05/01 00:00:00+00,130.374612,100,003_2335R_84.4,,,,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
3,19974844,LR2335,237068.8566,579170.0797,2.72,0,3.37102,BOOG,18.02533,195,,,,,,40,2017/05/01 00:00:00+00,130.897914,100,003_2335R_84.4,,,,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
4,19974845,,237074.6663,579166.8881,2.72,0,10,,,195,,,,,,40,2017/05/01 00:00:00+00,133.062087,100,003_2335R_84.4,,,,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
5,19974846,MPR9,237075.1161,579166.63,2.72,0,10.51856,,,195,,,,,,40,2017/05/01 00:00:00+00,133.231383,100,003_2335R_84.4,,,,MPR9 ,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
6,19974847,,237083.2168,579161.7047,2.72,0,20,,,195,,,,,,40,2017/05/01 00:00:00+00,136.326803,100,003_2335R_84.4,,,,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
7,19974848,LR2335,237084.3892,579160.9462,2.72,0,21.39635,RST,5.94611,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,R,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
8,19974849,LLT2335,237089.3702,579157.6986,2.72,0,27.34246,RST,9.205,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,LT,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
9,19974850,,237091.5963,579156.2472,2.72,0,30,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,LT,2335,420117_R,10,00a35e75-4138-4805-b07e-35a03df91ac4
10,19974851,,237097.081,579152.6712,2.72,0,36.54746,RST,92.96461,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
11,19974852,,237099.9731,579150.7855,2.72,0,40,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
12,19974853,,237108.3499,579145.3238,2.72,0,50,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
13,19974854,,237116.7266,579139.8622,2.72,0,60,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
14,19974855,,237125.1034,579134.4005,2.72,0,70,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
15,19974856,,237133.4802,579128.9388,2.72,0,80,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
16,19974857,,237141.8569,579123.4772,2.72,0,90,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
17,19974858,,237150.2337,579118.0155,2.72,0,100,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
18,19974859,,237158.6105,579112.5539,2.72,0,110,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
19,19974860,,237166.9872,579107.0922,2.72,0,120,,,,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
20,19974861,,237174.9553,579101.897,2.72,0,129.51207,BOOG,55.32861,-500,,,,,,40,2017/05/01 00:00:00+00,136.782671,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
21,19974862,,237175.3641,579101.6307,2.72,0,130,,,-500,,,,,,40,2017/05/01 00:00:00+00,136.720545,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
22,19974863,,237183.8002,579096.2614,2.72,0,140,,,-500,,,,,,40,2017/05/01 00:00:00+00,135.447306,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
23,19974864,,237192.342,579091.0619,2.72,0,150,,,-500,,,,,,40,2017/05/01 00:00:00+00,134.174066,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
24,19974865,,237200.986,579086.0342,2.72,0,160,,,-500,,,,,,40,2017/05/01 00:00:00+00,132.900827,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
25,19974866,,237209.7289,579081.1805,2.72,0,170,,,-500,,,,,,40,2017/05/01 00:00:00+00,131.627587,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
26,19974867,,237218.567,579076.5025,2.72,0,180,,,-500,,,,,,40,2017/05/01 00:00:00+00,130.354348,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
27,19974868,,237222.8785,579074.3018,2.72,0,184.84068,RST,243.29912,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
28,19974869,,237227.4851,579071.9784,2.72,0,190,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
29,19974870,,237236.4137,579067.4752,2.72,0,200,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
30,19974871,,237245.3424,579062.972,2.72,0,210,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
31,19974872,,237254.2711,579058.4688,2.72,0,220,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
32,19974873,,237263.1998,579053.9656,2.72,0,230,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
33,19974874,,237272.1284,579049.4624,2.72,0,240,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
34,19974875,,237281.0571,579044.9592,2.72,0,250,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
35,19974876,,237289.9858,579040.456,2.72,0,260,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
36,19974877,,237298.9145,579035.9528,2.72,0,270,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
37,19974878,,237307.8431,579031.4496,2.72,0,280,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
38,19974879,,237316.7718,579026.9464,2.72,0,290,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
39,19974880,,237325.7005,579022.4432,2.72,0,300,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
40,19974881,,237334.6291,579017.94,2.72,0,310,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
41,19974882,,237343.5578,579013.4368,2.72,0,320,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
42,19974883,,237352.4865,579008.9336,2.72,0,330,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
43,19974884,,237361.4152,579004.4304,2.72,0,340,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
44,19974885,,237370.3438,578999.9272,2.72,0,350,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
45,19974886,,237379.2725,578995.424,2.72,0,360,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
46,19974887,,237388.2012,578990.9208,2.72,0,370,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
47,19974888,,237397.1299,578986.4176,2.72,0,380,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
48,19974889,,237406.0585,578981.9144,2.72,0,390,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
49,19974890,,237414.9872,578977.4112,2.72,0,400,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
50,19974891,,237423.9159,578972.908,2.72,0,410,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
51,19974892,,237432.8445,578968.4048,2.72,0,420,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
52,19974893,,237440.1123,578964.7393,2.72,0,428.1398,,,,,,,,,40,2017/05/01 00:00:00+00,129.738013,100,003_2335R_84.4,,,,,,,10,00a35e75-4138-4805-b07e-35a03df91ac4
53,19974894,LL2225,236783.8697,579303.1144,2.72,0,0,RST,27.365,,TP_D,,,33.16843,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,"0,0000",,L,2225,420117_R,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
54,19974895,,236792.9453,579298.915,2.72,0,10,,,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,L,2225,420117_R,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
55,19974896,MPR9,236793.4263,579298.6925,2.72,0,10.53003,,,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,MPR9 ,2225,420117_R,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
56,19974897,,236802.0208,579294.7157,2.72,0,20,,,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,L,2225,420117_R,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
57,19974898,LLK2223,236808.7049,579291.6228,2.72,0,27.365,RST,5.80343,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,L,K2223,420306_K_5_00,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
58,19974899,,236811.0963,579290.5163,2.72,0,30,,,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,L,K2223,420306_K_5_00,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
59,19974900,,236813.9718,579289.1858,2.72,0,33.16843,,,,,,,,,40,2020/08/01 00:00:00+00,127.589556,100,003_2225L_84.1,,,,,,,10,10418c96-3e5f-4593-be9c-7ef111dbdd66
60,19974901,LR2329,237013.0845,579199.5581,2.72,0,0,RST,27.365,,TP_D,,,488.39977,,40,2017/05/01 00:00:00+00,136.782674,100,003_2329R_84.4,,"0,0000",,R,2329,420116_L,10,10f93d45-67c9-45d1-93e3-212eebcaa592
61,19974902,,237021.4612,579194.0964,2.72,0,10,,,,,,,,,40,2017/05/01 00:00:00+00,136.782674,100,003_2329R_84.4,,,,R,2329,420116_L,10,10f93d45-67c9-45d1-93e3-212eebcaa592
62,19974903,MPL9,237021.9052,579193.8069,2.72,0,10.53001,,,,,,,,,40,2017/05/01 00:00:00+00,136.782674,100,003_2329R_84.4,,,,MPL9 ,2329,420116_L,10,10f93d45-67c9-45d1-93e3-212eebcaa592
63,19974904,,237029.838,579188.6347,2.72,0,20,,,,,,,,,40,2017/05/01 00:00:00+00,136.782674,100,003_2329R_84.4,,,,R,2329,420116_L,10,10f93d45-67c9-45d1-93e3-212eebcaa592
