Leveranciers;9410 - Lokale belastingen - waterschapslasten;9570 - OCW specifiek;9-Dienstspecifiek
2Byte;;1;1
Aon Nederland;;1;1
Bio Trading Benelux;;1;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;3;3
Buurman Facilitaire Producten;;1;1
De Nederlandse Museumvereniging;2;;2
Dedicon;;5;5
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;1;1
Ernst & Young;;3;3
Exact Software, Online;;2;2
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;4;4
Het Genootschap voor het Nationaal Archief;;2;2
HIC & NUNC;;1;1
Hogeschool Arnhem en Nijmegen;2;;2
Hogeschool van Utrecht;;1;1
Hotel Contact/Worldmeetings;;1;1
Id&Dn;1;;1
Intrum Justitia;;1;1
Joh. Enschedé Stamps;;4;4
KPN (incl. Getronics, PTT Telecom);;1;1
Lijnco Speciaaldrukkerij Groningen;;7;7
Meerwold;;2;2
Merk - Echt;;1;1
Mindbus;;1;1
NCCD - Nationale Coalitie Digitale Duurzaamheid;;2;2
Olympus;;1;1
Paul Verhuurbedrijf;;1;1
Pictoright;;2;2
Profilex lijstenmakers;;3;3
RechtNet Advocaten (recht.nl);;1;1
Rijksmuseum Amsterdam;;3;3
Scrum4gov;;2;2
Stg Erfgoedlab;2;;2
Stichting BENAIS Academy;;1;1
Stichting Henkes;2;;2
Stravers Promotions;;1;1
Sumatra Software;;1;1
Surfmarket (vh surfdiensten);;3;3
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;1;1
Vendu Trading;;1;1
V-Sign (Video Duplication);;4;4
VX Company;;2;2
Xpression XL;;1;1
Zalsman;;1;1
Ziggo (vh Casema);;1;1
Eindtotaal;3;7;7
