NaamPlaatsingsadres,ClusterCode,ClusterOmschrijving,ContainerCode,Fractie,latitude,longitude
Loc3500,3500,Duinkerkenstraat,G2,glas - Loc3500,53.1978,6.6117
loc3673,3673,Planetenlaan,G406,glas - loc3673,53.23384,6.53265
Loc3646,3646,16 Aprillaan,G308,glas - Loc3646,53.20029,6.55684
loc3527,3527,Kerklaan,G74,glas - loc3527,53.22504,6.55217
loc3527,3527,Kerklaan,G76,glas - loc3527,53.22504,6.55224
loc3674,3674,Van Ketwich Verschuurlaan,G34,glas - loc3674,53.19373,6.57757
Loc3585,3585,Esperantostraat,G440,glas - Loc3585,53.20865,6.58063
Loc3585,3585,Esperantostraat,G442,glas - Loc3585,53.20865,6.5807
loc3553,3553,Borgwal,G132,glas - loc3553,53.23412,6.56402
loc3570,3570,St. Jansstraat,G172,glas - loc3570,53.21953,6.57032
loc3570,3570,St. Jansstraat,G174,glas - loc3570,53.21953,6.57039
Loc3545,3545,M K Ghandhiplein,G114,glas - Loc3545,53.18663,6.55783
Loc3679,3679,Goudlaan noord (De Ommelanderflat),G11,glas - Loc3679,53.23043,6.52931
LOC6001,6001,Kerkstraat,G330,glas - LOC6001,53.17325,6.60833
LOC6001,6001,Kerkstraat,G332,glas - LOC6001,53.17325,6.6084
LOC6001,6001,Kerkstraat,G334,glas - LOC6001,53.17329,6.60833
Loc3659,3659,Florakade,G452,glas - Loc3659,53.2268,6.5906
loc3644,3644,Spicastraat,G304,glas - loc3644,53.22854,6.53593
loc3617,3617,Woldweg,G294,glas - loc3617,53.23324,6.63387
LOC6021,6021,Rijksstraatweg,G386,glas - LOC6021,53.18554,6.59009
LOC6020,6020,Irenelaan Hoek beatrixlaan,G384,glas - LOC6020,53.16867,6.60449
loc3510,3510,Goudlaan,G28,glas - loc3510,53.22892,6.53073
Loc3557,3557,Oude Ebbingestraat,G142,glas - Loc3557,53.22014,6.56654
Loc3557,3557,Oude Ebbingestraat,G144,glas - Loc3557,53.22014,6.56661
Loc3680,3680,Goeman Borgesiuslaan,G492,glas - Loc3680,53.19283,6.59496
Loc3531,3531,Esdoornlaan,G84,glas - Loc3531,53.23367,6.55218
Loc3531,3531,Esdoornlaan,G86,glas - Loc3531,53.23367,6.55225
loc3666,3666,Mudaheerd,G454,glas - loc3666,53.25023,6.58673
Loc3559,3559,Molenstreek,G148,glas - Loc3559,53.243,6.56733
loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,G78,glas - loc3528,53.21385,6.55154
Loc3716,3716,Wibenaheerd,G244,glas - Loc3716,53.24701,6.6052
Loc3650,3650,Gideonweg stadsnomadenterrein,G430,glas - Loc3650,53.20128,6.60888
Loc3582,3582,Palmslag hoek Meeuwerderweg,G446,glas - Loc3582,53.21359,6.57822
loc5500,5500,Bij de Sportvelden,G310,glas - loc5500,53.24916,6.64955
LOC6019,6019,Dorpstraat,G382,glas - LOC6019,53.15902,6.64366
loc3676,3676,Gorechtkade hoek Wielewaalplein,G458,glas - loc3676,53.22803,6.57549
Loc3708,3708,Swifter 25 en 27 Meerstad,G420,glas - Loc3708,53.2331,6.6517
loc3508,3508,Platinalaan,G24,glas - loc3508,53.22506,6.5294
loc3508,3508,Platinalaan,G26,glas - loc3508,53.22506,6.52947
loc3669,3669,Antillenstraat 2,G17,glas - loc3669,53.23291,6.58028
loc3547,3547,Johan de Wittstraat,G118,glas - loc3547,53.2295,6.55937
Loc3709,3709,Meeroeverslaan Meerstad,G13,glas - Loc3709,53.2221,6.65087
loc3516,3516,Rembrandt van Rijnstraat,G40,glas - loc3516,53.21827,6.54307
loc3507,3507,Siersteenlaan,G18,glas - loc3507,53.22553,6.52796
loc3507,3507,Siersteenlaan,G20,glas - loc3507,53.22553,6.52803
loc3507,3507,Siersteenlaan,G22,glas - loc3507,53.22553,6.52811
loc3571,3571,De Merodelaan/Vestdijk-/Bordewijklaan,G176,glas - loc3571,53.19066,6.5704
loc3571,3571,De Merodelaan/Vestdijk-/Bordewijklaan,G178,glas - loc3571,53.19066,6.57047
loc3569,3569,Gedempte Zuiderdiep bij de Albert Heijn,G170,glas - loc3569,53.21528,6.56973
loc3519,3519,Pleiadenlaan,G46,glas - loc3519,53.22937,6.54493
loc3519,3519,Pleiadenlaan,G48,glas - loc3519,53.22937,6.545
Loc3721,3721,Planetenlaan,G705,glas - Loc3721,53.235,6.53809
loc3544,3544,Nieuwe Kijk in 't Jatstraat,G110,glas - loc3544,53.22379,6.5583
Loc3720,3720,Boerhaavenlaan,G703,glas - Loc3720,53.19692,6.55201
loc3525,3525,Prunusstraat,G70,glas - loc3525,53.23534,6.54963
Loc3522,3522,Paterswoldseweg,G58,glas - Loc3522,53.1831,6.54463
