Rijlabels;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;1;;;1
Albyco Nederland B.V.;;;;;;;;1;;1
Ambius B.V.;;;;;;;2;;;2
Aon Risk Solutions;;;;;;;1;;;1
ArboVitale;;1;;;;;;;;1
Arvato Benelux B.V.;1;;;;;;;;;1
Ascom (Nederland) B.V.;;1;;;;;;;;1
ATS Systems B.V.;;1;;;;;;;;1
Avas Systemen V.O.F.;;;;;;;;1;;1
B.V. Electro Centraal E.C.;;;;;;;1;1;;1
Bal Herenkleding;;;;;;;;1;;1
Benscore B.V.;;;;;;;;1;;1
Burrata Turfmarkt B.V.;1;;;;;;;;;1
Buyitdirect.com B.V.;;;;;;;1;1;;1
Café-Restaurantbedrijf De Kikker;1;;;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;;1;;1
Coolblue B.V.;;;;;;;1;;;1
Cooper Twente B.V.;;;1;;;;;;;1
Cornelese Technical Systems B.V.;;;;;;;1;;;1
Cycloon Post Den Haag B.V.;;;;1;;;;;;1
de Jongh Schildersbedrijf bv;;1;;;;;;;;1
de Persgroep Nederland B.V.;;;;;1;;;;;1
De Resolutie Rijswijk B.V.;;;;;;;1;;;1
'De Tijd' Bedrijfskleding;;;;;;;;2;;2
Deep Action Carpet Cleaning B.V.;;;2;;;;;;;2
Defibrion;;1;1;;;;;;;1
Digicopy;;;;;1;;;;;1
Digital Revolution B.V.;;;;;1;;;;;1
Discountoffice.nl B.V.;;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;1;;;;;;;;1
DOM Nederland;;1;;;;;;;;1
Drogisterij.net B.V.;;;1;;;;;;;1
DSS-de Swart Services B.V.;;;2;;;;;;;2
Duel;;;;;;;1;;;1
Ed. Alter Sanitair B.V.;;;;;;;1;;;1
Espressissimo B.V.;1;;;;;;;;;1
Etol Nederland B.V.;;;1;;;;;;;1
FedEx Express Netherlands B.V.;;;;1;;;;;;1
Fire-Control B.V.;;1;;;;;;;;1
Flash Rental Services B.V.;;1;;;;;;;;1
Fonq.nl B.V.;;;1;;;;1;;;1
Frama Nederland;;;;;;;;1;;1
Gastronomia Lusso;1;;;;;;;;;1
Gelecon B.V.;;;;;;;1;;;1
Gispen Kantoorinrichting;;;;;;;2;;;2
Grapefish;;;;;2;;;;;2
Hafo B.V.;;;;;1;;;;;1
Hagisto;;;;;;;;1;;1
HANOS Den Haag - Delft;3;;;;;;;;;3
Heijmans Utiliteit;;1;;;;;;;;1
Heineken Groothandel B.V.;1;;;;;;1;;;1
Het Textielhuis Nobbenhuis;;;1;;;;;;;1
Het Zuidersleutelhuis B.V.;;1;;;;;;;;1
High Five Fitness Network B.V.;;1;;;;;;;;1
Hirschmann Multimedia B.V.;;;;;;;1;;;1
