Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Actendo B.V.;;;;1;;;1
Arvato Benelux B.V.;;;2;;1;;2
Axiell ALM Netherlands B.V.;;;1;;;;1
Axway B.V.;;;;1;;;1
B.V. Technisch Bureau Jacot;;2;;;;;2
BCT B.V.;;;;1;;;1
Bourgonje Geluid- en Lichtservice B.V.;;2;;;;;2
BPI Services B.V.;;2;;;;;2
Bumicom Telecommunicatie B.V.;;1;;;;;1
Buyitdirect.com B.V.;4;;;;;;4
Centralpoint Amstelveen B.V.;1;;;;;;1
Centralpoint Nijmegen B.V.;2;;;;;;2
Centric Netherlands B.V.;;;;1;;;1
CM.COM Netherlands B.V.;;;;;1;;1
COMPAREX Nederland B.V.;;;5;2;;;5
Dataplus Netherlands B.V.;;;;1;;;1
DBA.NL B.V.;;;;3;;;3
DEDACOM B.V.;;;;;1;;1
Digital Revolution B.V.;1;;;;;;1
Discountoffice.nl B.V.;1;;;;;;1
DTG B.V.;;;;;1;;1
Entco Nederland B.V.;;;;1;;;1
Entopic B.V.;;;;1;;;1
Frama Nederland;;;;1;;;1
GW Cross Media B.V.;;;;;;2;2
Hafo B.V.;1;;;;;;1
Holland Catering Specialisten Loc. Woudestein;1;1;;;;;1
Icorp.NL B.V.;;;;2;;;2
Infotheek ICT Services B.V.;;4;;;;;4
ING Bank N.V.;;;1;1;;;1
Jenrick Nederland B.V.;;;;2;;;2
KPN B.V.;;;;;2;3;3
KPN Contact lokatie Eindhoven;;;;1;1;;1
KPN Mobiel;;;;;1;;1
KPN Ventures B.V.;;;;;1;;1
KPN winkel;;;;3;;;3
Loo Van Eck B.V.;;;2;;;;2
Mavim B.V.;;;;2;;;2
Multi-Post Nederland B.V.;;1;;;;;1
Netlink B.V.;;1;;;;;1
Nielsen Media Research B.V.;;;1;2;;;2
Notificare B.V.;;;1;;;;1
Noyz Boyz Advanced Audio Services B.V.;;1;;;;;1
NPQ Nederland B.V.;;;;2;;;2
OrangeMason B.V.;;;;1;;;1
Pardon Consult;;;;1;;;1
Pinewood B.V.;;;;;;2;2
PointLogic Solutions B.V.;;;;1;;;1
Preware IT B.V.;;;;1;;;1
Protinus IT B.V.;4;;2;1;;;4
SAP Nederland B.V.;;;;2;;;2
SecureLink Nederland B.V.;;;;;;1;1
Softcrow B.V.;;;;1;;;1
SoftwareONE B.V.;;;;3;;4;4
Solvinity B.V.;;;;;;1;1
Square Information Solutions B.V.;;;2;;;;2
Tele2 Nederland B.V.;;;;;2;;2
Telindus-ISIT B.V.;1;;;4;;;4
Textualities;;;;1;;;1
Tint, Buro voor Grafische Vormgeving;;;;1;;;1
TOPdesk Nederland B.V.;;;;2;;2;2
Trusted-ID B.V.;;;;2;;;2
UNIT4 Business Software B.V.;;;;2;;;2
Vodafone;;;;;3;;3
Xerox (Nederland) B.V.;1;2;;;;;2
Ziggo B.V.;;;;;4;;4
Eindtotaal;5;4;5;6;4;4;7
