FID,NITG,INTERN_NR,MV_TOV_NAP,LENGTE_BORING,DIEPTE_TOV_NAP,DATUM_BORING,BOORSTAAT_TNO_LINK,META_DATA_TNO_LINK,PDF_BOORSTAAT_AANWEZIG_JANEE,PDF_BESTAND_LINK,KLASSE,GEOMETRIE
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb4,B40C3345,701,17.67,14.1,3.57,26-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3345"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187208 428438)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb5,B40C3346,702,24.2,20.3,3.9,04-11-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3346"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten20_30,POINT (187167 428497)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb6,B40C3347,703,23.14,19.4,3.74,24-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3347"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187240 428493)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb7,B40C3348,704,23.3,19.7,3.6,24-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3348"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187201 428530)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb8,B40C3349,705,20.54,15.5,5.04,19-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3349"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187223 428608)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cb9,B40C3350,706,18.8,14.9,3.9,17-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3350"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187279 428698)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cba,B40C3351,707,24.81,20.4,4.41,28-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3351"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten20_30,POINT (187179 428357)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cbb,B40C3352,708,25.6,21.5,4.1,31-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3352"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten20_30,POINT (187272 428339)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cbc,B40C3353,709,22.7,18.7,4,25-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3353"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187345 428492)
MIL_BOD_BOOR.fid-36cc8544_1861f90ef02_2cbd,B40C3354,710,21.64,15.9,5.74,20-08-2009,"<A HREF=""http://www2.dinoloket.nl//dinoLks/minisite/borlithology?hideButtons=false&nitgNumber=B40C3354"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",,"ja, maar rapportage is nog niet aanwezig","<A HREF=""http://145.11.60.41/imap/multimedia/rapport nog niet aanwezig"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",Boorstaten10_20,POINT (187307 428583)
