FID,OVW_STARTDATUM,LATITUDE,GEOMETRIE,BUURT,EIGENAAR,CATEGORIE,FOTO,GEBIED,HOOFDCATEGORIE,INSPECTIEDATUM,JAAR_VAN_AANLEG,ONDERGROND,TYPE,WIJK,LONGITUDE,OVW_MAX_SIZE

Afvalbakken.170062,2023-02-03,52.1993860089043,POINT (52.19938987510257 5.3673485281318),Centrum / Waterpark,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,03-11-2020,,Elementverharding,Elementverharding,Nieuwland,5.36734816282936,0

Afvalbakken.170063,2023-02-03,52.1531999412639,POINT (52.15320354597318 5.371101425448617),Stationsbuurt,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,19-06-2020,,Elementverharding,Elementverharding,De Berg-Noord,5.37110161444395,0

Afvalbakken.170064,2023-02-03,52.2012641869341,POINT (52.201268003039885 5.3803786606944275),Kruidenbuurt,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,05-11-2020,,Gazon,Gazon,Nieuwland,5.3803781838579,0

Afvalbakken.170065,2023-02-03,52.2008214472984,POINT (52.20082525502484 5.381473379354456),Kruidenbuurt,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,05-11-2020,,Halfverharding,Halfverharding,Nieuwland,5.38147290091887,0

Afvalbakken.170066,2023-02-03,52.2012839939574,POINT (52.20128779029394 5.384371946271839),Kruidenbuurt,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,22-10-2020,,Elementverharding,Elementverharding,Nieuwland,5.38437144210276,0

Afvalbakken.170067,2023-02-03,52.2013081926521,POINT (52.20131197846908 5.386487418312009),Kruidenbuurt,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,27-10-2020,,Gazon,Gazon,Nieuwland,5.38648689947658,0

Afvalbakken.170068,2023-02-03,52.1640039613165,POINT (52.164007479071806 5.397607054524639),Kruiskamp-Noord,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,23-07-2020,,Elementverharding,Elementverharding,Kruiskamp,5.39760698448654,0

Afvalbakken.170069,2023-02-03,52.1630787271987,POINT (52.16308224678276 5.396465754314803),Kruiskamp-Noord,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,30-07-2020,,Elementverharding,Elementverharding,Kruiskamp,5.39646570252641,0

Afvalbakken.170070,2023-02-03,52.1618080899419,POINT (52.16181161146208 5.395014256938483),Kruiskamp-Noord,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,30-07-2020,,Elementverharding,Elementverharding,Kruiskamp,5.39501422949099,0

Afvalbakken.170071,2023-02-03,52.1635910838583,POINT (52.16359461923141 5.393905177810084),Kruiskamp-Noord,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,30-07-2020,,Elementverharding,Elementverharding,Kruiskamp,5.39390513074303,0

Afvalbakken.170072,2023-02-03,52.178876116071,POINT (52.17887983199081 5.373085398374939),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,01-10-2020,,Elementverharding,Elementverharding,Hoogland,5.37308525454723,0

Afvalbakken.170073,2023-02-03,52.1818370276364,POINT (52.18184077394726 5.370122867096398),Bieshaar-Zuid,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,01-10-2020,,Ruw gras,Ruw gras,Hoogland,5.37012270260773,0

Afvalbakken.170074,2023-02-03,52.1611931934453,POINT (52.16119678420863 5.380906484763257),Eemplein-Nieuwe Stad,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,30-07-2020,2008,Elementverharding,Elementverharding,Eemkwartier,5.3809065294103,0

Afvalbakken.170075,2023-02-03,52.1867511986413,POINT (52.186754907827265 5.38354586096261),Park Schothorst,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,15-09-2020,,Gazon,Gazon,Schothorst-Noord,5.38354555513023,0

Afvalbakken.170076,2023-02-03,52.1528888490396,POINT (52.152892451086664 5.371402715628559),Stationsbuurt,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,19-06-2020,,Elementverharding,Elementverharding,De Berg-Noord,5.37140290730485,0

Afvalbakken.170077,2023-02-03,52.1531698812104,POINT (52.15317348863972 5.370501558129104),Stationsbuurt,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,02-11-2020,,Elementverharding,Elementverharding,De Berg-Noord,5.3705017499322,0

Afvalbakken.170078,2023-02-03,52.152708023615,POINT (52.15271160758843 5.375030415107501),Regentesselaan e.o.,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,19-06-2020,,Heesters,Heesters,De Berg-Noord,5.37503059444589,0

Afvalbakken.170079,2023-02-03,52.1504159738426,POINT (52.15041963713191 5.355934553784987),Staatsliedenbuurt-West,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,20-05-2020,,Gazon,Gazon,De Berg-Noord,5.35593483677365,0

Afvalbakken.170080,2023-02-03,52.1475504992134,POINT (52.14755390652408 5.405524441019797),Componistenbuurt-Zuid,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,02-07-2020,,Elementverharding,Elementverharding,Randenbroek,5.40552457232323,0

Afvalbakken.170081,2023-02-03,52.1502892155599,POINT (52.15029262058813 5.407795435346165),Componistenbuurt-Zuid,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,11-08-2020,,Elementverharding,Elementverharding,Randenbroek,5.40779551818562,0

Afvalbakken.170082,2023-02-03,52.1467222393177,POINT (52.14672565844785 5.40280361885228),Componistenbuurt-Zuid,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,13-05-2020,,Ruw gras,Ruw gras,Randenbroek,5.40280377216248,0

Afvalbakken.170083,2023-02-03,52.1623399538125,POINT (52.162343453295726 5.399619064992186),Kruiskamp-Midden,Gemeente Amersfoort,Afvalbak,,Midden,Afvalbakken,31-07-2020,,Elementverharding,Elementverharding,Kruiskamp,5.39961900912072,0

Afvalbakken.170084,2023-02-03,52.1429021246564,POINT (52.14290574811601 5.358803725442984),Oranjebuurt,Gemeente Amersfoort,Afvalbak,,Zuid,Afvalbakken,15-07-2020,,Bosplantsoen,Bosplantsoen,De Berg-Noord,5.35880408610607,0

Afvalbakken.170085,2023-02-03,52.179847257803,POINT (52.17985097331526 5.374274471114424),De Ham,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Elementverharding,Elementverharding,Hoogland,5.3742743083766,0

Afvalbakken.170086,2023-02-03,52.1768330245081,POINT (52.17683671547073 5.375991128480282),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Elementverharding,Elementverharding,Hoogland,5.37599099483973,0

Afvalbakken.170087,2023-02-03,52.1779632695444,POINT (52.17796699342829 5.370373635663986),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Elementverharding,Elementverharding,Hoogland,5.37037351819252,0

Afvalbakken.170088,2023-02-03,52.176289253,POINT (52.17629295779424 5.372515959494725),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Heesters,Heesters,Hoogland,5.3725158514633,0

Afvalbakken.170089,2023-02-03,52.1776125952387,POINT (52.17761631006763 5.371886578962058),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Elementverharding,Elementverharding,Hoogland,5.37188645764704,0

Afvalbakken.170090,2023-02-03,52.2068116953467,POINT (52.20681560121728 5.369652569284323),Stadstuin,Gemeente Amersfoort,Hondenpoepbak,,,Afvalbakken,29-10-2020,,Halfverharding,Halfverharding,Nieuwland,5.36965209593053,0

Afvalbakken.170091,2023-02-03,52.1774005254738,POINT (52.17740423354014 5.373066401012591),De Bik,Gemeente Amersfoort,Afvalbak,,Noord,Afvalbakken,29-09-2020,,Elementverharding,Elementverharding,Hoogland,5.37306627596527,0

