Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
&Maes B.V.;1;;1
Aann.- & Verh.bedr. J. Hoondert & Zn. B.V.;;1;1
Achtienhonderdeenenvijftig (1851) B.V.;1;;1
Aclub B.V.;1;;1
Ad Astra Services B.V.;1;;1
Aebi Schmidt Nederland B.V.;;8;8
Afsluitdijk Wadden Center;1;;1
Akkerzicht;1;;1
Alcredis Finance B.V.;;1;1
All Art Professionals B.V.;1;;1
Alp Lift B.V.;;1;1
Alt-Tab Bedrijfsondersteuning;1;;1
Amadore Hotel Restaurant Arneville;1;;1
Amaze Escape Events;1;;1
Ambiance Vastgoed B.V.;1;;1
Andija B.V.;1;;1
Anoniem_I & W_202;1;;1
Anoniem_I & W_256;1;;1
Anoniem_I & W_269;;4;4
Anoniem_I & W_306;;1;1
Anoniem_I & W_348;1;;1
Anoniem_I & W_525;1;;1
Anoniem_I & W_548;1;;1
Anoniem_I & W_580;1;;1
Aon de Stasie B.V.;;1;1
Aristo Utrecht B.V.;1;;1
Art Centre Delft B.V.;1;;1
Autobedrijf van den Udenhout B.V.;;1;1
Autobedrijf Wilmink Azelo B.V.;;1;1
Autoservice Nijlan;;1;1
B.V. Inuk;1;;1
Better Meetings B.V.;1;;1
Beurs van Berlage C.V.;2;;2
Bezoekerscentrum de Kennemerduinen;1;;1
Bijlsma Wartena B.V.;;1;1
Bilderberg Europa Hotel Scheveningen;1;;1
Boerderij De Middenhof Nieuwegein;1;;1
Boerderij Het Lansingerland;1;;1
Bonaire International Airport N.V.;1;;1
Boomerang Beach;1;;1
Bos & Bos Catering B.V.;1;;1
Boukema Trading Company B.V.;;1;1
Brasserie Buitenhuis B.V.;1;;1
Brasserie de Steinsetuin;1;;1
Break Out Events B.V.;1;;1
Bribenco B.V.;1;;1
Brooklands Horeca B.V.;1;;1
BSA Schaderegeling B.V.;;2;2
Buitengoed Leeuwenburg;1;;1
Buitengoed Uylenburg B.V.;1;;1
Buro Rietveld B.V.;1;;1
Café du Midi B.V.;1;;1
Café Restaurant Rootz B.V.;1;;1
Café-Restaurant 'De Roskam' B.V.;1;;1
Carlton Beach Club;1;;1
Catering Lokaal @ De Woonindustrie B.V.;2;;2
Conferentie-hotel Villa Heidebad B.V.;1;;1
Coöp. KTC Proefboerderij Zegveld U.A.;1;;1
CoVita;1;;1
De Baak Noordwijk B.V.;1;;1
De Bergse Bossen;1;;1
de Bibliotheek aan de Vliet;1;;1
De Birkt Vergaderen;1;;1
De Buitenhorst V.O.F.;1;;1
De Gelderlandfabriek B.V.;1;;1
De Heische Hoeve B.V.;1;;1
De Horeca Academie Zakelijk B.V.;1;;1
De Oude Bibliotheek B.V.;1;;1
De Poort van Groningen V.O.F.;1;;1
De Rotterdam Business Center B.V.;1;;1
De Seedykstertoer;1;;1
De Spil;1;;1
De Spreeuwel B.V.;1;;1
de Theaterwerf;1;;1
De Veldkeuken Amelisweerd B.V.;1;;1
De Waterreus;1;;1
De Witte Vosch B.V.;1;;1
De Zalen van Zeven B.V.;1;;1
De Zilveren Vosch B.V.;1;;1
Den Engh B.V.;1;;1
Deskbookers B.V.;1;;1
Destil;;1;1
Down Under Horecaexploitatie B.V.;1;;1
Dukino Business Events;1;;1
E.B.O. van Weel Beheer B.V.;;2;2
Ecoleon B.V.;;3;3
Ecotap B.V.;;1;1
Eden Oranje Hotel B.V.;1;;1
Edes Proeflokaal;1;;1
Eetcafé Wiegman;1;;1
Eet-Villa Van den Brink;1;;1
EHM Hotel Hulshorst De Beyaerd Expl.mij.;1;;1
Ernst Sillem Hoeve B.V.;2;;2
Esra Handelmaatschappij B.V.;;3;3
Eten bij Werelds;1;;1
Euroband B.V.;;1;1
Euromast Horeca B.V.;1;;1
Eva's Keukentuin;1;;1
EVBox B.V.;;;
Experian Nederland B.V.;1;;1
Expl. Bergse Bossen B.V.;1;;1
Expl. Villa Schiedam B.V.;1;;1
Exploitatiemaatschappij City Hotel Gouda B.V.;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;1
Fa. C. van Doremaele;;1;1
FietsNED B.V.;;1;1
Fire Palace B.V.;1;;1
FixFiets.nl;;1;1
Fletcher Hotel Rest. Loosdrecht Amsterdam;1;;1
Fletcher Hotel Sallandse Heuvelrug;1;;1
Fletcher Hotel-Restaurant Heiloo;1;;1
Fletcher Wellness-Hotel Helmond;1;;1
Fries Natuur Museum;1;;1
Fuiks Eten & Drinken;1;;1
Fysergo B.V.;;1;1
Ganspoort B.V.;1;;1
Gasterij De IJzeren Man;1;;1
Gastheeren Bedrijfscatering;1;;1
Gasthuis B.V.;1;;1
Geertjes Hoeve Haarzuilens;1;;1
Gran Mercado B.V.;1;;1
Grand Central Food Market B.V.;1;;1
Grandcafe Haagsche Bluf;1;;1
Greenest Carwash;;1;1
Grizzly B.V.;1;;1
H. de Vries Reinigingsapparatuur B.V.;;1;1
Hajé Natuurpark B.V.;1;;1
Han's Adviesbureau Mariene Ecologie (HAME);1;;1
Hans Kreuning B.V.;1;;1
Harmsen Heftrucks B.V.;;1;1
HE Den Haag B.V.;1;;1
Hefmatic B.V.;;1;1
Herberg Vlietzigt;1;;1
Het Muntgebouw-Utrecht B.V.;2;;2
Het Nationaal Automobielmuseum;1;;1
Hofstad Catering;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;1
Hollandse Telecommunicatie Maatschappij;;1;1
Hotel & Leisure Weert B.V.;1;;1
