OBJECTID,REF_WISSEL_KRUISING_PUIC,POSITIONELE_NAUWKEURIGHEID_MM,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_T,OFFSET,OFFSET_T,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,OPC_GEBIED_NAAM,OPC_GEBIED_NR,TECHNIEKVELD,PGO_GEBIED_NAAM,BEHEERDER,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,Z,REF_WISSEL_NAAM,PGO_GEBIED_NR,GELDIG_VANAF,PUBLICATIEDATUM,PCA,PRORAIL_GEBIED,LATITUDE,LONGITUDE,KM_GEOCODE
1,c2c52df9-94ec-4949-bf1b-6bea93f748b2,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,937084",-6.251371,"-6,251371",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,194628.255,469197.39199999,17.00499999,35,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20944967,5.96698466,87.937084
2,3f7d0bbe-8725-4a9e-8e52-033ca5ea97bf,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,257457",36.302194,"36,302194",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194946.089,469138.75699999,16.927,909,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20889976,5.97162759,88.257457
3,8d4d6fd3-a911-4b7d-ba67-3c363b9c1be7,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,884632",0.30118,"0,301180",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195574.434,469150.47399999,16.8,71,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20895921,5.98082142,88.884632
4,d05dc5f7-51c7-4bfa-805c-5b05132b33d3,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,214992",31.974248,"31,974248",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194904.033,469145.836,16.887,907,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20896643,5.97101316,88.214992
5,a4ee9a75-a962-4da8-b072-e88aaff0dcd3,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,845784",-3.393606,"-3,393606",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195535.34599999,469153.223,16.709,69,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20898679,5.9802499,88.845784
6,84d563e4-3027-4ecd-b861-ecf91f5d764b,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,556095",0.002565,"0,002565",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195246.693,469156.31699999,17.01899999,53B,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20903573,5.97602739,88.556095
7,6ac71818-dab4-40ba-b42f-27da3930df3f,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,809969",0.888682,"0,888682",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195499.495,469148.071,16.942,65,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20894312,5.9797248,88.809969
8,c46cb9b8-519c-4728-b0cd-5a64e7ebfe22,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,291529",39.767877,"39,767877",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,194979.833,469133.08399999,16.927,911,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20884633,5.97212058,88.291529
9,483482f7-c029-4ce5-b581-6c36dbd6f9ae,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"87,916223",14.033292,"14,033292",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,194606.60399999,469177.89299999,17.006,33,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20927598,5.96666563,87.916223
10,ed8ad244-9a32-44df-9876-5d434f5469c6,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,809936",-3.111294,"-3,111294",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195499.36499999,469152.069,16.939,63,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20897906,5.97972338,88.809936
11,f6acfaf2-8558-4834-94ed-9b308766dfdc,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,382731",21.59014,"21,590140",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195072.048,469145.05099999,16.924,915,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.2089472,5.97347106,88.382731
12,0fe6c8bc-809d-4b3d-bd8a-e05f7122cf20,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,601798",-0.151004,"-0,151004",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195292.272,469153.91399999,17.05099999,61B,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20901081,5.97669391,88.601798
13,f2877274-c62e-4a42-b5ab-865a86d5b63f,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,521356",9.088535,"9,088535",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195211.53899999,469149.226,17.021,59A,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20897457,5.97551226,88.521356
14,fe4c54f5-47f5-40dc-bb44-49e398950197,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,495810",-3.700217,"-3,700217",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195186.79399999,469163.45799999,17.032,53A,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20910428,5.97515193,88.49581
15,84c03450-3cd6-40bb-ad2c-9f004cca6a31,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,609520",-3.957358,"-3,957358",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195300.12299999,469157.487,17.06299999,55,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20904235,5.97680919,88.60952
16,05b290dd-3357-4f39-a212-f55501f76b28,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,486573",9.243215,"9,243215",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,NCBG,195176.795,469151.08199999,17.021,57B,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20899378,5.97500418,88.486573
17,73594280-2854-409a-bb62-5f0936658ce1,,608,b,608,608_b,Apeldoorn,Asd-Zp,Amsterdam Centraal - Zutphen ,"88,549279",-7.949868,"-7,949868",Noord-Oost,NO,IJsselstreek,31,Baan,Veluwe,ProRail,Apeldoorn,APD,PPLG,195240.351,469164.645,17.042,51,430,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Strukton Rail,Oost,52.20911104,5.9759356,88.549279
