OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,REF_ANTISUICIDEVRLCHTNG_NAAM,REF_ANTISUICIDEVRLCHTNG_PUIC,SUBTYPE,AZIMUT,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,,,60,Bestaand,,,,e271e9a9-85b5-4fd1-b01e-0670e2932002,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,180925.524,446999.961,52.0107568,5.76482166
2,,,60,Bestaand,,,,e271e9a9-85b5-4fd1-b01e-0670e2932002,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,180892.9,447010.083,52.0108493,5.76434725
3,,,60,Bestaand,,,,e271e9a9-85b5-4fd1-b01e-0670e2932002,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,180888.251,446998.211,52.01074281,5.76427864
4,,,60,Bestaand,,,,e271e9a9-85b5-4fd1-b01e-0670e2932002,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,180857.22,447007.628,52.0108289,5.76382738
5,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137945.047,397930.166,51.57004659,5.14120239
6,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137948.482,397921.304,51.56996704,5.14125236
7,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137926.254,397923.292,51.56998424,5.14093166
8,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137929.705,397914.426,51.56990465,5.14098186
9,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137915.569,397909.252,51.56985771,5.14077822
10,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137911.955,397918.05,51.56993668,5.14072567
11,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137902.656,397914.642,51.56990577,5.14059171
12,,,60,Bestaand,,,,3b9ca033-ff0b-40bb-84b1-348091a8825e,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,137906.175,397905.814,51.56982652,5.14064289
13,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167136.45,384831.902,51.45243852,5.56180226
14,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167140.715,384813.652,51.45227439,5.56186299
15,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167165.064,384833.373,51.45245113,5.56221396
16,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167167.204,384823.59,51.45236314,5.56224441
17,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167191.473,384828.629,51.45240791,5.56259374
18,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167189.608,384838.514,51.45249681,5.56256725
19,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167214.15,384843.593,51.45254193,5.5629205
20,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167216.051,384833.716,51.45245311,5.56294751
21,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167264.884,384854.15,51.45263572,5.56365076
22,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167266.845,384844.275,51.45254691,5.56367863
23,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167291.216,384849.368,51.45259216,5.56402942
24,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167289.382,384859.314,51.4526816,5.56400338
25,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167339.423,384873.533,51.45280832,5.5647238
26,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167342.801,384855.399,51.45264524,5.56477177
27,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167313.951,384864.283,51.45272573,5.56435702
28,,,60,Bestaand,,,,3c6d0326-ccad-49d2-84ba-e3d4a7ee98a1,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,167316.001,384854.475,51.45263752,5.56438617
29,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,178957.218,386331.426,51.46553839,5.73196297
30,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,178960.069,386345.458,51.46566439,5.73200495
31,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,178987.442,386325.433,51.46548323,5.7323975
32,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,178989.826,386335.02,51.4655693,5.73243246
33,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179011.405,386319.06,51.46542493,5.7327419
34,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179014.079,386328.774,51.46551213,5.73278105
35,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179035.63,386312.677,51.46536652,5.73309008
36,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179038.312,386322.31,51.46545299,5.73312933
37,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179088.967,386298.493,51.46523675,5.73385665
38,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179091.539,386307.994,51.46532204,5.73389431
39,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179113.448,386291.99,51.46517725,5.73420849
40,,,60,Bestaand,,,,67d996f9-3504-4c65-a726-f96d70c47a30,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,,,,,,,,,,,,,,,,,,,,,179115.888,386301.481,51.46526245,5.73424425
