Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
Dunea N.V.;;;1;;;;1
Dyntatronic Datasystems;;;;;1;;1
E.A.L. Electronic Application Laboratory B.V.;2;;;;;;2
Easy Comp. B.V.;;;1;;;;1
Ecotools Holding B.V.;;;1;;;;1
Eight Media B.V.;;;2;;;;2
El-Contronic B.V.;;;1;;;;1
Elektrikon B.V.;;;;;;1;1
Elseco B.V.;1;;;;;;1
ENGIE Infra & Mobility B.V.;1;;;;;;1
Enrise B.V.;3;;;;;;3
Entopic B.V.;1;;;;;;1
Epona Software Productions B.V.;;;;;1;;1
Eriks B.V.;;;1;;;;1
Esri Nederland;;;;;1;;1
Ettu Configuration B.V.;;;;;3;;3
Europcar Autoverhuur Zeist;;;1;;;;1
EVE Compliancy Solutions B.V.;;;;;1;;1
Exact Software Nederland B.V.;;;;;1;;1
Experian Nederland B.V.;;;;;;1;1
Explainit Company;1;;;;;;1
Fabory Centre Amsterdam-West;;;1;;;;1
Fabory Centre Rotterdam;;;1;;;;1
Faes Cases B.V.;;;1;;;;1
Farnell (Netherlands) B.V.;;;1;;;;1
Federal Express Europe Inc.;;;1;;;;1
FEM Products;;;1;;1;;1
Fieldworks Direct B.V.;;;1;;;;1
Fijnmechanische Techniek Utrecht F.T.U.;;;1;;;;1
Firebrand Training BeNeLux B.V.;1;;;;;;1
Firma Klaas Keppel;;;1;;;;1
For Conference B.V.;;;;;;1;1
Forrester Research B.V.;2;;;;;;2
Four Digits B.V.;;;2;;;;2
Fox-IT;1;;;;;;1
Frank B.V.;;;1;;;;1
Fujitsu Technology Solutions B.V.;2;;1;;;;2
Galerij De Hamer;1;;;;;;1
Geco - verhuur - verkoop - service;;;1;;;;1
Geodan B.V.;3;;;;;;3
Geopol;;;1;;;;1
Goudappel Coffeng B.V.;;;;;1;;1
Grontmij Nederland Projecten B.V.;1;;;;;;1
Gunneman B.V.;;;1;;;;1
Handels- en Ingenieursbur. Bakker & Co. B.V.;;;1;;;;1
Harmsen Vakschilders;;;1;;;;1
Havenbedrijf IJmuiden;;;;;1;;1
HeadFirst B.V.;4;;;;;;4
HERE Europe B.V.;;;;;2;;2
Hessen Apotheek;;;1;;;;1
Hewlett-Packard Nederland B.V.;5;;2;;6;;7
Hoppinger;;;;;;1;1
Hostnet B.V.;;;;;1;;1
Hotelexpl.mij. Danny Kayelaan Zoetermeer B.V.;1;;;;;;1
Hotelexpl.mij. Forum Maastricht B.V.;1;;;;;;1
IBM Nederland B.V.;1;;;;;;1
In 't Wapen van Ameide;;;1;;;;1
In2Documents B.V.;2;;;;;;2
Indes Integrated Development Solutions B.V.;;;;;1;;1
Industrial Manufacturing and Trading;;;1;;;;1
Infict B.V.;1;;;;;;1
Info Support MITS B.V.;;;;;3;;3
Informatique Computers & Componenten;1;;1;;;;1
Ingenieursbureau Haboldt B.V.;;;1;;;;1
Ingenieursbureau Wittich & Visser B.V.;;;1;;;;1
Innovero Software Solutions B.V.;1;;;;1;;1
Inquest B.V.;1;;;;;;1
Inst. Non verbale Strategie Analyse B.V.;2;;;;;;2
Inter Access O.P. B.V.;3;;2;;2;2;4
Inter-Company B.V.;;;1;;;;1
Intersafe Groeneveld B.V.;;;1;;;1;1
Isah B.V.;1;;;;;;1
IT Company B.V.;1;;;;;1;1
ItaQ;3;;;;;;3
IT-Staffing Nederland B.V.;7;;2;;2;2;7
J.W. Lagendijk Sportprijzen;1;;;;;;1
Jitscale B.V.;;;;;1;;1
K.D. Telematica B.V.;;;;;;1;1
Kaal Masten B.V.;;;1;;;;1
Keysight Technologies Netherlands B.V.;;;2;;;;2
Kipp & Zonen B.V.;;;1;;;;1
Klarna B.V.;;;1;;;;1
KLM;;;;;;2;2
Kodision B.V.;;;;;5;;5
Kolibri Labels B.V.;;;1;;;;1
Koninklijke Maatschap de Wilhelminapolder;;;1;;;;1
Koomen Installatie B.V.;;;1;;;;1
KPN B.V.;1;;;;1;2;2
KPN Consulting B.V.;;;;;;1;1
KPN Corporate Market;3;;;2;;;4
KPN Mobile International B.V.;1;;;;;3;3
Kurval B.V.;;;1;;;;1
Langkamp Technology B.V.;;;1;;;;1
Lapp Benelux B.V.;;;1;;;;1
Laser 2000 Benelux C.V.;;;2;;;;2
Legalday B.V.;2;;;;;;2
Lemo Connectors Nederland B.V.;;;1;;;;1
License Consulting B.V.;1;;;;1;;2
Linde Gas Benelux B.V.;;;1;;;;1
Logeion;;;;;;1;1
Logilabel Nederland;;;1;;;;1
L'Unité Hosting B.V.;1;;;;;;1
Maatschap F. & I. Post;;;1;;;;1
Maatschap Heijthuijzen;;;1;;;;1
Maatschap Smits Vullings;;;1;;;;1
Maatschap voor Communicatie;1;;;;1;;1
Maatschap Wismeijer Stelling;;;1;;;;1
Magic Hands B.V.;;;;;1;;1
Mangrove Holding B.V.;;;1;;;;1
Manutan B.V.;;;1;;;;1
Marasoft B.V.;;;;;2;;2
Mariterra Onderhouds- en Montagebedrijf;;;1;;;;1
Master it Training B.V.;;;;;1;;1
Mavention Holding B.V.;;;1;;;;1
MCW Studio's B.V.;;;1;;;;1
Meetpapier B.V.;;;1;;;;1
Meetwinkel B.V.;;;1;;;;1
Mennens Dongen B.V.;;;1;;;;1
Mennens Rotterdam B.V.;;;1;;;;1
Mensys B.V.;1;;;;;;1
Mera Benelux B.V.;;;1;;;;1
Mien B.V.;;;1;;;;1
Mindbench Hosting;1;;;;;;1
Misco Solutions B.V.;3;2;3;7;;;7
MK2 Audiovisueel Verhuur B.V.;1;;;;;;1
Mobile Tulip;;;;;;1;1
Modelec Data-Industrie;;;1;;;1;2
Motorplaza Groningen B.V.;1;;;;;;1
Mts. G.J. Broekhuis-G.H. Broekhuis- vd Bunt;;;1;;;;1
Mts. ten Cate;;;1;;;;1
Mur Conditioning B.V.;;;1;;;;1
MZS Slijpservice;;;1;;;;1
N.V. Golf Exploit. Mij. Schipluid.;1;;;;;;1
N.V. PWN Waterleidingbedrijf Noord-Holland;;;1;;;;1
Naamplatenindustrie 'Vlug' B.V.;;;1;;;;1
Naktuinbouw;;;1;;;;1
National Instruments Netherlands B.V.;;;1;;;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;;1;1
NedGraphics B.V.;1;;;;;;1
Negometrix B.V.;2;;;;;;2
NEH ICT Solutions B.V.;;;4;;;2;4
Nexus Verus B.V.;2;;;;;;2
NFGD Zoetermeer B.V.;;;1;;;;1
NIC Best Deal B.V.;;;1;;;;1
Nieuwsbank B.V.;1;;;;;;1
Niv Zuid-Holland B.V.;;;;;1;;1
Northwave B.V.;2;;;;;;2
Odink & Koenderink B.V.;;;1;;;;1
Oesterbaai B.V.;;;;;2;;2
One Shoe B.V.;1;;;;;;1
Oracle Nederland;;;;;3;;3
Ordina Nederland B.V.;3;;;4;;;4
Paul Meijering Metalen;;;1;;;;1
PC plus;;;1;;;;1
Phoenix Contact B.V.;;;1;;;;1
Plaza Productions B.V.;1;;1;;1;1;1
PM Komponenten B.V.;;;1;;;;1
Polyfluor Plastics B.V.;;;1;;;;1
Postcode.NL B.V.;;;1;;;;1
PrintTec B.V.;;;1;;;;1
Prisma-IT B.V.;;;1;;;;1
Prodicom B.V.;;;2;;;;2
Profile René De Fietsspecialist;;;1;;;;1
Protinus IT B.V.;4;;3;;7;1;7
Providence Europe B.V.;1;;;;;;1
Pyton Communication Services B.V.;;;;;1;;1
Q-Link Bemiddeling & Advies;2;;;;;;2
QuoVadis Trustlink B.V.;2;;1;;1;1;2
RedNose IT B.V.;;;2;;1;;2
Reinders Oisterwijk B.V.;;;1;;;;1
Rexel Nederland B.V.;;;1;;;;1
Rittal B.V.;;;1;;;;1
'Rodesk B.V.';;;;;1;;1
Ronald Makker Interieur Beplantingen;;;1;;;;1
RS Components B.V.;;;1;;;;1
Saab Technologies B.V.;1;;;;;;1
Sabel Communicatie B.V.;1;;;;;;1
SAP Nederland B.V.;;;;;7;;7
Schiphol Telematics B.V.;;;;;;1;1
Screensuccess;1;;;;;;1
SecurityMatters B.V.;2;;;;;;2
Sepay B.V.;;;;;;1;1
Sharewire B.V.;;;1;;;;1
Siemens Nederland N.V.;2;;;;;;2
Silverview;1;;;;;;1
SMT Simple Management Technologies B.V.;1;;;;;;1
Software AG Nederland B.V.;;;1;;;1;1
Software Borg;1;;;;;;1
SoftwareONE B.V.;;;;;4;;4
Solcon Internetdiensten N.V.;;;;;;1;1
Spanpartner B.V.;;;1;;;;1
Sportfondsen Welzijn Delft B.V.;1;;;;;;1
Stg. Geschillencommiss. voor Consumentenzaken;;;;;1;;1
Stg. Nat. Centr. Paardrijd. v. Gehandicapten;;;1;;;;1
Stichting Beheer Derdengelden X Pact;1;;;;;2;2
Stichting Lean Management Instituut;;;1;;;;1
Stichting TriviumLindenhof;;;1;;;;1
Strukton Worksphere;1;;;;;;1
Superoffice Benelux B.V.;;;;;1;;1
SURFmarket;;;;;3;2;3
SURFnet B.V.;1;;;;;5;5
Sweco Nederland;1;;2;;;;2
Sysqa B.V.;4;;;3;;;4
T & M Systems B.V.;;;1;;;;1
T&T Compet&t.b.v.;1;;;;2;;2
Tackleshop.nl;;;1;;;;1
Tankgigant Water B.V.;;;1;;;;1
TBS de Buck B.V.;;;1;;;;1
Technische Unie B.V.;;;1;;;;1
Technolution B.V.;3;;;;5;;5
Tele2 Nederland B.V.;;;;;;1;1
Telecommun. & Beveiliging B.V.;;;1;;;;1
Telegrootgebruik B.V.;7;;1;;;7;8
Telewebphone B.V.;;;1;;;;1
Telindus B.V.;;;;;1;;1
Telvent Netherlands;;;;;5;;5
Tempcontrol Industr. Electronic Products B.V.;;;1;;;;1
TenICT Infrastructure Management B.V.;2;;;;;;2
Terberg Voice & Data Systemen;;;;;;1;1
TES Installatietechniek Tilburg B.V.;;;1;;;;1
Th. Vernooy en Zoon B.V.;;;1;;;;1
The Courseware Company B.V.;;;;;2;;2
The Implementation Group B.V.;;;;;1;;1
The MathWorks B.V.;1;;;;;;1
Thermo Fisher Scientific B.V.;;;1;;;;1
Thermo Fisher Scientific FLC B.V.;1;;;;;;1
Thomas Rutten Projects;2;;;;;;2
Tinqwise B.V.;;;;;1;;1
T-Mobile Netherlands B.V.;;;;;;1;1
Toos Stroeken Hermkens Office Support;;;1;;;;1
Top Informatie Systemen B.V.;;;;;1;;1
Tradinco Instruments;;;2;;;;2
Transposafe Systems;;;1;;;;1
TriOpSys B.V.;;;2;;3;;4
Triple P Nederland B.V.;1;;;;;;1
Trivident B.V.;;;2;;;;2
Ultimade;1;;;;;;1
Ultimo Software Solutions B.V.;1;;;;;;1
UPS SCS (Nederland);;;1;;;;1
UTS Van der Lee/Cors De Jongh B.V.;;;1;;;;1
V.O.F. Verkeers Management Centrale Rhoon;1;;;;;;1
Van Bruggen Glasinstrum./Lab.benodigdh. B.V.;;;1;;;;1
Van Dijk Zakelijk B.V.;;;;;;1;1
van Eldijk Studio's;2;;;;;;2
Van Helvoirt Melkvee C.V.;;;1;;;;1
Van Swinden Laboratorium;;;1;;;;1
Vector Eyes;2;;;;;;2
Velis Scholten Utrecht B.V.;;;1;;;;1
Venema Communicatie B.V.;;;1;;;;1
Veolia Water Technologies Netherlands B.V.;;;1;;;;1
VERDONCK, KLOOSTER  & ASSOCIATES B.;2;;;;;;2
Vereenigde Ingenieursbureaux 'VIBA' N.V.;;;1;;;;1
Verpas B.V.;;;1;;;;1
Vhic Uitgeverij B.V.;;;;;1;;1
Vicrea Solutions B.V.;5;;;;;;5
Vink Kunststoffen B.V.;;;1;;;;1
Visio B.V.;2;1;2;;;;2
Visions Connected Holding B.V.;1;;;;;;1
Visions Connected Netherlands B.V.;2;;;;;;2
VNSG Diensten B.V.;;;;;1;;1
Vodafone;;;;;4;7;7
Vodafone Libertel B.V.;3;;;;;;3
Volantis B.V.;1;;;;;;1
Vrieservice B.V.;;;;;;1;1
VSAT;;;;;;4;4
Wärtsilä SAM Electronics Nederland B.V.;1;;;;1;;1
Weerspecialist;;;1;;;;1
Wesselektro;;;1;;;;1
WestCord Delft B.V.;1;;;;;;1
Weststrate;;;1;;;;1
Wishpel Webshops B.V.;;;1;;;;1
Wit Work B.V.;;;2;;;;2
WK Media;;;1;;;;1
Wolters Kluwer Nederland B.V.;;;1;;;;1
XA Document Solutions;;;;;1;;1
Xantic Sales B.V.;;;;;;2;2
Xerox (Nederland) B.V.;;6;;;;;6
Xi-Digital;2;;1;;;;2
XS4ALL Internet B.V.;;;1;;1;1;1
Xtra Automatisering;;;;;1;;1
Yocter B.V.;;;;;1;;1
Zep Industries B.V.;;;1;;;;1
Zetacom B.V.;2;;;;;1;2
Ziggo Services B.V.;;;;;;1;1
zuidt;;;2;;;;2
Eindtotaal;9;6;7;7;9;8;11
