Ministerie;Handelsnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
AZ;Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;;1;;;1
AZ;Albyco Nederland B.V.;;;;;;;;;1;;1
AZ;Aon Risk Solutions;;;;;;;;1;;;1
AZ;ArboVitale;;;1;;;;;;;;1
AZ;Arvato Benelux B.V.;;1;;;;;;;;;1
AZ;Ascom (Nederland) B.V.;;;1;;;;;;;;1
AZ;ATS Systems B.V.;;;1;;;;;;;;1
AZ;Avas Systemen V.O.F.;;;;;;;;;1;;1
AZ;B.V. Electro Centraal E.C.;;;;;;;;1;1;;1
AZ;Bal Herenkleding;;;;;;;;;1;;1
AZ;Benscore B.V.;;;;;;;;;1;;1
AZ;Burrata Turfmarkt B.V.;;1;;;;;;;;;1
AZ;Buyitdirect.com B.V.;;;;;;;;1;1;;1
AZ;Café-Restaurantbedrijf De Kikker;;1;;;;;;;;;1
AZ;Conrad Electronic Benelux B.V.;;;;;;;;;1;;1
AZ;Coolblue B.V.;;;;;;;;1;;;1
AZ;Cooper Twente B.V.;;;;1;;;;;;;1
AZ;Cornelese Technical Systems B.V.;;;;;;;;1;;;1
AZ;Cycloon Post Den Haag B.V.;;;;;1;;;;;;1
AZ;de Jongh Schildersbedrijf bv;;;1;;;;;;;;1
AZ;de Persgroep Nederland B.V.;;;;;;1;;;;;1
AZ;De Resolutie Rijswijk B.V.;;;;;;;;1;;;1
AZ;Defibrion;;;1;1;;;;;;;1
AZ;Digicopy;;;;;;1;;;;;1
AZ;Digital Revolution B.V.;;;;;;1;;;;;1
AZ;Discountoffice.nl B.V.;;;;;;;;;1;;1
AZ;Dokkumer Vlaggen Centrale B.V.;;;1;;;;;;;;1
AZ;DOM Nederland;;;1;;;;;;;;1
AZ;Drogisterij.net B.V.;;;;1;;;;;;;1
AZ;Duel;;;;;;;;1;;;1
AZ;Ed. Alter Sanitair B.V.;;;;;;;;1;;;1
AZ;Espressissimo B.V.;;1;;;;;;;;;1
AZ;Etol Nederland B.V.;;;;1;;;;;;;1
AZ;FedEx Express Netherlands B.V.;;;;;1;;;;;;1
AZ;Fire-Control B.V.;;;1;;;;;;;;1
AZ;Flash Rental Services B.V.;;;1;;;;;;;;1
AZ;Fonq.nl B.V.;;;;1;;;;1;;;1
AZ;Frama Nederland;;;;;;;;;1;;1
AZ;Gastronomia Lusso;;1;;;;;;;;;1
AZ;Gelecon B.V.;;;;;;;;1;;;1
AZ;Hafo B.V.;;;;;;1;;;;;1
AZ;Hagisto;;;;;;;;;1;;1
AZ;Heijmans Utiliteit;;;1;;;;;;;;1
AZ;Heineken Groothandel B.V.;;1;;;;;;1;;;1
AZ;Het Textielhuis Nobbenhuis;;;;1;;;;;;;1
AZ;Het Zuidersleutelhuis B.V.;;;1;;;;;;;;1
AZ;High Five Fitness Network B.V.;;;1;;;;;;;;1
AZ;Hirschmann Multimedia B.V.;;;;;;;;1;;;1
AZ;Hollandse Hoogte B.V.;;;;;;;;;1;;1
AZ;House of Lords B.V.;;1;;;;;;;;;1
AZ;ImPressed druk & print;;;;;;1;;;;;1
AZ;ING Bank N.V.;;;1;;1;;;1;;;1
AZ;Interieur Corner B.V.;;;;;;;;1;;;1
AZ;Interwabo B.V.;;;;;;;;1;;;1
AZ;Intimus International Netherlands B.V.;;;;;;;;;1;;1
AZ;Intrum Justitia Nederland B.V.;;;;;;;;;;1;1
AZ;Jos ten Berg's Handelmaatschappij B.V.;;;;;;;;1;;;1
AZ;Jura Nederland B.V.;;1;;;;;;1;;;1
AZ;Kalkhoven Den Haag B.V.;;;1;;;;;;;;1
AZ;Karisma B.V.;;;;;1;;;;;;1
AZ;KATO Group B.V.;;;;;;;;1;;;1
AZ;KLM Health Services B.V.;;;1;;;;;;;;1
AZ;Koninklijke van der Most B.V.;;;;;;1;;;;;1
AZ;Kortmann Art Packers & Shippers B.V.;;;;;;;;1;;;1
AZ;Kruizinga B.V.;;;;;;;;1;;;1
AZ;LampVision B.V.;;;;;;;;1;;;1
AZ;Lijst-in (R.C. Koolen);;;;;;;;1;;;1
AZ;Livewords;;;;;;1;;;;;1
AZ;Lokapost;;;;;1;;;;;;1
AZ;M&L Professional B.V.;;;;;;;;1;;;1
AZ;M+ Group B.V.;;;;;;;;1;;;1
AZ;Manutan B.V.;;;;1;;;;1;;;1
AZ;MB Safety B.V.;;;1;;;;;;;;1
AZ;Meesters in B.V.;;;;;;;;1;;;1
AZ;Middin;;;;;;;;1;;;1
AZ;Moduli Print B.V.;;;;;;1;;;;;1
AZ;Monuta Franchise;;;;;;1;;;;;1
AZ;Mulder Haastrecht;;;;;;;;;1;;1
AZ;N.J. Bristoll;;;1;;;;;;;;1
