FID,ncp_blo_id,area,name,gdb_geomattr_data,shape
blokindeling_sonarreg.1,42,,B18,,"POLYGON ((54.99930000500001 4.665250002999983, 55.165972006000004 4.665244002999998, 55.165972006000004 4.6675470029999815, 55.16596900600001 4.998600002999979, 54.999306004999994 4.998611003000008, 54.99930000500001 4.665250002999983))"
blokindeling_sonarreg.2,43,,C01,,"POLYGON ((55.83348566400002 5.3319580040000005, 55.83348566400002 4.998600753000005, 56.00015639100002 4.998600002999979, 56.000156464999975 5.3319580040000005, 55.83348566400002 5.3319580040000005))"
blokindeling_sonarreg.3,44,,C02,,"POLYGON ((55.83348566400002 5.665306004000001, 55.83348566400002 5.3319580040000005, 56.000156464999975 5.3319580040000005, 56.00015653999998 5.665306004000001, 55.83348566400002 5.665306004000001))"
blokindeling_sonarreg.4,45,,C03,,"POLYGON ((55.83348566400002 5.998653004000005, 55.83348566400002 5.665306004000001, 56.00015653999998 5.665306004000001, 56.00015661399999 5.998653004000005, 55.83348566400002 5.998653004000005))"
blokindeling_sonarreg.5,46,,C04,,"POLYGON ((55.66681560000001 5.3319580040000005, 55.66681560000001 4.998601502999975, 55.83348566400002 4.998600753000005, 55.83348566400002 5.3319580040000005, 55.66681560000001 5.3319580040000005))"
blokindeling_sonarreg.6,47,,C05,,"POLYGON ((55.66681560000001 5.665306004000001, 55.66681560000001 5.3319580040000005, 55.83348566400002 5.3319580040000005, 55.83348566400002 5.665306004000001, 55.66681560000001 5.665306004000001))"
blokindeling_sonarreg.7,48,,C06,,"POLYGON ((55.66681560000001 5.998653004000005, 55.66681560000001 5.665306004000001, 55.83348566400002 5.665306004000001, 55.83348566400002 5.998653004000005, 55.66681560000001 5.998653004000005))"
blokindeling_sonarreg.8,49,,C07,,"POLYGON ((55.49930600599998 5.3319580040000005, 55.49930600599998 4.998602257000016, 55.66681560000001 4.998601502999975, 55.66681560000001 5.3319580040000005, 55.49930600599998 5.3319580040000005))"
blokindeling_sonarreg.9,50,,C08,,"POLYGON ((55.49930600599998 5.665306004000001, 55.49930600599998 5.3319580040000005, 55.66681560000001 5.3319580040000005, 55.66681560000001 5.665306004000001, 55.49930600599998 5.665306004000001))"
blokindeling_sonarreg.10,51,,C09,,"POLYGON ((55.49930600599998 5.998653004000005, 55.49930600599998 5.665306004000001, 55.66681560000001 5.665306004000001, 55.66681560000001 5.998653004000005, 55.49930600599998 5.998653004000005))"
