BOOMSOORT,LATIJNSENA,STATUS,PLANTJAAR,HOOGTE,DIAMETER,EINDBEELD,VITALITEIT,LEVENSVERW,BEHEERDER,KORTETERM,OPPERVLAK,RANDLENGTE,LANGETERM,VTACONTROL,WEGTYPE,STANDPLAAT,GEOID,longitude,latitude
Linde,Tilia vulgaris europaea,Basis,1990,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Gazon,123825,5.45241935788,51.416207973299997
Populier,Populus Canadensis Gelrica,Waardevol,1980,> 24,55 t/m 60,TR 4.20,Basis,10-15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,16467,5.52372758312,51.450354147900001
,,Basis,1975,< 6,30 t/m 35,Vrij uitgroei,,,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,44278,5.43854761619,51.476206773400001
Esdoorn,Acer pseudoplatanus,Waardevol,1955,15-18,45 t/m 50,TR 4.20,,,Particulier,OhsB,0,0,Geen actie,C 1 x 3jr,NVT,Berm,18169,5.50868500943,51.437496930899997
,,Basis,0,12-15,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,120184,5.47413409361,51.493380696999999
Wilg,Salix alba,Waardevol,1970,< 6,55 t/m 60,Knot,Basis,>15 jr,REB Stedelijk,Altijd,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,128651,5.53541548767,51.445053085300003
Es,Fraxinus excelsior Diversifolia,Basis,1995,6-9,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,56828,5.46109108311,51.4874046061
Berk,Betula pendula,Basis,1970,< 6,0 t/m 5,TR 3.00,Geen,Geen,REB Stedelijk,BgsA,0,0,Boomspiegel verwijderen,C 1 x 3jr,Fietspad,Beplanting,55608,5.4745011687,51.478835118799999
Plataan,Platanus hispanica,Basis,1935,15-18,70 t/m 75,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsA,>2.5-5,0,Geen actie,C 1 x jr,EB geen rijstr.ind,Verharding,22902,5.48832373767,51.441590488800003
Eik,Quercus robur,Basis,1980,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,12339,5.48248275378,51.4167434907
Iep,Ulmus Lobel,Basis,1975,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,DB> 1 rijstr./rr,Verharding,21863,5.50507543234,51.439074863499997
Plataan,Platanus hispanica,Basis,1970,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,40958,5.47449909216,51.4717614586
Plataan,Platanus hispanica,Basis,1960,15-18,60 t/m 65,TR 3.00,Basis,>15 jr,REB Stedelijk,BgsA,0,0,Geen actie,C 1 x 3jr,NVT,Gazon,87652,5.45073897282,51.425107750499997
Esdoorn,Acer platanoides Globosum,Basis,1985,< 6,30 t/m 35,Knot,Basis,>15 jr,REB Stedelijk,Altijd,0,0,Geen actie,C 1 x 3jr,Voetpad,Beplanting,73172,5.49617871993,51.476118737
Eik,Quercus rubra,Waardevol,1950,18-24,55 t/m 60,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Berm,80882,5.43361264279,51.412933225099998
Iep,Ulmus Lobel,Basis,1981,18-24,65 t/m 70,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,9755,5.47969309255,51.425431126600003
Linde,Tilia cordata Greenspire,Basis,1990,9-12,25 t/m 30,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Beplanting,48620,5.43186772537,51.473775716399999
Valse Tulpenboom,Magnolia kobus,Basis,1987,6-9,15 t/m 20,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,>2.5-5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,7392,5.48319990878,51.430047278300002
Lijsterbes,Sorbus aria Lutescens,Basis,1983,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,9400,5.48865768573,51.425324991700002
Es,Fraxinus angustifolia Raywood,Basis,1970,15-18,70 t/m 75,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,Fietspad,Beplanting,120079,5.43146599129,51.415701635799998
Valse acasia,Robinia pseudoacacia Bessoniana,Waardevol,1960,9-12,55 t/m 60,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Geen actie,C 1 x 3jr,Eenrw.1 rijstr,Verharding,10511,5.49467543571,51.421443228900003
Haagbeuk,Carpinus betulus Frans Fontaine,Basis,2004,6-9,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,39211,5.48299261358,51.470456516299997
Esdoorn,Acer campestre Elsrijk,Basis,1990,< 6,10 t/m 15,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Verharding,83423,5.43901437521,51.422170740600002
Eik,Quercus palustris,Basis,1990,< 6,5 t/m 10,TR 4.20,Basis,>15 jr,REB Stedelijk,BgsB,2.5,0,Geen actie,C 1 x 3jr,EB 1 rijstr./rr,Verharding,54196,5.47765572307,51.492458091499998
Populier,Populus canescens,Waardevol,1980,15-18,35 t/m 40,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,DB 1 rijstr./rr,Berm,54561,5.4865235189,51.484510970099997
Esdoorn,Acer saccharinum,Basis,1985,12-15,30 t/m 35,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,2.5,0,Advies rooien,C 1 x 3jr,DB 1 rijstr./rr,Verharding,63637,5.46344501278,51.482551751499997
Valse Christusdoorn,Gleditsia triacanthos Elegantissima,Basis,1940,18-24,85 t/m 90,TR 3.00,Basis,>15 jr,REB Stedelijk,OhsB,0,0,Geen actie,C 1 x 3jr,EB geen rijstr.ind,Berm,11667,5.48311126199,51.427197146300003
Els,Alnus cordata,Basis,1985,18-24,40 t/m 45,TR 4.20,Basis,>15 jr,REB Stedelijk,OhsB,>2.5-5,0,Geen actie,C 1 x 3jr,Fietspad,Verharding,80940,5.44275268166,51.426102338100002
