FID,oid_,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkinge,symbol,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
trend_2006_100.1,0,808200,8,8200,198,229.3,31.3,5.186,-,- - - - 5 -,1,1437.2,,,"POLYGON ((88564.10700000077 473591.1739999987, 88106.2109999992 473834.6420000009, 88200.10500000045 474011.23099999875, 88658.00200000033 473767.76399999857, 88564.10700000077 473591.1739999987))"
trend_2006_100.2,0,808225,8,8225,192,219.4,27.4,3.323,-,- - - - 5 -,1,1064.6,,,"POLYGON ((88453.90199999884 473385.3500000015, 88163.2659999989 473546.4530000016, 88260.22800000012 473721.3759999983, 88550.86400000006 473560.2740000002, 88453.90199999884 473385.3500000015))"
trend_2006_100.3,0,808250,8,8250,195,226.5,31.5,4.271,-,- - - - 5 -,1,1254.2,,,"POLYGON ((88336.90199999884 473165.3509999998, 87963.35200000182 473372.4129999988, 88060.31399999931 473547.3370000012, 88433.86400000006 473340.2740000002, 88336.90199999884 473165.3509999998))"
trend_2006_100.4,0,808275,8,8275,205,240.5,35.5,4.816,-,- - - - 5 -,1,1363.2,,,"POLYGON ((88213.10799999908 472929.1739999987, 87787.87999999896 473155.2710000016, 87881.77499999851 473331.86100000143, 88307.00200000033 473105.76300000027, 88213.10799999908 472929.1739999987))"
trend_2006_100.5,0,808300,8,8300,216,247.6,31.6,4.71,-,- - - - 5 -,1,1342,,,"POLYGON ((88102.90199999884 472723.3509999998, 87690.95600000024 472951.6959999986, 87787.91800000146 473126.62000000104, 88199.86400000006 472898.2749999985, 88102.90199999884 472723.3509999998))"
trend_2006_100.6,0,808325,8,8325,217,234.9,17.9,3.578,-,- - - - 5 -,1,1115.6,,,"POLYGON ((87985.97700000182 472520.3969999999, 87676.11300000176 472699.2969999984, 87776.11300000176 472872.5020000003, 88085.97700000182 472693.6020000018, 87985.97700000182 472520.3969999999))"
trend_2006_100.7,0,808350,8,8350,216,220.7,4.7,1.941,-,- - - - 5 -,1,788.2,,,"POLYGON ((87861.97599999979 472303.3969999999, 87693.88100000098 472400.4470000006, 87793.88100000098 472573.65199999884, 87961.97599999979 472476.6020000018, 87861.97599999979 472303.3969999999))"
trend_2006_100.8,0,808375,8,8375,201,213.1,12.1,0.32,-,- - - - 5 -,1,464,,,"POLYGON ((87738.97700000182 472086.3969999999, 87711.26399999857 472102.3969999999, 87811.26399999857 472275.6020000018, 87838.97700000182 472259.6020000018, 87738.97700000182 472086.3969999999))"
trend_2006_100.9,0,808400,8,8400,196,205,9,-1.011,2011,- - - - 5 -,3,602.2,,,"POLYGON ((87714.97700000182 472041.6030000001, 87802.53200000152 471991.0529999994, 87702.53200000152 471817.84699999914, 87614.97700000182 471868.3969999999, 87714.97700000182 472041.6030000001))"
trend_2006_100.10,0,808425,8,8425,199,202.1,3.1,-2.813,2004,- - - - 5 -,3,962.6,,,"POLYGON ((87591.97599999979 471823.6030000001, 87835.58900000155 471682.9530000016, 87735.58900000155 471509.7479999997, 87491.97599999979 471650.3979999982, 87591.97599999979 471823.6030000001))"
trend_2006_100.11,0,808450,8,8450,198,200,2,-4.264,2003,- - - - 5 -,3,1252.8,,,"POLYGON ((87467.97700000182 471605.6020000018, 87837.25 471392.40199999884, 87737.25 471219.1970000006, 87367.97700000182 471432.3969999999, 87467.97700000182 471605.6020000018))"
trend_2006_100.12,0,808475,8,8475,222,212,-10,-3.332,-,1 - - - - -,4,1066.4,,,"POLYGON ((87354.33999999985 471402.7479999997, 87639.94799999893 471231.13699999824, 87536.94000000134 471059.7039999999, 87251.33199999854 471231.3139999993, 87354.33999999985 471402.7479999997))"
trend_2006_100.13,0,808500,8,8500,232,227.5,-4.5,-1.647,-,1 - - - - -,4,729.4,,,"POLYGON ((87230.33999999985 471182.7479999997, 87371.5150000006 471097.9210000001, 87268.50800000131 470926.48800000176, 87127.33199999854 471011.31500000134, 87230.33999999985 471182.7479999997))"
trend_2006_100.14,0,1700558,17,558,33,55.616883,22.616883,-1.349,>2013,- - 3 - - -,3,669.8,,,"POLYGON ((22783.26000000164 381756.55000000075, 22822.70100000128 381627.54399999976, 22631.44000000134 381569.0700000003, 22591.9990000017 381698.07499999925, 22783.26000000164 381756.55000000075))"
trend_2006_100.15,0,1700584,17,584,13,33.34,20.34,0.373,-,- - - - - -,1,474.6,,,"POLYGON ((22337.9990000017 381619.07499999925, 22327.09299999848 381654.74500000104, 22518.35399999842 381713.2199999988, 22529.258999999613 381677.55000000075, 22337.9990000017 381619.07499999925))"
trend_2006_100.16,0,1700602,17,602,-5,33.22,38.22,0.305,-,- - - - - -,1,461,,,"POLYGON ((22173.997999999672 381568.07499999925, 22165.08100000024 381597.2430000007, 22356.34200000018 381655.7170000002, 22365.258999999613 381626.55000000075, 22173.997999999672 381568.07499999925))"
trend_2006_100.17,0,1700619,17,619,-8,27.85,35.85,0.162,-,- - - - - -,1,432.4,,,"POLYGON ((22003.997999999672 381516.07499999925, 21999.26199999824 381531.56700000167, 22190.522999998182 381590.04199999943, 22195.258999999613 381574.55000000075, 22003.997999999672 381516.07499999925))"
trend_2006_100.18,0,1700638,17,638,5,36.62,31.62,0.934,-,- - - - - -,1,586.8,,,"POLYGON ((21827.997999999672 381461.07499999925, 21800.690999999642 381550.39400000125, 21991.951999999583 381608.8680000007, 22019.258999999613 381519.5489999987, 21827.997999999672 381461.07499999925))"
trend_2006_100.19,0,1700663,17,663,43,53,10,0.113,-,- - - - - -,1,422.6,,,"POLYGON ((21588.997999999672 381387.07499999925, 21585.695000000298 381397.8819999993, 21776.95600000024 381456.35599999875, 21780.258999999613 381445.55000000075, 21588.997999999672 381387.07499999925))"
trend_2006_100.20,0,1700684,17,684,44,63.73,19.73,0.193,-,- - - - - -,1,438.6,,,"POLYGON ((21382.997999999672 381324.07499999925, 21377.355000000447 381342.5320000015, 21568.616000000387 381401.006000001, 21574.258999999613 381382.55000000075, 21382.997999999672 381324.07499999925))"
trend_2006_100.21,0,1700705,17,705,33,60.19,27.19,-0.9,>2013,- - - - - -,3,580,,,"POLYGON ((21374.258999999613 381320.5489999987, 21400.572999998927 381234.4820000008, 21209.311999998987 381176.0080000013, 21182.997999999672 381262.07499999925, 21374.258999999613 381320.5489999987))"
trend_2006_100.22,0,1700730,17,730,37,55.17,18.17,-2.414,2010,- - - - - -,3,882.8,,,"POLYGON ((21140.258999999613 381247.5489999987, 21210.837999999523 381016.6979999989, 21019.576999999583 380958.22300000116, 20948.997999999672 381189.07499999925, 21140.258999999613 381247.5489999987))"
trend_2006_100.23,0,1700751,17,751,37,62.56,25.56,-2.185,>2013,- - - - - -,3,837,,,"POLYGON ((20942.258999999613 381186.55000000075, 21006.142000000924 380977.59699999914, 20814.881000000983 380919.1229999997, 20750.997999999672 381128.07499999925, 20942.258999999613 381186.55000000075))"
