FID,vrt_code,vrtnaam,haven_vaar,meetpunt_b,meetpunt_e,trajectlen,trajectnr,traject_v_,ysc_naam,ysc_nr,ysc_tel_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
ijstraject.1,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,37.8,45.4,,01 - 02,Hoge brug Rotterdam - Delft,Prov. Zuid-Holland,,070-4418536,,29362984,,,"LINESTRING (52.00569999999999 4.361499998999989, 52.00529999999998 4.360800002000019, 52.00490000100001 4.361200000999986, 52.00459999999998 4.36160000000001, 52.003800001 4.3621000009999875, 52.002999999 4.362599998999997, 51.9991 4.365499999000008, 51.99859999900002 4.365899999000021, 51.99810000100001 4.366300002000003, 51.996699999999976 4.367400002000011, 51.99410000099999 4.369199998999989, 51.99350000200002 4.369600002000027, 51.99280000099998 4.370200001000001, 51.9923 4.3706000000000245, 51.9914 4.371100001000002, 51.99049999900001 4.371800001999986, 51.98950000100001 4.372699997999973, 51.98860000100001 4.373399999000014, 51.987599999 4.37420000100002, 51.98700000000002 4.374799999999993, 51.98640000099999 4.375200000000007, 51.98539999899998 4.3759000000000015, 51.985199998999974 4.376100000000008, 51.9846 4.376400000999979, 51.983299999999986 4.377500000999987, 51.98270000100001 4.377900001, 51.98219999999998 4.378199998000014, 51.981699999 4.378600000999995, 51.980399999999975 4.379700001000003, 51.97910000000002 4.3808999990000075, 51.97859999899998 4.381299999000021, 51.97810000200002 4.3819000010000195, 51.97700000200001 4.3827, 51.9769 4.38280000200001, 51.97659999899997 4.383099999000024, 51.975900002 4.383600000000001, 51.97419999900001 4.384799998000005, 51.973599999999976 4.385299998999983, 51.973099999 4.385699998999996, 51.971900000999995 4.386500001000002, 51.97089999899998 4.387200001999986, 51.970699998999976 4.387299999999982, 51.969599999000025 4.388300001999994, 51.96880000099998 4.388999999000021, 51.967300002 4.390000000999976, 51.964800000000025 4.391899998999975, 51.96379999800001 4.392600000000016, 51.96300000000002 4.3931999989999895, 51.96170000000001 4.3942000010000015, 51.9597 4.395699999999977, 51.958999999000014 4.396299999000007, 51.95839999999998 4.396899997999981, 51.956700001 4.398699998999973, 51.956200000000024 4.399400000000014, 51.95569999899999 4.400400002000026, 51.95369999899998 4.40379999999999, 51.95320000100003 4.404699999999991, 51.95239999900002 4.40590000200001, 51.951900002 4.40659999799999, 51.95120000100002 4.407800000000009, 51.950800001999994 4.408500000999993, 51.950300001000016 4.4094000009999945, 51.949700001999986 4.410300001999985, 51.94839999800001 4.412500001000012, 51.94760000000002 4.414099998999973, 51.94700000099999 4.415199998999981)"
ijstraject.2,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,60.5,80.3,,26 - 27,Helmond – Nederweert(Z.W.vaart),RWS Zuid-Nederland Noord-Brabant,,013-5811881,,29386782,,,"LINESTRING (51.275199998000005 5.759799998000005, 51.27650000199998 5.758600000000001, 51.27739999800002 5.7577, 51.27739999800002 5.757599997999989, 51.27879999999999 5.756299999000021, 51.27959999799998 5.75569999999999, 51.280099999000015 5.755499999999984, 51.28069999799999 5.755299999999977, 51.29520000100001 5.752700000999994, 51.300000001 5.751899998999988, 51.30369999999999 5.751200002000019, 51.30739999899998 5.750700000999984, 51.31500000099999 5.749400001000026, 51.31779999999998 5.748899999999992, 51.32260000000002 5.748100001000012, 51.32990000000001 5.746800001999986, 51.33060000099999 5.746699999999976, 51.331200000000024 5.746599998000022, 51.33749999899999 5.745499998000014, 51.35240000099998 5.743000000999984, 51.362300000999994 5.741300002000003, 51.366300002 5.7406999990000145, 51.38029999999998 5.738299998999992, 51.38589999800001 5.737300000999994, 51.386799999000004 5.737199998999984, 51.387400001 5.7371000009999875, 51.38799999999998 5.7368000000000166, 51.38870000100002 5.736499998999989, 51.389400002 5.736000000999979, 51.390000000999976 5.735599997999998, 51.39050000200001 5.734999999000024, 51.391100000999984 5.734299998999973, 51.39209999899998 5.732900001000019, 51.393899999999974 5.730000000000018, 51.395100001 5.728000000000009, 51.395500001000016 5.727400000999978, 51.39589999999998 5.72679999799999, 51.39669999900002 5.7254999990000215, 51.399 5.721799998999984, 51.40120000000002 5.71840000200001, 51.403200001000016 5.715100001999986, 51.408199998999976 5.707100000000025, 51.409299998999984 5.705400000999987, 51.410199999999975 5.704399998999975, 51.41099999800002 5.70369999899998, 51.41160000100001 5.703200001000027, 51.412099997999974 5.7029, 51.41629999899999 5.701299999000014, 51.41899999999998 5.7003999990000125, 51.41959999900001 5.700300001000016, 51.42260000099998 5.699400000000026, 51.430500000999984 5.696600000999979, 51.43549999999999 5.694800000999976, 51.438800000000015 5.693700001000025, 51.43980000200003 5.69319999999999, 51.442299999 5.692099999999982)"
ijstraject.3,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,0,10,,09 - 10,Oude Houthaven – RV.Haarlemmermeer,Waternet,,020-6082652,,29386798,,,"LINESTRING (52.395399999000006 4.890900000999977, 52.39409999899999 4.889499999999998, 52.393399998999996 4.888500001000011, 52.392499998000005 4.887200001999986, 52.39180000099998 4.886500001000002, 52.391100000999984 4.8858999980000135, 52.39070000100003 4.885600001, 52.39019999999999 4.885400000999994, 52.388300001999994 4.884500000999992, 52.38760000100001 4.884100000999979, 52.386500001 4.88349999899998, 52.386199999999974 4.8832999989999735, 52.38500000200003 4.882199999000022, 52.38410000099998 4.881700002000002, 52.38290000000001 4.8808999990000075, 52.382300000999976 4.880399997999973, 52.381999999000016 4.879799998999999, 52.3818 4.879099999000005, 52.380600001999994 4.8740999999999985, 52.375700000999984 4.87009999899999, 52.37259999999998 4.8673, 52.363800000000026 4.8592000009999765, 52.36180000000002 4.857599999999991, 52.36080000200002 4.857099999000013, 52.35929999899997 4.855999999000005, 52.357500001999995 4.854600000999994, 52.35709999900001 4.854200002000027, 52.35689999900001 4.854200002000027, 52.356299999999976 4.854100000000017, 52.354800001 4.853599998999982, 52.351 4.852400000999978, 52.34789999899999 4.851300001000027, 52.342700001000026 4.848299999000005, 52.34209999799998 4.847899998999992, 52.34050000100001 4.8469000009999945, 52.339400001 4.846799998999984, 52.33680000200002 4.847100001000001, 52.33590000100003 4.8469000009999945, 52.335800000000006 4.8469000009999945, 52.33449999999999 4.846299998000006, 52.33339999999998 4.844500002000018, 52.332299999999975 4.842099997999981, 52.331399999999974 4.8390000019999775, 52.33100000000002 4.836500000000001, 52.330899998999996 4.834299999999985, 52.33109999800001 4.830899998999996, 52.33100000000002 4.82869999899998, 52.33109999800001 4.826499999000021, 52.331200000000024 4.824400000000026, 52.33109999800001 4.822799998999983, 52.33069999899999 4.8214000020000185, 52.330100000000016 4.82030000200001, 52.327199999000015 4.816799998000022)"
ijstraject.4,066,Harlingen-Bolsward,,0,0.7,,25 - 26,Industriekanaal Harlingen,Prov. Friesland,,0566-689209,,25043714,,,"LINESTRING (53.17779999999999 5.442699999000013, 53.177599999999984 5.442499999000006, 53.17739999999998 5.442299998999999, 53.175700000999996 5.440099998999983, 53.175299998000014 5.4395000000000095, 53.175000001 5.438900000999979, 53.174699998999984 5.43829999899998, 53.17450000000002 5.437299999999993, 53.17450000000002 5.436299997999981, 53.17450000000002 5.435099999999977)"
ijstraject.5,206,Oude Rijn,,23.3,31.1,,13 - 14,Bodegraven - grens prov Utrecht,Prov. Zuid-Holland,,,,25112451,,,"LINESTRING (52.07849999899997 4.811000001000025, 52.078899998 4.809900001000017, 52.07930000099998 4.808800001000009, 52.080100000000016 4.807000000000016, 52.08159999899999 4.803699999999992, 52.082899999000006 4.801199999000005, 52.08419999900002 4.79910000000001, 52.08549999799999 4.7971, 52.08570000200001 4.796599999000023, 52.08590000100003 4.796100002000003, 52.08599999900002 4.795600001000025, 52.08599999900002 4.794899999999984, 52.08599999900002 4.793699998000022, 52.08590000100003 4.792599998000014, 52.08590000100003 4.791900000999988, 52.08539999999999 4.790100000999985, 52.0847 4.788099999999986, 52.084100001000024 4.7859000000000265, 52.08339999999998 4.783300000999986, 52.083000001000016 4.782099999000025, 52.08249999999998 4.780099999000015, 52.082299999999975 4.778999999000007, 52.081999999000004 4.777699999999982, 52.08159999899999 4.774599998999975, 52.08100000000002 4.770100001000003, 52.08049999899998 4.766700000000014, 52.08040000099999 4.765299997999989, 52.08040000099999 4.7639000010000245, 52.08040000099999 4.762999999999977, 52.08060000099999 4.761900000000026, 52.080800001 4.7608999980000135, 52.08100000000002 4.760000002000027, 52.081200000000024 4.7593000009999855, 52.081999999000004 4.757300000999976, 52.083000001000016 4.754999999000006, 52.083999999000014 4.751800000999992, 52.08419999900002 4.7509999979999975, 52.08439999799998 4.749699998999972, 52.0847 4.748100001000012, 52.084899999000015 4.747099999, 52.084899999000015 4.746599998000022, 52.084899999000015 4.7459999989999915, 52.085000001000026 4.745400000000018, 52.08509999900002 4.744700000000023, 52.08529999899997 4.743999998999982, 52.08549999799999 4.743200000000002, 52.08590000100003 4.7423, 52.08619999899997 4.7417000010000265, 52.0865 4.741300002000003, 52.08680000200002 4.740899999000021, 52.087900002000026 4.740099999999984, 52.08900000199998 4.73950000100001, 52.090300001 4.738999999999976, 52.090899999999976 4.738899998000022, 52.092599999000015 4.738499998999998, 52.09409999799999 4.738400001000002, 52.09530000000001 4.738299998999992, 52.096799998999984 4.738099999999974, 52.09760000199998 4.738000001999978, 52.09820000100001 4.737900000000025, 52.099699999999984 4.737000000000023, 52.10069999799998 4.7360999989999755, 52.101699999999994 4.735100000999978, 52.10240000099998 4.734299998999973, 52.103500000999986 4.733199999000021, 52.10469999899999 4.731899999000007, 52.105799999 4.730599998999992, 52.10680000100001 4.729200002000027)"
ijstraject.6,013,"Winschoterdiep, Rensel en havens te Winschoten",,0,22.3,,07 - 09,Zuidbroek – Groningen  WSD,Prov. Groningen,,050-3164579,,29362847,,,"LINESTRING (53.221799998999984 6.5965000020000275, 53.220800000999986 6.596700001999977, 53.21999999899998 6.596999998999991, 53.21900000099998 6.597399998000014, 53.21799999799998 6.597800001999985, 53.21640000100001 6.5984000000000265, 53.215700001000016 6.598799999999983, 53.213900000000024 6.599699999999984, 53.212099998999975 6.600299999000015, 53.208999999000014 6.601500000999977, 53.20719999800002 6.602600000999985, 53.20600000000002 6.603700000999993, 53.20479999899999 6.605300001999979, 53.20400000000001 6.606699999, 53.20269999999999 6.6096, 53.20100000100001 6.612900000000025, 53.198500000000024 6.6180999989999805, 53.19750000200003 6.620000000999994, 53.196699998999975 6.6220000010000035, 53.19440000100002 6.6259000000000015, 53.193700001000025 6.627200000000016, 53.19260000100002 6.630100001000017, 53.189700000000016 6.637699999000006, 53.18760000200001 6.643100000999993, 53.186900001000026 6.644999999999982, 53.185299999999984 6.6492000000000075, 53.18439999999998 6.651999998999997, 53.18409999800002 6.6534999979999725, 53.18380000100001 6.654800002000002, 53.183600001 6.656300000999977, 53.18220000000002 6.663400002000003, 53.180199999000024 6.672800000999985, 53.179099999000016 6.677900001000012, 53.17729999900001 6.686999999000022, 53.174699998999984 6.699099998999998, 53.174199998000006 6.7014000010000245, 53.17399999899999 6.702699999999993, 53.173700000999986 6.704300000999979, 53.17379999899998 6.705400000999987, 53.174199998000006 6.706799998999998, 53.17430000000002 6.707899999000006, 53.17440000200003 6.70919999900002, 53.17440000200003 6.710399999999993, 53.17430000000002 6.7117000000000075, 53.172800000999985 6.719700000999978, 53.170799999999986 6.7307999989999985, 53.17040000100002 6.733100001000025, 53.168499999000005 6.7430999989999805, 53.168200001 6.745700001999978, 53.168000000999996 6.749799999999993, 53.16809999899999 6.75569999999999, 53.16809999899999 6.7593000009999855, 53.168200001 6.769699998000021, 53.168299999 6.777399998000021, 53.168299999 6.782099999000025, 53.168000000999996 6.78929999799999, 53.167899999999975 6.791700002000027, 53.167300001 6.8034999999999854, 53.167100000999994 6.80759999899999, 53.166999998999984 6.809000000000026, 53.16690000099999 6.815900001999978, 53.16680000000002 6.81740000100001, 53.16660000000002 6.819099999999992, 53.16270000100002 6.838399998999989, 53.161499999 6.844200000000001, 53.16120000199999 6.846299998000006, 53.161099999999976 6.848299999000005, 53.161099999999976 6.850000001000012, 53.16199999999998 6.8610999989999755, 53.162099997999974 6.862799998000014, 53.162199999999984 6.864899999999977, 53.162900001000025 6.874600000999976, 53.162900001000025 6.874699998999972, 53.163400002 6.882399998999972, 53.1635 6.886199999999974, 53.1635 6.887499998999999, 53.16360000100002 6.888999999000021, 53.163699999000016 6.889400002000002, 53.16400000099998 6.892499998000005)"
ijstraject.7,006,"Vaarwegen in de stad Groningen, Reitdiep en Lauwersmeer",,0,1.6,,09 - 10,Groningen - Noord-Willemskanaal,Prov. Groningen,,050-3164579,,29362908,,,"LINESTRING (53.221799998999984 6.5965000020000275, 53.22140000000002 6.595100000999992, 53.21999999899998 6.590100001999986, 53.21999999899998 6.589999999999975, 53.21849999900002 6.584899999000015, 53.21719999999999 6.580400000999987, 53.216699999000014 6.579000000000008, 53.216200001999994 6.577399999000022, 53.21599999799997 6.576999999999998, 53.215700001000016 6.576499999000021, 53.215599999000005 6.576499999000021, 53.214999999999975 6.576000001000011)"
ijstraject.8,119,Maas-Waalkanaal,,0,12.6,,03 - 16,Maas-Waalkanaal,RWS Oost-Nederland Zuid,,026-3642747,,27743280,,,"LINESTRING (51.758099999000024 5.86450000100001, 51.758699998 5.863499998999998, 51.75939999899998 5.862500001000001, 51.76020000099999 5.861200000999986, 51.761799999000004 5.858399997999982, 51.762800001000016 5.857000001000017, 51.76309999799997 5.856699999, 51.763900001000025 5.855999999000005, 51.7654 5.854899998999997, 51.76729999899999 5.853399998999976, 51.76799999899998 5.853399998999976, 51.77109999999999 5.85110000100002, 51.771799999999985 5.850200001000019, 51.77479999899998 5.848000001000003, 51.778099999000005 5.845699998999976, 51.778099999000005 5.845600002000026, 51.78099999900002 5.843600001000027, 51.784600001 5.8405999990000055, 51.78620000199999 5.8390999999999735, 51.78889999900002 5.836199998999973, 51.79989999899999 5.822299998000005, 51.80229999900001 5.819200002000002, 51.80400000100002 5.817600001000017, 51.806299998999975 5.816100000999995, 51.81769999900001 5.8115999999999985, 51.82270000099999 5.8095000010000035, 51.825800001999994 5.808299999999974, 51.82869999899998 5.807500000999994, 51.83060000099999 5.807200000000023, 51.832699999 5.807300000999987, 51.83480000100002 5.807900000000018, 51.83639999899998 5.808699998999998, 51.83760000000001 5.809399999999982, 51.84409999799999 5.814599998000006, 51.852299999000024 5.821699998999975, 51.85440000099999 5.8233999980000135, 51.85469999899999 5.823699999999974, 51.85839999799998 5.826099999000007, 51.859399999999994 5.826499999000021)"
ijstraject.9,060,Lemmer - Delfzijl,,118,119.5,,15 - 17,Friese hoek - Pr. Margrietsluis,RWS Midden-Nederland Noord,,0320-261111,,29363131,,,"LINESTRING (52.84510000099999 5.672899998999981, 52.8442 5.672699998999974, 52.842900000999975 5.672499999000024, 52.84019999999998 5.672499999000024, 52.839800000000025 5.672400001000028, 52.839200000999995 5.6721, 52.837800000000016 5.670600001000025, 52.8365 5.668900001999987, 52.835200000999976 5.667100000999994, 52.83329999799997 5.664099998999973)"
ijstraject.10,129,Schelde-Rijnverbinding,,26.5,38.4,,04 - 05,Kreekraksluizen - Antwerpen,RWS Zee en Delta Noord,,0113-622110,,29386591,,,"LINESTRING (51.43259999899999 4.233499999999992, 51.42579999899999 4.234700002000011, 51.40239999800002 4.23950000100001, 51.397100002 4.240800001000025, 51.39209999899998 4.242699999000024, 51.389699999000015 4.24430000000001, 51.387499999 4.245900000999995, 51.384300000999986 4.249400001000026, 51.381999999000016 4.252599998999983, 51.380600001999994 4.25490000100001, 51.37959999999998 4.256700002000002, 51.378899999 4.2582999989999735, 51.377900001 4.260299998999983, 51.37640000099998 4.264699999000015, 51.375700000999984 4.267700002000026, 51.37520000000001 4.269499999000004, 51.374400001000026 4.274599998999975, 51.37389999999999 4.279300001000024, 51.373500001000025 4.292399998999997, 51.37330000100002 4.295000001999995, 51.372900001999994 4.296899999999994, 51.37240000100002 4.2985999989999755, 51.371800001999986 4.299699998999984, 51.370900000999995 4.300299998000014, 51.36870000099998 4.300400000000025, 51.361699998000006 4.300500001999978, 51.35920000099998 4.300700000999996, 51.34989999999999 4.300799998999992)"
