OBJECTID,OP_TALUD,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,TIJDSTIP_REGISTRATIE,Shape__Area,Shape__Length
1,Nee,G1979,Eemsdelta,bestaand,0,onverhard,39.967,283,,2022/06/22 13:41:34+00,39.9666965,27.5192990657013
2,Nee,G0037,Stadskanaal,bestaand,0,onverhard: zand,5.817,283,,2015/06/25 16:00:54+00,5.814986065,9.30953721201966
3,Nee,G0037,Stadskanaal,bestaand,0,erf,138.129,283,,2015/06/25 16:09:58+00,138.1292495,88.1473990031578
4,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.174,283,,2022/12/22 15:31:16+00,0.173798,1.66801186119509
5,Nee,G0453,Velsen,bestaand,0,gesloten verharding,4.729,283,,2022/12/22 15:31:16+00,4.729017,8.80713978547831
6,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.164,283,,2022/12/22 15:31:16+00,0.163744,1.61875011210326
7,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.107,283,,2022/12/22 15:31:16+00,0.1073535,1.61527180645159
8,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.161,283,,2022/12/22 15:31:16+00,0.161157,1.60583062382147
9,Nee,G0453,Velsen,bestaand,0,gesloten verharding,12.036,283,,2022/12/22 15:31:16+00,12.0358365,14.5630389537616
10,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.164,283,,2022/12/22 15:31:16+00,0.1641485,1.62112455312469
11,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.175,283,,2022/12/22 15:31:16+00,0.175272,1.67522930096595
12,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.178,283,,2022/12/22 15:31:16+00,0.178083,1.6893283165548
13,Nee,G0453,Velsen,bestaand,0,gesloten verharding,0.156,283,,2022/12/22 15:31:16+00,0.1560555,1.58027214466335
14,Nee,G0037,Stadskanaal,bestaand,0,erf,494.582,283,,2021/04/07 15:26:40+00,494.582017,154.935827136479
15,Nee,G0037,Stadskanaal,bestaand,0,onverhard: zand,5.963,283,,2015/06/25 16:00:54+00,5.96091195,9.41982613131032
16,Nee,G0037,Stadskanaal,bestaand,0,erf,8039.516,283,,2021/04/07 15:26:40+00,8037.644619165,1238.73250258876
17,Nee,G0037,Stadskanaal,bestaand,0,onverhard: zand,5.855,283,,2015/06/25 16:00:54+00,5.85312749,9.34678211865139
18,Nee,W0646,Waterschap Hunze en Aa's,bestaand,0,open verharding,4.773,283,,2015/08/18 12:16:06+00,4.772709,11.5431786772247
19,Nee,G0074,Heerenveen,bestaand,0,erf,860.536,283,,2021/04/13 15:56:52+00,860.535802,294.52772296242
20,Nee,G1979,Eemsdelta,bestaand,0,erf,6102.201,283,,2022/12/16 09:42:38+00,6102.201153,1028.13526494004
21,Nee,G0772,Eindhoven,bestaand,0,erf,109.711,283,,2021/10/19 13:58:07+00,109.710928,50.9769792427242
22,Nee,G0037,Stadskanaal,bestaand,0,onverhard: zand,29.002,283,,2015/08/18 10:51:19+00,29.001571,21.3868593448823
23,Nee,W0646,Waterschap Hunze en Aa's,bestaand,0,gesloten verharding: asfalt,2950.868,283,,2015/08/18 12:16:27+00,2950.867634,271.178581107571
24,Nee,G0037,Stadskanaal,bestaand,0,onverhard: zand,5.804,283,,2015/08/18 10:51:19+00,5.802685015,9.29412873903179
25,Nee,W0646,Waterschap Hunze en Aa's,bestaand,0,open verharding,8.393,283,,2015/08/18 12:16:01+00,8.393057,12.4037923070859
26,Nee,W0646,Waterschap Hunze en Aa's,bestaand,0,open verharding,25.409,283,,2015/08/18 12:15:49+00,25.4089495,22.3313882069855
