Leverancier;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Samhoud Nederland B.V.;;;1;;1
100 kilo;;;;1;1
24 uur in bedrijf;;1;;;1
2Restore;;1;;;1
53 Graden Noord B.V.;;1;;;1
5PM B.V.;;;;1;1
A art Care;;1;;;1
A.N.W.B. Kampeercentrum 'aan Geul en Bos';;;1;;1
Aalsmeerse Bloemenhal Berendsen;;1;;;1
About Flowers;;1;;1;1
Accor Hospitality Nederland N.V.;;1;;;1
Ad Ballon Ballonvaarten B.V.;;;;1;1
Adema - Van den Berg t.h.o.d.n. Primera;;1;;;1
Administratiekantoor Kroese;;;1;;1
ADO Hospitality & Events B.V.;;;3;;3
Adventure Eefde;;;1;;1
AIB Nieuwsdienst;1;;;;1
Akkermans Leisure & Golf;;;1;;1
Albyco Nederland B.V.;1;;;;1
All Golf;;1;;;1
All Music Publishing B.V.;;;;1;1
Allekabels B.V.;1;;;;1
Allers;;1;;;1
Allizi Bikes B.V.;;1;;;1
A-Mac B.V.;;;;1;1
Amazing Flowers;;1;;;1
Ampco Flashlight Sales B.V.;;;4;;4
Amstel Boathouse B.V.;;;2;;2
Anna Vastgoed Beheer B.V.;;;2;;2
Anoniem_DEF_106;;;;1;1
Anoniem_DEF_107;;;;1;1
Anoniem_DEF_108;;1;;;1
Anoniem_DEF_111;;;;1;1
Anoniem_DEF_121;;1;;;1
Anoniem_DEF_127;;;;1;1
Anoniem_DEF_128;;1;;;1
Anoniem_DEF_135;;;;1;1
Anoniem_DEF_14;;;;1;1
Anoniem_DEF_142;;;;1;1
Anoniem_DEF_143;;;1;1;1
Anoniem_DEF_144;;1;;;1
Anoniem_DEF_150;;;;1;1
Anoniem_DEF_16;;;;2;2
Anoniem_DEF_161;;1;;;1
Anoniem_DEF_173;;;;1;1
Anoniem_DEF_176;;1;;;1
Anoniem_DEF_178;;;;1;1
Anoniem_DEF_185;;1;;;1
Anoniem_DEF_186;;;1;;1
Anoniem_DEF_191;;1;;;1
Anoniem_DEF_203;;;1;;1
Anoniem_DEF_205;;;;1;1
Anoniem_DEF_21;;1;;;1
Anoniem_DEF_210;;1;;;1
Anoniem_DEF_214;;;;1;1
Anoniem_DEF_218;;;;2;2
Anoniem_DEF_225;;;;1;1
Anoniem_DEF_233;;;;1;1
Anoniem_DEF_234;;;1;;1
Anoniem_DEF_24;;;;1;1
Anoniem_DEF_246;;1;;;1
Anoniem_DEF_252;;;1;1;1
Anoniem_DEF_258;1;;;;1
Anoniem_DEF_263;;1;;;1
Anoniem_DEF_266;;;;1;1
Anoniem_DEF_267;;;2;2;2
Anoniem_DEF_279;;1;;;1
Anoniem_DEF_280;;;1;1;1
Anoniem_DEF_285;;;1;;1
Anoniem_DEF_288;;;;1;1
Anoniem_DEF_29;;2;;;2
Anoniem_DEF_299;;;;1;1
Anoniem_DEF_305;;1;;;1
Anoniem_DEF_31;;;;1;1
Anoniem_DEF_313;;;;1;1
Anoniem_DEF_314;;;;1;1
Anoniem_DEF_315;;;1;;1
Anoniem_DEF_319;;;;1;1
Anoniem_DEF_320;;;;1;1
Anoniem_DEF_321;;;;1;1
Anoniem_DEF_327;;1;;;1
Anoniem_DEF_330;;;1;;1
Anoniem_DEF_341;;1;;;1
Anoniem_DEF_349;;1;;;1
