Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
.FABRIC;3;;;;3
19 het atelier architecten;1;;;;1
2Bcreated;1;;;;1
310k;2;;;;2
360 Veiligheid B.V.;1;;;;1
3DX3;1;;;;1
4A Engineering B.V.;1;;;;1
64.IFH geschlossener Immobilienfonds für Holland GmbH & Co. KG;;3;;6;6
A. Hak Rijnmond B.V.;1;;;;1
A. Hak West B.V.;4;2;;;4
A.C. Autocare Nederland;2;;;;2
A.C.C. Aruba Climate Control N.V.;2;;;;2
A.H. van Voorthuijsen;;;;1;1
A.H. Vrij Groen, Grond en Infra B.V.;4;;;;4
A.M.K. Oirschot V.O.F.;1;;;;1
A.R.K. Audio-video B.V.;2;;;;2
A.S.B. Inbraakbeveiliging;2;;;;2
A.T.S. Trading;2;;;;2
A1 Expresskoerier;;;;1;1
A3MC Management & Consultancy B.V.;2;;;;2
Aa & C Nederland B.V.;2;;;;2
AA Installatietechniek Nederland B.V.;3;2;;;3
Aakwadraat Networks B.V.;3;2;;;3
Aalbers - Indeko B.V.;1;;;;1
Aalbers Constr.werkpl. en Machinefabriek B.V.;2;;;;2
Aann.- en Verhuurbedr. J. Hoondert & Zn. B.V.;2;;;;2
Aann.bedr. P.A. van Miltenburg & Zn. B.V.;5;;;;5
Aannem.maatsch. De Vries & Van de Wiel B.V.;1;;;;1
Aannemersbedrijf A. Faber B.V.;3;;;;3
Aannemersbedrijf Fokker B.V.;1;;;;1
Aannemersbedrijf Gebroeders Horstink B.V.;2;;;;2
Aannemersbedrijf M.P. Drijvers B.V.;5;;;;5
Aannemersbedrijf Peters B.V.;3;;;;3
Aannemersbedrijf Roseboom B.V.;4;;;;4
Aannemersbedrijf Versteeg;4;;;;4
Aannemings- en Install.Bedr. Kwakernaak B.V.;4;;;;4
Aannemingsbedrijf A. Tuin Den Helder B.V.;2;;;;2
Aannemingsbedrijf A.W.M. Meeusen en Zn. B.V.;5;;;;5
Aannemingsbedrijf Carlebur B.V.;6;;;;6
Aannemingsbedrijf De Bokx B.V.;1;;;;1
Aannemingsbedrijf Dozy B.V.;5;;;;5
Aannemingsbedrijf Draisma B.V.;7;;;;7
Aannemingsbedrijf Gebr. van Stiphout B.V.;2;;;;2
Aannemingsbedrijf Hoefakker B.V.;1;;;;1
Aannemingsbedrijf L. Ligtvoet B.V.;2;;;;2
Aannemingsbedrijf P. Klein en Zoon B.V.;5;;;;5
Aannemingsbedrijf W.A.J. van Benten;2;;;;2
Aannemingsmaatschappij Hegeman B.V.;6;;;;6
Aannemingsmaatschappij Van Gelder B.V.;3;;;;3
Aannemingsmaatschappij ZVS Eemnes B.V.;4;;;;4
ABC Security Systems B.V.;6;;;;6
ABC Zoetermeer B.V.;;;;1;1
Abiom Communication Systems (A.C.S.) B.V.;3;;;;3
ABO-Milieuconsult B.V.;2;;;;2
About Flowers;1;;;;1
ABT B.V.;5;;;;5
Acacia Water B.V.;2;;;;2
Accres Real Estate B.V.;;2;;3;4
Accretio Vastgoed B.V.;;;;2;2
Achmea Services;;3;;5;5
Achterberg Schilders B.V.;2;;;;2
Ad Hoc Data B.V.;;;;1;1
Ad Hoc Security B.V.;;;;2;2
AddVoltage B.V.;4;;;;4
Admiraal Schilders B.V.;2;;;;2
Advast Real Estate Office Support;2;;;;2
Adviesbureau Brekelmans;1;;;;1
Adviesbureau I.O.W. B.V.;1;;;;1
Adviesbureau Newton B.V.;;;;1;1
Adviesbureau Van den Bosch;2;;;;2
Adviesbureau voor Oppervlaktetechnologie;1;;;;1
Adviesburo de Vaal B.V.;2;;;;2
AED Solutions B.V.;1;;;;1
Aelmans Service- en Stafdiensten B.V.;;;;1;1
Aemoces B.V.;1;;;;1
AEREA B.V.;2;1;;;2
Aermast Holland;1;;;;1
Aerolux B.V.;2;;;;2
AEVES B.V.;2;;;;2
Afpro Filtertechniek B.V.;4;;;;4
Afvalwater Services B.V.;2;;;;2
Afvalwatertechniek NB Milieu B.V.;2;;;;2
AG Nova Architekten Amersfoort B.V.;2;;;;2
AgriTeam Noord-Holland B.V.;;;;1;1
AHA-Adviseurs;4;;;;4
Ahrend v. Ipenburg;1;;;;1
Ahrens GmbH;1;;;;1
Air Cooling Services;3;;;;3
Air Group B.V.;2;;;;2
AIR QUALITY IMPROVEMENT B.V.;3;;;;3
Airport Maintenance Services B.V.;2;;;;2
Airsain;2;;;;2
Akkermans Interieurbouw B.V.;2;;;;2
Ako Sol B.V.;1;;;;1
Alberts & Muus Bedrijfshuisvesting B.V.;;;;2;2
Albro Bouw en Advies;1;;;;1
Alfatech;5;;;;5
Algeco B.V.;2;;;4;4
Algemeen Bouwbedrijf Albo Aruba N.V.;6;;;;6
Algemeen Pensioenfonds van Curacao;;;;5;5
Algemene Stichting Welzijn Appingedam;;;;1;1
Alhako Aluminiumindustrie B.V.;1;;;;1
Alimak Group Benelux B.V.;6;;;;6
All IT Rooms B.V.;3;;;;3
Alliander N.V.;1;2;;;2
Allinq Networks B.V.;4;;;;4
Allsafe Mini Opslag Amsterdam B.V.;;2;;5;5
Alluance Group B.V.;1;;;;1
Alp Lift B.V.;1;;;;1
Alphaplan B.V.;3;;;;3
Alpheios B.V.;1;;;;1
Alsta Nassau B.V.;4;;;;4
Altavilla B.V.;2;;;;2
Altena Cleaning Beheer B.V.;6;;;;6
Altena Group B.V.;1;;;;1
Altop Kunststoftechniek B.V.;2;;;;2
Alument B.V.;1;;;;1
Alvero Kantoormeubelverhuur B.V.;2;;;;2
Amdev Vastgoedcombinatie B.V.;;;;2;2
Amenddak;5;;;;5
AMI Maastricht;2;;;;2
AMMANU International Sales B.V.;1;;;;1
AMT Allround Montage & Timmerbedrijf.;3;;;;3
Analyselab B.V.;1;;;;1
Analytisch Diagnostisch Centrum NV;3;;;;3
Andale;1;;;;1
Andersson Elffers Felix;1;;;;1
Andre Hekel, Metaal;1;;;;1
Andre Knaapen VOR;3;;;;3
Anglican Church The Bottom, Saba;;;;2;2
Anna Vastgoed & Cultuur;;;;1;1
Anna Vastgoed Beheer B.V.;2;;;;2
Anoniem_BZK_100;7;;;;7
Anoniem_BZK_104;;;;1;1
Anoniem_BZK_109;4;;;;4
Anoniem_BZK_110;1;;;;1
Anoniem_BZK_112;1;;;;1
Anoniem_BZK_124;;;;1;1
Anoniem_BZK_127;;;;3;3
Anoniem_BZK_128;1;;;;1
Anoniem_BZK_130;4;;;;4
Anoniem_BZK_131;7;;;;7
Anoniem_BZK_132;;;;2;2
Anoniem_BZK_137;2;;;;2
Anoniem_BZK_145;1;;;;1
Anoniem_BZK_152;2;;;;2
Anoniem_BZK_159;1;;;;1
Anoniem_BZK_16;2;;;;2
Anoniem_BZK_17;4;;;;4
Anoniem_BZK_171;3;;;;3
Anoniem_BZK_178;3;;;;3
Anoniem_BZK_18;;;;2;2
Anoniem_BZK_184;5;;;;5
Anoniem_BZK_185;;;;5;5
Anoniem_BZK_186;;;;1;1
Anoniem_BZK_195;;;;1;1
Anoniem_BZK_197;1;;;;1
Anoniem_BZK_200;2;;;;2
Anoniem_BZK_203;3;;;;3
Anoniem_BZK_206;7;;;;7
Anoniem_BZK_214;1;;;;1
Anoniem_BZK_215;;1;;2;2
Anoniem_BZK_222;1;;;;1
Anoniem_BZK_243;6;;;;6
Anoniem_BZK_246;;2;;2;2
Anoniem_BZK_251;6;;;2;6
Anoniem_BZK_253;5;;;;5
Anoniem_BZK_262;1;;;;1
Anoniem_BZK_267;1;;;;1
Anoniem_BZK_268;1;;;;1
Anoniem_BZK_27;;;;5;5
Anoniem_BZK_29;1;;;;1
Anoniem_BZK_302;;;;1;1
Anoniem_BZK_305;1;;;;1
Anoniem_BZK_313;1;;;;1
Anoniem_BZK_317;1;;;;1
Anoniem_BZK_323;2;;;;2
Anoniem_BZK_328;;;;2;2
Anoniem_BZK_329;1;;;;1
Anoniem_BZK_33;3;;;;3
Anoniem_BZK_34;7;;;;7
Anoniem_BZK_35;7;;;;7
Anoniem_BZK_351;;;;1;1
Anoniem_BZK_36;3;;;;3
Anoniem_BZK_362;1;;;;1
Anoniem_BZK_363;3;;;;3
Anoniem_BZK_365;;;;1;1
Anoniem_BZK_366;1;;;;1
Anoniem_BZK_368;1;;;2;2
Anoniem_BZK_369;9;;;;9
Anoniem_BZK_37;1;;;;1
Anoniem_BZK_372;;1;;2;2
Anoniem_BZK_373;1;;;;1
Anoniem_BZK_379;2;;;;2
Anoniem_BZK_38;7;;;;7
Anoniem_BZK_383;;1;;2;2
Anoniem_BZK_384;1;;;;1
Anoniem_BZK_388;1;;;;1
Anoniem_BZK_39;3;;;;3
Anoniem_BZK_400;6;;;;6
Anoniem_BZK_409;2;;;;2
Anoniem_BZK_410;4;;;;4
Anoniem_BZK_411;2;;;;2
Anoniem_BZK_413;1;;;;1
Anoniem_BZK_415;1;;;;1
Anoniem_BZK_42;3;;;;3
Anoniem_BZK_422;1;;;;1
Anoniem_BZK_424;1;;;;1
Anoniem_BZK_427;;4;;6;6
Anoniem_BZK_434;;;;2;2
Anoniem_BZK_437;2;;;;2
