Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;Eindtotaal
&Connect;1;;;1
Aalbers Holding B.V.;;;2;2
AddieBouwman;2;;;2
Ahrend Nederland B.V.;;;1;1
Ahrend Support B.V.;;;1;1
Aline Thomassen;;;1;1
A-Mac B.V.;1;;;1
AON Nederland C.V.;1;;;1
Arabisch Vertaalbureau Abdellatif (Ava);1;;;1
Atrium Vastgoedmanagement B.V.;1;;;1
Axiell ALM Netherlands B.V.;2;;;2
Bergh Brandkasten Service B.V.;1;;;1
Biesbroek Traductions;1;;;1
Blauvelt;1;;;1
Brink Management / Advies;;;1;1
Brinkhomes Custom Campers;1;;;1
Brouwer Technische Handelsonderneming B.V.;2;;;2
BSA Schaderegeling B.V.;1;;;1
Bulgaars Vertaalbureau Ani;1;;;1
Carnegie-Stichting;1;;;1
Castor Networks Fixed Services B.V.;1;;;1
CBRE Valuation Advisory;;;3;3
CCV Group B.V.;1;;;1
CGB Services;1;;;1
Chin. Ind. Rest. Walong;1;;;1
Chubb Fire & Security Twente;;;1;1
CIBT Netherlands;2;;;2
Creative Sign Crew;1;1;;1
Cushman & Wakefield V.O.F.;3;;;3
Customeyes B.V.;2;;;2
De Projectinrichter Holding B.V.;;;1;1
De Tijd' Bedrijfskleding;1;;;1
Dekker & Van Velzen;1;;;1
EcoGiving B.V.;1;;;1
Ega Multipromotions;1;;;1
English Translation Service;2;;;2
Erstad B.V.;1;;;1
Escrow Alliance B.V.;1;;;1
Eurotempest B.V.;2;;;2
EventGoodz B.V.;1;;;1
Fakton B.V.;1;;;1
FEDDE VERTAALT;1;;;1
Flexa Media;2;;;2
Forzes;1;;;1
Fox-IT;2;;;2
Gelecon B.V.;1;;;1
Gifts to Connect;1;;;1
Green Eye Solutions B.V.;1;;;1
H-4 Projekten B.V.;1;;;1
Heine en Van de Rijt Architecten B.V.;;;1;1
Hello Energy B.V.;1;;;1
Helmduinen;1;;;1
Het Sleutelhuis B.V.;;;2;2
HoffmanDME Techniek B.V.;;;2;2
Holland Water B.V.;1;;;1
Hollandse Hoogte B.V.;1;;;1
HTC service & installation B.V.;1;;;1
Huidzorg Delft;1;;;1
Ideeaanzee B.V.;2;;;2
ING Bank;2;4;1;4
ING Bank N.V.;1;;;1
Ingmar Spaaij;1;;;1
Intact;2;;;2
inVision Ondertiteling;1;;;1
J.G. Pot Advies;1;;;1
Jagafer Consulting Services JCS;1;;;1
Jill Whittaker Communications;1;;;1
Juris B.V.;1;;;1
Kamera Express;2;;;2
Koninklijke Haskoning DHV Groep B.V.;;;1;1
Lexyca;1;;;1
LICSP;1;;;1
Linguist Link Europe;1;;;1
Livewords;1;;;1
Lyreco Nederland B.V.;1;;;1
Manutan B.V.;1;;;1
Meetingselect B.V.;1;;;1
Mens Installatietechniek B.V.;;;2;2
Metorx B.V.;1;;;1
Metos B.V.;2;;;2
MJH International B.V.;1;;;1
MobileXpense SA;6;;;6
Moduli Print B.V.;1;;;1
Moooi B.V.;1;;;1
Munckhof Taxi B.V.;1;;;1
Natural Bag;1;;;1
Nauta Security Storage B.V.;1;;;1
Nedelko B.V.;1;;;1
Nespresso Nederland B.V.;1;;;1
NFGD Zoetermeer B.V.;2;;;2
Nieuw-Europa;1;;;1
NOC*NSF;1;;;1
Noor Images B.V.;1;;;1
Nostalux B.V.;1;;;1
NOVI Educational Services B.V.;1;;;1
NRC Media B.V.;1;;;1
officebo.de;;;1;1
Opdevloer Coaching & Training;1;;;1
ORTEC B.V.;1;;;1
Paagman B.V.;1;;;1
Part-up B.V.;1;;;1
PathoFinder B.V.;1;;;1
PEC Zwolle Werkt;1;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;1
Pitch Professional;1;;;1
Postcode.eu;1;;;1
privacymanager;1;;;1
Procardio B.V.;1;;;1
Promopodium B.V.;1;;;1
Pyongyang Design;1;;;1
Quinton Brandveiligheid B.V.;1;;;1
Quiz Brothers;1;;;1
Ritom Beveiligingstechniek B.V.;1;;;1
Rollema Transport B.V.;1;;;1
S.S. Walker;1;;;1
SBI Training en Advies/FNV Formaat B.V.;1;;;1
Schut-Copex B.V.;;;4;4
Sdu Uitgevers B.V.;4;;;4
Semaphore Signs B.V.;1;;;1
SoapBox B.V.;2;;;2
Speer Publications;1;;;1
Stichting Dutch Future Society;1;;;1
Stichting Fonds Instituut Clingendael;1;;;1
Stichting NBTC Holland Marketing;1;;;1
Stichting Vliegramp Tripoli;2;;;2
Stichting Waarborgfonds Politie;1;;;1
Studievereniging Onwijs;1;;;1
Sweco Nederland B.V.;;;1;1
Technolab B.V.;;;1;1
The Language Collective;2;;;2
Tolk/Vertaal Bureau 'Citaat';1;;;1
Tony Parr Business Translations;1;;;1
Triple Blue;1;;;1
TwynstraGudde Adviseurs;2;;;2
UniCarriers Netherlands B.V.;2;;;2
Van Kappel Security Solutions B.V.;1;;;1
Vertas B.V.;2;;;2
Virginia Vition;1;;;1
Wirtz, Film & Experience Agency B.V.;1;;;1
Worldmeetings.com B.V.;1;;;1
Write IT right;1;;;1
Xerox (Nederland) B.V.;2;;;2
Youfacilitate B.V.;1;;;1
Eindtotaal;7;4;5;7
