OBJECTID,PUIC,NAAM,LEVENSCYCLUS_STATUS,FUNCTIE,REF_DIENSTREGELPUNT_PUIC,REF_STUURSPOOR_PUIC,PERRON_NUMMER,REF_PERRONWAND_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT_T,OFFSETBEGIN,OFFSETBEGIN_T,OFFSETEIND,OFFSETEIND_T,BEHEERDER,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LENGTE,GELDIG_VANAF,PUBLICATIEDATUM,LATITUDE_BEGIN,LONGITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_EIND,REF_DIENSTREGELPUNT_NAAM,KM_GEOCODE_TOT,KM_GEOCODE_VAN
1,61c43e0f-1ba6-4c51-ab64-f1141b8caa1e,671,Onbekend,R Restspoor,8a683ba6-f49b-4c1c-ac8f-e736a23a2d7d,605afd05-ff4a-43d1-8f9c-3764a224bec4,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,"9,840157","10,457981",-13.96008,"-13,960080",-7.687098,"-7,687098",ProRail,126943.00369588,477012.07948178,127224.634,476461.318,618.63866825,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.28039631,4.97606219,52.27546062,4.98023428,Ac,10.457981,9.840157
2,0525b303-901a-4768-891f-a01084a268e3,AB2,Onbekend,IU In-/uitrijspoor,1340b9db-9553-4223-968e-e7261d3d65e0,e51f8c73-e759-42b4-9b72-ff4c55369a26,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,"7,369530","7,399511",-19.350035,"-19,350035",-20.07643,"-20,076430",ProRail,125773.23683706,479189.60979143,125788.175,479163.688,29.91812039,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.29990593,4.95873273,52.29967375,4.95895397,Asb,7.399511,7.36953
3,9c35e340-f716-492e-8a37-20e481c7674e,2,Onbekend,IP In-/uitrij en perronspoor,383abda7-77b3-41f8-83b7-049ac057648f,e1a6e448-baaf-4b74-b56b-67b184fccaf6,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,"7,399945","7,910016",-10.016187,"-10,016187",-8.511739,"-8,511739",ProRail,125779.54647261,479158.49849361,126024.831,478711.01699999,510.30634026,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.29962666,4.95882793,52.29561791,4.96246213,Ashd,7.910016,7.399945
4,f45c1d85-8bc0-411f-9bae-f0e7542573b6,UB2,Onbekend,IU In-/uitrijspoor,1340b9db-9553-4223-968e-e7261d3d65e0,149820bb-980d-4cba-bef6-d50fd46b4197,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,"7,369912","7,399911",21.266295,"21,266295",21.389848,"21,389848",ProRail,125737.74637956,479169.85635278,125751.946,479143.51199999,29.92735096,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.29972651,4.95821417,52.2994905,4.95842461,Asb,7.399911,7.369912
5,a982d0d2-5d77-4ab2-a6a6-73769f277823,UN3,Onbekend,R Restspoor,8a683ba6-f49b-4c1c-ac8f-e736a23a2d7d,b5f9ca16-90fe-4bc9-a36a-202d24dba4ba,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,080,,80,080__,Amsterdam Bijlmer - Nieuwersluis=Loenen,"9,500016","9,611999",8.874856,"8,874856",8.828962,"8,828962",ProRail,126764.74993949,477303.35793237,126816.185,477204.42999999,111.50040285,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,52.28300506,4.97342583,52.28211858,4.97418782,Ac,9.611999,9.500016
6,0e35f17f-2563-4657-bd7d-b0ae18dda029,17,Onbekend,O Opstelspoor,0afd9a45-aa43-4c41-abbb-ecefe81f058d,65805013-a9c0-4a62-9889-6cfc44a2eb5d,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"91,384630","91,474385",-23.277714,"-23,277714",-34.008136,"-34,008136",ProRail,189799.82816673,444306.87795636,189888.78899999,444292.86599999,90.06538863,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98606601,5.89380249,51.98593449,5.89509607,Ahbo,91.474385,91.38463
7,c3f4d498-6259-4e75-a1fc-7ef17da6c454,21,Onbekend,R Restspoor,72510f87-c86c-4279-8a70-9b47562f22f0,2ebd11b0-b5b2-45ac-93ca-cf771f8f0860,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,350530","90,479920",10.452846,"10,452846",9.022658,"9,022658",ProRail,188763.16472884,444375.55829383,188893.03099999,444369.385,130.01516815,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98674731,5.87871854,51.98668391,5.88060842,Ahwa,90.47992,90.35053
8,a4e8ca31-4d9a-476e-8539-0cda21ebbc54,23,Onbekend,R Restspoor,754943b9-1e16-4168-8d46-482b7baf9347,1bd39803-63e9-4f75-bfdb-6e3169cbd479,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,480000","91,156928",0.070281,"0,070281",8.853093,"8,853093",ProRail,188893.48893959,444378.32608338,189568.015,444316.329,677.46605938,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98676425,5.88061597,51.98616543,5.89042894,Ahb,91.156928,90.48
9,cc158d64-3aa6-4adc-b700-c8479ada1380,24b,Onbekend,R Restspoor,754943b9-1e16-4168-8d46-482b7baf9347,ece1353a-a6c2-421f-be65-81f5bdb48341,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,572016","91,057097",-4.333838,"-4,333838",4.676096,"4,676096",ProRail,188985.94611537,444377.24255255,189468.298,444331.69,484.52496716,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98674886,5.88196179,51.9863097,5.88897891,Ahb,91.057097,90.572016
10,3e9d3e32-5c38-42ce-b0e8-4b580c8480b4,26,Onbekend,R Restspoor,754943b9-1e16-4168-8d46-482b7baf9347,52f7843a-d8ac-4baa-92f4-854e7d0bb67f,,,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,"90,481183","91,009874",17.487041,"17,487041",-7.45413,"-7,454130",ProRail,188893.92728199,444360.87481919,189425.34099999,444349.10399999,533.18323553,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,51.98660737,5.88062063,51.98646888,5.88835533,Ahb,91.009874,90.481183
