OBJECTID,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,PCA,TECHNIEKVELD,Shape__Area,Shape__Length,PRORAIL_GEBIED
1,,,HSL,70,Randstad Zuid,RZ,Infraspeed,BVL,62796582.3092375,192348.101386135,Zuid-Holland Zuid
12,Limburg,340,,,Zuid,Z,Strukton Rail,BVL,1215492863.41695,316031.91259266,Zuid-Oost
17,Kennemerland,240,,,Randstad Noord,RN,Strukton Rail,BVL,789449856.867834,153016.574058691,Noord-West
23,Dordrecht,140,,,Randstad Zuid,RZ,ASSET Rail,BVL,734772350.491432,199865.07189745,Zuid-Holland Zuid
30,Zee-Zevenaar,130,,,Randstad Zuid,RZ,VolkerRail,BVL,1047477607.16157,411711.165420619,Zee-Zevenaar
36,Neerlands Midden,250,,,Randstad Noord,RN,ASSET Rail,BVL,677019957.70975,127099.950426721,Midden
44,Drenthe,440,,,Noord-Oost,NO,ASSET Rail,BVL,4580922833.96238,339485.388862658,Noord
45,Wadden,420,,,Noord-Oost,NO,Strukton Rail,BVL,9834012489.03957,454569.118747338,Noord
60,Gelre,400,,,Noord-Oost,NO,ASSET Rail,BVL,2270177882.58113,403573.652160861,Oost
72,Amstelsepoort,230,,,Randstad Noord,RN,Strukton Rail,BVL,1738460806.80537,213883.597864881,Midden
76,Veluwe,430,,,Noord-Oost,NO,Strukton Rail,BVL,2446913329.77065,257003.724343848,Oost
79,Brabant,330,,,Zuid,Z,ASSET Rail,BVL,1917503012.9849,350939.4600344,Zuid-West
91,Betuwe,320,,,Zuid,Z,Strukton Rail,BVL,1501032566.9025,246306.129462555,Zuid-West
98,Zeeland,310,,,Zuid,Z,Strukton Rail,BVL,5095742412.38,425764.511481104,Zuid-West
108,Rijn en Gouwe,100,,,Randstad Zuid,RZ,BAM Rail,BVL,722346404.22975,179422.727448199,Zuid-Holland Noord
109,Twente,410,,,Noord-Oost,NO,VolkerRail,BVL,1826845133.00775,256836.789730809,Oost
118,Hollands Noorderkwartier,210,,,Randstad Noord,RN,VolkerRail,BVL,4574779616.71055,287176.683856775,Noord-West
125,Amsterdam,220,,,Randstad Noord,RN,VolkerRail,BVL,87808744.6793,44825.4104884197,Midden
135,Den Haag,110,,,Randstad Zuid,RZ,VolkerRail,BVL,673625031.65355,153872.742504113,Zuid-Holland Noord
137,Eemland,200,,,Randstad Noord,RN,ASSET Rail,BVL,759027533.05145,133468.294443397,Midden
144,De Peel,300,,,Zuid,Z,ASSET Rail,BVL,1946458748.5747,227207.167974928,Zuid-Oost
149,Rotterdam,120,,,Randstad Zuid,RZ,VolkerRail,BVL,230382003.50695,120107.762204754,Zuid-Holland Zuid
