FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B25.128,EHAM,NORRA,281,,14.38524447,B25,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B25.129,NORRA,NL1,223,,67.32858185,B25,,,"LINESTRING (593778.3837000001 5800303.251, 510427.06740000006 5707447.8927)"
B25.130,NL1,NL6,313,,13.76573643,B25,,,"LINESTRING (510427.06740000006 5707447.8927, 491875.3781000003 5724960.114)"
B25.131,NL6,NL11,313,,13.79710524,B25,,,"LINESTRING (491875.3781000003 5724960.114, 473222.06319999974 5742449.1545)"
B25.132,NL11,NL12,33,,59.02175324,B25,,,"LINESTRING (473222.06319999974 5742449.1545, 532126.7723000003 5834617.0964)"
B25.133,NL12,NL13,352,,36.42005342,B25,,,"LINESTRING (532126.7723000003 5834617.0964, 521920.0449000001 5901337.0989)"
B25.134,NL13,NL25,351,,22.30700417,B25,,,"LINESTRING (521920.0449000001 5901337.0989, 515430.8965999996 5942165.5337000005)"
B25.135,NL25,NL26,352,,44.75015821,B25,,,"LINESTRING (515430.8965999996 5942165.5337000005, 503014.08779999986 6024164.875700001)"
B25.136,NL26,NL27,14,,69.24806347,B25,,,"LINESTRING (503014.08779999986 6024164.875700001, 534214.6061000004 6148649.782400001)"
B25.137,NL27,NL24,129,,17.49275666,B25,,,"LINESTRING (534214.6061000004 6148649.782400001, 559523.7783000004 6128390.8467999995)"
B25.138,NL24,NL23,193,,52.86069451,B25,,,"LINESTRING (559523.7783000004 6128390.8467999995, 539076.2514000004 6032583.398399999)"
B25.139,NL23,NL22,161,,21.3650805,B25,,,"LINESTRING (539076.2514000004 6032583.398399999, 552183.0581999999 5995220.362500001)"
B25.140,NL22,NL14,141,,16.65929691,B25,,,"LINESTRING (552183.0581999999 5995220.362500001, 571753.0584000004 5971340.877900001)"
B25.141,NL14,NL15,71,,64.71313244,B25,,,"LINESTRING (571753.0584000004 5971340.877900001, 684356.2418999998 6012619.7535999995)"
B25.142,NL15,NL10,144,,16.1878461,B25,,,"LINESTRING (684356.2418999998 6012619.7535999995, 703030.5692999996 5989140.0502)"
B25.143,NL10,NL9,252,,64.44999757,B25,,,"LINESTRING (703030.5692999996 5989140.0502, 590965.4144000001 5947811.000499999)"
B25.144,NL9,NL8,213,,35.47473007,B25,,,"LINESTRING (590965.4144000001 5947811.000499999, 555676.5664999997 5892340.2511)"
B25.145,NL8,NL7,176,,36.29163813,B25,,,"LINESTRING (555676.5664999997 5892340.2511, 561292.0471000001 5825316.879000001)"
B25.146,NL7,NL2,109,,16.5927703,B25,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B25.147,NL2,NORRA,169,,8.55266841,B25,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B25.148,NORRA,EHAM,101,,14.38524447,B25,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
