objectid;id;stadsdeel;buurt;beheerder;hoofd_categorie;categorie;aanleg_jaar;grenst_aan_hc;grenst_aan_c;shape_len;geo_shape;geo_point_2d
402574;174763.0;Gestel;Bennekel-Oost;BOR Stedelijk;Gazon;Gazon;2009;Wegen;Elementen;56.3156561530408;"{""coordinates"": [[5.4654769197496575, 51.42270296649551], [5.465333356290181, 51.4226890864688], [5.4651372181335995, 51.42267012602776], [5.465103235704546, 51.42266486343498], [5.465045762025237, 51.42265185931327], [5.465002275360326, 51.42263764132844], [5.464976508982348, 51.42262782493], [5.464953965211699, 51.42261923782262], [5.464928029132191, 51.4226110664564], [5.464893049163623, 51.42259409221036], [5.4648798517743336, 51.42258702692478], [5.464866968868666, 51.4225797376095], [5.464854410522902, 51.42257223144888], [5.464842183931798, 51.42256451203367], [5.4648303020470825, 51.4225565865463], [5.4648187706303135, 51.42254846127513], [5.464766490711416, 51.42250531808109]], ""type"": ""LineString""}";51.42264241079567, 5.465108253749953
402575;174764.0;Gestel;Bennekel-Oost;BOR Stedelijk;Gazon;Gazon;2009;Wegen;Elementen;0.104448312576125;"{""coordinates"": [[5.465478403729483, 51.42270311021508], [5.4654769197496575, 51.42270296649551]], ""type"": ""LineString""}";51.422703038355294, 5.46547766173957
402577;174766.0;Tongelre;Karpen;BOR Natuur;Schraal gras;Schraal Gras;2001;Wegen;Asfalt;0.1015756368427;"{""coordinates"": [[5.497113442547051, 51.45408791254723], [5.497112085212962, 51.454088250903]], ""type"": ""LineString""}";51.45408808172512, 5.497112763880006
402580;174769.0;Tongelre;Karpen;BOR Natuur;Schraal gras;Schraal Gras;2011;Wegen;Halfverharding;24.1716642507296;"{""coordinates"": [[5.511859353188916, 51.452144229804425], [5.511802154763193, 51.45192991848251]], ""type"": ""LineString""}";51.45203707414347, 5.511830753976055
402584;174773.0;Tongelre;Karpen;BOR Natuur;Schraal gras;Schraal Gras;2011;Wegen;Elementen;0.0328600060864267;"{""coordinates"": [[5.51218834418842, 51.45158561727617], [5.512188751733686, 51.45158576694966]], ""type"": ""LineString""}";51.451585692112914, 5.512188547961053
402588;175604.0;Woensel noord 1;Prinsejagt;BOR Natuur;Schraal gras;Schraal Gras met meterstrook;2011;Wegen;Elementen;0.751106546532007;"{""coordinates"": [[5.453415390099675, 51.471493295001906], [5.4534124570447675, 51.47149638337413], [5.453412060356124, 51.47149676112325], [5.453411611820023, 51.47149711553139], [5.453411114308404, 51.47149744210258], [5.453410570699845, 51.47149774083518], [5.453409986744869, 51.47149800723165], [5.453409366758569, 51.47149823949171], [5.453408716495547, 51.471498435814375]], ""type"": ""LineString""}";51.47149621573894, 5.453412290473764
402590;172236.0;Park Philips de Jongh;Herdgang;BOR Natuur;Schraal gras;Schraal Gras;2011;Wegen;Halfverharding;7.73904849108767;"{""coordinates"": [[5.441946693542742, 51.458369982060816], [5.441945830740145, 51.458369205847404], [5.4419570155684305, 51.45836015169402], [5.441968416348046, 51.45835120440275], [5.441980033079918, 51.45834236487244], [5.441991860011858, 51.45833363580228], [5.442003897146096, 51.45832501899], [5.442016141607992, 51.45831651713343]], ""type"": ""LineString""}";51.45834271376816, 5.441980161581167
402595;172242.0;Strijp 1;Herdgang;BOR Natuur;Schraal gras;Schraal Gras Berm;2001;Wegen;Elementen;0.200258666766603;"{""coordinates"": [[5.426565761794996, 51.46318142679876], [5.426564513128437, 51.46318187395906], [5.426563808779259, 51.46318108769076]], ""type"": ""LineString""}";51.46318157523665, 5.426564704696882
402597;172244.0;Strijp 1;Herdgang;BOR Natuur;Schraal gras;Schraal Gras Berm;2001;Wegen;Elementen;0.22577782263380997;"{""coordinates"": [[5.427311886125169, 51.46291594631336], [5.427311384101956, 51.46291615682165], [5.427310879198444, 51.46291636463429], [5.427310372853541, 51.46291656975091], [5.427309121317181, 51.4629170097292]], ""type"": ""LineString""}";51.462916497197725, 5.427310511075776
402598;172245.0;Strijp 1;Herdgang;BOR Natuur;Schraal gras;Schraal Gras Berm;2001;Wegen;Elementen;9.17360379832718;"{""coordinates"": [[5.427330825190971, 51.46284448982168], [5.427334930560345, 51.46284768566585], [5.427338572761387, 51.462851092903676], [5.427341724431237, 51.462854686376474], [5.4273443625206195, 51.46285843732848], [5.4273464654208805, 51.46286231880133], [5.427348018714359, 51.462866299339694], [5.4273490079856925, 51.4628703501849], [5.427349428889283, 51.4628744389793], [5.427349274203182, 51.46287853516395], [5.427348549655523, 51.46288260727659], [5.427347256658231, 51.46288662475525], [5.427344655938435, 51.46289100672739], [5.427341482367755, 51.46289523878723], [5.427337757505677, 51.46289929216359], [5.427333505789696, 51.46290313808423], [5.427328760293533, 51.46290675047054], [5.427323549774959, 51.46291010414432], [5.427317911627866, 51.46291317662083], [5.427311886125169, 51.46291594631336]], ""type"": ""LineString""}";51.462883088791, 5.4273377956074444
