Handelsnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
2-Advise;;;;1;;;;;1
Abusix GmbH;;;;;;;;2;2
Active Group BV;;;;1;;;;;1
Acuity ICT;;;;;;;;2;2
AGES;;;;;;;;4;4
AHA Coaching;;;;2;;;;;2
Ajax Ch. Varel CSO (Centrale Serv.organis.);;;;;3;;;;3
Alaska Software;;;;1;;;;;1
APC Benelux B.V.;;2;;;;;;;2
Apprenda B.V.;;;;;4;;;2;4
Apps B.V.;;;;;2;;;;2
Asp4all Hosting B.V.;;;;;;;2;;2
Atos Nederland B.V.;;;;2;;;;;2
Bbeyond B.V.;;;;1;;;1;;1
Belstore.Com B.V.;;;;;;;2;;2
BINGHAM SCHIEDAM BV;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;;8;;;;;;;8
BIT B.V.;;;;;;;3;;3
Bizz Design International bv;;;;;7;;;;7
Bokkz B.V;;;;;;;;3;3
Box Com Ltd.;;;;;;;;2;2
BPI Services B.V.;;1;;;;;;;1
Bright Alley Knowledge & Learning B.V.;;;;;1;;;;1
Bright cookie.com;;;;1;;;;;1
BrightContact Technology B.V.;;;;5;7;;;6;7
Bureau voor Beeldzaken;;;;;;;;2;2
Bwise B.V.;;1;;2;;;;;2
CA software B.V.;;;;;7;;;;7
Canon Nederland;;;6;3;2;;;;6
Capgemini Nederland B.V.;;;;;;;2;8;8
Cargonaut Nederland B.V.;;;;;;;;6;6
Caribbean Customs Law Enforcement C;;;;;;;2;;2
CaseWare Nederland;;;;7;7;;;2;7
CBizz B.V.;;;;;;;1;;1
CellFix - Mobile Solutions;;;;;;;1;;1
Central Point Nederland BV;;2;;1;;;;;2
Centric Netherlands B.V.;;;;2;2;;;;2
CM Telecom B.V.;;;;;;;1;;1
Com-Connect B.V.;;;;;1;;;;1
