OBJECTID,TYPE,NAAM,NAAM_KWALITEIT,REF_BEGRENZER_TYPE_BEGIN,REF_BEGRENZER_TYPE_EIND,REF_BEGRENZER_NAAM_BEGIN,REF_BEGRENZER_NAAM_EIND,REF_BEGRENZER_PUIC_BEGIN,REF_BEGRENZER_PUIC_EIND,REF_FYSIEKE_SPOORTAK_PUIC,REF_SPOORTAKDEEL_GUID,REF_WISSEL_KRUISING_PUIC,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,REF_FUNCTIONELE_SPOORTAK_PUIC,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNC_SPOORTAK_NAAM_LANG
1,S,w4049V-w4047L,Pseudo,WISSEL_GW,WISSEL_GW,4049,4047,8b21ee89-b40a-4476-871b-be9ae7e87dc8,65674a93-d6c9-4dd4-9163-ae4261a665b2,59afba8f-22e5-4294-bf89-fab136a62471,0d1f1973-56c2-712c-f614-bd7625e74bb3,,0.0039,"0,003900",0.006995,"0,006995",0.870142,"0,870142",0.873054,"0,873054",926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,6079004b-e551-4be1-91b4-951fb17bb0d2,4049V,926_4049V_0.9
2,W,73,Benoemd,,,,,,,,,673afd02-1462-41ba-8225-04258b3d0e50,0.043249,"0,043249",0.086498,"0,086498",47.021803,"47,021803",47.064529,"47,064529",519,a,519,519_a,Roermond,Mt-Vl,Maastricht - Venlo ,ad33f20f-fb24-48dd-bde6-ff5c259bdada,71R,
3,W,227A,Benoemd,,,,,,,,,eadb451d-0126-4a62-8d18-1635a9047660,0.046068,"0,046068",0.049968,"0,049968",36.014304,"36,014304",36.018196,"36,018196",046,,46,046__,Meteren Aansl. - s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,3a703231-a864-4921-a38c-dab347e2f114,225BV,
4,W,917,Benoemd,,,,,,,,,623ea434-ad11-43c7-b28a-9ce4183cf665,0.367067,"0,367067",0.370968,"0,370968",17.884889,"17,884889",17.888716,"17,888716",514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,cffd07a3-5116-42ea-bd28-585011aea1f6,35R,
5,W,961A/961B,Benoemd,,,,,,,,,32295314-226d-4418-abce-8cda89828de4,0,"0,000000",0.009975,"0,009975",78.597217,"78,597217",78.587604,"78,587604",525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,38f5c287-7c35-4473-93b3-380e4aed3683,961BP,
6,W,189,Benoemd,,,,,,,,,48497fd2-3880-45d6-bddb-32f9654ba19a,0,"0,000000",0.00475,"0,004750",306.004427,"306,004427",306.009276,"306,009276",470,g,470,470_g,Botlek,Bot-Qbst,"Rotterdam, Botlek - Quebeckstraat ",4a51ac63-dab5-41ca-91e0-4b43575945a5,189V,
7,W,7A/7B,Benoemd,,,,,,,,,124f1b57-a5dd-4590-a02a-ffc11d598afb,0.116697,"0,116697",0.124807,"0,124807",121.095347,"121,095347",121.103351,"121,103351",817,a,817,817_a,Vlissingen Sloehaven,Sloe-Vck,Sloehaven Emplacement - Van Citterskanaal ,2d864c18-72fc-4741-8ac1-e9295b242687,5L,
8,W,109A,Benoemd,,,,,,,,,5d6cfa0e-9e02-4e27-983c-09737fad3443,0,"0,000000",0.030707,"0,030707",25.95938,"25,959380",25.989351,"25,989351",550,,550,550__,Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,6bd56fa2-775e-4ae3-a080-d7d4e4140502,109AL,
9,S,322,Benoemd,Lichtsein,Lichtsein,654,662,2ded1759-95a1-44c4-8608-19056dd5ce6f,045791ac-7a60-4f02-aa97-c3bb615aa1fe,dcaac58c-e303-44a9-9d88-ee3d8106527f,cad45671-b120-ba22-c640-d113cee1bdb5,,0.145669,"0,145669",0.719777,"0,719777",35.695412,"35,695412",36.268189,"36,268189",756,,756,756__,Beugen,Ah-Vl,Arnhem - Venlo ,c90ae039-5800-4ac5-9f9c-1e28a19a059c,53R,756_53R_35.5
10,S,w113B/115AS-s303b,Pseudo,WISSEL_EW,Lichtsein,113B/115A,134,a533ce8d-9045-47a2-8a4c-ea0c54673e74,e7bbd505-1195-4032-98ee-75fd07920c31,7cca9182-6694-4ad0-94b5-f242f826ac6d,7b633ecb-a518-d66c-9863-70305f0ca713,,0.351561,"0,351561",0.185236,"0,185236",43.208714,"43,208714",43.373403,"43,373403",503,c,503,503_c,Deventer,Ah-Zl,Arnhem - Zwolle ,7d20d27d-b805-4358-991d-6c938d68f24b,109BV,503_109BV_43.6
11,W,4047,Benoemd,,,,,,,,,65674a93-d6c9-4dd4-9163-ae4261a665b2,0,"0,000000",0.0039,"0,003900",0.910095,"0,910095",0.91388,"0,913880",926,,926,926__,Zwolle Rangeerterrein,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,cb889131-de85-4d59-89f0-873442fbb763,4047V,
12,W,K2235,Benoemd,,,,,,,,,d8a73cac-55c1-4fb8-9c5c-283e01e2342f,0.025605,"0,025605",0.026957,"0,026957",15.457901,"15,457901",15.459241,"15,459241",135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,0cbe8f20-b09a-4eb2-a27b-0b3ea22dac02,2235P,
13,S,w35L-s305,Pseudo,WISSEL_GW,Lichtsein,35,30,37795510-e3d7-466d-bd1f-5eab5001ea68,c4ef363d-a87a-4bad-9d7f-0daec855d4c7,37879884-f505-42d7-82bf-0965eb79326f,bd9bed88-ba46-e08b-494a-2a5febb50b34,,0.034087,"0,034087",0.063879,"0,063879",6.236364,"6,236364",6.264406,"6,264406",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",76168887-4caf-41de-94f2-e122f12c5a22,35L,950_35L_6.2
14,W,16,Benoemd,,,,,,,,,7a1cd1fa-9179-4e86-ad0f-99b4408e15dd,0,"0,000000",0.00475,"0,004750",902.617475,"902,617475",902.622237,"902,622237",801,p,801,801_p,Moerdijk Industrieterrein,Mdk-Chwg,Moerdijk (Racc) - Chemieweg ,937a8e82-ca82-4888-9b0d-0f7184812ce9,16V,
15,W,521B,Benoemd,,,,,,,,,e5809c58-b291-4142-8765-328ecea814cf,0.050004,"0,050004",0.100008,"0,100008",8.488015,"8,488015",8.438195,"8,438195",121,a,121,121_a,Breda - Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,a727fab5-1d1f-49bf-ab62-6b0ff92ce52e,521AR,
16,S,GC,Benoemd,Lichtsein,Lichtsein,140,492,02dd71f2-4b30-447d-83bb-169d8adf29f2,bd3c18a7-e550-470a-8dd9-fda30f4ee41f,66004ef6-6240-470f-8a3a-58bd8c9c4832,a9015e86-16db-4628-f560-293d2978f289,,0.125266,"0,125266",1.306948,"1,306948",31.404742,"31,404742",30.219417,"30,219417",105,,105,105__,Woerden - Gouda,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,092239c6-5969-43f8-b4b8-b6dc34331918,143BR,105_143BR_31.5
17,W,7,Benoemd,,,,,,,,,43548773-0bdd-4dc6-b20e-437c27d31a55,0.033471,"0,033471",0.037377,"0,037377",17.306312,"17,306312",17.310182,"17,310182",213,,213,213__,Boxtel - Uden,Btl-Veg,Boxtel - Veghel ,6d3cf05c-c209-4207-bfeb-4299d703ec05,6L,
18,W,137B,Benoemd,,,,,,,,,f0e92046-30b7-4592-ba0e-8349824a49fe,0.001325,"0,001325",0.054908,"0,054908",50.845802,"50,845802",50.792374,"50,792374",618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,0f948ef0-fa9d-4626-88b5-18105c0f942b,131BV,
19,W,15B,Benoemd,,,,,,,,,b291e7d4-43ad-4ddb-8c89-100232d82ab6,0.053872,"0,053872",0.107754,"0,107754",18.041574,"18,041574",17.987615,"17,987615",514,a,514,514_a,Nijmegen,Ah-Vl,Arnhem - Venlo ,d8bca45a-655a-4c22-abf3-d788ad63400b,15AL,
20,S,s1048-SJ_929R,Pseudo,Bordsein,STOOTJUK,1048,SJ_929R,0992f581-f931-43e6-ac39-060bf66ee32c,886d10b7-b527-4c61-933c-08c93708d919,2b3ab7c9-0209-4623-bd99-5c39bcf259b4,594c11f3-9f75-4630-9bf8-cd096cfbdd60,,0.160857,"0,160857",0.4363,"0,436300",301.379624,"301,379624",301.655707,"301,655707",801,d,801,801_d,Moerdijk Industrieterrein,Mdk-Mdnw,Moerdijk (Racc.) - Industrie en Havenschap Moerdijk Middenweg ,bdc6fd66-9618-46e3-9dcb-f1a1942884fe,929R,801_929R_301.2
21,S,535,Benoemd,Lichtsein,Lichtsein,5046,5106,9564089c-9c0d-4061-a705-da32245d3eab,41f49b36-4e78-4169-b85c-240781fdd082,9ecf3abf-3050-4424-884a-b3ac72ce8a21,d15eb552-de5c-b604-0963-c39cc6730619,,0.675773,"0,675773",1.554849,"1,554849",178.004891,"178,004891",178.88367,"178,883670",523,b,523,523_b,Amsterdam Sloterdijk,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,dde940d1-7071-48f4-baee-1284f7b41b64,5007L,139_5007L_177.3
22,W,215,Benoemd,,,,,,,,,2080b7cb-e8af-484f-b1e7-d8a7d4566324,0.611372,"0,611372",0.645437,"0,645437",7.704118,"7,704118",7.737947,"7,737947",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",3942b2c3-422a-4254-8dd3-6ebd6f372b70,117L,
23,W,1101,Benoemd,,,,,,,,,437e75f7-a0ea-46b7-ab6b-1c76867f1cc9,0.54663,"0,546630",0.55113,"0,551130",200.264361,"200,264361",200.268804,"200,268804",470,e,470,470_e,Botlek,Bot-Wplw,"Rotterdam, Botlek - Welplaatweg ",a81ff586-8be3-43e3-bd2d-9b2b949d2b55,931V,
24,W,22BU,Benoemd,,,,,,,,,a86c8c96-d596-4bc1-8503-b597b1200c2e,0.025697,"0,025697",0.061489,"0,061489",75.095068,"75,095068",75.130734,"75,130734",788,,788,788__,Roosendaal Grens - Essen (B),Esn-Np,Essen (B) - Nispen ,5cb9f854-f8ea-4cfd-b2c9-81fb202442b5,22AUS,
25,W,914A/914B,Benoemd,,,,,,,,,6c8aaf68-d325-4041-bfc2-a1723e7e0d64,0,"0,000000",0.009975,"0,009975",75.945732,"75,945732",75.955667,"75,955667",486,b,486,486_b,Amsterdam Westhaven (gebied),Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,a8653ed9-8736-4554-87e8-5b8355710d57,914BP,
26,S,DZ,Benoemd,Lichtsein,Lichtsein,138,140,62185ed0-3e93-4cbc-bb65-f0bee9c0fb4f,a2ace100-c3d6-481d-a2d2-4cefef156998,f6a4c1ba-8fdc-428c-a6b4-2c666de1b776,8690cf00-6ec8-d30c-3815-52a1dd1e6ad3,,1.154512,"1,154512",11.102627,"11,102627",25.399259,"25,399259",15.502892,"15,502892",033,,33,033__,Dieren - Zutphen,Ah-Zl,Arnhem - Zwolle ,f3894638-bd89-4aad-bd52-797e15612eb7,135AL,609_135AL_26.6
