Start Opbouw,Einde Afbouw,Datum,Starttijd,Eindtijd,Naam evenement,Locatie,Activiteit,Vergunning / Aanvraag
05-12-2017,11-01-2018,01-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
31-12-2017,01-01-2018,01-01-2018,10:00,15:00,UNOX Utrechtse Nieuwjaarsduik,Strandboulevard (Haarrijnse plas),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,02-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,03-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,04-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
04-01-2018,05-01-2018,04-01-2018,18:30,20:00,Kerstboomverbranding,Van Heukelomlaan,Versterkt geluid  bouwsels,Vergunning verstrekt
05-12-2017,11-01-2018,05-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,06-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,07-01-2018,10:00,22:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
05-12-2017,11-01-2018,08-01-2018,09:00,20:00,IJsbaan Vleuterweide,Burchtplein (WKC Vleuterweide),Versterkt geluid,Vergunning verstrekt
14-01-2018,14-01-2018,14-01-2018,13:00,16:30,Culturele Zondag: Nieuwjaarsduik,"Korte Minrebroederstraat, Stadhuisbrug, Domplein",Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,15-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,16-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,17-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,18-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,19-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,24-01-2018,19-01-2018,18:00,23:00,Personeelsfeest DAS,Euclideslaan 51,Versterkt geluid,Vergunning verstrekt
19-01-2018,21-01-2018,20-01-2018,17:00,23:00,Glow in the Park,Sint Anthoniedijk |(Gagelbos),wegafsluiting,Vergunning verstrekt
21-01-2018,21-01-2018,21-01-2018,08:00,20:00,Filmopname: Gijzelingsdrama,Abel Tasmanstraat,,Vergunning verstrekt
18-01-2018,31-01-2018,27-01-2018,14:00,23:00,Sneeuwbal Winterfestival,Park Transwijk,Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
28-01-2018,28-01-2018,28-01-2018,08:00,23:00,Filmopname: Gijzelingsdrama,Abel Tasmanstraat,,Vergunning verstrekt
15-01-2018,02-02-2018,29-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,30-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,31-01-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,01-02-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
15-01-2018,02-02-2018,02-02-2018,10:00,12:30,Filmopname: Van Onschatbare Waarde,Achter Sint Pieter,bouwsels,Vergunning verstrekt
10-02-2018,10-02-2018,10-02-2018,10:00,16:00,Carnavalsfestijn 2018,Oudegracht,,Gaat niet door
14-02-2018,14-02-2018,14-02-2018,15:00,15:30,Opening eerste stappen Stationsplein,Stationsplein,Versterkt geluid  bouwsels,Vergunning verstrekt
15-02-2018,15-02-2018,15-02-2018,08:30,15:15,ANWB Streetwise Azielaan,Azielaan,wegafsluiting bouwsels,Vergunning verstrekt
15-02-2018,15-02-2018,15-02-2018,16:00,20:00,Opening winkel Abel's Deli Vredenburg 157,Vredenburg ,Versterkt geluid  bouwsels,Gaat niet door
13-02-2018,19-02-2018,17-02-2018,21:00,06:00,A State of Trance 850,Croeselaan (Jaarbeurs),Versterkt geluid,Vergunning verstrekt
19-02-2018,19-02-2018,19-02-2018,08:00,14:30,Streetwise Gessel,Gessel,wegafsluiting,Vergunning verstrekt
22-02-2018,22-02-2018,22-02-2018,08:00,08:30,Streetwise Gessel,Gessel,wegafsluiting,Vergunning verstrekt
21-02-2018,24-02-2018,23-02-2018,17:00,23:00,Das Coen und Sander Fest,Croeselaan (Jaarbeurs),Versterkt geluid,Vergunning verstrekt
22-02-2018,25-02-2018,24-02-2018,23:00,23:00,Soenda indoor De Fabrique 2018,Westkanaaldijk (De Fabrique),Versterkt geluid,Vergunning verstrekt
28-02-2018,28-02-2018,28-02-2018,08:00,19:00,Schaatsbaan Herderplein,Herderplein,,Vergunning verstrekt
01-03-2018,04-03-2018,01-03-2018,18:00,23:00,Café Theater Festival,Binnenstad,,Vergunning verstrekt
01-03-2018,04-03-2018,02-03-2018,18:00,23:59,Café Theater Festival,Binnenstad,,Vergunning verstrekt
02-03-2018,04-03-2018,03-03-2018,08:00,20:00,Blasphemy,Verlengde Hoogravenseweg,Versterkt geluid,Vergunning verstrekt
01-03-2018,04-03-2018,03-03-2018,11:00,23:59,Café Theater Festival,Binnenstad,,Vergunning verstrekt
01-03-2018,04-03-2018,04-03-2018,11:00,21:00,Café Theater Festival,Binnenstad,,Vergunning verstrekt
04-03-2018,04-03-2018,04-03-2018,11:00,18:00,De Streekmarkt,Domplein,,Gaat niet door
04-03-2018,04-03-2018,04-03-2018,14:00,18:00,Festival of Colours - Holi / Phagwa,Lawick van Pabstlaan,Versterkt geluid  bouwsels,Vergunning verstrekt
05-03-2018,05-03-2018,05-03-2018,08:30,12:00,Streetwise Pompelaan,Pompelaan,wegafsluiting,Vergunning verstrekt
09-03-2018,09-03-2018,09-03-2018,08:00,18:00,Filmopname: campagne tegen auto inbraak,Mariaplaats,,Vergunning verstrekt
10-03-2018,10-03-2018,10-03-2018,08:00,20:00,Filmopname Gijzelingsdrama: De Boodschap,Abel Tasmanstraat,,Vergunning verstrekt
10-03-2018,10-03-2018,10-03-2018,13:00,18:00,Elfkroegentocht,"Voorstraat, Driftbrug, Wittevrouwenstraat, Lucasbolwerk, Nobelstraat, drift, janskerkhof, Boothstraat",bouwsels,Gaat niet door
10-03-2018,10-03-2018,10-03-2018,14:00,16:00,Duckrace Utrecht,Oudegracht ,wegafsluiting,Vergunning verstrekt
11-03-2018,11-03-2018,11-03-2018,08:00,22:00,Filmopname Gijzelingsdrama: De Boodschap,Abel Tasmanstraat,,Vergunning verstrekt
17-03-2018,17-03-2018,17-03-2018,10:00,17:00,Platen - CD Beurs,Mariaplaats,,Vergunning verstrekt
17-03-2018,18-03-2018,18-03-2018,09:00,17:45,Utrecht Science Park Marathon,Cambridgelaan via Domplein,Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
17-03-2018,18-03-2018,18-03-2018,10:00,17:00,Braderie Marco Pololaan,Marco Pololaan,wegafsluiting,Vergunning verstrekt
18-03-2018,18-03-2018,18-03-2018,11:00,17:00,Swan Market Utrecht,Berlijnplein,Versterkt geluid  bouwsels,Gaat niet door
19-03-2018,22-03-2018,19-03-2018,13:00,23:00,6e lustrum Veterinaire Vee Fokkers Club faculteit Diergeneeskunde,Yalelaan ,versterkt geluid  bouwsels,Gaat niet door
19-03-2018,22-03-2018,20-03-2018,13:00,23:00,6e lustrum Veterinaire Vee Fokkers Club faculteit Diergeneeskunde,Yalelaan ,versterkt geluid  bouwsels,Vergunning verstrekt
19-03-2018,22-03-2018,21-03-2018,13:00,23:00,6e lustrum Veterinaire Vee Fokkers Club faculteit Diergeneeskunde,Yalelaan ,versterkt geluid  bouwsels,Gaat niet door
19-03-2018,22-03-2018,22-03-2018,13:00,23:00,6e lustrum Veterinaire Vee Fokkers Club faculteit Diergeneeskunde,Yalelaan ,versterkt geluid  bouwsels,Gaat niet door
23-03-2018,23-03-2018,23-03-2018,12:00,17:30,Opening Tele 2 winkel,Lange Elisabethstraat 32,bouwsels,Vergunning verstrekt
23-03-2018,23-03-2018,23-03-2018,12:00,15:15,Sponsorloop Jenaplanschool Wittevrouwen,"Bladstraat, Zandhofsestraat, Bollenhofsestraat",wegasluiting,Vergunning verstrekt
23-03-2018,24-03-2018,24-03-2018,10:00,17:00,Bazaar Scouting Hoograven,Verlengde Hoogravenseweg,Versterkt geluid  bouwsels,Vergunning verstrekt
24-03-2018,25-03-2018,25-03-2018,10:00,17:00,Braderie Overkapel,Euterpedreef (WKC Overkapel),,Vergunning verstrekt
25-03-2018,25-03-2018,25-03-2018,13:00,19:00,kunstbende Utrecht,Lucasbolwerk (stadschouwburg),Versterkt geluid  bouwsels,Vergunning verstrekt
29-03-2018,12-04-2018,30-03-2018,09:00,22:00,Lentemarkt,Moskeeplein,bouwsels,Vergunning verstrekt
19-03-2018,20-04-2018,30-03-2018,10:00,01:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
30-03-2018,01-04-2018,30-03-2018,12:00,01:00,Opening terras seizoen 2018,Janskerkhof,Versterkt geluid  bouwsels,Vergunning verstrekt
26-03-2018,10-04-2018,30-03-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
29-03-2018,12-04-2018,31-03-2018,09:00,22:00,Lentemarkt,Moskeeplein,bouwsels,Vergunning verstrekt
19-03-2018,20-04-2018,31-03-2018,10:00,01:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
31-03-2018,31-03-2018,31-03-2018,11:00,15:00,Jaarvergunning winkelcentrum Parkwijk,Verlengde Houtrakgracht (WKC Parkwijk),versterkt geluid  bouwsels,Vergunning verstrekt
30-03-2018,01-04-2018,31-03-2018,12:00,01:00,Opening terras seizoen 2018,Janskerkhof,Versterkt geluid  bouwsels,Vergunning verstrekt
26-03-2018,10-04-2018,31-03-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
31-03-2018,31-03-2018,31-03-2018,14:00,17:30,5e Zwemloop Het Lint,"Burgemeester Middelweerdplaats (Fletiomare), Utrechtseweg ( Het Lint)",bouwsels,Vergunning verstrekt
31-03-2018,31-03-2018,31-03-2018,,,Sfeeractiviteit 4: Pasen (boerinnen) (Winkelcentrum Nova),Hammarskjoldhof,bouwsels,Vergunning verstrekt
29-03-2018,12-04-2018,01-04-2018,09:00,22:00,Lentemarkt,Moskeeplein,bouwsels,Vergunning verstrekt
19-03-2018,20-04-2018,01-04-2018,10:00,23:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
30-03-2018,01-04-2018,01-04-2018,12:00,23:00,Opening terras seizoen 2018,Janskerkhof,Versterkt geluid  bouwsels,Gaat niet door
26-03-2018,10-04-2018,01-04-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
30-03-2018,03-04-2018,02-04-2018,09:00,17:00,Kasteelloop De Halve van De Haar,Kasteellaan (Kasteel de Haar),Versterkt geluid wegafsluiting bouwsels,Vergunning verstrekt
29-03-2018,12-04-2018,02-04-2018,09:00,22:00,Lentemarkt,Moskeeplein,bouwsels,Vergunning verstrekt
19-03-2018,20-04-2018,02-04-2018,10:00,23:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
02-04-2018,02-04-2018,02-04-2018,11:00,18:00,De Streekmarkt,Domplein,,Gaat niet door
26-03-2018,10-04-2018,02-04-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
19-03-2018,20-04-2018,03-04-2018,10:00,23:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
26-03-2018,10-04-2018,03-04-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
19-03-2018,20-04-2018,04-04-2018,10:00,23:00,Festival Tweetakt,Neude,Versterkt geluid  bouwsels,Vergunning verstrekt
26-03-2018,10-04-2018,04-04-2018,13:00,23:00,Kermis Griftpark,Griftpark,versterkt geluid,Vergunning verstrekt
05-04-2018,05-04-2018,05-04-2018,08:00,20:00,Plantjesmarkt Overvecht,Lamadreef,bouwsels,Vergunning verstrekt
