OBJECTID,PUIC,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,NAAM,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,KM_GEOCODE_VAN,KM_GEOCODE_TOT
1,22bc63f5-5a73-4a07-aa7f-6335b443fafb,470,h,470,470_h,Botlek,"310,000","310,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,310,310.5
2,9c3f08d1-48b4-48a8-ab19-3c099dc7fa0d,470,g,470,470_g,Botlek,"300,400","306,430",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.4,306.43
3,0e112c80-fd18-4cd7-89ff-c3ae3e3f4d8b,470,l,470,470_l,Botlek,"400,100","401,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400.1,401.2
4,c9e27892-e7e8-4b81-8431-848993a3e3cf,470,k,470,470_k,Botlek,"375,000","376,689",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,375,376.689
5,c4b26d2e-20f9-43ac-8a15-0d2d75e78346,470,c,470,470_c,Botlek,"120,000","120,428",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,120,120.428
6,49e3c92b-bff8-4084-a72c-d7dc4b1bbacc,470,a,470,470_a,Botlek,"100,100","102,160",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.1,102.16
7,547a7c53-b7cd-46ec-9c0f-eb31e49e9c0c,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,"6,100","20,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,6.1,20.5
8,a53895c9-93b7-493b-abb9-a87a9314fbbb,950,d,950,950_d,Barendrecht Vork - Rotterdam Maasvlakte,"201,300","206,115",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,201.3,206.115
9,ed5d2059-3735-4d5a-8129-a587fbffa1b3,470,n,470,470_n,Botlek,"450,000","450,970",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,450,450.97
10,9d4094df-7da9-4385-9a26-975a8c28fdd6,470,e,470,470_e,Botlek,"200,000","203,270",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,203.27
11,fe42336f-20ec-40d2-9899-9c8d31a6b90b,470,m,470,470_m,Botlek,"410,000","410,995",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,410,410.995
12,bebd7836-954c-46bf-b100-e47e2033f4d2,470,j,470,470_j,Botlek,"350,120","351,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,350.12,351.3
13,bda9e373-0ccc-4c2d-a2eb-0e794f9790b7,470,i,470,470_i,Botlek,"320,120","320,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,320.12,320.4
14,71046760-45c1-482b-be17-12b65fb60f38,470,b,470,470_b,Botlek,"110,000","110,720",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,110,110.72
15,244948e7-213f-4410-b703-78826209a0e7,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,"21,039","42,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,21.039,42.3
16,8a29f184-a13d-4a14-91f7-694dfdb6879e,469,e,469,469_e,Pernis,"410,400","411,150",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,410.4,411.15
17,1a7cc540-6718-4bd2-809a-0e2a30c2af05,469,a,469,469_a,Pernis,"100,000","101,350",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,101.35
18,e73a5c18-c59d-4ed2-b619-d795b7609100,469,f,469,469_f,Pernis,"500,900","501,850",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,500.9,501.85
19,be5a5e27-9ec5-4f14-8b73-a06f2dff6b89,469,b,469,469_b,Pernis,"200,000","202,265",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,202.265
20,b5e1a165-4a4c-475b-9af8-2f51662cb5cb,469,d,469,469_d,Pernis,"400,000","401,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,400,401.5
21,07655ef7-7209-4db7-8457-d6df3be35a1c,952,,952,952__,Botlektunnel,"813,184","816,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,813.184,816.3
22,4b5e9b8d-5ce6-422b-a2ba-65ebc701a95e,469,g,469,469_g,Pernis,"600,000","602,751",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,600,602.751
23,d10963ac-da59-4949-b9fd-d3c45e223aa4,476,c,476,476_c,Rotterdam Europoort 2,"250,100","250,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,250.1,250.9
24,a6cd66a3-7f23-490b-b27e-4ba72cf6073a,476,b,476,476_b,Rotterdam Europoort 2,"200,000","203,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200,203.1
25,d527e7ac-b9c0-4800-8efd-5dfe6613c9b6,476,a,476,476_a,Rotterdam Europoort 2,"100,000","104,650",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100,104.65
26,fe2c5073-e746-47bf-bd74-77370bd641d5,602,b,602,602_b,Herfte Aansl.,"77,000","77,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,77,77.7
27,37e35d10-b4e7-4fe5-90b5-d2ddc0e1d480,204,,204,204__,Herfte Aansl. - Mariënberg,"4,300","33,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4.3,33.7
28,c19e8600-8f19-4dcf-9837-96bcb483e070,602,a,602,602_a,Herfte Aansl.,"4,210","4,300",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,4.21,4.3
29,82ccb09e-c480-4f2a-984a-47fd758e2caf,013,,13,013__,Herfte Aansl. - Meppel,"77,700","99,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,77.7,99.9
30,0c246b8a-e915-4c9b-8601-f82187c6a5d6,014,,14,014__,Zwolle - Herfte Aansl.,"74,900","77,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.9,77
31,0d6c22b0-7f9c-485b-8e0d-94f4e2c44b43,603,f,603,603_f,Zwolle,"74,650","74,900",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.65,74.9
32,5add7ad3-ea25-4e9e-9968-4cb2d728a086,603,c,603,603_c,Zwolle,"88,200","88,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,88.2,88.4
33,67773a45-cbf8-41a7-8fb8-fa6d0ca1b30b,603,e,603,603_e,Zwolle,"1,400","1,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.4,1.6
34,5786770c-7507-49a4-bf88-a4643462fdc7,603,d,603,603_d,Zwolle,"47,600","48,428",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,47.6,48.428
35,8b61ed76-76d6-4a5c-80ee-bcd17d128de1,603,b,603,603_b,Zwolle,"72,100","72,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,72.1,72.2
36,da7e8ad9-1c92-423d-be96-d43aaecf0efe,603,a,603,603_a,Zwolle,"2,000","4,149",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2,4.149
37,1f04551f-58e6-4e25-99b7-02812db38320,018,,18,018__,Deventer - Zwolle,"44,400","72,100",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,44.4,72.1
38,b72f0b11-c760-4be1-8ade-84feb1206346,206,,206,206__,Zwolle - Wierden,"1,600","39,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.6,39.4
39,fa9f01bb-5d34-41c3-b321-6d65022adf71,604,b,604,604_b,Hattemerbroek,"82,800","84,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,82.8,84.4
40,c88e8608-1af9-4879-bd70-e3f4ca564d59,604,a,604,604_a,Hattemerbroek,"44,200","47,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,44.2,47.6
41,344fbc66-ff0d-4523-8c79-dbc1a2bfd188,926,,926,926__,Zwolle Rangeerterrein,"0,300","2,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0.3,2
42,24e15edc-b44e-4018-8856-7ca8c4a0897c,055,,55,055__,Blerick - Eindhoven,"2,500","49,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,2.5,49.4
43,cf550987-51af-4608-9157-0040784cf1f2,855,,855,855__,Venlo Tradeport,"100,063","101,039",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,100.063,101.039
44,250025f6-bafe-4f6b-9a79-fab20b13d5ad,516,b,516,516_b,Blerick,"74,400","75,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,74.4,75.5
45,91bf9302-4b61-4941-a9d6-fb848538dd6c,052,,52,052__,Beugen - Blerick,"36,400","74,400",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,36.4,74.4
46,cae86029-2518-498e-acf3-46767e9a501e,516,a,516,516_a,Blerick,"1,000","2,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1,2.5
47,462e708e-e5ae-4965-8664-7794c05a0baf,520,b,520,520_b,Maastricht,"27,900","28,500",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,27.9,28.5
48,6260049e-211e-49e7-b688-43a94c9f449c,520,c,520,520_c,Maastricht,"36,535","37,000",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,36.535,37
49,20c113b1-029e-4372-a997-14d4c51d1d2f,520,a,520,520_a,Maastricht,"0,000","1,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,0,1.6
50,5cb7524f-9e86-488c-87d1-74c88b790c60,785,,785,785__,Lanaken (B) - Maastricht grens,"11,603","12,751",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,11.603,12.751
51,3920ddbd-bba6-40dd-97a0-c1ef986ffdd9,072,a,72,072_a,Maastricht - Maastricht Grens,"37,000","40,570",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,37,40.57
52,2d4574d3-28e1-4fbe-a9bc-17ed1f8bec66,063,,63,063__,Maastricht - Sittard,"1,600","20,700",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,1.6,20.7
53,687dd045-3f88-49aa-84b1-2eea66bccc57,072,b,72,072_b,Maastricht - Maastricht Grens,"200,200","200,800",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,200.2,200.8
54,a49115ce-74b5-414d-a16f-c29981d771e1,144,b,144,144_b,Duivendrecht - Amsterdam Riekerpolder,"300,077","300,833",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,300.077,300.833
55,755cb5fe-3004-4137-bc50-7859df867e7d,144,a,144,144_a,Duivendrecht - Amsterdam Riekerpolder,"151,000","157,600",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,151,157.6
56,65cfee08-bd14-4241-9af8-5e8dc1feabb8,535,b,535,535_b,Amsterdam Bijlmer Arena,"302,100","302,344",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,302.1,302.344
