Ministerie;Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
AZ;A.C.S. B.V.;;2;;;2;2;;;3
AZ;Actendo B.V.;;;;1;;;;;1
AZ;Arvato Benelux B.V.;;;;2;;;;;2
AZ;Axway B.V.;;;;;2;;;;2
AZ;BCT B.V.;;;;;1;;;;1
AZ;BPI Services B.V.;;;1;;;;;;1
AZ;Bumicom Telecommunicatie B.V.;;1;1;;;;;;2
AZ;Cimon B.V.;;;;;;;;2;2
AZ;CM Telecom B.V.;;;;;;;1;;1
AZ;COMPAREX Nederland B.V.;;;;;;1;;;1
AZ;Conrad Electronic Benelux B.V.;;1;;;;;;;1
AZ;Coosto Holding B.V.;;;;;2;;;;2
AZ;Dataplus Netherlands B.V.;;;;;1;;;;1
AZ;DBA.NL B.V.;;;;;3;;;;3
AZ;DTG B.V.;;;;;;;1;;1
AZ;Entopic B.V.;;;;;1;;;;1
AZ;Exact Software Nederland B.V.;;;;;1;;;;1
AZ;Fujitsu Technology Solutions B.V.;;2;;;;;;;2
AZ;Hewlett-Packard Nederland B.V.;;;;;1;;;;1
AZ;Icorp.NL B.V.;;;;;1;;;;1
AZ;ICreative;;;;;1;;;;1
AZ;Incentro Rotterdam;;;;;;;;2;2
AZ;Intermax Hosting B.V.;;;;;;;;3;3
AZ;Kim van Zweeden;;;;;;;;2;2
AZ;KPN Contact lokatie Eindhoven;;;;;2;2;3;;4
AZ;KPN Telecommerce B.V.;;;;;;;1;;1
AZ;Mavim B.V.;;;;1;2;;;;2
AZ;Measuremail B.V.;;;;1;;;;;1
AZ;Misco Solutions B.V.;;7;;;;;;;7
AZ;Multi-Post Nederland B.V.;;;1;;;;;;1
AZ;NEP Creative Technology B.V.;;;;;3;;;;3
AZ;NMS;;;;;1;;;;1
AZ;Notificare B.V.;;;;1;;;;;1
AZ;Novagraaf IP NL B.V.;;;;;1;;;;1
AZ;Noyz Boyz Advanced Audio Services;;;1;;;;;;1
AZ;NPQ Nederland B.V.;;;;;2;;;;2
AZ;Oracle Nederland;;;;;3;;;;3
AZ;Pardon Consult;;;;;1;;;;1
AZ;PointLogic Solutions B.V.;;;;2;;;;;2
AZ;Preware IT B.V.;;;;;1;;;;1
AZ;Prisma-IT B.V.;;;;;2;;;1;2
AZ;Protinus IT B.V.;;5;4;2;1;;2;;6
AZ;QuoVadis Trustlink B.V.;;;;2;;;;;2
AZ;SAP Nederland B.V.;;;;;2;;;;2
AZ;Scholten Awater B.V.;;4;1;;;;;;4
AZ;Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;1;;;;1
AZ;SOA People Nederland N.V.;;;;;1;;;;1
AZ;Softcrow B.V.;;;;;1;;;;1
