ADRES;APOTHEEK;HUISARTS;FYSIO;TANDARTS;BIBLIOTHEEK;PSYCHO;ZIEKENHUIS;VERPLEEGHUIS;VERZORGINGSHUIS;FITPLAATS;OVHALTE_RG;OUDERENSOCIETEIT;BUURTHUIS;BUURTHUISVANDETOEKOMST;PRIMAIROND;KINDEROPVANG;ZORGINSTELLING;WELZIJN;SUPERMARKT;COUNTER
Van Vlotenstraat 27;379;166;239;169;427;2282;3072;1802;1561;1911;226;362;389;298;269;186;1561;389;348;67
Woudenbergstraat 39 en 5 andere adressen;687;851;425;808;1793;684;1323;2026;636;952;303;715;780;909;683;313;636;780;541;68
Bezaansmast 3;803;575;391;144;1373;1941;3291;1632;1561;1490;150;680;1058;680;515;388;1561;1058;407;69
Wormerveerstraat 230;585;583;184;176;2015;898;770;1180;402;1240;192;623;737;592;350;303;402;737;516;70
Wormerveerstraat 244;546;544;224;215;1976;859;731;1141;442;1280;232;662;776;553;389;343;442;776;556;71
Van Vlotenstraat 13;345;131;204;134;463;2247;3037;1767;1526;1947;191;327;424;333;304;152;1526;424;313;72
Van Vlotenstraat 29;385;171;244;174;422;2288;3078;1808;1567;1906;232;367;383;292;263;192;1567;383;354;73
Celsiusstraat 156 en 1 andere adressen;471;386;207;220;211;283;1655;1568;241;1027;185;294;758;241;265;238;241;758;176;74
C.A. van Beverenplein 10;826;947;70;182;1041;1487;2323;1348;931;3468;636;109;1076;226;142;100;931;1076;757;75
C.A. van Beverenplein 18;779;940;24;163;1034;1420;2305;1330;895;3450;590;171;1069;289;205;32;895;1069;691;76
C.A. van Beverenstraat 31;756;878;187;299;972;1475;2441;1424;862;3586;566;161;1006;155;71;71;862;1006;788;77
C.A. van Beverenstraat 35;805;927;136;248;1021;1523;2389;1414;911;3534;615;109;1055;162;78;78;911;1055;823;78
C.A. van Beverenstraat 41;830;952;115;226;1046;1532;2368;1393;936;3513;641;88;1080;187;103;103;936;1080;802;79
