FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
A2.495,EHAM,KM21,"291,65", ,21.68689405,A2,,,"LINESTRING (620215.5433 5796865.454600001, 582204.4847999997 5809924.1598000005)"
A2.496,KM21,KM23,"207,94", ,11.02392281,A2,,,"LINESTRING (582204.4847999997 5809924.1598000005, 572793.4676999999 5791790.4857)"
A2.497,KM23,KM25,"229,17", ,14.31600983,A2,,,"LINESTRING (572793.4676999999 5791790.4857, 553010.2734000003 5774111.626)"
A2.498,KM25,KM28,"224,27", ,19.41564777,A2,,,"LINESTRING (553010.2734000003 5774111.626, 528105.0632999996 5748141.136399999)"
A2.499,KM28,KM33,"211,52", ,23.41007979,A2,,,"LINESTRING (528105.0632999996 5748141.136399999, 505662.4809999997 5711011.553099999)"
A2.500,KM33,KV21,"318,12", ,26.92582876,A2,,,"LINESTRING (505662.4809999997 5711011.553099999, 467040.4363000002 5742609.505100001)"
A2.501,KV21,VB16,"6,74", ,20.29961521,A2,,,"LINESTRING (467040.4363000002 5742609.505100001, 476287.0064000003 5779076.142000001)"
A2.502,VB16,VB9,"27,66", ,50.71180566,A2,,,"LINESTRING (476287.0064000003 5779076.142000001, 519950.7615 5862300.0471)"
A2.503,VB9,KD3,"16,76", ,19.224721,A2,,,"LINESTRING (519950.7615 5862300.0471, 530048.1809 5896467.856000001)"
A2.504,KD3,NL26,"48,25", ,70.43079563,A2,,,"LINESTRING (530048.1809 5896467.856000001, 503014.08779999986 6024164.875700001)"
A2.505,NL26,NL27,"14,31", ,69.24806332,A2,,,"LINESTRING (503014.15940000024 6024165.123199999, 534214.6741000004 6148650.0304000005)"
A2.506,NL27,KB7,"120,08", ,57.83724462,A2,,,"LINESTRING (534214.6741000004 6148650.0304000005, 627928.1913999999 6096620.706499999)"
A2.507,KB7,NL17,"200,96", ,27.02750231,A2,,,"LINESTRING (627928.1913999999 6096620.706499999, 611257.2177999998 6049387.111)"
A2.508,NL17,NL10,"125,24", ,59.23665185,A2,,,"LINESTRING (611257.2177999998 6049387.111, 703030.4749999996 5989140.541099999)"
A2.509,NL10,KM1,"151,98", ,17.3545598,A2,,,"LINESTRING (703030.4749999996 5989140.541099999, 719410.0640000002 5961461.173699999)"
A2.510,KM1,KM10,"256,18", ,48.54944506,A2,,,"LINESTRING (719410.0640000002 5961461.173699999, 632903.4173999997 5936719.667099999)"
A2.511,KM10,KM13,"229,74", ,21.23926739,A2,,,"LINESTRING (632903.4173999997 5936719.667099999, 603547.0911999997 5910497.904999999)"
A2.512,KM13,KM16,"203,20", ,22.55181613,A2,,,"LINESTRING (603547.0911999997 5910497.904999999, 587824.3076999998 5871773.455)"
A2.513,KM16,KM18,"180,52", ,16.80872994,A2,,,"LINESTRING (587824.3076999998 5871773.455, 588109.7571999999 5840623.6479)"
A2.514,KM18,EHAM,"146,10", ,29.28500571,A2,,,"LINESTRING (588109.7571999999 5840623.6479, 620215.5433 5796865.454600001)"
