FID,monumentnr,complex,begin_per,eind_per,hoofdlands,landschap,bijzgebied,code,avw,eenheden,vrij_opp,vrij_nat,vrij_overi,advies,volgorde,Shape__Area,Shape__Length
1,88,Megalietgraf,Neolithicum: 5300 - 2000 vC,Neolithicum: 5300 - 2000 vC, , ,"terrein van zeer hoge archeologische waarde, beschermd",88, ,"terrein van zeer hoge archeologische waarde, beschermd",0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen via gemeente met de Rijksdienst voor het Cultureel Erfgoed",17,4256.16210174561,270.032102737324
2,8588,"Nederzetting, onbepaald",Bronstijd: 2000 - 800 vC,Bronstijd: 2000 - 800 vC, , ,terrein van hoge archeologische waarde,8588, ,terrein van hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",14,6311.68775939941,396.854880910809
3,8590,"Nederzetting, onbepaald",Mesolithicum: 8800 - 4900 vC,Bronstijd: 2000 - 800 vC, , ,terrein van hoge archeologische waarde,8590, ,terrein van hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",14,8820.05358123779,402.532969599943
4,8978,Borg/stins/versterkt huis,Nieuwe tijd: 1500 - 1950,Nieuwe tijd: 1500 - 1950, , ,terrein van hoge archeologische waarde,8978, ,terrein van hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",14,123930.171661377,2018.29370092297
5,9013,"Grafheuvel, onbepaald",IJzertijd: 800 - 12 vC,IJzertijd: 800 - 12 vC, , ,terrein van zeer hoge archeologische waarde,9013, ,terrein van zeer hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",16,77.9548568725586,31.4007157689025
6,9014,"Grafheuvel, onbepaald",IJzertijd: 800 - 12 vC,IJzertijd: 800 - 12 vC, , ,terrein van zeer hoge archeologische waarde,9014, ,terrein van zeer hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",16,27.4794845581055,18.7051017302319
7,9015,"Grafheuvel, onbepaald",IJzertijd: 800 - 12 vC,IJzertijd: 800 - 12 vC, , ,terrein van zeer hoge archeologische waarde,9015, ,terrein van zeer hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",16,174.716064453125,47.0235993718204
8,9018,"Nederzetting, onbepaald",Mesolithicum: 8800 - 4900 vC,Mesolithicum: 8800 - 4900 vC, , ,terrein van archeologische waarde,9018, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,8721.67449188232,382.544071547247
9,9021,"Nederzetting, onbepaald",Mesolithicum: 8800 - 4900 vC,Mesolithicum: 8800 - 4900 vC, , ,terrein van archeologische waarde,9021, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,13985.8464813232,478.998202790294
10,13811,Onbekend,IJzertijd: 800 - 12 vC,Romeinse tijd: 12 vC - 450 nC, , ,terrein van hoge archeologische waarde,13811, ,terrein van hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",14,102817.187591553,1298.02574743276
11,14062,"Nederzetting, onbepaald",Paleolithicum laat B: 18000 C14 -8800 vC,Mesolithicum vroeg: 8800 - 7100 vC, , ,terrein van zeer hoge archeologische waarde,14062, ,terrein van zeer hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",16,51209.6679077148,951.275735150612
12,14064,Urnenveld,Bronstijd laat: 1100 - 800 vC,IJzertijd vroeg: 800 - 500 vC, , ,terrein van hoge archeologische waarde,14064, ,terrein van hoge archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: behoud in situ/opgraving; bij ingrepen contact opnemen met gemeente",14,14073.3438034058,482.364850069041
13,14065,Onbekend,IJzertijd: 800 - 12 vC,IJzertijd: 800 - 12 vC, , ,terrein van archeologische waarde,14065, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,2537.19368743896,409.26322770788
14,14069,"Nederzetting, onbepaald",Neolithicum: 5300 - 2000 vC,Neolithicum: 5300 - 2000 vC, , ,terrein van archeologische waarde,14069, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,12219.8476104736,441.680128654692
15,14070,"Nederzetting, onbepaald",Onbekend,Onbekend, , ,terrein van archeologische waarde,14070, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,216.554786682129,230.760729075791
16,14073,"Nederzetting, onbepaald",IJzertijd laat: 250 - 12 vC,Romeinse tijd: 12 vC - 450 nC, , ,terrein van archeologische waarde,14073, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,6886.47967529297,357.358682425218
17,14076,"Grafheuvel, onbepaald",Neolithicum: 5300 - 2000 vC,Romeinse tijd: 12 vC - 450 nC, , ,terrein van archeologische waarde,14076, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,19793.7103118896,582.44026484383
18,14088,Onbekend,IJzertijd: 800 - 12 vC,IJzertijd: 800 - 12 vC, , ,terrein van archeologische waarde,14088, ,terrein van archeologische waarde,0,0,30,"bij ingrepen > vrijstelling: bureauonderzoek/proefsleuvenonderz., afhankelijk van resultaten vervolgonderz;  contact opnemen met gemeente",13,35704.2963485718,759.325155145967
