CATEGORIE;OVERTREDING;OMS_FEITGROEP;MATE_OVERSCHRIJDING;AANTAL
VB;bord A1;Snelheid binnen bebouwde kom;4;58844
VG;bord A1;Snelheid buiten bebouwde kom;6;107114
VL;gedrag;Snelheid autosnelweg;2;36390
VL;gedrag;Snelheid autosnelweg;1;53149
VA;gedrag;Snelheid binnen bebouwde kom;22;9340
VL;gedrag;Snelheid autosnelweg;10;7973
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;14;513
VM;bord A1;Snelheid autosnelweg;29;4818
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;27;23
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;23;89
VC;bord A3;Snelheid binnen bebouwde kom;24;2
VC;bord A3;Snelheid binnen bebouwde kom;19;2
VG;bord A1;Snelheid buiten bebouwde kom;7;85716
VF;gedrag;Snelheid buiten bebouwde kom;30;2187
VM;bord A1;Snelheid autosnelweg;32;3285
VG;bord A1;Snelheid buiten bebouwde kom;30;1681
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;13;2
VN;bord A3;Snelheid autosnelweg;22;14
VH;bord A3;Snelheid buiten bebouwde kom;9;1
VP;wegwerkzaamheden (bord A3);Snelheid autosnelweg;14;1
VF;gedrag;Snelheid buiten bebouwde kom;6;96830
VM;bord A1;Snelheid autosnelweg;16;32707
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;14;110
VB;bord A1;Snelheid binnen bebouwde kom;14;5356
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;4;321
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;30;70
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;7;65
VN;bord A3;Snelheid autosnelweg;33;16
VV;erf;Snelheid woonerf;23;1
VC;bord A3;Snelheid binnen bebouwde kom;27;1
VG;bord A1;Snelheid buiten bebouwde kom;10;45545
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;26;108
VL;gedrag;Snelheid autosnelweg;25;924
VB;bord A1;Snelheid binnen bebouwde kom;27;1316
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;19;41
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;8;278
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;18;175
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;28;48
VL;gedrag;Snelheid autosnelweg;39;9
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;19;31
VA;gedrag;Snelheid binnen bebouwde kom;13;57484
VM;bord A1;Snelheid autosnelweg;25;8401
VL;gedrag;Snelheid autosnelweg;15;3070
VG;bord A1;Snelheid buiten bebouwde kom;21;4979
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;9;211
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;4;284
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;27;37
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;29;15
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;19;132
VC;bord A3;Snelheid binnen bebouwde kom;23;5
VN;bord A3;Snelheid autosnelweg;26;38
VN;bord A3;Snelheid autosnelweg;30;50
VC;bord A3;Snelheid binnen bebouwde kom;13;2
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;17;30
VH;bord A3;Snelheid buiten bebouwde kom;27;18
VS;bord A1 30 km/u;Snelheid binnen bebouwde kom;24;114
VV;erf;Snelheid woonerf;27;1
VC;bord A3;Snelheid binnen bebouwde kom;7;1
VN;bord A3;Snelheid autosnelweg;13;1
VA;gedrag;Snelheid binnen bebouwde kom;5;443761
VM;bord A1;Snelheid autosnelweg;13;53942
VG;bord A1;Snelheid buiten bebouwde kom;13;23364
VM;bord A1;Snelheid autosnelweg;26;12558
VB;bord A1;Snelheid binnen bebouwde kom;9;15673
VF;gedrag;Snelheid buiten bebouwde kom;18;8246
VF;gedrag;Snelheid buiten bebouwde kom;20;6249
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;11;163
VI;wegwerkzaamheden (bord A1);Snelheid buiten bebouwde kom;28;27
VH;bord A3;Snelheid buiten bebouwde kom;14;2
VN;bord A3;Snelheid autosnelweg;18;5
VH;bord A3;Snelheid buiten bebouwde kom;16;3
VN;bord A3;Snelheid autosnelweg;9;2
VB;bord A1;Snelheid binnen bebouwde kom;12;8093
VB;bord A1;Snelheid binnen bebouwde kom;7;25948
VB;bord A1;Snelheid binnen bebouwde kom;23;1340
VM;bord A1;Snelheid autosnelweg;20;17664
VF;gedrag;Snelheid buiten bebouwde kom;13;23015
VA;gedrag;Snelheid binnen bebouwde kom;11;98384
VB;bord A1;Snelheid binnen bebouwde kom;17;3230
VG;bord A1;Snelheid buiten bebouwde kom;25;2768
VF;gedrag;Snelheid buiten bebouwde kom;23;4123
VF;gedrag;Snelheid buiten bebouwde kom;29;2109
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;22;182
VO;wegwerkzaamheden (bord A1);Snelheid autosnelweg;16;372
VD;wegwerkzaamheden (bord A1);Snelheid binnen bebouwde kom;29;9
VC;bord A3;Snelheid binnen bebouwde kom;18;1
VB;bord A1;Snelheid binnen bebouwde kom;24;972
VF;gedrag;Snelheid buiten bebouwde kom;12;27824
VB;bord A1;Snelheid binnen bebouwde kom;25;883
