FID,oid_,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkinge,symbol,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
trend_2006_25.1,0,807400,8,7400,226,205.5,-20.5,-0.298,-,1 - - - 5 -,4,414.9,,,"POLYGON ((92280.0399999991 480880.25499999896, 92286.73600000143 480876.98900000006, 92199.06199999899 480697.23000000045, 92192.36600000039 480700.49599999934, 92280.0399999991 480880.25499999896))"
trend_2006_25.2,0,807425,8,7425,217,199,-18,-0.37,-,1 - - - 5 -,4,418.5,,,"POLYGON ((92169.0399999991 480655.25499999896, 92177.35399999842 480651.19999999925, 92089.6799999997 480471.44099999964, 92081.36600000039 480475.49599999934, 92169.0399999991 480655.25499999896))"
trend_2006_25.3,0,807450,8,7450,218,195,-23,-0.319,-,1 - - - 5 -,4,415.95,,,"POLYGON ((92059.0399999991 480430.25400000066, 92066.20800000057 480426.7580000013, 91978.53400000185 480246.9990000017, 91971.36600000039 480250.49500000104, 92059.0399999991 480430.25400000066))"
trend_2006_25.4,0,807475,8,7475,199,182.9,-16.1,-3.001,-,1 - - - 5 -,4,550.05,,,"POLYGON ((91949.0399999991 480206.25400000066, 92016.47199999914 480173.36499999836, 91928.79800000042 479993.6070000008, 91861.36600000039 480026.49500000104, 91949.0399999991 480206.25400000066))"
trend_2006_25.5,0,807500,8,7500,212,189.7,-22.3,-1.123,-,1 - - - 5 -,4,456.15,,,"POLYGON ((91839.0399999991 479980.25400000066, 91864.27400000021 479967.9470000006, 91776.60000000149 479788.188000001, 91751.36600000039 479800.49500000104, 91839.0399999991 479980.25400000066))"
trend_2006_25.6,0,807525,8,7525,203,190.5,-12.5,-0.831,-,1 - - - 5 -,4,441.55,,,"POLYGON ((91729.0399999991 479755.25400000066, 91747.71299999952 479746.1469999999, 91660.0390000008 479566.38800000027, 91641.36600000039 479575.49599999934, 91729.0399999991 479755.25400000066))"
trend_2006_25.7,0,807550,8,7550,196,190.9,-5.1,-0.563,-,1 - - - 5 -,4,428.15,,,"POLYGON ((91628.3909999989 479546.1009999998, 91640.93200000003 479539.7109999992, 91550.13399999961 479361.51000000164, 91537.59299999848 479367.8999999985, 91628.3909999989 479546.1009999998))"
trend_2006_25.8,0,807575,8,7575,198,187.3,-10.7,-1.217,-,1 - - - 5 -,4,460.85,,,"POLYGON ((91509.0399999991 479307.25400000066, 91536.38599999994 479293.91699999943, 91448.71200000122 479114.1579999998, 91421.36600000039 479127.49599999934, 91509.0399999991 479307.25400000066))"
trend_2006_25.9,0,807600,8,7600,199,190,-9,-1.852,-,1 - - - 5 -,4,492.6,,,"POLYGON ((91398.0399999991 479080.25499999896, 91439.65399999917 479059.95800000057, 91351.98000000045 478880.19900000095, 91310.36600000039 478900.49599999934, 91398.0399999991 479080.25499999896))"
trend_2006_25.10,0,807625,8,7625,189,196.3,7.3,-0.441,>2013,- - - - 5 -,3,422.05,,,"POLYGON ((91288.0399999991 478855.25499999896, 91297.94900000095 478850.4219999984, 91210.27499999851 478670.6629999988, 91200.36600000039 478675.49599999934, 91288.0399999991 478855.25499999896))"
trend_2006_25.11,0,807650,8,7650,197,199.5,2.5,-0.254,2012,- - - - 5 -,3,412.7,,,"POLYGON ((91178.0399999991 478631.25499999896, 91183.74799999967 478628.47100000083, 91096.07400000095 478448.7120000012, 91090.36600000039 478451.49599999934, 91178.0399999991 478631.25499999896))"
trend_2006_25.12,0,807675,8,7675,198,208.1,10.1,0.969,-,- - - - 5 -,1,448.45,,,"POLYGON ((90980.36600000039 478226.49500000104, 90958.59299999848 478237.11499999836, 91046.26700000092 478416.8740000017, 91068.0399999991 478406.25400000066, 90980.36600000039 478226.49500000104))"
trend_2006_25.13,0,807700,8,7700,191,210.4,19.4,0.875,-,- - - - 5 -,1,443.75,,,"POLYGON ((90869.36600000039 478001.49500000104, 90849.70499999821 478011.0850000009, 90937.37900000066 478190.8440000005, 90957.0399999991 478181.25400000066, 90869.36600000039 478001.49500000104))"
trend_2006_25.14,0,1700584,17,584,13,33.34,20.34,0.373,-,- - - - - -,1,418.65,,,"POLYGON ((22337.9990000017 381619.07499999925, 22335.27199999988 381627.9930000007, 22526.53299999982 381686.4670000002, 22529.258999999613 381677.55000000075, 22337.9990000017 381619.07499999925))"
trend_2006_25.15,0,1700602,17,602,-5,33.22,38.22,0.305,-,- - - - - -,1,415.25,,,"POLYGON ((22173.997999999672 381568.07499999925, 22171.76900000125 381575.3669999987, 22363.030000001192 381633.8420000002, 22365.258999999613 381626.55000000075, 22173.997999999672 381568.07499999925))"
trend_2006_25.16,0,1700619,17,619,-8,27.85,35.85,0.162,-,- - - - - -,1,408.1,,,"POLYGON ((22003.997999999672 381516.07499999925, 22002.813999999315 381519.9479999989, 22194.074999999255 381578.4230000004, 22195.258999999613 381574.55000000075, 22003.997999999672 381516.07499999925))"
trend_2006_25.17,0,1700638,17,638,5,36.62,31.62,0.934,-,- - - - - -,1,446.7,,,"POLYGON ((21827.997999999672 381461.07499999925, 21821.17199999839 381483.4050000012, 22012.43200000003 381541.87900000066, 22019.258999999613 381519.5489999987, 21827.997999999672 381461.07499999925))"
trend_2006_25.18,0,1700663,17,663,43,53,10,0.113,-,- - - - - -,1,405.65,,,"POLYGON ((21588.997999999672 381387.07499999925, 21588.17199999839 381389.77699999884, 21779.43299999833 381448.2509999983, 21780.258999999613 381445.55000000075, 21588.997999999672 381387.07499999925))"
trend_2006_25.19,0,1700684,17,684,44,63.73,19.73,0.193,-,- - - - - -,1,409.65,,,"POLYGON ((21382.997999999672 381324.07499999925, 21381.587999999523 381328.6889999993, 21572.848000001162 381387.1640000008, 21574.258999999613 381382.55000000075, 21382.997999999672 381324.07499999925))"
trend_2006_25.20,0,1700705,17,705,33,60.19,27.19,-0.9,>2013,- - - - - -,3,445,,,"POLYGON ((21374.258999999613 381320.5489999987, 21380.837999999523 381299.0329999998, 21189.576999999583 381240.55799999833, 21182.997999999672 381262.07499999925, 21374.258999999613 381320.5489999987))"
trend_2006_25.21,0,1700730,17,730,37,55.17,18.17,-2.414,2010,- - - - - -,3,520.7,,,"POLYGON ((21140.258999999613 381247.5489999987, 21157.903999999166 381189.8359999992, 20966.642999999225 381131.36199999973, 20948.997999999672 381189.07499999925, 21140.258999999613 381247.5489999987))"
trend_2006_25.22,0,1700751,17,751,37,62.56,25.56,-2.185,>2013,- - - - - -,3,509.25,,,"POLYGON ((20942.258999999613 381186.55000000075, 20958.230000000447 381134.311999999, 20766.969000000507 381075.8370000012, 20750.997999999672 381128.07499999925, 20942.258999999613 381186.55000000075))"
