OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_BRANDWEERSLEUTELKLUIS_PUIC,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,8a04fe79-3b62-4e08-8f9c-b8a1c8609374,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,604,a,604,604_a,Hattemerbroek,44.959787,"44,959787",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,Gelderland,33,Strukton Rail,199738.709,500117.929,52.48694553,6.04586238
2,abc6da94-d486-43a3-8c84-e5dc0adffc47,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,603,a,603,603_a,Zwolle,2.503715,"2,503715",ProRail,Noord-Oost,NO,BAAN,Drenthe,440,Overijssel,34,ASSET Rail,202552.404,502336.121,52.50664255,6.08759944
3,139c1b55-8017-4463-9145-91fc1b1e337d,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,604,b,604,604_b,Hattemerbroek,84.060534,"84,060534",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,Gelderland,33,Strukton Rail,200321.128,500244.393,52.48803411,6.05445352
4,5a26144c-59e0-4db0-8de5-20a340a8f518,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,604,b,604,604_b,Hattemerbroek,83.871705,"83,871705",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderland,33,Strukton Rail,200142.575,500181.351,52.48748232,6.0518164
5,0ef80454-4ddf-4bbb-8bac-7b46ca53060b,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,604,a,604,604_a,Hattemerbroek,45.550809,"45,550809",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,Gelderland,33,Strukton Rail,200312.005,500264.923,52.48821937,6.054322
6,d7fb3f57-ffb8-45bd-8a37-317fda064ea1,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zlr-Zlge,Zwolle Rangeerterrein - Zwolle Goederenemplacement ,926,,926,926__,Zwolle Rangeerterrein,1.038768,"1,038768",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,201797.177,501361.675,52.49795062,6.07633997
7,9e18d812-25b2-4038-95d2-c8aa4d683493,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,603,d,603,603_d,Zwolle,48.426996,"48,426996",ProRail,Noord-Oost,NO,BASIS,Drenthe,440,Overijssel,34,ASSET Rail,202051.331,502285.552,52.50623146,6.08021262
8,c3af5a74-6fd0-4a18-b316-982c14225318,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,604,a,604,604_a,Hattemerbroek,46.785831,"46,785831",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderland,33,Strukton Rail,201405.358,500802.358,52.49295754,6.07049271
9,34fc73db-48da-4bc0-bf2e-d4d537d75c8a,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,604,a,604,604_a,Hattemerbroek,44.954902,"44,954902",ProRail,Noord-Oost,NO,BASIS,Veluwe,430,Gelderland,33,Strukton Rail,199730.524,500161.201,52.48733508,6.04574769
10,a9bdf4f1-190b-422c-9ce8-38e8288872d2,,60,Bestaand,0,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,604,a,604,604_a,Hattemerbroek,44.887024,"44,887024",ProRail,Noord-Oost,NO,BAAN,Veluwe,430,Gelderland,33,Strukton Rail,199664.779,500128.648,52.4870479,6.04477547
