opkoopbesc;buurtcode;buurtnaam;wijkcode;wijknaam;stadsdeelc;stadsdeeln;geo_shape;geo_point_2d
Opkoopbescherming van toepassing;731;Genderbeemd;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;"{""coordinates"": [[[5.42737296814783, 51.41701306399998], [5.427362989827555, 51.417137829563856], [5.427558611465323, 51.417154561617764], [5.427660886265127, 51.4171633169748], [5.427694002735681, 51.417303268319465], [5.42769586463343, 51.417327752860515], [5.427700432411985, 51.41738815526133], [5.427662751172516, 51.417755904664695], [5.42763036363018, 51.41812817351579], [5.427628020685861, 51.418160812261284], [5.427626684058738, 51.4181934686338], [5.427626368126843, 51.41822614262837], [5.427627044124763, 51.41825881627767], [5.427628755157979, 51.418291462600585], [5.427631458109325, 51.41832409060075], [5.427635167340729, 51.41835668229575], [5.427639897214147, 51.41838921970313], [5.427645633347915, 51.41842169383903], [5.427652361360258, 51.41845409571967], [5.427660095613199, 51.41848640736244], [5.427668836100712, 51.41851861977856], [5.427678554057115, 51.41855071500033], [5.427689278236256, 51.41858269301751], [5.427768900395156, 51.41881736888873], [5.427791231188383, 51.4189354275133], [5.42784660420961, 51.419284978248314], [5.427865866066859, 51.419539432286484], [5.427873096776693, 51.4201487819145], [5.427859114225202, 51.42026752737767], [5.427843819006077, 51.42039749118009], [5.427759733620805, 51.42101207714846], [5.427733780233751, 51.421346384482405], [5.427730371897841, 51.42140964805316], [5.427731491104709, 51.42151994784436], [5.42773891967863, 51.42157960316943], [5.427749211893281, 51.42164219679492], [5.427752759705355, 51.42167072564954], [5.427819640081514, 51.42166974948145], [5.427805377049662, 51.42189352783399], [5.427805093545797, 51.42189804025402], [5.427815102305561, 51.42190072437242], [5.427847271280587, 51.42190936023755], [5.427939162153774, 51.42193401997104], [5.427938848062237, 51.421936473992766], [5.42790940010453, 51.42217102792349], [5.42891060547915, 51.422488681716544], [5.429355745613666, 51.4226693284848], [5.429522916238681, 51.42269223380325], [5.429645362294093, 51.42279501072213], [5.430916061599741, 51.4231942664776], [5.431820298658113, 51.423469644449405], [5.432079554616315, 51.42354859741565], [5.433837776581334, 51.42406749616865], [5.435068733176023, 51.42443670039846], [5.436004127592319, 51.424710466363365], [5.437259497938271, 51.425034900525716], [5.437660941293124, 51.425148559693675], [5.438375236033611, 51.42543932808975], [5.439187774221348, 51.42575761652235], [5.439994214963193, 51.42604046866224], [5.440168051511283, 51.42608038026678], [5.440448212802241, 51.42609320500591], [5.440908799645912, 51.42605089017891], [5.441256566345603, 51.42608685456295], [5.441564686560837, 51.4261778202409], [5.44182979011941, 51.42635425176456], [5.441987699736632, 51.42656239138484], [5.442138563506063, 51.42689985972504], [5.442364171297023, 51.42740451613034], [5.442723025211092, 51.42749094414636], [5.443271560969692, 51.42748677898687], [5.443841733344796, 51.427555001872896], [5.444314137526794, 51.42765405087557], [5.445249804702228, 51.427980861175826], [5.446746942091884, 51.4285037563864], [5.447881983123333, 51.42914148327626], [5.448714272679051, 51.429538220157305], [5.449707477443532, 51.42990984025334], [5.450185288553943, 51.42936675591638], [5.450184650009549, 51.429134192029885], [5.449152497198005, 51.42749894133264], [5.447506149926977, 51.424890350497236], [5.446328765755652, 51.4230246239909], [5.445531946573397, 51.42176185952938], [5.445478876769224, 51.42161133100009], [5.445280657456215, 51.421117503530006], [5.445275027302152, 51.42105204262198], [5.445301667589236, 51.42073728049685], [5.445461143502358, 51.42003667803429], [5.444810143011965, 51.41998013180011], [5.442936039484815, 51.41981732603399], [5.441996746208569, 51.41973571651197], [5.43969607029508, 51.419535790923625], [5.438215538652052, 51.41940710997624], [5.437259144391331, 51.41932397408612], [5.436367188557119, 51.41914892253426], [5.435341596257255, 51.41871252850915], [5.434733734636326, 51.418367108763526], [5.433582152677379, 51.417712694993575], [5.433112964299615, 51.41751703573757], [5.432885097445918, 51.417445881187746], [5.431994489198477, 51.417256485664026], [5.430767682936272, 51.41717943997439], [5.42737296814783, 51.41701306399998]]], ""type"": ""Polygon""}";51.42257440605609, 5.438449411601088
Opkoopbescherming van toepassing;512;Prinsejagt;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.459579331363074, 51.464079039945595], [5.459199902271338, 51.46393144579182], [5.455269361571824, 51.46240238052393], [5.454853030180796, 51.46224475885585], [5.454318744226907, 51.46204247616409], [5.45365838862455, 51.4626888452538], [5.453177894714036, 51.46318211090633], [5.452347332203126, 51.46399394950026], [5.450944823374804, 51.46541425175143], [5.449834298324056, 51.46653414990933], [5.451121331327674, 51.46760564676281], [5.453520277913662, 51.46960267501144], [5.453902079894148, 51.46992049012482], [5.454327682413909, 51.470036531835284], [5.45337559462974, 51.47134770540556], [5.453143431791119, 51.47166741815845], [5.453528908087722, 51.471808532394746], [5.454282607652606, 51.472522165134684], [5.45488725471382, 51.47276044075804], [5.45671766359195, 51.47348172341561], [5.457836243501185, 51.47391965281101], [5.457902172269615, 51.47394546328736], [5.458668837812689, 51.474251968801106], [5.458857632493294, 51.4743274456111], [5.459329787017636, 51.474529452893755], [5.460272233779313, 51.47494012349099], [5.46055030217607, 51.47465179296326], [5.461520679595878, 51.473695732726824], [5.461943439676428, 51.47327919555161], [5.463005928943336, 51.472243656076124], [5.463246725345619, 51.472021627493035], [5.463997767525594, 51.47132910936265], [5.464629786631442, 51.47071089930587], [5.465800093657299, 51.46953552468511], [5.465895954617344, 51.469439246209724], [5.466314917548521, 51.469017623307955], [5.467247726880378, 51.46807886075269], [5.467617207438573, 51.467802876285106], [5.467917127406094, 51.46765339768253], [5.46804370512416, 51.46758521177816], [5.467130012484527, 51.46708555132044], [5.466635139180135, 51.46682904779308], [5.464029756174666, 51.46580321603103], [5.459579331363074, 51.464079039945595]]], ""type"": ""Polygon""}";51.46830226458405, 5.458431512378218
Opkoopbescherming van toepassing;634;Zandrijk;63;Wijk Meerhoven;6;Stadsdeel Strijp;"{""coordinates"": [[[5.410137083138058, 51.450765830824174], [5.410912865389202, 51.45118753003231], [5.414082119508993, 51.448911917372584], [5.413490751891928, 51.4479295030366], [5.41208917043584, 51.44550420738458], [5.41132264591283, 51.444171202625625], [5.411276819568867, 51.44410011174324], [5.411095624303475, 51.44401460942916], [5.409008009465246, 51.445526304923014], [5.407419141366334, 51.44468163912238], [5.407238629635669, 51.44458567327935], [5.4071238074551, 51.44452462944755], [5.403898931634314, 51.4447965351071], [5.399966671881013, 51.4449693185458], [5.400212041537483, 51.44537419667157], [5.400901330038186, 51.44574792874889], [5.403599319460546, 51.447210681177985], [5.403629364190369, 51.447314325287955], [5.403584093612612, 51.44735097853312], [5.405208494400132, 51.44825514016775], [5.405315569166334, 51.44831473721194], [5.405765554350352, 51.44855375732333], [5.406906216818134, 51.449159628023445], [5.406972815345494, 51.44911169805765], [5.407098545982399, 51.44911402255109], [5.409587525798911, 51.45046709559893], [5.410137083138058, 51.450765830824174]]], ""type"": ""Polygon""}";51.447195454073274, 5.4082386129181135
Opkoopbescherming van toepassing;112;Bergen;11;Wijk Centrum;1;Stadsdeel Centrum;"{""coordinates"": [[[5.473623543441302, 51.43419486495863], [5.473198750205621, 51.43439765678661], [5.473118609076566, 51.43444221533033], [5.472543644381918, 51.434761889270725], [5.472021131419833, 51.43509023759346], [5.471557542651233, 51.43538155155793], [5.471256833121557, 51.43552248687762], [5.470511905212216, 51.43603100242607], [5.468927193467239, 51.43711272970692], [5.468897703878215, 51.43713285808514], [5.468740911919228, 51.4373122364724], [5.468668014639074, 51.437470313919015], [5.468642040121134, 51.43762965017738], [5.46863988351237, 51.43764287942941], [5.468661731302253, 51.43783489024178], [5.468859299210811, 51.43815030578134], [5.469011779046293, 51.43846504076952], [5.469035064873579, 51.43869022411792], [5.469888827421752, 51.438621541525364], [5.470043150264889, 51.43860814115868], [5.470469519890752, 51.438571118243445], [5.474044002759035, 51.43826066809895], [5.474555890522941, 51.43823860809091], [5.474796928677322, 51.43827354399235], [5.47503655802675, 51.438394266637765], [5.475328970914499, 51.43826092152152], [5.475467984001151, 51.43819635479569], [5.475619594700031, 51.43813586908767], [5.475899450508536, 51.43802409861631], [5.476844767169686, 51.43745447202516], [5.478041825693368, 51.43657285657815], [5.478091020304602, 51.43653662435962], [5.479238292096897, 51.4356034259838], [5.480089666512054, 51.434766514723854], [5.480298900544701, 51.43457199430186], [5.480760914057818, 51.43430457019881], [5.48025526748863, 51.43384723559727], [5.479823336940699, 51.43354581633702], [5.479404623500373, 51.4332536163892], [5.479331872514125, 51.43278432169691], [5.47920539326002, 51.43266303130646], [5.478839269687993, 51.43257677426336], [5.478587699048705, 51.43246235545612], [5.478475648955889, 51.432254345393005], [5.47867673554136, 51.43174333632443], [5.478950300134207, 51.43134244142934], [5.479255012004047, 51.43089589468893], [5.479330279621993, 51.43062790309627], [5.479302316263121, 51.43037473909152], [5.478654741591008, 51.42945077119391], [5.478576348964472, 51.4292849941645], [5.478526382801088, 51.429339651325144], [5.478411831063561, 51.42946495712231], [5.478297301629074, 51.42973888712792], [5.478275589590438, 51.42994765737147], [5.478238569025642, 51.430619302992476], [5.478222793148007, 51.43071926052778], [5.478124306867633, 51.43092820757514], [5.477929655815561, 51.43109826355613], [5.477065631133847, 51.43181352514059], [5.477051353605955, 51.431825407516], [5.475956340534823, 51.43273671398444], [5.475403456681525, 51.43316389170676], [5.475100432816349, 51.4333980154229], [5.474429819064539, 51.43380994712306], [5.473623543441302, 51.43419486495863]]], ""type"": ""Polygon""}";51.435395020560996, 5.475138916397635
Opkoopbescherming van toepassing;613;Engelsbergen;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;"{""coordinates"": [[[5.459506354300966, 51.4374514879874], [5.460386170978539, 51.43689870681879], [5.461860188508983, 51.43597254774294], [5.461981725218496, 51.43589618188455], [5.46412162240004, 51.43521135999964], [5.463598990880022, 51.43458294585145], [5.463265798268682, 51.434711792106334], [5.462468855693552, 51.43448277516783], [5.460965253132768, 51.43374398716862], [5.456680673734069, 51.432353926343076], [5.456036918638721, 51.43261416275472], [5.454948737949202, 51.43210809131737], [5.454410810902186, 51.431802220839174], [5.453926517468286, 51.432305081999516], [5.453699448207306, 51.43263572765566], [5.45356731201069, 51.432828133939275], [5.452208881577381, 51.435470882945744], [5.451904744900648, 51.43596939302712], [5.452669112266436, 51.43629533369693], [5.45283665919262, 51.43636677752502], [5.454486799269151, 51.437070390346925], [5.455773029301618, 51.43737480437016], [5.455977655448689, 51.43742323238339], [5.45724718408166, 51.437926830075604], [5.458515285249722, 51.438520238701415], [5.458541551611562, 51.43853224945851], [5.459075565265768, 51.438115304585885], [5.459160940108394, 51.437979903882244], [5.459173049456966, 51.43795335461978], [5.459360023818132, 51.43754342423794], [5.459506354300966, 51.4374514879874]]], ""type"": ""Polygon""}";51.435120938103424, 5.457300239218526
Opkoopbescherming van toepassing;411;Limbeek-Noord;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.46418570527447, 51.45172164069813], [5.464558746389002, 51.451804303173404], [5.46518033214207, 51.45117282796322], [5.465805930171017, 51.45051804895606], [5.465947405622838, 51.450354888931905], [5.465980153057134, 51.450317122439806], [5.46639495779628, 51.449838729885194], [5.466908460658173, 51.449320063772], [5.467496212243882, 51.4487263849419], [5.468136870776539, 51.44807637567762], [5.468578012287457, 51.447628782727726], [5.468829828601719, 51.4473738835765], [5.469537187175438, 51.44665785097586], [5.469871930443469, 51.44645905303622], [5.47007112708006, 51.446252319295084], [5.469257472121566, 51.44593715028113], [5.469070658404468, 51.44589069347066], [5.468918045378667, 51.445883281647255], [5.468794887685215, 51.44590157188317], [5.468676748647807, 51.44593029163433], [5.468573593320748, 51.44600131499052], [5.468531346161552, 51.446031237250295], [5.468370020028357, 51.446145497026855], [5.468138417138418, 51.44629867338675], [5.467847052463922, 51.4464143153287], [5.467522461566266, 51.44648417137521], [5.467297272925257, 51.44651424620925], [5.466892504222232, 51.44648973408085], [5.466407229123057, 51.44645039908402], [5.465781539030228, 51.4464054329331], [5.46549559105086, 51.44638510892092], [5.465298337733676, 51.446361391746294], [5.465268456030696, 51.44635779923747], [5.465013861090844, 51.446271739503366], [5.464946079940288, 51.44623432537561], [5.464846807162235, 51.44617952833996], [5.464667853860846, 51.446037700171715], [5.464121819009804, 51.445677648653145], [5.46349566895218, 51.445344074712494], [5.463131571025078, 51.44566979002612], [5.462266234596357, 51.446307980911676], [5.460616074074466, 51.44753978065413], [5.458975535409946, 51.448767586984744], [5.458779010247881, 51.44891466382182], [5.457515201175736, 51.449842662493715], [5.457877315762746, 51.44995194142381], [5.459009220916338, 51.45023478742524], [5.460228871315716, 51.45060337870627], [5.461354216867913, 51.45094345223726], [5.461425471562572, 51.450963854265055], [5.462648165756034, 51.45131388547047], [5.462945865656626, 51.45139916277232], [5.463683603545116, 51.45161037632769], [5.46418570527447, 51.45172164069813]]], ""type"": ""Polygon""}";51.44857272989802, 5.463746159638194
Opkoopbescherming van toepassing;432;Oude Toren;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.484913422898426, 51.4574656770762], [5.485103307466069, 51.45747406318481], [5.485737306320055, 51.45748494337398], [5.485702266831904, 51.45717615190355], [5.485425775928319, 51.45575524839527], [5.485192492119072, 51.45505510229707], [5.484535156750908, 51.45319075529554], [5.484422844023528, 51.45288101398096], [5.482861369344236, 51.45292068120524], [5.482073730736239, 51.45294068158903], [5.480176136430501, 51.45299775362247], [5.479748707065948, 51.453010604456175], [5.478591163561846, 51.452988120925106], [5.477868145621328, 51.45294448508441], [5.477748997042308, 51.453448549319155], [5.47761347404615, 51.45422861253943], [5.477255870646347, 51.456286839769156], [5.477091221204076, 51.45723443312392], [5.47800010555968, 51.457228798786815], [5.479160495998161, 51.45726548538979], [5.480007170769748, 51.45729224732753], [5.482328616270831, 51.457360174437056], [5.482595157843858, 51.45738878673758], [5.482797340692071, 51.457382132973486], [5.482926156154326, 51.45737789330328], [5.484913422898426, 51.4574656770762]]], ""type"": ""Polygon""}";51.455247789158975, 5.481384250912919
Opkoopbescherming van toepassing;423;Barrier;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.454853030180796, 51.46224475885585], [5.455269361571824, 51.46240238052393], [5.459199902271338, 51.46393144579182], [5.459579331363074, 51.464079039945595], [5.459996184330633, 51.46368110175656], [5.460030040023249, 51.4636487816143], [5.460188136386371, 51.46350312826376], [5.461568877120244, 51.462231008250754], [5.462062761659181, 51.46181890028812], [5.463069750234831, 51.46101315161968], [5.463258176117419, 51.46085632207211], [5.4637964697217, 51.460408286855504], [5.462884824221621, 51.45997099729096], [5.462500238170265, 51.45962167552322], [5.461826130167594, 51.45900936456558], [5.460691761598942, 51.45797893925107], [5.45987258977649, 51.45723479252355], [5.4594663171235, 51.45686571715327], [5.459130691667154, 51.45720407873206], [5.458339586148438, 51.45800066424944], [5.457869049216463, 51.458475894978676], [5.457693779816411, 51.45865290991193], [5.457379366633129, 51.458970450184026], [5.456169830402109, 51.46019521381158], [5.454318744226907, 51.46204247616409], [5.454853030180796, 51.46224475885585]]], ""type"": ""Polygon""}";51.460771682501054, 5.459138656702148
Opkoopbescherming van toepassing;414;Woenselse Watermolen;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.480379305982295, 51.446388369946334], [5.479645273246932, 51.4463780417369], [5.478558048965958, 51.44636459327127], [5.476979496281031, 51.4462970484816], [5.477175324816584, 51.44756285901764], [5.477203912538973, 51.447715635440744], [5.477670821243159, 51.45021075480229], [5.477826101498333, 51.45104965946565], [5.477949110247064, 51.45171419976033], [5.477965814393276, 51.45199821446651], [5.477983315529926, 51.452295802340544], [5.477868145621328, 51.45294448508441], [5.478591163561846, 51.452988120925106], [5.479748707065948, 51.453010604456175], [5.480176136430501, 51.45299775362247], [5.482073730736239, 51.45294068158903], [5.482861369344236, 51.45292068120524], [5.484422844023528, 51.45288101398096], [5.48417716697834, 51.45221226992818], [5.483966094595536, 51.45182399538451], [5.483676471995768, 51.451367720591456], [5.483293769716073, 51.45085964734937], [5.482843600222327, 51.45029687913354], [5.482695475134275, 51.450111702713265], [5.481762646937511, 51.44897095854155], [5.481506849907145, 51.448650587488395], [5.481062840299717, 51.44809447695744], [5.480828986796551, 51.44774089782825], [5.480748542024933, 51.44756660910211], [5.480610154708868, 51.447266783299334], [5.480464920650254, 51.446816886955254], [5.480379305982295, 51.446388369946334]]], ""type"": ""Polygon""}";51.450065962366516, 5.480107026299262
Opkoopbescherming van toepassing;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;"{""coordinates"": [[[5.45283665919262, 51.43636677752502], [5.452669112266436, 51.43629533369693], [5.451904744900648, 51.43596939302712], [5.451612685636966, 51.43667948465684], [5.451242855912235, 51.43740169554034], [5.451059284859739, 51.43776016700677], [5.450757368063011, 51.43834389806222], [5.45006804307669, 51.43967659072398], [5.450923625289496, 51.44002394943158], [5.451065595670086, 51.44008158700475], [5.45125972063222, 51.44016039820011], [5.45206216058383, 51.440541970729086], [5.452248916494863, 51.440630773502804], [5.452685665188517, 51.44083844746622], [5.452845448642645, 51.440892638273176], [5.453334641234572, 51.44105854577854], [5.453908633548793, 51.44118878501914], [5.454276539737689, 51.44127226084469], [5.455026160569867, 51.44144850784624], [5.4552783818152, 51.44129404295979], [5.456218868142367, 51.441061050809765], [5.45665941715198, 51.44094468826403], [5.456938544995229, 51.44087096160284], [5.457246575589139, 51.44078959897741], [5.457467033356522, 51.44069423913423], [5.457517972221356, 51.440672204984544], [5.457611375460671, 51.44062630625704], [5.457796649736077, 51.440345654668214], [5.458433303804198, 51.43938123363306], [5.458666931411057, 51.43903916194701], [5.458908424568558, 51.43868556864212], [5.458541551611562, 51.43853224945851], [5.458515285249722, 51.438520238701415], [5.45724718408166, 51.437926830075604], [5.455977655448689, 51.43742323238339], [5.455773029301618, 51.43737480437016], [5.454486799269151, 51.437070390346925], [5.45283665919262, 51.43636677752502]]], ""type"": ""Polygon""}";51.43898092089708, 5.4542776998386415
