FID,DATUM,KNOOPNR,DEKSELTYPE,MATERIAAL,JAAR,VORM,BREEDTE,PEIL_MV,MKWALITEIT,PEIL_BODEM,PEIL_WATER,TYPE,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_INSPECTIEPUTTEN.59,2019-04-09,10053,niet bekend,beton,1973,vierkant,800,9.36,gevlogen,6.03,6.03,standaard,2023-02-01,POINT (183834.953 426043.406)
BOR_RIO_INSPECTIEPUTTEN.60,2019-04-09,10054,niet bekend,beton,1972,vierkant,800,9.46,gevlogen,5.96,5.96,standaard,2023-02-01,POINT (183814.375 426022.094)
BOR_RIO_INSPECTIEPUTTEN.61,2020-03-05,10055,niet bekend,beton,1972,vierkant,800,9.11,gevlogen,5.91,5.91,standaard,2023-02-01,POINT (183818.031 425996.755)
BOR_RIO_INSPECTIEPUTTEN.62,2020-03-05,10056,niet bekend,beton,1972,vierkant,800,8.93,gevlogen,5.8,5.8,standaard,2023-02-01,POINT (183827.012 425943.324)
BOR_RIO_INSPECTIEPUTTEN.63,2020-03-05,10057,niet bekend,beton,1972,vierkant,800,8.86,gevlogen,7.08,7.08,standaard,2023-02-01,POINT (183825.723 425941.572)
BOR_RIO_INSPECTIEPUTTEN.64,2020-03-05,10058,niet bekend,beton,1972,vierkant,800,9.06,gevlogen,7.2,7.2,standaard,2023-02-01,POINT (183816.742 425995.123)
BOR_RIO_INSPECTIEPUTTEN.65,2019-04-09,10059,niet bekend,beton,1972,vierkant,800,9.16,gevlogen,7.3,7.3,standaard,2023-02-01,POINT (183765.516 425986.188)
BOR_RIO_INSPECTIEPUTTEN.66,2022-05-12,1006,toegankelijk-ber,pp,0,rond,800,9.99,gemeten,-999.99,-999.99,standaard,2023-02-01,POINT (185042.742 429304.041)
BOR_RIO_INSPECTIEPUTTEN.67,2019-04-09,10060,niet bekend,beton,1972,vierkant,800,9.13,gevlogen,7.1,7.1,standaard,2023-02-01,POINT (183763.5 425987.5)
BOR_RIO_INSPECTIEPUTTEN.68,2019-04-09,10061,niet bekend,beton,1972,vierkant,800,9.54,gevlogen,7.7,7.7,standaard,2023-02-01,POINT (183813.094 426017.938)
BOR_RIO_INSPECTIEPUTTEN.69,2020-03-05,10062,niet bekend,beton,1973,vierkant,800,8.97,gevlogen,7.3,7.3,standaard,2023-02-01,POINT (183836.023 426046.245)
BOR_RIO_INSPECTIEPUTTEN.70,2020-03-05,10063,niet bekend,beton,1973,vierkant,800,8.91,gevlogen,6.98,6.98,standaard,2023-02-01,POINT (183828.582 426091.685)
BOR_RIO_INSPECTIEPUTTEN.71,2020-03-05,10064,niet bekend,beton,1973,vierkant,800,8.83,gevlogen,7.1,7.1,standaard,2023-02-01,POINT (183785.409 426084.472)
BOR_RIO_INSPECTIEPUTTEN.72,2019-04-09,10065,niet bekend,beton,1973,vierkant,800,9.1,gevlogen,7.2,7.2,standaard,2023-02-01,POINT (183749.391 426078.344)
BOR_RIO_INSPECTIEPUTTEN.73,2020-03-05,10066,niet bekend,beton,1973,vierkant,800,8.94,gevlogen,7.3,7.3,standaard,2023-02-01,POINT (183712.629 426072.183)
BOR_RIO_INSPECTIEPUTTEN.74,2020-03-05,10067,niet bekend,beton,1973,vierkant,800,8.64,gevlogen,7.2,7.2,standaard,2023-02-01,POINT (183708.282 426098.426)
BOR_RIO_INSPECTIEPUTTEN.75,2020-03-05,10068,niet bekend,beton,1973,vierkant,800,8.76,gevlogen,6.42,6.42,standaard,2023-02-01,POINT (183888.043 426071.411)
BOR_RIO_INSPECTIEPUTTEN.76,2020-03-05,10069,niet bekend,beton,1973,vierkant,800,8.8,gevlogen,6.55,6.55,standaard,2023-02-01,POINT (183949.942 426081.752)
BOR_RIO_INSPECTIEPUTTEN.77,2022-05-12,1007,toegankelijk-ber,pp,0,rond,800,12.82,gemeten,-999.99,-999.99,standaard,2023-02-01,POINT (185024.675 429371.812)
BOR_RIO_INSPECTIEPUTTEN.78,2020-03-05,10070,niet bekend,beton,1973,vierkant,800,9.08,gevlogen,6.59,6.59,standaard,2023-02-01,POINT (183947.42 426096.571)
BOR_RIO_INSPECTIEPUTTEN.79,2020-03-05,10071,niet bekend,beton,1973,vierkant,800,9.08,gevlogen,6.54,6.54,standaard,2023-02-01,POINT (183946.085 426094.812)
BOR_RIO_INSPECTIEPUTTEN.80,2020-03-05,10072,niet bekend,beton,1973,vierkant,800,8.81,gevlogen,6.56,6.56,standaard,2023-02-01,POINT (183948.31 426082.981)
BOR_RIO_INSPECTIEPUTTEN.81,2020-03-05,10073,niet bekend,beton,1973,vierkant,800,8.79,gevlogen,6.68,6.68,standaard,2023-02-01,POINT (183889.422 426073.192)
BOR_RIO_INSPECTIEPUTTEN.82,2019-04-09,10074,niet bekend,beton,1972,vierkant,800,9.56,gevlogen,7.3,7.3,standaard,2023-02-01,POINT (183879.469 426017.5)
BOR_RIO_INSPECTIEPUTTEN.83,2020-03-05,10075,niet bekend,beton,1972,vierkant,800,9.25,gevlogen,7.17,7.17,standaard,2023-02-01,POINT (183878.623 425989.018)
BOR_RIO_INSPECTIEPUTTEN.84,2020-03-05,10076,niet bekend,beton,1972,vierkant,800,9.23,gevlogen,7.13,7.13,standaard,2023-02-01,POINT (183881.982 425968.861)
BOR_RIO_INSPECTIEPUTTEN.85,2020-03-05,10077,niet bekend,beton,1972,vierkant,800,9.19,gevlogen,7.02,7.02,standaard,2023-02-01,POINT (183911.471 425973.757)
BOR_RIO_INSPECTIEPUTTEN.86,2020-03-05,10078,niet bekend,beton,1972,vierkant,800,9.1,gevlogen,6.7,6.7,standaard,2023-02-01,POINT (183944.538 425979.379)
BOR_RIO_INSPECTIEPUTTEN.87,2020-03-05,10079,niet bekend,beton,1972,vierkant,800,9.13,gevlogen,6.86,6.86,standaard,2023-02-01,POINT (183946.201 425978.06)
BOR_RIO_INSPECTIEPUTTEN.88,2020-06-30,1008,toegankelijk-onb,beton,2006,vierkant,800,10,gevlogen,7.26,7.26,standaard,2023-02-01,POINT (184987.3 429192.379)
BOR_RIO_INSPECTIEPUTTEN.89,2020-03-05,10080,niet bekend,beton,1972,vierkant,800,9.2,gevlogen,6.94,6.94,standaard,2023-02-01,POINT (183913.194 425972.706)
BOR_RIO_INSPECTIEPUTTEN.90,2020-03-05,10081,niet bekend,beton,1972,vierkant,800,9.24,gevlogen,7.13,7.13,standaard,2023-02-01,POINT (183880.723 425966.991)
BOR_RIO_INSPECTIEPUTTEN.91,2020-03-05,10082,niet bekend,beton,1972,vierkant,800,9.28,gevlogen,7.17,7.17,standaard,2023-02-01,POINT (183877.076 425989.413)
BOR_RIO_INSPECTIEPUTTEN.92,2020-03-05,10083,niet bekend,beton,1972,vierkant,800,9.38,gevlogen,7.3,7.3,standaard,2023-02-01,POINT (183877.992 426019.083)
BOR_RIO_INSPECTIEPUTTEN.93,2020-03-05,10084,niet bekend,beton,1972,vierkant,800,8.64,gevlogen,5.53,5.53,standaard,2023-02-01,POINT (183774.015 425854.869)
BOR_RIO_INSPECTIEPUTTEN.94,2020-03-05,10085,niet bekend,beton,1972,vierkant,800,8.71,gevlogen,5.59,5.59,standaard,2023-02-01,POINT (183789.632 425882.963)
BOR_RIO_INSPECTIEPUTTEN.95,2020-03-05,10086,niet bekend,beton,1972,vierkant,800,8.74,gevlogen,7.2,7.2,standaard,2023-02-01,POINT (183795.111 425882.311)
BOR_RIO_INSPECTIEPUTTEN.96,2020-03-05,10087,niet bekend,beton,1972,vierkant,800,8.84,gevlogen,6.9,6.9,standaard,2023-02-01,POINT (183834.235 425889.811)
BOR_RIO_INSPECTIEPUTTEN.97,2020-03-05,10088,niet bekend,beton,1972,vierkant,800,8.91,gevlogen,6.8,6.8,standaard,2023-02-01,POINT (183877.435 425896.159)
BOR_RIO_INSPECTIEPUTTEN.98,2020-03-05,10089,niet bekend,beton,1972,vierkant,800,9.02,gevlogen,6.6,6.6,standaard,2023-02-01,POINT (183918.522 425902.756)
BOR_RIO_INSPECTIEPUTTEN.99,2020-06-30,1009,toegankelijk-onb,beton,2006,vierkant,800,9.99,gevlogen,7.01,7.01,standaard,2023-02-01,POINT (184989.604 429193.044)
BOR_RIO_INSPECTIEPUTTEN.100,2020-03-05,10090,niet bekend,beton,1972,vierkant,800,9,gevlogen,6.4,6.4,standaard,2023-02-01,POINT (183920.139 425904.477)
BOR_RIO_INSPECTIEPUTTEN.101,2020-03-05,10091,niet bekend,beton,1972,vierkant,800,8.9,gevlogen,6.32,6.32,standaard,2023-02-01,POINT (183878.725 425897.881)
