OBJECTID,VERSIE,PUIC,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,STATUS,TYPE,WISSEL_SPOOR_NR,POSITIONELE_NAUWKEURIGHEID_MM,OBEGINTIJD,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,NIVEAU,LENGTE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,X_LIJNPUNT,Y_LIJNPUNT,LATITUDE_LIJNPUNT,LONGITUDE_LIJNPUNT,Shape__Length
1,,b6bd803a97394e0580489c3ec3bbc69b,Prorail,L0004,bestaand,,,inklapbaar,Wl 1059A tuss sp 803-805,283,,0,2019/07/08 11:25:49+00,-VERVALLEN,4.015698,Rsd-Bd,Roosendaal - Breda ,544,b,544,544_b,Breda,23.18,"23,177384",-4.44,"-4,442841",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112093.642,400676.3225,51.59335075,4.76800367,4.0156983203423
2,,88d26b4646e14536b7233dae4682f863,Prorail,L0004,bestaand,,,inklapbaar,Wl 1071A tuss sp 803-805,283,,0,2019/05/22 10:53:25+00,-VERVALLEN,4.013211,Bd-Ehv,Breda - Eindhoven ,544,a,544,544_a,Breda,0.14,"0,141640",-5.57,"-5,568432",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112423.472,400792.74,51.59442223,4.77274914,4.01321068472613
3,,6b91310bad384aea8750cdbb1301c63a,Prorail,L0004,bestaand,,,inklapbaar,Wl 1057A tuss sp 806-807,283,,0,2019/07/08 11:25:49+00,-VERVALLEN,3.990239,Rsd-Bd,Roosendaal - Breda ,544,b,544,544_b,Breda,23.17,"23,165307",4.81,"4,810793",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112079.1585,400680.9615,51.59339134,4.76779409,3.99023934119246
4,,14072e94752f457099e9b2d77ca3955a,Prorail,L0004,bestaand,,,inklapbaar,Wl 1059A tuss sp 803-805,283,,0,2019/07/08 11:25:49+00,-VERVALLEN,4.050479,Rsd-Bd,Roosendaal - Breda ,544,b,544,544_b,Breda,23.17,"23,165382",-4.37,"-4,372492",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112082.3275,400672.342,51.59331411,4.76784088,4.05047861369493
5,,e0c805a68e4b47c5b24d45fe4c6c7533,Prorail,L0004,bestaand,,,inklapbaar,Wl 1081 tuss sp 806-807,283,,0,2019/05/22 10:53:25+00,-VERVALLEN,3.996702,Bd-Ehv,Breda - Eindhoven ,544,a,544,544_a,Breda,0.15,"0,145605",4.69,"4,694935",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112423.773,400803.7415,51.59452114,4.77275214,3.99670176520591
6,,587c18fb47cc40eda3cb8172d7196f6f,Prorail,L0004,bestaand,,,inklapbaar,Wl 1071A tuss sp 803-805,283,,0,2019/05/22 10:53:25+00,-VERVALLEN,4.00089,Bd-Ehv,Breda - Eindhoven ,544,a,544,544_a,Breda,0.15,"0,145639",-5.6,"-5,601706",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112427.258,400794.0525,51.59443432,4.77280361,4.00089002598172
7,,49a9fead1d064ab7a42f31b2202125ec,Prorail,L0004,bestaand,,,inklapbaar,Wl 1057A tuss sp 806-807,283,,0,2019/07/08 11:25:49+00,-VERVALLEN,4.021248,Rsd-Bd,Roosendaal - Breda ,544,b,544,544_b,Breda,23.17,"23,169315",4.8,"4,796976",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112082.934,400682.3,51.59340366,4.76784841,4.0212480649669
8,,28a338b1206a4de1b6b11e88fef5a11b,Prorail,L0004,bestaand,,,inklapbaar,Wl 1059A tuss sp 803-805,283,,0,2019/07/08 11:25:49+00,-VERVALLEN,3.985967,Rsd-Bd,Roosendaal - Breda ,544,b,544,544_b,Breda,23.17,"23,169403",-4.4,"-4,396076",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112086.118,400673.6755,51.59332639,4.76789542,3.98596650763651
9,,9c8ea7983df14e47b3d7704c8df53322,Prorail,L0004,bestaand,,,inklapbaar,Wl 1071A tuss sp 803-805,283,,0,2019/05/22 10:53:25+00,-VERVALLEN,3.984425,Bd-Ehv,Breda - Eindhoven ,544,a,544,544_a,Breda,0.15,"0,149623",-5.64,"-5,635164",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112431.0305,400795.36,51.59444636,4.77285789,3.98442480164954
10,,4be853637d314b01b8f4f2cffd2a6763,Prorail,L0004,bestaand,,,inklapbaar,Wl 1071B tuss sp 804-805,283,,0,2019/05/22 10:53:25+00,-VERVALLEN,3.991229,Bd-Ehv,Breda - Eindhoven ,544,a,544,544_a,Breda,0.24,"0,236275",-5.73,"-5,728499",ProRail,Zuid,Z,BASIS,Brabant,Breda,20,BASIS,112512.78,400824.2785,51.59471247,4.7740341,3.99122850761517
