;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal;
2-Advise;;;1;;;;;1;
Abiom Communication Systems (A.C.S.) B.V.;;;;;;5;;5;
AC Analytical Controls B.V.;5;;;;;;;5;
Actis B.V.;3;;;;;;;3;
Agilent Technologies Netherlands B.V.;3;;;;;;;3;
Alphatron Marine B.V.;2;;;;;;;2;
Anadis Instruments Benelux B.V.;1;;;;;;;1;
Anton Paar Benelux BVBA;1;;;;;;;1;
Applied Biosystems;2;;;;;;;2;
ARCADIZ TELECOM;5;;;;;;;5;
Askey Dataloggers B.V.;1;;;;;;;1;
Autotelex B.V.;;;2;;;;;2;
Avast Software B.V.;;;1;;;;;1;
Avetica B.V.;;;;1;;;;1;
Axiell ALM Netherlands B.V.;;;;1;;;;1;
B.V.D.A. International B.V.;2;;;;;;;2;
Böwe Systec Nederland B.V.;4;5;;1;;;;5;
Banque Cantonale de Geneve;;;;;;1;;1;
Bax-shop.nl B.V.;1;;;;;;;1;
Biek & CO;;;;;;;1;1;
BIS Bedrijfs Informatie Systemen B.V.;8;;;;;;;8;
BIT B.V.;;;;;;1;;1;
Bizzdesign Consultancy B.V.;;;;7;;;;7;
Boom uitgevers Amsterdam B.V.;;;1;;;;;1;
BPI Services B.V.;;;1;1;;;;1;
Buyitdirect.com B.V.;1;;;;;7;;7;
Bwise B.V.;;;2;;;;;2;
CA software B.V.;;;;7;;;;7;
CaseWare Nederland;;;;7;;;;7;
Cash Software BV;;;1;;;;;1;
CASRA;;;1;;;;;1;
CBizz B.V.;;;;;;1;;1;
Central Point Nederland B.V.;1;;;;;;;1;
CISOfy;;;;1;;;;1;
CM Telecom B.V.;;;;;;2;;2;
COMPAREX Nederland B.V.;1;;6;7;;;;7;
Conrad Electronic Benelux B.V.;1;;;;;;;1;
Coolblue B.V.;2;;;;;;;2;
Co�peratie 40Fingers UA;;;;1;;;;1;
Coosto Holding B.V.;;;;3;;;;3;
Cornelese Technical Systems B.V.;4;;;;;;;4;
DataExpert B.V.;2;;5;5;;;;6;
DCE Nederland B.V.;2;;;;;;;2;
De Hosting Makelaar B.V.;;;;;;1;;1;
De Klantcontact Monitor B.V.;;;;;;;2;2;
Deciso Sales B.V.;1;;;;;;;1;
Deep Orange Connect;;;2;;;;;2;
Dell Benelux Call Centre;7;1;;;;;;7;
Delphi;;1;;;;;;1;
Detron Communication Solutions;1;;2;;;6;;6;
DifferentLab B.V.;;;1;;;;;1;
Document Dialog B.V.;;;;2;;;;2;
D-RT Group Netherlands B.V.;;;;;;1;;1;
DutchTrainingProfessionals B.V.;;;;;;;1;1;
Duvak Automatisering B.V.;;;;;;1;;1;
Ecotax;1;;;;;;;1;
E-Democracy B.V.;;;;;;2;;2;
Eikelboom & De Bondt It Services B.V.;;;;4;;;;4;
Elfa Elementenfabriek B.V.;3;;;;;;;3;
Escherware B.V.;;;;1;;;;1;
ESCROW4ALL B.V.;;;;1;;;;1;
Eskes Media B.V.;;;;;;;1;1;
Exact Holding B.V.;;;;1;;;;1;
Fibonacci;;;;;;;2;2;
Flash Rental Services B.V.;;;;;;1;;1;
Flexera Software Limited;;;;2;;;;2;
Flexwebhosting B.V.;;;;;;;1;1;
FlightMaster;;;;3;;;;3;
Flipbase B.V.;;;1;;;;;1;
Fofic;2;;;;;;;2;
Fox-IT;;;1;2;;;;3;
Fujitsu Technology Solutions B.V.;6;7;7;10;;;;10;
Gartner Nederland B.V.;;;;;;;2;2;
Gemnet B.V.;;;;;;2;;2;
Generallzolldirektorat Deutschland;;;5;;;;;5;
Genesys Telecommunications Laboratories B.V.;;;;7;;;;7;
GEVEG;;;;1;;;;1;
Go Wonder B.V.;;;1;;;;;1;
Groningen Airport Eelde N.V.;;;1;;;;;1;
Haaklink B.V.;5;;;;;;;5;
Hartwig Instruments B.V.;1;;;;;;;1;
Heijnen B.V.;;;;1;;;;1;
Hestel Electroninics B.V.;1;;;;;;;1;
Hewlett-Packard Nederland B.V.;8;;4;7;;;;9;
Hobbit Imaging Software B.V.;;;1;;;;;1;
Holland Inbouw;1;;;;;;;1;
Hollander Techniek B.V.;;;;;;1;;1;
Hostnet B.V.;;;;;;;1;1;
Huisaanhuis.nu B.V.;;;;;;;1;1;
i3 groep;8;7;7;4;2;;;9;
IBM Nederland B.V.;9;5;9;10;;;;11;
ID Ware International B.V.;;;1;;;;;1;
In Management B.V.;1;;;;;;;1;
InEar Systems;;;;4;;;;4;
Infopact Netwerkdiensten B.V.;;;;;;1;;1;
