Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;Eindtotaal
460 Bergen Street Llc New York;;;1;1
A. van Helden Relatiegeschenken B.V.;1;;;1
A.J.J. Ros;1;;;1
A2N Termoklima Sh.P.K. Tirana;;;2;2
Aalbers Holding B.V.;;;5;5
Academic Editing And Translation;1;;;1
Academie voor de Rechtspraktijk B.V.;1;;;1
ADT SECURITY (PTY) LTD;;;2;2
Ahrend Nederland B.V.;;;1;1
Alares;3;;;3
Alvero Kantoormeubelverhuur B.V.;1;;;1
AMMAN DISTRICTS;;;1;1
Antalis B.V.;1;;;1
Aon B.V.;1;;;1
Arabisch Vertaalbureau Abdellatif (Ava);1;;;1
Arcadis Consult Rotterdam;;;3;3
ARCADIS Nederland;;;4;4
Ardis Opleidingen B.V.;1;;;1
Arnan Pratama Consultants, Pt Jakar;;;4;4
Art Business Club S.R.L. Chisinau;;;1;1
ASMAN ABI CONSTRUCTION SERVICES & S;;;4;4
Atelier Kempe-Thill B.V.;;;1;1
Aveco De Bondt Ingenieursbedrijf Ho;;;2;2
Aveco Licht en Geluid;1;;;1
Ayesha Design Studio;;;2;2
Badhotel Vastgoed B.V.;1;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1
Bar Restaurant Pavlov B.V.;1;;;1
Barendsen Import-Export Aalsmeer;1;;;1
Barlow Bar & Restaurant Den Haag;1;;;1
Beachzone events;1;;;1
Bernadette Lieffering, verlies-en rouwbegel.;1;;;1
Beurtvaartadres douane B.V.;1;;;1
Bobe Verhuur B.V.;1;;;1
Bongo Belevenisbon;1;;;1
Bookx B.V.;1;;;1
Boom Distributie Centrum;1;;;1
Bouwbureau en aannemingsbedrijf De Wilde;;;2;2
Brabants Lederwarenhuis 's-Gravenhage B.V.;1;;;1
Brian Ashman Dutch Translations Ley;1;;;1
Brinks V.O.F.;1;;;1
BTS;1;;;1
Buena Vista Beach Club B.V.;1;;;1
Buitenlandse Persvereniging in Nederland;1;;;1
Bureau Kroner;;;1;1
Café-Restaurant Amier;1;;;1
Carlton Hotel Collection;1;;;1
CBRE S.A. DE C.V.;;;2;2
Ccv Service Bv Arnhem;1;;;1
Centraal Boekhuis B.V.;1;;;1
Central Point Europe Bv Amstelveen;1;;;1
Ceps - Centre For European Policy;1;;;1
