AFVALFRACTIE_CODE;AFVALFRACTIE_OMSC;BEHEERDER_OMSC;BEHEERGEBIEDEN_OMSC;BUURT_CODE;BUURT_OMSC;WIJK_CODE;WIJK_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;EIGENAAR_OMSC;GEBIED_OMSC;ID;KLEUR_OMSC;LEVERANCIER_OMSC;LOCATIE;OPMERKINGEN;TYPE_CONTAINER_CODE;TYPE_CONTAINER_OMSC;VRIJE_PLAKPLAATS;AFVALBAKSTANDPLAATS_CODE;AFVALBAKSTANDPLAATS_OMSC;AFVALBAKTOEPASSING_CODE;AFVALBAKTOEPASSING_OMSC;X;Y;WGS84LONG;WGS84LAT
PPR;Papier;;Schedeldoekshaven;63;Rivierenbuurt-noord;27;Stationsbuurt;5;Centrum;;;108248;;;Amunitiehaven;;BO;Bovengrondse container;Nee;;;;;82082.2545928659;455033.412563519;4.323480874781573;52.07876875127393
TEX;Textiel;;Schedeldoekshaven;13;Uilebomen;28;Centrum;5;Centrum;;;108249;;;Amunitiehaven;Leger des Heils;BO;Bovengrondse container;Nee;;;;;82076.367822262;455029.942557731;4.323395754723276;52.07873679184976
PLA;Plastic, blik en drankpak;;Schedeldoekshaven;63;Rivierenbuurt-noord;27;Stationsbuurt;5;Centrum;;;108250;;;Amunitiehaven;;BO;Bovengrondse container;Nee;;;;;82069.4135233585;455042.647526882;4.323291606557152;52.078850053023565
PLA;Plastic, blik en drankpak;;Schedeldoekshaven;63;Rivierenbuurt-noord;27;Stationsbuurt;5;Centrum;;;108251;;;Amunitiehaven;;BO;Bovengrondse container;Nee;;;;;82072.8906728102;455044.25236509;4.323341979725379;52.07886493331047
GLB;Glas bont;;Kerkhoflaan;46;Archipelbuurt;5;Archipelbuurt;5;Centrum;;;108252;;;Bankastraat- Kerkhoflaan;;BO;Bovengrondse container;Nee;;;;;80603.7970654943;456828.687047534;4.301525191295284;52.09470573667841
PLA;Plastic, blik en drankpak;;Kraayensteinlaan;97;Kraayenstein;16;Kraayenstein en Vroondaal;1;Loosduinen;;;108122;;;Forellendaal  2-278;;BO;Bovengrondse container;;;;;;75998.136;451689.391;4.235516118925284;52.047882586614904
PPR;Papier;;Regentesseplein;44;Koningsplein e.o.;21;Regentessekwartier;3;Segbroek;;;108125;;;Regentesselaan t.h.v. 108;;BO;Bovengrondse container;;;;;;79296.2093382609;454813.686390957;4.282893982878862;52.07642022207114
PPR;Papier;;Regentesseplein;44;Koningsplein e.o.;21;Regentessekwartier;3;Segbroek;;;108127;;;Regentesselaan t.h.v. 108;;BO;Bovengrondse container;;;;;;79298.2741700418;454814.503247485;4.282923916475237;52.076427845232224
PLA;Plastic, blik en drankpak;;Nieuwe Molstraat;14;Zuidwal;28;Centrum;5;Centrum;;;108130;;;Nieuwe Molstraat;Borden met K code zijn eraf gehaald ;BO;Bovengrondse container;Nee;;;;;81315.672;454497.257;4.312415657353784;52.07384896232388
PLA;Plastic, blik en drankpak;;Nieuwe Molstraat;14;Zuidwal;28;Centrum;5;Centrum;;;108131;;;Nieuwe Molstraat;;BO;Bovengrondse container;Nee;;;;;81317.43;454498.535;4.312441019921643;52.073860681343426
PLA;Plastic, blik en drankpak;;Van Zeggelenlaan;24;Laakkwartier-west;38;Laakkwartier en Spoorwijk;6;Laak;;;108132;;;van Zeggelenlaan hoek Laakkade;;BO;Bovengrondse container;;;;;;81436.0554412058;452715.242675503;4.314555313874641;52.05785036043552
PLA;Plastic, blik en drankpak;;Leyweg;88;Morgenstond-west;34;Morgenstond;2;Escamp;;;108133;;;Kloosterveenstraat hoek Wasperveenstraat;;BO;Bovengrondse container;;;;;;78805.5817009789;451631.660401589;4.276448410232318;52.04775694986038
GLB;Glas bont;;Leyweg;88;Morgenstond-west;34;Morgenstond;2;Escamp;;;108134;;;Kloosterveenstraat hoek Wasperveenstraat;;BO;Bovengrondse container;;;;;;78804.5029151585;451632.874035637;4.27643241601914;52.047767708143134
PPR;Papier;;Klaverveld;119;De Velden;44;Leidschenveen;8;Leidschenveen-Ypenburg;;;108140;;;Klaverveld;;ON;Ondergrondse container;;;;;;87708.8144125083;454043.004834196;4.4057440994832096;52.0705801606706
PPR;Papier;;Oeverwallaan;115;De Bras;42;Ypenburg;8;Leidschenveen-Ypenburg;;;108142;Groen;;Oeverwallaan 93;;ON;Ondergrondse container;;;;;;86035.8854428066;449705.980612239;4.382223045215619;52.03139765542217
GLB;Glas bont;;Oeverwallaan;115;De Bras;42;Ypenburg;8;Leidschenveen-Ypenburg;;;108143;Groen;;Oeverwallaan 93;;ON;Ondergrondse container;;;;;;86034.3254581416;449704.902804652;4.3822005331215275;52.03138777516766
PLA;Plastic, blik en drankpak;;Plesmanlaan;113;Singels;42;Ypenburg;8;Leidschenveen-Ypenburg;;;108148;;;Plesmanlaan t.h.v nr 184;;BO;Bovengrondse container;;;;;;85080.2405362304;450722.319202938;4.368091208316388;52.04041183168339
PLA;Plastic, blik en drankpak;;Plesmanlaan;113;Singels;42;Ypenburg;8;Leidschenveen-Ypenburg;;;108149;;;Plesmanlaan t.h.v. nr 184;;BO;Bovengrondse container;;;;;;85079.6205868122;450720.66600449;4.368082511824351;52.04039689625675
RES;Rest;;Plutostraat;60;Binckhorst;39;Binckhorst;6;Laak;;;108154;;;ABS Plutostraat;HMS vuilstortplaatsen ;BO;Bovengrondse container;;;;;;82618.233;454222.808;4.331470375104638;52.07155430624315
PLA;Plastic, blik en drankpak;;Louis Davidsstraat;6;Waldeck-zuid;18;Waldeck;1;Loosduinen;;;108156;;;Louis Davidsstraat hoek Pisuissestraat;;BO;Bovengrondse container;;;;;;75566.619337721;452665.145419777;4.228999827872944;52.05658962535615
TEX;Textiel;;Klatteweg;74;Duttendel;3;Westbroekpark en Duttendel;4;Scheveningen;;;108162;;;Klatteweg t.h.v. nr 28;Leger des Heils;BO;Bovengrondse container;;;;;;80977.7866122793;457866.581156577;4.306756513361712;52.10408315210164
TEX;Textiel;;Plutostraat;60;Binckhorst;39;Binckhorst;6;Laak;;;108165;;;ABS Plutostraat;HMS vuilstortplaatsen ;BO;Bovengrondse container;;;;;;82615.8203567027;454221.325245092;4.331435505462477;52.071540665685575
GLB;Glas bont;;Plutostraat;60;Binckhorst;39;Binckhorst;6;Laak;;;108166;;;ABS Plutostraat;HMS vuilstortplaatsen ;BO;Bovengrondse container;;;;;;82616.9027534309;454222.095764797;4.331451126875658;52.071547731667394
GLB;Glas bont;;Aagje Dekenlaan;37;Moerwijk-west;36;Moerwijk;2;Escamp;;Gazon;108167;;;Aagje Dekenlaan hoek Roemer Visscherstraat;;BO;Bovengrondse container;;;;;;79875.4172355768;452060.323799899;4.291947377157019;52.05175532944071
PLA;Plastic, blik en drankpak;;Plantenoord;87;Venen, Oorden en Raden;33;Bouwlust;2;Escamp;;;108170;;;Plantenoord hoek Hengelolaan;;ON;Ondergrondse container;;;;;;77376.4103619587;450940.083377703;4.25577498483578;52.04134358058374
TEX;Textiel;;Hengelolaan;89;Morgenstond-oost;34;Morgenstond;2;Escamp;;Vliegroute vleermuizen;108171;;;Hengelolaan - Maartensdijklaan;Leger des Heils;BO;Bovengrondse container;;;;;;78827.5050124597;452032.526729755;4.276678585524761;52.051362447513426
TEX;Textiel;;Hengelolaan;89;Morgenstond-oost;34;Morgenstond;2;Escamp;;Vliegroute vleermuizen;108172;;;Hengelolaan- Maartensdijklaan;Leger des Heils;BO;Bovengrondse container;;;;;;78828.1199325942;452031.68121457;4.276687737393046;52.05135493363179
TEX;Textiel;;Adriaan Goekooplaan;41;Zorgvliet;10;Zorgvliet;4;Scheveningen;;;108174;;;Adriaan Goekooplaan;Leger des Heils;BO;Bovengrondse container;;;;;;79527.060256362;456540.640747268;4.285878696045339;52.091971358159554
PPR;Papier;;Catharina van Rennesstraat;40;Nieuw Waldeck;18;Waldeck;1;Loosduinen;;;108175;;;Catharina van Rennesstraat t.o. Wijndaeler Centrum;;ON;Ondergrondse container;;;;;;76084.3533905342;453152.60000088;4.236434731783937;52.061044197083255
GLB;Glas bont;;Louis Davidsstraat;6;Waldeck-zuid;18;Waldeck;1;Loosduinen;;;108176;;;Louis Davidsstraat;;BO;Bovengrondse container;;;;;;75561.2439063794;452663.485475011;4.228921850919529;52.05657393723982
GLB;Glas bont;;Burgemeester Hovylaan;86;Houtwijk;17;Loosduinen;1;Loosduinen;;;108177;;;Burgemeester Hovylaan- Burgemeester Waldeckstraat;;BO;Bovengrondse container;;;;;;76520.348601447;452321.763071538;4.24298222548438;52.05363970848611
TEX;Textiel;;Heeswijkplein;20;Moerwijk-oost;36;Moerwijk;2;Escamp;;;108178;;;Heeswijkplein;Leger des Heils;BO;Bovengrondse container;;;;;;80717.1860538693;452029.799017842;4.304224210690808;52.05159449947325
TEX;Textiel;;Athenesingel;104;Lage Veld;40;Wateringse Veld;2;Escamp;;;108179;;;Athenesingel;Leger des Heils;BO;Bovengrondse container;;;;;;79573.0673258809;448826.371549781;4.288253514441864;52.02265137126085
TEX;Textiel;;Mexicosingel;102;Hoge Veld;40;Wateringse Veld;2;Escamp;;;108181;;;Limastraat;Leger des Heils;BO;Bovengrondse container;;;;;;79668.8634745195;449879.639820252;4.2894170737760975;52.032129929967155
TEX;Textiel;;Beeklaan;10;Rond de Energiecentrale;21;Regentessekwartier;3;Segbroek;;;108182;;;Beeklaan- de Gheijnstraat;Leger des Heils;BO;Bovengrondse container;;;;;;79288.5396732754;454335.214389152;4.282888285342309;52.07211928412169
TEX;Textiel;;Beeklaan;44;Koningsplein e.o.;21;Regentessekwartier;3;Segbroek;;;108183;;;Beeklaan - Copernicusstraat;Leger des Heils;BO;Bovengrondse container;;;;;;78994.4514655732;454920.75657795;4.278469103316909;52.07734108788243
