LANDCODE,INLEES_DATUM,GEMEENTE,GEMEENTE_CODE,JAAR,PERIODE,BELEIDSPROGRAMMA,ORGANISATIE, SUBSIDIE BESCHIKT ,BEKOSTIGD UIT RIJKSINKOMSTEN,WETTELIJKE TAAK,GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,ServiceTeam Vlaardingen, 750,00 ,Nee,Nee,"Het organiseren van stadswandelingen en het organiseren van de cursus ""Ken uw stad""."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Toneelgroep De Fakkel, 1.000,00 ,Nee,Nee,Het repeteren en uitvoeren van de jaarlijkse toneelvoorstelling: het deelnemen aan de Vlaardingse Uitmarkt en het uitvoeren van de Zwarte Pietenvoorstelling.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Toneelvereniging Het Masker, 1.500,00 ,Nee,Nee,Welzijnssubsidie: Het organiseren van meerdere toneelrepetities en twee uitvoeringen van de Voorjaarsvoorstelling en twee uitvoeringen van de Najaarsvoorstelling.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting VTG, 1.500,00 ,Nee,Nee,Organiseren van de Pomona-lezing.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Toneelvereniging Varia, 1.500,00 ,Nee,Nee,"Het organiseren van 40 repetities en 5 uitvoeringen van de toneelvoorstelling ""Al die Jazz""."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting CentrumKunst Educatie KADE40, 1.800,00 ,Nee,Nee,Het realiseren van het project Culture Candy 2017.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Tamboer- Trompetter- en Majorettekorps Liberte / Haringkoppen, 1.900,00 ,Nee,Nee,Welzijnssubsidie: Het organiseren van repetitieactiviteiten het verzorgen van muziekoptredens van Showband Libert en het verzorgen van muziekoptredens van Blaaskapel De Haringkoppen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Stadspodium , 2.000,00 ,Nee,Nee,"Het organiseren van de serie talkshows onder de titel ""Talk of the Town"" 2017."
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Waterweg Cu1tuurprijs, 2.036,00 ,Nee,Nee,Waterweg Cultuurprijs organiseren.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Anders Kijken, 2.500,00 ,Nee,Nee,Het organiseren van het Open Atelier Weekend 2017.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Historische Vereniging Vlaardingen, 2.500,00 ,Nee,Nee,Organiseren van de open dag in het kader van het vijftig jarig bestaan van de vereniging.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Pauluskoor, 3.000,00 ,Nee,Nee,Het uitvoeren van de musical Maria.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Internationale Orgelweek Vlaardingen, 3.475,00 ,Nee,Nee,Welzijnssubsidie: Het organiseren van lunchconcerten vrijdagavondconcerten wandelconcerten educatieve activiteiten en de internationale orgelweek.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Kade40, 3.500,00 ,Nee,Nee,Culturele fietstocht.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Vlaardings Filmfestival, 4.000,00 ,Nee,Nee,Het organiseren van het Vlaardings Filmfestival 2017 met zowel publieksactiviteiten als educatieve activiteiten.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Kade40, 4.375,00 ,Nee,Nee,Het realiseren van het project De Nacht van de Creativiteit.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Zomerterras, 4.500,00 ,Nee,Nee,Zomerterras Concerten.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Elly Dijkshoorn, 4.999,00 ,Nee,Nee,Het realiseren van het beelden kunstproject met als onderwerp het huis van dokter Moerman. Een zoektocht naar beelden op het Landgoed Hoogstad met een presentatie en publicatie van de resultaten.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Jazz aan de Waterweg, 4.999,00 ,Nee,Nee,Het opstarten van jzz combo's en een big band.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Villa Palagonia, 5.000,00 ,Nee,Nee,Organiseren van Forumdiscussie Villa Palagonia - Project Het Mortuarium - Theater van de Wereld.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Vlaardingen 1018 i.o., 5.000,00 ,Nee,Nee,Oprichting van de stichting.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Flagen, 5.500,00 ,Nee,Nee,Rijksstudio.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Waterweg Cultuurprijs, 6.000,00 ,Nee,Nee,Waterweg Cultuurprijs.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Halen en Brengen , 6.000,00 ,Nee,Nee,VL.Vlaggetjesdag. Ingetrokken door organisatie nog brief maken met terugvordering? 
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Big Ben, 6.500,00 ,Nee,Nee,Beiaarddag.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Geuzenmaand, 7.500,00 ,Nee,Nee,Geuzenmaand.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,CJV Vlaardingen, 8.000,00 ,Nee,Nee,Intocht van Sinterklaas.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Historische Zitmuren, 8.000,00 ,Nee,Nee,Realisatie zitmuur
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Antipesto, 8.162,00 ,Nee,Nee,optuigen van Slag bij Vlaardingen-boot en activiteiten op de wal.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Varend Corso Westland, 10.000,00 ,Nee,Nee,Organiseren Varend Corso 2017 als voorproefje op het thema van 2018 'Het Ontstaan van Holland' in het kader van Vieren en Herdenken Slag bij Vlaardingen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Stadspodium , 10.000,00 ,Nee,Nee,Stadsterrassen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Stichting Buitenbios / Filmtheater Het Zeepaard, 13.000,00 ,Nee,Nee,Welzijnssubsidie: Het organiseren van cultureel filmaanbod educatieve activiteiten voor basisonderwijs en voortgezet onderwijs korte film poule filmlezingen en filmcursussen.
NL,4-8-2017,Vlaardingen,0622,2017,Q2,Programma Kunst en Cultuur,Vlaardings Centrum voor Amateurtoneel, 14.450,00 ,Nee,Nee,Welzijnssubsidie: Beheer en beschikbaar stellen van repetitieruimte aan amateurtoneelverenigingen exploitatie podium voor toneelvoorstellingen en andere theaterproducties organiseren Vlaardings Eenakterfestival en schoolvoorstelling.
