Rijlabels;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Anoniem 442;;;1;1
APCOA Parking Nederland B.V.;1;;;1
Ardea Auto Lisse;;;1;1
Ass. Autofauteuils B.V.;1;;;1
Athlon Car Lease Nederland B.V.;;;3;3
Athlon Car Lease Rental Services B.V.;;;6;6
Atlantic Hotel Exploitatie B.V.;;2;;2
Auto Ambacht Zoetermeer B.V.;;;1;1
Auto Borchwerf Roosendaal B.V.;;;1;1
Auto Lease Groningen B.V.;;;1;1
Autohaas B.V.;;;1;1
Avis Autoverhuur;;;2;2
B. Kerkhof & Zn. B.V.;;;1;1
Betam Truck & Carwash;;;1;1
Bilderberg Parkhotel Rotterdam;;1;;1
BMW Den Haag B.V.;;;1;1
Brezan Automaterialen B.V.;;;1;1
BSA Schaderegeling B.V.;;;1;1
Carglass B.V.;;;1;1
Carlton Beach Club;1;1;;1
Chauffeurstelefoon B.V.;1;;;1
Connexxion Taxi Services B.V.;;;2;2
DBS Spijkenisse B.V.;;;1;1
De Groot Autoservice;;;1;1
De Hofstad Taxicentrale B.V.;;;1;1
De Pomp Tweewielers;1;;;1
Eenhoorn Meeting Center;;2;;2
Engels Conference Center B.V.;;2;;2
Euromobil Nederland B.V.;1;;2;2
Europcar Autoverhuur B.V.;1;;;1
Exploitatie Maatschappij Komfort B.V.;;2;;2
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
Firma van Laar;;;1;1
Fleetlogic B.V.;;;1;1
Grand Hotel De l'Empereur;;1;;1
Hampshire Hotel Management B.V.;1;;;1
Havengebouw Amsterdam B.V.;;1;;1
Heuver Den Ham B.V.;;;1;1
Holi Holding B.V.;;1;;1
HR Via Care B.V.;;;7;7
HTM Specials B.V.;;;1;1
Inalise B.V.;;;1;1
Jungheinrich Nederland B.V.;;;1;1
Kasteel Oud-Poelgeest B.V.;;1;;1
Keijser B.V.;1;;;1
Kemper Fietsen B.V.;;;1;1
Kerkhof en Zonen Beheer;;;1;1
Kings Shop;;;2;2
Landegent Holding B.V.;;;1;1
Landgoed de Horst;1;2;;2
LeasePlan A20;;;1;1
Leaseplan Nederland N.V.;;;7;7
Letterop;;;1;1
Mercure Den Haag Central;;1;;1
Mercure Hotel Zwolle;;1;;1
Motus B.V.;;2;;2
Munckhof Taxi B.V.;;;4;4
Museumkwartier B.V.;;1;;1
Noordzee Services B.V.;;;1;1
NXt Move Projects;1;;;1
Park-line B.V.;;;2;2
Profile Tyre Center Blok;;;1;1
Q-Park Beheer B.V.;;;1;1
Regus;;2;;2
Remto Automaterialen;;;1;1
Schadecentrum Apeldoorn B.V.;;;1;1
Schiphol Nederland B.V.;;;1;1
Scooterking Utrecht;;;1;1
Steegro Banden;;;1;1
SternSchade;;;1;1
Stg. ZB - Planbur. en Bibliotheek van Zeeland;;1;;1
Stichting De Groene Garage;;;1;1
Still Intern Transport B.V.;;;1;1
Stokman Alkmaar B.V.;;;1;1
Taxibedrijf Van der Wijst;;;5;5
Travelcard Nederland B.V.;;;3;3
Truckland Zuid-Holland B.V.;;;1;1
Van der Spek Heftrucks B.V.;;;1;1
Van Stenis Carrosseriebouw B.V.;;;1;1
VCK Travel B.V.;4;;;4
Villa Augustus B.V.;1;;;1
Volkswagen Centrum Nijmegen;;;1;1
Wittebrug;;;1;1
WV NL B.V.;;;2;2
Xerox (Nederland) B.V.;;;1;1
Eindtotaal;4;4;8;8
