OBJECTID,REF_FUNCTIONELE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_PUIC,REF_WISSEL_KRUISINGBEEN_PUIC,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,KM_SPOORTAK,KM_SPOORTAK_T,LATITUDE,LONGITUDE,X,Y,Z
1,62e18dec-8715-4fb9-830e-cb3fb64f602e,,cbf119b2-ac36-49cd-840f-fa5634eecad5,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,27.299985,"27,299985",53.630539,"53,630539",0.217567,"0,217567",51.91361228,4.19266291,72813.091,436799.76,5.43
2,a6d1f9c2-322b-46fb-975e-2f868749a62e,,7b62c08b-a610-4306-83f2-4c0c1cc50bf6,Hn-Mbk,Hoorn - Medemblik ,435,,435,435__,Hoorn - Medemblik,6.32957,"6,329570",-2.523239,"-2,523239",0.29574,"0,295740",52.68301583,5.03323261,131063.319,521789.64,0.023
3,cea5193c-dc8a-49c1-ac75-4d5933c08a4e,,3a751c08-a21b-4c68-b04f-0718ff67cd81,Vl-Ehv,Venlo - Eindhoven ,516,a,516,516_a,Blerick,1.844211,"1,844211",7.119256,"7,119256",0.3,"0,300000",51.37550845,6.15023595,208126.97036423,376536.83667687,20.41653292
4,e3b10896-ad55-4baa-b79c-5e5d141a55ad,9e556d50-4e02-430f-b648-8ffbbb92f5b1,,Vl-Ehv,Venlo - Eindhoven ,055,,55,055__,Blerick - Eindhoven,47.401929,"47,401929",-1.54103,"-1,541030",2.123556,"2,123556",51.44937244,5.53873423,165533.72809916,384487.20551219,18.24686536
5,f3894638-bd89-4aad-bd52-797e15612eb7,f6a4c1ba-8fdc-428c-a6b4-2c666de1b776,,Ah-Zl,Arnhem - Zwolle ,033,,33,033__,Dieren - Zutphen,17.545653,"17,545653",1.767236,"1,767236",9.050892,"9,050892",52.06839444,6.13023477,205946.97735084,453605.99146005,11.35732595
6,05b5470c-a94c-4100-979a-4f94caf6ec8b,,d67fe887-db00-461e-a567-d5573d813cca,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,531,d,531,531_d,Utrecht Centraal,1.239428,"1,239428",181.127213,"181,127213",0.1,"0,100000",52.09838792,5.09616896,135058.02189185,456722.11756757,2.05465618
7,89942e51-3e45-4230-b182-6e1f8a344914,,a243a466-38c7-4f6e-8112-baa81ae9b35c,Asd-Zp,Amsterdam Centraal - Zutphen ,509,a,509,509_a,Baarn,36.846603,"36,846603",23.757626,"23,757626",0.2,"0,200000",52.20035152,5.29323638,148575.93053346,468030.73885673,4.12735183
8,d0a008b4-ceae-46ea-add1-e93b7bd11ddd,ef901177-7238-43f2-b51a-d2ee747a2c15,,Eem-Eemwt,Eemshaven - Eemshaven West ,815,b,815,815_b,Roodeschool Eemshaven,100.124118,"100,124118",1.978492,"1,978492",0.133985,"0,133985",53.45056582,6.80827913,249409.7614472,608080.88014043,6.7471764
9,ace111b2-8213-436a-8eb5-dad9b61f4c3f,,88a0295d-a155-4f32-876f-fa59ded18cbd,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),76.25462,"76,254620",6.456403,"6,456403",0.034948,"0,034948",52.40160069,4.84598187,118166.859,490555.832,0.669
10,2e8e5bef-4a1f-4150-9921-fc569ed0d79a,,8b24bf85-9cfe-4602-9289-0f9f357803b8,Asd-Zp,Amsterdam Centraal - Zutphen ,128,,128,128__,Diemen Aansl. - Weesp Aansl.,10.354678,"10,354678",-5.431517,"-5,431517",2.079202,"2,079202",52.32699701,5.01174803,129405.103,482183.794,8.596
