Ministerie;Handelsnaam;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9500 - AZ specifiek;9510 - BZ specifiek;9520 - BZK specifiek;9530 - DEF specifiek;9540 - EZ specifiek;9550 - Fin specifiek;9560 - I&M specifiek;9570 - OCW specifiek;9580 - SZW specifiek;9590 - V&J specifiek;9600 - VWS specifiek;Eindtotaal
BZK;Barnhoorn Bedrijfsmakelaardij B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bas Hiep Boomverzorging;;;;;;;;;1;;;;;;;;;1
BZK;BAS-Bouwkundig Adviesbureau Spaans;;;;;;;;;;1;;;;;;;;1
BZK;BasIs;;;;;;;;;;1;;;;;;;;1
BZK;Basis Bedrijfshuisvesting B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BDA Dak- en Geveladvies B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Beelen Nederland B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bekkers Translation Services;;;;;;;;;1;;;;;;;;;1
BZK;Bennink Makelaardij o.g.;;;;;;;;;1;;;;;;;;;1
BZK;Benschop & Sterling;;;;;;;;;1;;;;;;;;;1
BZK;Bergh Zorgt;;;;;;;;;1;;;;;;;;;1
BZK;Bethe & Hoogenboom Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Bevers Installatietechniek;;;;;;;;;;1;;;;;;;;1
BZK;Bilfinger Tebodin Netherlands B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Bioclear earth B.V.;;;;;;;;;;1;;;;;;;;1
BZK;BME Asbest Consult B.V.;;;;;;;;;;1;;;;;;;;1
BZK;BME Groep;;;;;;;;;1;;;;;;;;;1
BZK;BMS Netwerk Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Bocavista B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bodem & Ontwikkeling B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Boedelmakelaar;;;;;;;;;1;;;;;;;;;1
BZK;Boels Verhuur Zwolle;;;;;;;;;;1;;;;;;;;1
BZK;Boers en Van der Burg Holding B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BoersmaVanDijk VVE-beheer;;;;;;;;;1;;;;;;;;;1
BZK;bol.com B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Boluwa Eco Systems B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Bombs Away B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Boonoonoonoos B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bosscher Janssens notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Bosse Notaris Corporate Law (BNCL) B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwbedrijf Bouw & Logistiek B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwbedrijf Van der Kolk Emmeloord B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bouwkundig Inspectiecentrum (BIC);;;;;;;;;1;;;;;;;;;1
BZK;Bouwstudio PelserHartman B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Brabant Water N.V.;;;;;;;;;1;;;;;;;;;1
BZK;Brandkastenfabriek N.A. van den Hov;;;;;;;;;1;;;;;;;;;1
BZK;Brandsma Dakservice;;;;;;;;;;1;;;;;;;;1
BZK;Bremen Bouwadviseurs B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Breure B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Brondool B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Brouwers Notariskantoor B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Brouwervanteksten;;;;;;;;;1;;;;;;;;;1
BZK;BSB B.V.;;;;;;;;;1;;;;;;;;;1
BZK;BTS;;;;;;;;;;1;;;;;;;;1
BZK;BUHA B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Buller & Rijnbeek Notarissen;;;;;;;;;1;;;;;;;;;1
BZK;Buma Algera Notariaat B.V.;;;;;;;;;1;;;;;;;;;1
BZK;Bureau Bouwkunde Nederland;;;;;;;;;1;;;;;;;;;1
BZK;Bureau voor Bouwpathologie BB;;;;;;;;;1;;;;;;;;;1
BZK;Buro Bentheimer;;;;;;;;;1;;;;;;;;;1
BZK;BUROBEB B.V.;;;;;;;;;;1;;;;;;;;1
BZK;Buurman Fotografie;;;;;;;;;1;;;;;;;;;1
BZK;Buveco Gasdetection B.V.;;;;;;;;;;1;;;;;;;;1
BZK;C.S.I. Asbestinventarisatie;;;;;;;;;;1;;;;;;;;1
BZK;Café Colette B.V.;;;;;;;;;;1;;;;;;;;1
