verkiezing;cbs_gemeentecode;gemeente;cbs_wijkcode;wijknaam;cbs_buurtcode;buurtnaam;bag_referentienummer_stembureau;stembureau_naam;Kenmerk;aantal;stembureau_x;stembureau_y;latitude;longitude;wijk_x;wijk_y;wijk_latitude;wijk_longitude;buurt_x;buurt_y;buurt_latitude;buurt_longitude;woonplaats;nr_stembureau
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;Voor;270;130768;461900;52.14476;5.03320;132100;461987;52.14560;5.52647;130880;461879;52.144572;5.034836;Maarssen;1
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;Tegen;327;130768;461900;52.14476;5.03320;132100;461987;52.14560;5.52647;130880;461879;52.144572;5.034836;Maarssen;1
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;Geldige stemmen;597;130768;461900;52.14476;5.03320;132100;461987;52.14560;5.52647;130880;461879;52.144572;5.034836;Maarssen;1
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;Blanco stemmen;7;130768;461900;52.14476;5.03320;132100;461987;52.14560;5.52647;130880;461879;52.144572;5.034836;Maarssen;1
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040107;Omgeving Goudestein;0333100000019517;Gemeentekantoor;Ongeldige stemmen;1;130768;461900;52.14476;5.03320;132100;461987;52.14560;5.52647;130880;461879;52.144572;5.034836;Maarssen;1
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;Voor;153;131158;461849;52.14432;5.03890;132100;461987;52.14560;5.52647;131117;461984;52.145525;5.038299;Maarssen;2
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;Tegen;310;131158;461849;52.14432;5.03890;132100;461987;52.14560;5.52647;131117;461984;52.145525;5.038299;Maarssen;2
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;Geldige stemmen;463;131158;461849;52.14432;5.03890;132100;461987;52.14560;5.52647;131117;461984;52.145525;5.038299;Maarssen;2
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;Blanco stemmen;5;131158;461849;52.14432;5.03890;132100;461987;52.14560;5.52647;131117;461984;52.145525;5.038299;Maarssen;2
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040109;Lanenkwartier;0333100000009480;Woonzorgcentrum Maria Dommer;Ongeldige stemmen;3;131158;461849;52.14432;5.03890;132100;461987;52.14560;5.52647;131117;461984;52.145525;5.038299;Maarssen;2
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;Voor;166;131379;462060;52.14622;5.04211;132100;461987;52.14560;5.52647;131371;462270;52.148109;5.041989;Maarssen;3
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;Tegen;302;131379;462060;52.14622;5.04211;132100;461987;52.14560;5.52647;131371;462270;52.148109;5.041989;Maarssen;3
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;Geldige stemmen;468;131379;462060;52.14622;5.04211;132100;461987;52.14560;5.52647;131371;462270;52.148109;5.041989;Maarssen;3
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;Blanco stemmen;10;131379;462060;52.14622;5.04211;132100;461987;52.14560;5.52647;131371;462270;52.148109;5.041989;Maarssen;3
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040115;Zeeheldenbuurt;0333100000013689;Basisschool de Klaroen;Ongeldige stemmen;3;131379;462060;52.14622;5.04211;132100;461987;52.14560;5.52647;131371;462270;52.148109;5.041989;Maarssen;3
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;Voor;241;131695;461473;52.14096;5.04677;132100;461987;52.14560;5.52647;131469;461697;52.142961;5.043451;Maarssen;4
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;Tegen;347;131695;461473;52.14096;5.04677;132100;461987;52.14560;5.52647;131469;461697;52.142961;5.043451;Maarssen;4
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;Geldige stemmen;588;131695;461473;52.14096;5.04677;132100;461987;52.14560;5.52647;131469;461697;52.142961;5.043451;Maarssen;4
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;Blanco stemmen;7;131695;461473;52.14096;5.04677;132100;461987;52.14560;5.52647;131469;461697;52.142961;5.043451;Maarssen;4
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040112;Schilderskwartier;0333100000019854;KBS De Pionier;Ongeldige stemmen;5;131695;461473;52.14096;5.04677;132100;461987;52.14560;5.52647;131469;461697;52.142961;5.043451;Maarssen;4
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;Voor;257;132159;460927;52.13607;5.05358;132100;461987;52.14560;5.52647;132071;461001;52.136734;5.052298;Maarssen;5
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;Tegen;271;132159;460927;52.13607;5.05358;132100;461987;52.14560;5.52647;132071;461001;52.136734;5.052298;Maarssen;5
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;Geldige stemmen;528;132159;460927;52.13607;5.05358;132100;461987;52.14560;5.52647;132071;461001;52.136734;5.052298;Maarssen;5
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;Blanco stemmen;5;132159;460927;52.13607;5.05358;132100;461987;52.14560;5.52647;132071;461001;52.136734;5.052298;Maarssen;5
OR2016;G1904;Stichtse Vecht;WK190401;Maarssen;BU19040105;Zandweg-Oostwaard;0333100000017478;Basisschool Het Kompas;Ongeldige stemmen;6;132159;460927;52.13607;5.05358;132100;461987;52.14560;5.52647;132071;461001;52.136734;5.052298;Maarssen;5
OR2016;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;Voor;250;133341;459915;52.12702;5.07091;133378;460449;52.13182;5.71418;133378;460449;52.131824;5.071418;Oud Zuilen;6
OR2016;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;Tegen;199;133341;459915;52.12702;5.07091;133378;460449;52.13182;5.71418;133378;460449;52.131824;5.071418;Oud Zuilen;6
OR2016;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;Geldige stemmen;449;133341;459915;52.12702;5.07091;133378;460449;52.13182;5.71418;133378;460449;52.131824;5.071418;Oud Zuilen;6
OR2016;G1904;Stichtse Vecht;WK190411;Oud Zuilen;BU19041101;Oud Zuilen;0333100000015733;Restaurant Belle;Blanco stemmen;6;133341;459915;52.12702;5.07091;133378;460449;52.13182;5.71418;133378;460449;52.131824;5.071418;Oud Zuilen;6
