OBJECTID,NAAM,SEQUENCE,AANMAAKDATUM,REF_FUNC_SPOORTAK_NAAM_LANG,REF_FUNCTIONELE_SPOORTAK_PUIC,BEIDE_EINDEN_GELIJK,BESTANDSNAAM,SIGMATRAJECT_GUID,DATUM_GOEDGEKEURD_OUDST,DATUM_GOEDGEKEURD_JONGST,LENGTE_TOTAAL_SIGMATRAJECT,M_SIGMATRAJECT_BEGIN,M_SIGMATRAJECT_EIND,Shape__Length
217243,15c30b2f-6af4-4098-a489-20d0697bc8b4,0,2018/09/20 10:48:12+00,,,,pvstekening-15c30b2f-6af4-4098-a489-20d0697bc8b4_0_0.pdf,15c30b2f-6af4-4098-a489-20d0697bc8b4,,,,,,527.361593835142
217259,d5f382a6-73c1-42a7-abf3-66eef27dc86a,0,2018/09/20 10:49:21+00,,,,pvstekening-d5f382a6-73c1-42a7-abf3-66eef27dc86a_0_0.pdf,d5f382a6-73c1-42a7-abf3-66eef27dc86a,,,,,,526.883702081636
225243,107_183BL_19.4,0,2019/07/22 06:43:31+00,107_183BL_19.4,bbb99eb0-b08c-46dd-9ebc-fc5651f5de1c,,pvstekening-107_183BL_19.4_0_0.pdf,0214e43c-8350-4969-a694-1b128745c15f,,,,,,88.5599564374328
225259,107_902R_22.9,0,2019/07/22 06:45:37+00,107_902R_22.9,92c6cbe8-927f-4577-842e-fedae1d84213,,pvstekening-107_902R_22.9_0_0.pdf,0f7bbb4c-9995-4213-afd7-dab295898389,,,,,,40.781675071164
225260,107_901L_22.8,0,2019/07/22 07:11:17+00,107_901L_22.8,86ce44cc-5406-4c9d-865f-842face9d7f0,,pvstekening-107_901L_22.8_0_0.pdf,465bf7bd-c341-4238-9cdd-49eac1cec228,,,,,,40.7383175640639
225262,107_173L_18.6,1,2019/07/22 07:35:25+00,107_173L_18.6,d2e4d9fc-50ee-4be3-9cef-02be1c6ad0f6,,pvstekening-107_173L_18.6_0_1.pdf,6c8e9eff-b7a5-4a9c-bcd4-d4a7b5753b00,,,,,,711.064602084706
225263,107_135AR_12.1,0,2019/07/22 08:01:39+00,107_135AR_12.1,902891b4-677b-4292-849b-24de33acec17,,pvstekening-107_135AR_12.1_0_0.pdf,adf73c19-57e5-484c-a35b-146da93953f9,,,,,,57.2330707810869
225296,107_171AR_18.6,1,2019/07/22 07:04:31+00,107_171AR_18.6,13b8a7b6-882d-4221-b0ef-946dc66adab9,,pvstekening-107_171AR_18.6_0_1.pdf,1b00b625-6e8c-4d34-97ae-10cca742f466,,,,,,663.940423489857
225298,107_183AL_19.3,0,2019/07/22 07:09:43+00,107_183AL_19.3,0c6a6065-2a22-4425-b773-7679a363c971,,pvstekening-107_183AL_19.3_0_0.pdf,2cbf6121-e49f-489d-b885-44e0628c5b07,,,,,,88.5599564374328
225299,107_135BV_12.1,1,2019/07/22 07:14:18+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_1.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.648378622265
225300,107_135BV_12.1,4,2019/07/22 07:14:27+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_4.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.513029793794
225301,107_135BV_12.1,6,2019/07/22 07:14:28+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_6.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.523603755692
225302,107_135BV_12.1,7,2019/07/22 07:14:29+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_7.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.51784600223
225303,107_135BV_12.1,8,2019/07/22 07:14:29+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_8.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,519.534094577017
225304,4a1f904a-b252-4705-aac4-34728a2f1851,0,2019/07/22 07:17:34+00,,,,pvstekening-4a1f904a-b252-4705-aac4-34728a2f1851_0_0.pdf,4a1f904a-b252-4705-aac4-34728a2f1851,,,,,,44.4636759190495
225317,107_171AR_18.6,0,2019/07/22 07:04:31+00,107_171AR_18.6,13b8a7b6-882d-4221-b0ef-946dc66adab9,,pvstekening-107_171AR_18.6_0_0.pdf,1b00b625-6e8c-4d34-97ae-10cca742f466,,,,,,803.611352170569
225318,234fe977-07f5-4625-9ea3-743093ad3fa9,0,2019/07/22 07:05:25+00,,,,pvstekening-234fe977-07f5-4625-9ea3-743093ad3fa9_0_0.pdf,234fe977-07f5-4625-9ea3-743093ad3fa9,,,,,,44.4636271510566
225323,107_171AL_18.6,0,2019/07/22 07:10:23+00,107_171AL_18.6,7f4a6451-d6fe-48ad-b78a-bdc740d7af88,,pvstekening-107_171AL_18.6_0_0.pdf,421a0855-8cd9-43d9-9cb8-d5a679a9a493,,,,,,100.156664803618
225324,107_135BV_12.1,0,2019/07/22 07:14:17+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_0.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,804.828742357454
225325,107_135BV_12.1,2,2019/07/22 07:14:23+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_2.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.517841963238
225326,107_135BV_12.1,3,2019/07/22 07:14:23+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_3.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.521356069905
225327,107_135BV_12.1,5,2019/07/22 07:14:28+00,107_135BV_12.1,1a20550d-ff00-48ef-8403-972391d0105e,,pvstekening-107_135BV_12.1_0_5.pdf,4673e9a0-3320-498e-a981-71b1139f099a,,,,,,800.516427093935
225328,47c407e3-efc2-4c73-b980-72af769b9619,0,2019/07/22 07:15:45+00,,,,pvstekening-47c407e3-efc2-4c73-b980-72af769b9619_0_0.pdf,47c407e3-efc2-4c73-b980-72af769b9619,,,,,,44.463600520437
225383,107_271BV_1.8,0,2019/07/22 07:36:16+00,107_271BV_1.8,55f0a689-9f4e-4a89-9363-cd40e16092fc,,pvstekening-107_271BV_1.8_0_0.pdf,6dd596d5-bffd-4f47-a2c7-7c8b24fbc127,,,,,,20.5666938590042
225392,107_173L_18.6,0,2019/07/22 07:35:25+00,107_173L_18.6,d2e4d9fc-50ee-4be3-9cef-02be1c6ad0f6,,pvstekening-107_173L_18.6_0_0.pdf,6c8e9eff-b7a5-4a9c-bcd4-d4a7b5753b00,,,,,,805.26391927025
225393,107_133AR_12.0,0,2019/07/22 07:37:08+00,107_133AR_12.0,22746319-4d5c-445b-ab35-d507d5e83d51,,pvstekening-107_133AR_12.0_0_0.pdf,6e2c5d09-d6e5-4958-943d-77bca17bd4dd,,,,,,124.982305907996
225397,107_133AL_12.0,0,2019/07/22 07:40:25+00,107_133AL_12.0,676aa662-ebbc-45f3-a44a-f0fff6eff5ba,,pvstekening-107_133AL_12.0_0_0.pdf,760b257c-d461-4fd2-ba51-7fda1f85b36d,,,,,,57.2331594183699
225410,107_135AL_12.1,0,2019/07/22 07:49:57+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_0.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,805.651381674409
225411,107_135AL_12.1,1,2019/07/22 07:49:57+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_1.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,801.308896267463
225412,107_135AL_12.1,5,2019/07/22 07:50:03+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_5.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.521775888426
225413,107_135AL_12.1,6,2019/07/22 07:50:04+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_6.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.523298886703
225414,107_135AL_12.1,7,2019/07/22 07:50:04+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_7.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.523367439508
225420,107_135AL_12.1,2,2019/07/22 07:49:58+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_2.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.520559489461
225421,107_135AL_12.1,3,2019/07/22 07:49:59+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_3.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.509746313547
225422,107_135AL_12.1,4,2019/07/22 07:50:03+00,107_135AL_12.1,b9055f14-793c-42d3-925b-44dd1c913544,,pvstekening-107_135AL_12.1_0_4.pdf,946fb041-c8b2-4bd1-acfb-2e9f72424835,,,,,,800.515099987827
